# _root_ Hlavním bodem je turnaj ve streetballu , což je jakási uliční varianta basketbalu na jeden koš pro zpravidla tříčlenná družstva , která si našla do Evropy cestu z USA .
#goldHeads=2,3,7,3,4,5,0,9,7,12,12,9,12,13,16,14,13,19,20,17,24,24,24,12,24,25,24,24,28,0,
#predictedHeads=2,3,7,3,4,5,0,9,7,12,12,9,12,13,16,14,16,19,20,17,24,24,24,20,24,25,24,27,28,0,
(7,13),-1.96858 # DEPENDENCYPART_ARC
(7,14),-1.46144 # DEPENDENCYPART_ARC
(7,16),-2.34562 # DEPENDENCYPART_ARC
(7,17),-1.60721 # DEPENDENCYPART_ARC
(7,18),-1.30072 # DEPENDENCYPART_ARC
(7,21),-0.519752 # DEPENDENCYPART_ARC
(7,24),-2.5218 # DEPENDENCYPART_ARC
(9,1),-3.15247 # DEPENDENCYPART_ARC
(9,2),-1.64932 # DEPENDENCYPART_ARC
(9,3),-2.76057 # DEPENDENCYPART_ARC
(9,4),-0.908144 # DEPENDENCYPART_ARC
(9,5),-1.71167 # DEPENDENCYPART_ARC
(9,6),-2.49949 # DEPENDENCYPART_ARC
(9,7),0.42793 # DEPENDENCYPART_ARC
(9,8),1.14602 # DEPENDENCYPART_ARC
(9,10),0.40489 # DEPENDENCYPART_ARC
(9,11),-0.1241 # DEPENDENCYPART_ARC
(9,12),0.313321 # DEPENDENCYPART_ARC
(9,13),-1.2334 # DEPENDENCYPART_ARC
(9,14),-0.493376 # DEPENDENCYPART_ARC
(9,15),-1.85983 # DEPENDENCYPART_ARC
(9,16),-0.554709 # DEPENDENCYPART_ARC
(9,17),-0.827924 # DEPENDENCYPART_ARC
(9,18),-0.879638 # DEPENDENCYPART_ARC
(9,19),-2.53772 # DEPENDENCYPART_ARC
(9,20),-1.22163 # DEPENDENCYPART_ARC
(9,21),-1.0359 # DEPENDENCYPART_ARC
(9,24),-2.25062 # DEPENDENCYPART_ARC
(9,25),-2.12993 # DEPENDENCYPART_ARC
(9,27),-1.88289 # DEPENDENCYPART_ARC
(9,28),-2.4699 # DEPENDENCYPART_ARC
(10,11),-0.130681 # DEPENDENCYPART_ARC
(10,12),-1.92021 # DEPENDENCYPART_ARC
(10,14),-1.42664 # DEPENDENCYPART_ARC
(11,2),-1.48458 # DEPENDENCYPART_ARC
(11,3),-3.19718 # DEPENDENCYPART_ARC
(11,5),-1.48631 # DEPENDENCYPART_ARC
(11,9),-2.38629 # DEPENDENCYPART_ARC
(11,10),-1.07441 # DEPENDENCYPART_ARC
(11,12),-1.69609 # DEPENDENCYPART_ARC
(11,13),-1.53696 # DEPENDENCYPART_ARC
(12,7),-1.50162 # DEPENDENCYPART_ARC
(12,10),1.85605 # DEPENDENCYPART_ARC
(12,11),2.35864 # DEPENDENCYPART_ARC
(12,13),1.76189 # DEPENDENCYPART_ARC
(12,14),-0.130122 # DEPENDENCYPART_ARC
(12,15),-2.9948 # DEPENDENCYPART_ARC
(12,16),-3.96649 # DEPENDENCYPART_ARC
(12,17),-0.371426 # DEPENDENCYPART_ARC
(12,19),-3.84827 # DEPENDENCYPART_ARC
(12,20),-4.69282 # DEPENDENCYPART_ARC
(12,24),-1.71778 # DEPENDENCYPART_ARC
(12,25),-2.23392 # DEPENDENCYPART_ARC
(12,28),-1.58914 # DEPENDENCYPART_ARC
(13,6),-4.95896 # DEPENDENCYPART_ARC
(13,10),-2.13958 # DEPENDENCYPART_ARC
(13,11),-2.39665 # DEPENDENCYPART_ARC
(13,12),-2.05509 # DEPENDENCYPART_ARC
(13,14),0.423901 # DEPENDENCYPART_ARC
(13,15),-2.14163 # DEPENDENCYPART_ARC
(13,16),-3.41627 # DEPENDENCYPART_ARC
(13,17),-0.19287 # DEPENDENCYPART_ARC
(13,19),-3.70012 # DEPENDENCYPART_ARC
(13,24),-2.00283 # DEPENDENCYPART_ARC
(13,28),-1.73204 # DEPENDENCYPART_ARC
(14,13),-1.70365 # DEPENDENCYPART_ARC
(14,15),1.15315 # DEPENDENCYPART_ARC
(14,16),1.71953 # DEPENDENCYPART_ARC
(14,18),-1.43406 # DEPENDENCYPART_ARC
(14,19),-1.34668 # DEPENDENCYPART_ARC
(14,20),-0.614894 # DEPENDENCYPART_ARC
(15,13),-1.18606 # DEPENDENCYPART_ARC
(15,16),-1.39317 # DEPENDENCYPART_ARC
(15,17),-0.529926 # DEPENDENCYPART_ARC
(16,6),-4.24704 # DEPENDENCYPART_ARC
(16,10),-2.56551 # DEPENDENCYPART_ARC
(16,11),-3.62133 # DEPENDENCYPART_ARC
(16,12),-2.97806 # DEPENDENCYPART_ARC
(16,13),-2.44571 # DEPENDENCYPART_ARC
(16,14),-0.893275 # DEPENDENCYPART_ARC
(16,15),2.721 # DEPENDENCYPART_ARC
(16,17),1.03888 # DEPENDENCYPART_ARC
(16,18),-0.994229 # DEPENDENCYPART_ARC
(16,19),-1.92975 # DEPENDENCYPART_ARC
(16,20),-2.47426 # DEPENDENCYPART_ARC
(16,21),-1.17371 # DEPENDENCYPART_ARC
(16,24),-1.7939 # DEPENDENCYPART_ARC
(16,25),-1.86022 # DEPENDENCYPART_ARC
(16,28),-1.47709 # DEPENDENCYPART_ARC
(17,16),-2.02235 # DEPENDENCYPART_ARC
(17,18),0.183262 # DEPENDENCYPART_ARC
(17,19),0.0308673 # DEPENDENCYPART_ARC
(17,20),1.53236 # DEPENDENCYPART_ARC
(17,21),-0.503421 # DEPENDENCYPART_ARC
(17,26),-3.73329 # DEPENDENCYPART_ARC
(17,27),-2.06742 # DEPENDENCYPART_ARC
(18,3),-2.3023 # DEPENDENCYPART_ARC
(18,20),-1.80359 # DEPENDENCYPART_ARC
(18,21),-1.2089 # DEPENDENCYPART_ARC
(19,17),-1.24859 # DEPENDENCYPART_ARC
(19,18),0.875366 # DEPENDENCYPART_ARC
(19,20),-1.92374 # DEPENDENCYPART_ARC
(19,25),-1.43216 # DEPENDENCYPART_ARC
(20,11),-4.86655 # DEPENDENCYPART_ARC
(20,15),-0.776319 # DEPENDENCYPART_ARC
(20,16),-2.45887 # DEPENDENCYPART_ARC
(20,18),-0.231611 # DEPENDENCYPART_ARC
(20,19),2.31914 # DEPENDENCYPART_ARC
(20,21),-1.14678 # DEPENDENCYPART_ARC
(20,22),-2.38871 # DEPENDENCYPART_ARC
(20,24),-1.33971 # DEPENDENCYPART_ARC
(20,25),-2.04509 # DEPENDENCYPART_ARC
(20,26),-1.70602 # DEPENDENCYPART_ARC
(20,27),-3.70075 # DEPENDENCYPART_ARC
(20,28),-1.68984 # DEPENDENCYPART_ARC
(21,2),-3.23266 # DEPENDENCYPART_ARC
(21,3),-1.82364 # DEPENDENCYPART_ARC
(21,7),-1.6335 # DEPENDENCYPART_ARC
(21,9),-1.66342 # DEPENDENCYPART_ARC
(21,10),-2.52866 # DEPENDENCYPART_ARC
(21,15),-2.09455 # DEPENDENCYPART_ARC
(21,18),-1.36362 # DEPENDENCYPART_ARC
(21,19),-2.05257 # DEPENDENCYPART_ARC
(21,20),-1.75838 # DEPENDENCYPART_ARC
(21,24),-1.32722 # DEPENDENCYPART_ARC
(21,25),-1.76091 # DEPENDENCYPART_ARC
(21,27),-2.65207 # DEPENDENCYPART_ARC
(21,28),-2.16495 # DEPENDENCYPART_ARC
(22,21),-1.12293 # DEPENDENCYPART_ARC
(22,26),-2.08819 # DEPENDENCYPART_ARC
(22,27),-2.87091 # DEPENDENCYPART_ARC
(22,29),-2.37641 # DEPENDENCYPART_ARC
(24,2),-1.83755 # DEPENDENCYPART_ARC
(24,3),-2.25578 # DEPENDENCYPART_ARC
(24,4),-1.07983 # DEPENDENCYPART_ARC
(24,5),-1.79611 # DEPENDENCYPART_ARC
(24,6),-2.84616 # DEPENDENCYPART_ARC
(24,7),-0.150388 # DEPENDENCYPART_ARC
(24,9),-1.541 # DEPENDENCYPART_ARC
(24,12),-0.657566 # DEPENDENCYPART_ARC
(24,13),-2.85117 # DEPENDENCYPART_ARC
(24,14),-1.43493 # DEPENDENCYPART_ARC
(24,15),-1.46439 # DEPENDENCYPART_ARC
(24,16),-0.738933 # DEPENDENCYPART_ARC
(24,17),-1.49957 # DEPENDENCYPART_ARC
(24,18),-1.10505 # DEPENDENCYPART_ARC
(24,19),-2.68692 # DEPENDENCYPART_ARC
(24,20),-1.8495 # DEPENDENCYPART_ARC
(24,21),0.786421 # DEPENDENCYPART_ARC
(24,22),1.34418 # DEPENDENCYPART_ARC
(24,23),1.76259 # DEPENDENCYPART_ARC
(24,25),1.52985 # DEPENDENCYPART_ARC
(24,26),-2.16708 # DEPENDENCYPART_ARC
(24,27),1.10476 # DEPENDENCYPART_ARC
(24,28),0.0571367 # DEPENDENCYPART_ARC
(24,29),-1.87225 # DEPENDENCYPART_ARC
(24,30),-1.0021 # DEPENDENCYPART_ARC
(25,26),2.59886 # DEPENDENCYPART_ARC
(25,27),-1.64058 # DEPENDENCYPART_ARC
(25,29),-1.79242 # DEPENDENCYPART_ARC
(26,22),-2.32722 # DEPENDENCYPART_ARC
(26,23),-4.54737 # DEPENDENCYPART_ARC
(26,25),-0.822535 # DEPENDENCYPART_ARC
(26,27),-2.48749 # DEPENDENCYPART_ARC
(26,28),-1.25705 # DEPENDENCYPART_ARC
(26,29),-1.83414 # DEPENDENCYPART_ARC
(27,22),-2.26692 # DEPENDENCYPART_ARC
(27,23),-4.11974 # DEPENDENCYPART_ARC
(27,25),-1.05899 # DEPENDENCYPART_ARC
(27,26),-0.454437 # DEPENDENCYPART_ARC
(27,28),0.977137 # DEPENDENCYPART_ARC
(27,29),0.173362 # DEPENDENCYPART_ARC
(27,30),-0.580765 # DEPENDENCYPART_ARC
(28,26),-2.61924 # DEPENDENCYPART_ARC
(28,27),-2.22344 # DEPENDENCYPART_ARC
(28,29),2.12294 # DEPENDENCYPART_ARC
(28,30),-0.991506 # DEPENDENCYPART_ARC
(29,22),-4.55361 # DEPENDENCYPART_ARC
(29,23),-5.2181 # DEPENDENCYPART_ARC
(29,25),-2.10007 # DEPENDENCYPART_ARC
(29,26),-2.292 # DEPENDENCYPART_ARC
(29,27),-3.10115 # DEPENDENCYPART_ARC
(29,28),-1.50943 # DEPENDENCYPART_ARC
(29,30),-1.00649 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0742268 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.42 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0742187 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.090313 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0742268 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0782891 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.42 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0344094 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.0189879 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0782891 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.36128 # DEPENDENCYPART_SIBL
(0,1),(0,30),-0.303497 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.226107 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0457962 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.269783 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0419372 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0220724 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.226107 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.102814 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.101225 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0220724 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.185591 # DEPENDENCYPART_SIBL
(0,2),(0,30),-0.418795 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.114404 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.197271 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.114387 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.327514 # DEPENDENCYPART_SIBL
(0,3),(0,9),-1.65888 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.284108 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.15114 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.327514 # DEPENDENCYPART_SIBL
(0,3),(0,24),-1.56727 # DEPENDENCYPART_SIBL
(0,3),(0,30),-0.0527541 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.264159 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0395004 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.00708268 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.226455 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.099246 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.101405 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.00708268 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.185939 # DEPENDENCYPART_SIBL
(0,4),(0,30),-0.406512 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.265363 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0441675 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.357464 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.175306 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.261106 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0441675 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.309647 # DEPENDENCYPART_SIBL
(0,5),(0,30),-0.23815 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0203409 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.225364 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0992703 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.101649 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0203409 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.184848 # DEPENDENCYPART_SIBL
(0,6),(0,30),-0.416889 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.4829 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0935226 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0369566 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.129028 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.409319 # DEPENDENCYPART_SIBL
(0,7),(0,30),-0.133324 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.284108 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.15114 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.327514 # DEPENDENCYPART_SIBL
(0,9),(0,24),-1.56727 # DEPENDENCYPART_SIBL
(0,9),(0,30),-0.0527541 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.172998 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.0785278 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.409562 # DEPENDENCYPART_SIBL
(0,10),(0,30),-0.0297646 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0421514 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.404922 # DEPENDENCYPART_SIBL
(0,15),(0,30),-0.279052 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.409319 # DEPENDENCYPART_SIBL
(0,21),(0,30),-0.133324 # DEPENDENCYPART_SIBL
(0,24),(0,30),0.0013012 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00956582 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.100732 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0731203 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.10151 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00956582 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00342244 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0306975 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.104747 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.371717 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0670998 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.115895 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0105261 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.103549 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.00840882 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0234435 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0104435 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.020581 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.041154 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0206749 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0104435 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00251177 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.014353 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00249283 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.307016 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0804841 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0625123 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00246052 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.031272 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0260769 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.007833 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.107198 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.016848 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0917105 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0180648 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0234212 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0701209 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0754828 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.021584 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0180648 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0421083 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0172789 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0237761 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0066159 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0754828 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0178595 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0234212 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.024797 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.12049 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.018332 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00103207 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0130934 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0826774 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0158039 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.018332 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0236049 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0191178 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0124502 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0104728 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0826774 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.0252414 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.00103207 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0582564 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.118589 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0299791 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0485917 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0048739 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.118589 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.118589 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0161931 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.118589 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0360811 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0591839 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.00487625 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.122838 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0299791 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.117754 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.022794 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0599848 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.114737 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.117754 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.117754 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.159814 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.117754 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.140931 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.128389 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.114737 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.117708 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.022794 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00734954 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0581443 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00577276 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.133845 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.133845 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0188876 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.133845 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0387778 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0698305 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0057704 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.138094 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.00734954 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.127697 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.109295 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.115513 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.115513 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.114037 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.115513 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0785762 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0822233 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.109295 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.115562 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.163659 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.125921 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0356178 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0356178 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.126339 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0356178 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.160183 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0803529 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.125921 # DEPENDENCYPART_SIBL
