# _root_ Lékaři mi to udělali jakousi zrychlenou metodou , trénoval jsem už po dvou týdnech místo šesti , jenže stejně jsem přišel o část letní přípravy .
#goldHeads=4,4,4,18,7,7,4,18,18,9,14,9,14,12,9,15,18,0,21,21,18,21,22,25,23,0,
#predictedHeads=4,4,4,18,7,7,4,4,18,9,14,9,14,12,9,15,18,0,21,21,18,21,22,25,23,0,
(4,21),-5.31974 # DEPENDENCYPART_ARC
(5,6),-0.273754 # DEPENDENCYPART_ARC
(5,7),-2.58971 # DEPENDENCYPART_ARC
(5,8),-0.937532 # DEPENDENCYPART_ARC
(5,9),-1.26319 # DEPENDENCYPART_ARC
(5,10),-1.67601 # DEPENDENCYPART_ARC
(6,3),-3.02382 # DEPENDENCYPART_ARC
(6,5),-0.31926 # DEPENDENCYPART_ARC
(7,2),-3.24661 # DEPENDENCYPART_ARC
(7,3),-2.10109 # DEPENDENCYPART_ARC
(7,5),2.17817 # DEPENDENCYPART_ARC
(7,6),2.62933 # DEPENDENCYPART_ARC
(7,8),-1.44828 # DEPENDENCYPART_ARC
(7,9),-2.15468 # DEPENDENCYPART_ARC
(7,10),-1.96399 # DEPENDENCYPART_ARC
(8,1),-1.61311 # DEPENDENCYPART_ARC
(8,3),-1.45276 # DEPENDENCYPART_ARC
(8,4),-0.661338 # DEPENDENCYPART_ARC
(8,5),-1.27122 # DEPENDENCYPART_ARC
(8,6),-1.43766 # DEPENDENCYPART_ARC
(8,7),-1.43315 # DEPENDENCYPART_ARC
(8,9),-0.934871 # DEPENDENCYPART_ARC
(8,10),-1.58161 # DEPENDENCYPART_ARC
(9,1),-0.756662 # DEPENDENCYPART_ARC
(9,2),-1.5685 # DEPENDENCYPART_ARC
(9,3),-1.51869 # DEPENDENCYPART_ARC
(9,4),-1.97945 # DEPENDENCYPART_ARC
(9,5),-1.32157 # DEPENDENCYPART_ARC
(9,6),-2.55019 # DEPENDENCYPART_ARC
(9,7),-1.23349 # DEPENDENCYPART_ARC
(9,8),-0.564407 # DEPENDENCYPART_ARC
(9,10),2.54429 # DEPENDENCYPART_ARC
(9,11),-0.141987 # DEPENDENCYPART_ARC
(9,12),0.375632 # DEPENDENCYPART_ARC
(9,13),-2.10102 # DEPENDENCYPART_ARC
(9,14),-0.844718 # DEPENDENCYPART_ARC
(9,15),0.212044 # DEPENDENCYPART_ARC
(9,16),-3.21533 # DEPENDENCYPART_ARC
(9,17),-0.728766 # DEPENDENCYPART_ARC
(9,18),-0.473488 # DEPENDENCYPART_ARC
(9,19),-1.23058 # DEPENDENCYPART_ARC
(9,20),-0.73867 # DEPENDENCYPART_ARC
(9,21),-3.11908 # DEPENDENCYPART_ARC
(9,22),-1.75981 # DEPENDENCYPART_ARC
(9,23),-1.96054 # DEPENDENCYPART_ARC
(9,25),-3.39553 # DEPENDENCYPART_ARC
(10,1),-2.71236 # DEPENDENCYPART_ARC
(10,2),-2.86165 # DEPENDENCYPART_ARC
(10,3),-2.1915 # DEPENDENCYPART_ARC
(10,4),-4.29444 # DEPENDENCYPART_ARC
(10,5),-2.60281 # DEPENDENCYPART_ARC
(10,6),-3.44264 # DEPENDENCYPART_ARC
(10,7),-1.95385 # DEPENDENCYPART_ARC
(10,8),-1.91064 # DEPENDENCYPART_ARC
(10,9),-1.42886 # DEPENDENCYPART_ARC
(10,11),-0.636735 # DEPENDENCYPART_ARC
(10,12),-0.720503 # DEPENDENCYPART_ARC
(10,13),-3.22796 # DEPENDENCYPART_ARC
(10,14),-2.15889 # DEPENDENCYPART_ARC
(10,15),-1.10536 # DEPENDENCYPART_ARC
(10,16),-3.86663 # DEPENDENCYPART_ARC
(10,18),-1.05343 # DEPENDENCYPART_ARC
(10,19),-2.04916 # DEPENDENCYPART_ARC
(10,20),-2.78929 # DEPENDENCYPART_ARC
(10,21),-3.78689 # DEPENDENCYPART_ARC
(10,25),-4.06914 # DEPENDENCYPART_ARC
(11,7),-2.36329 # DEPENDENCYPART_ARC
(11,8),-1.5965 # DEPENDENCYPART_ARC
(11,12),-0.962051 # DEPENDENCYPART_ARC
(11,13),-1.79574 # DEPENDENCYPART_ARC
(12,8),-1.16222 # DEPENDENCYPART_ARC
(12,11),-1.21683 # DEPENDENCYPART_ARC
(12,13),0.650182 # DEPENDENCYPART_ARC
(12,14),2.30742 # DEPENDENCYPART_ARC
(12,17),-1.23918 # DEPENDENCYPART_ARC
(12,18),-1.38342 # DEPENDENCYPART_ARC
(12,23),-2.75036 # DEPENDENCYPART_ARC
(13,11),-0.462379 # DEPENDENCYPART_ARC
(13,14),-0.754784 # DEPENDENCYPART_ARC
(13,15),-0.434893 # DEPENDENCYPART_ARC
(14,6),-2.93175 # DEPENDENCYPART_ARC
(14,11),0.104224 # DEPENDENCYPART_ARC
(14,12),-1.06659 # DEPENDENCYPART_ARC
(14,13),2.2306 # DEPENDENCYPART_ARC
(14,15),-0.319307 # DEPENDENCYPART_ARC
(14,16),-1.34021 # DEPENDENCYPART_ARC
(14,18),-1.55046 # DEPENDENCYPART_ARC
(14,20),-2.54088 # DEPENDENCYPART_ARC
(14,21),-3.2226 # DEPENDENCYPART_ARC
(14,22),-1.66966 # DEPENDENCYPART_ARC
(15,14),-1.84958 # DEPENDENCYPART_ARC
(15,16),0.826166 # DEPENDENCYPART_ARC
(15,17),-0.691699 # DEPENDENCYPART_ARC
(15,18),-1.00595 # DEPENDENCYPART_ARC
(15,19),-1.91983 # DEPENDENCYPART_ARC
(15,20),-1.74254 # DEPENDENCYPART_ARC
(15,21),-2.39583 # DEPENDENCYPART_ARC
(15,23),-1.89323 # DEPENDENCYPART_ARC
(15,25),-1.34786 # DEPENDENCYPART_ARC
(16,11),-0.744877 # DEPENDENCYPART_ARC
(16,14),-1.48527 # DEPENDENCYPART_ARC
(16,15),-0.787684 # DEPENDENCYPART_ARC
(16,17),-0.320701 # DEPENDENCYPART_ARC
(16,18),-1.40204 # DEPENDENCYPART_ARC
(16,20),-2.42873 # DEPENDENCYPART_ARC
(17,4),-1.51199 # DEPENDENCYPART_ARC
(17,9),-1.00794 # DEPENDENCYPART_ARC
(17,10),-0.897192 # DEPENDENCYPART_ARC
(17,12),-1.26746 # DEPENDENCYPART_ARC
(17,13),-1.52084 # DEPENDENCYPART_ARC
(17,14),-1.27295 # DEPENDENCYPART_ARC
(17,16),-0.784302 # DEPENDENCYPART_ARC
(17,19),-1.13352 # DEPENDENCYPART_ARC
(17,20),-1.08827 # DEPENDENCYPART_ARC
(17,21),-1.55964 # DEPENDENCYPART_ARC
(17,22),-1.48129 # DEPENDENCYPART_ARC
(18,1),-2.16415 # DEPENDENCYPART_ARC
(18,3),-2.12006 # DEPENDENCYPART_ARC
(18,4),-1.25024 # DEPENDENCYPART_ARC
(18,5),-1.8636 # DEPENDENCYPART_ARC
(18,6),-2.66741 # DEPENDENCYPART_ARC
(18,7),-2.1139 # DEPENDENCYPART_ARC
(18,8),-1.03621 # DEPENDENCYPART_ARC
(18,9),-0.597592 # DEPENDENCYPART_ARC
(18,10),-0.562547 # DEPENDENCYPART_ARC
(18,11),-1.20769 # DEPENDENCYPART_ARC
(18,12),-1.2353 # DEPENDENCYPART_ARC
(18,13),-1.41949 # DEPENDENCYPART_ARC
(18,14),-1.52248 # DEPENDENCYPART_ARC
(18,15),-0.925154 # DEPENDENCYPART_ARC
(18,16),-0.670027 # DEPENDENCYPART_ARC
(18,17),1.09386 # DEPENDENCYPART_ARC
(18,19),-0.369278 # DEPENDENCYPART_ARC
(18,20),0.684778 # DEPENDENCYPART_ARC
(18,21),-0.210606 # DEPENDENCYPART_ARC
(18,22),-1.25351 # DEPENDENCYPART_ARC
(18,23),-2.00678 # DEPENDENCYPART_ARC
(18,24),-1.96189 # DEPENDENCYPART_ARC
(18,25),-2.02236 # DEPENDENCYPART_ARC
(18,26),-1.115 # DEPENDENCYPART_ARC
(19,12),-1.75484 # DEPENDENCYPART_ARC
(19,15),-1.32034 # DEPENDENCYPART_ARC
(19,17),-0.746765 # DEPENDENCYPART_ARC
(19,18),0.0597759 # DEPENDENCYPART_ARC
(19,20),-0.652755 # DEPENDENCYPART_ARC
(19,21),-1.58338 # DEPENDENCYPART_ARC
(19,22),-1.12339 # DEPENDENCYPART_ARC
(19,23),-2.19085 # DEPENDENCYPART_ARC
(19,25),-1.46913 # DEPENDENCYPART_ARC
(20,1),-2.88966 # DEPENDENCYPART_ARC
(20,2),-3.71741 # DEPENDENCYPART_ARC
(20,3),-3.02817 # DEPENDENCYPART_ARC
(20,4),-4.96227 # DEPENDENCYPART_ARC
(20,5),-4.0082 # DEPENDENCYPART_ARC
(20,10),-2.87936 # DEPENDENCYPART_ARC
(20,11),-2.14629 # DEPENDENCYPART_ARC
(20,12),-1.69347 # DEPENDENCYPART_ARC
(20,13),-3.43207 # DEPENDENCYPART_ARC
(20,14),-3.66944 # DEPENDENCYPART_ARC
(20,15),-2.00759 # DEPENDENCYPART_ARC
(20,16),-2.68869 # DEPENDENCYPART_ARC
(20,17),-1.44069 # DEPENDENCYPART_ARC
(20,19),-0.0453273 # DEPENDENCYPART_ARC
(20,21),-0.960414 # DEPENDENCYPART_ARC
(20,22),-1.57018 # DEPENDENCYPART_ARC
(20,23),-1.67805 # DEPENDENCYPART_ARC
(20,24),-4.27085 # DEPENDENCYPART_ARC
(20,25),-3.11876 # DEPENDENCYPART_ARC
(21,1),-0.9693 # DEPENDENCYPART_ARC
(21,3),-1.77294 # DEPENDENCYPART_ARC
(21,4),-3.73961 # DEPENDENCYPART_ARC
(21,7),-2.00271 # DEPENDENCYPART_ARC
(21,9),-2.46955 # DEPENDENCYPART_ARC
(21,10),-0.0987163 # DEPENDENCYPART_ARC
(21,11),-1.2163 # DEPENDENCYPART_ARC
(21,12),-0.383078 # DEPENDENCYPART_ARC
(21,13),-2.38283 # DEPENDENCYPART_ARC
(21,14),-1.61305 # DEPENDENCYPART_ARC
(21,15),-0.854112 # DEPENDENCYPART_ARC
(21,16),-1.88854 # DEPENDENCYPART_ARC
(21,17),-1.13007 # DEPENDENCYPART_ARC
(21,18),-0.270295 # DEPENDENCYPART_ARC
(21,19),0.668421 # DEPENDENCYPART_ARC
(21,20),2.54694 # DEPENDENCYPART_ARC
(21,22),1.33136 # DEPENDENCYPART_ARC
(21,23),0.487303 # DEPENDENCYPART_ARC
(21,24),-2.4066 # DEPENDENCYPART_ARC
(21,25),-1.35488 # DEPENDENCYPART_ARC
(22,23),2.24163 # DEPENDENCYPART_ARC
(22,24),-2.78505 # DEPENDENCYPART_ARC
(22,25),-3.58271 # DEPENDENCYPART_ARC
(23,19),-1.72812 # DEPENDENCYPART_ARC
(23,22),-0.486948 # DEPENDENCYPART_ARC
(23,24),-0.0878401 # DEPENDENCYPART_ARC
(23,25),1.0246 # DEPENDENCYPART_ARC
(23,26),-0.973678 # DEPENDENCYPART_ARC
(24,19),-0.751454 # DEPENDENCYPART_ARC
(24,22),-0.715861 # DEPENDENCYPART_ARC
(24,23),-1.27655 # DEPENDENCYPART_ARC
(24,25),-1.38941 # DEPENDENCYPART_ARC
(25,22),-1.3264 # DEPENDENCYPART_ARC
(25,23),-2.56366 # DEPENDENCYPART_ARC
(25,24),2.66498 # DEPENDENCYPART_ARC
(25,26),-0.633836 # DEPENDENCYPART_ARC
(0,1),(0,2),0.105451 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.1846 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0992243 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0234035 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.184098 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.172719 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.109328 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0234035 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0347426 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.172719 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.191813 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.418447 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.378749 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.195359 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0495367 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.378725 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.358158 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.198701 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0495367 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.0453908 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.358158 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.379384 # DEPENDENCYPART_SIBL
(0,2),(0,26),0.00963574 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.229447 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.313091 # DEPENDENCYPART_SIBL
(0,4),(0,9),-1.46894 # DEPENDENCYPART_SIBL
(0,4),(0,10),-1.45471 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.078606 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.313091 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.699286 # DEPENDENCYPART_SIBL
(0,4),(0,20),-1.45471 # DEPENDENCYPART_SIBL
(0,4),(0,21),-1.46957 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.0293145 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.078574 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.408888 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.388093 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.172906 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.078574 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.0106928 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.388093 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.409548 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.0298055 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.313785 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0305857 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.129028 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0745425 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.313785 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.405077 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.133324 # DEPENDENCYPART_SIBL
(0,9),(0,10),-1.45498 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0788824 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.316074 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.699562 # DEPENDENCYPART_SIBL
(0,9),(0,20),-1.45498 # DEPENDENCYPART_SIBL
(0,9),(0,21),-1.46985 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.0310599 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.130327 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.514756 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.767231 # DEPENDENCYPART_SIBL
(0,10),(0,20),-1.44262 # DEPENDENCYPART_SIBL
(0,10),(0,21),-1.45741 # DEPENDENCYPART_SIBL
(0,10),(0,26),-0.256024 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0364177 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0663127 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.363084 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.378899 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.251335 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0745425 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.313785 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.405077 # DEPENDENCYPART_SIBL
(0,17),(0,26),-0.133324 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.721567 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.732489 # DEPENDENCYPART_SIBL
(0,18),(0,26),0.199379 # DEPENDENCYPART_SIBL
(0,20),(0,21),-1.45741 # DEPENDENCYPART_SIBL
(0,20),(0,26),-0.256024 # DEPENDENCYPART_SIBL
(0,21),(0,26),-0.0317588 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.000507514 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0704348 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0696736 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0402972 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.00096221 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0140767 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.000750964 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0287463 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.259433 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.029353 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0158803 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.00821558 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.03888 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0149427 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0149165 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.153315 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00658584 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0223026 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0661785 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.010458 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0443772 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0624532 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0109592 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0245487 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0414767 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0324398 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0099106 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0422397 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0498701 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0178373 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0479726 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0414767 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0304235 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.022673 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0256912 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0493901 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.111242 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.149184 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.024114 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.048983 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0265066 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0597435 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.173136 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00971402 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0398108 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0584406 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.048983 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.04985 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0797527 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0286503 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0819352 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0948043 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0643587 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0217005 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0243299 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0556794 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0525136 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0530406 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.000754259 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.00462896 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0217005 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0206421 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.050224 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0264737 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0779333 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0360913 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.00148488 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.032521 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0471 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0277991 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.00578605 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0181343 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0517576 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.00148488 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0097473 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.00425706 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0333027 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.102745 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0407817 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0505914 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0348107 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0854536 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0420646 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.104882 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.00843103 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0407817 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0430157 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0474212 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.0496898 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00511408 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00336326 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0318648 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0030313 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0122207 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.00073534 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.122686 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.00511408 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0790924 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0452121 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0114297 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.097362 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0749931 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0530117 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.108489 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0915056 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0969793 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.111037 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0736953 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0458896 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0939246 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.253009 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.00588155 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0336417 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0253803 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.062472 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.00134994 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0368169 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.04687 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.235379 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.219817 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.24566 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.195005 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.280216 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0269843 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.100886 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.260841 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.0718967 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.132561 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.00787336 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0142158 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0487732 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0291887 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0169827 # DEPENDENCYPART_SIBL
