# _root_ Ruští zástupci na jednáních navrhli , že by splátky mohly tvořit dodávky zbraní , což česká strana odmítla .
#goldHeads=2,5,5,3,14,7,5,10,11,7,10,10,12,0,18,17,18,14,0,
#predictedHeads=2,5,5,3,0,7,5,10,10,7,10,10,12,7,18,17,18,14,0,
(5,2),1.01713 # DEPENDENCYPART_ARC
(5,3),0.34729 # DEPENDENCYPART_ARC
(5,4),0.0566681 # DEPENDENCYPART_ARC
(5,6),-0.297679 # DEPENDENCYPART_ARC
(5,7),0.0676409 # DEPENDENCYPART_ARC
(5,8),-0.657243 # DEPENDENCYPART_ARC
(5,9),-1.72318 # DEPENDENCYPART_ARC
(5,10),-3.54648 # DEPENDENCYPART_ARC
(5,11),-0.610671 # DEPENDENCYPART_ARC
(5,12),-3.20085 # DEPENDENCYPART_ARC
(5,13),-4.36415 # DEPENDENCYPART_ARC
(5,14),-1.39173 # DEPENDENCYPART_ARC
(5,18),-6.31049 # DEPENDENCYPART_ARC
(6,2),-1.39644 # DEPENDENCYPART_ARC
(6,3),-0.920578 # DEPENDENCYPART_ARC
(6,5),-1.04422 # DEPENDENCYPART_ARC
(6,10),-1.919 # DEPENDENCYPART_ARC
(6,11),-2.48043 # DEPENDENCYPART_ARC
(7,2),-1.76351 # DEPENDENCYPART_ARC
(7,3),-1.58129 # DEPENDENCYPART_ARC
(7,4),-0.992809 # DEPENDENCYPART_ARC
(7,5),-0.433959 # DEPENDENCYPART_ARC
(7,6),1.62628 # DEPENDENCYPART_ARC
(7,8),1.35522 # DEPENDENCYPART_ARC
(7,9),-1.5519 # DEPENDENCYPART_ARC
(7,10),0.238893 # DEPENDENCYPART_ARC
(7,11),-0.431988 # DEPENDENCYPART_ARC
(7,12),-2.7212 # DEPENDENCYPART_ARC
(7,13),-2.7832 # DEPENDENCYPART_ARC
(7,14),0.0478241 # DEPENDENCYPART_ARC
(7,18),-1.15268 # DEPENDENCYPART_ARC
(9,6),-1.79901 # DEPENDENCYPART_ARC
(9,7),-1.17162 # DEPENDENCYPART_ARC
(9,10),-0.855289 # DEPENDENCYPART_ARC
(9,11),-1.37752 # DEPENDENCYPART_ARC
(9,12),-3.45013 # DEPENDENCYPART_ARC
(9,13),-1.75117 # DEPENDENCYPART_ARC
(9,17),-3.76339 # DEPENDENCYPART_ARC
(9,18),-4.10443 # DEPENDENCYPART_ARC
(10,1),-2.4172 # DEPENDENCYPART_ARC
(10,2),-1.06752 # DEPENDENCYPART_ARC
(10,3),-1.8336 # DEPENDENCYPART_ARC
(10,4),-1.82161 # DEPENDENCYPART_ARC
(10,5),-3.59728 # DEPENDENCYPART_ARC
(10,6),-1.1285 # DEPENDENCYPART_ARC
(10,7),-0.95549 # DEPENDENCYPART_ARC
(10,8),2.31609 # DEPENDENCYPART_ARC
(10,9),1.04954 # DEPENDENCYPART_ARC
(10,11),2.5936 # DEPENDENCYPART_ARC
(10,12),0.333859 # DEPENDENCYPART_ARC
(10,13),-1.51264 # DEPENDENCYPART_ARC
(10,14),-0.784631 # DEPENDENCYPART_ARC
(10,16),-3.03357 # DEPENDENCYPART_ARC
(10,17),-1.95552 # DEPENDENCYPART_ARC
(10,18),-4.20652 # DEPENDENCYPART_ARC
(11,2),-1.86367 # DEPENDENCYPART_ARC
(11,3),-1.98524 # DEPENDENCYPART_ARC
(11,5),-4.61091 # DEPENDENCYPART_ARC
(11,6),-1.88011 # DEPENDENCYPART_ARC
(11,7),-1.20009 # DEPENDENCYPART_ARC
(11,9),0.881325 # DEPENDENCYPART_ARC
(11,10),-0.941147 # DEPENDENCYPART_ARC
(11,12),-0.111379 # DEPENDENCYPART_ARC
(11,13),-0.448753 # DEPENDENCYPART_ARC
(11,14),-0.594371 # DEPENDENCYPART_ARC
(11,16),-2.27838 # DEPENDENCYPART_ARC
(11,17),-2.88797 # DEPENDENCYPART_ARC
(11,18),-2.03393 # DEPENDENCYPART_ARC
(12,9),-3.32006 # DEPENDENCYPART_ARC
(12,10),-3.05382 # DEPENDENCYPART_ARC
(12,11),-1.87595 # DEPENDENCYPART_ARC
(12,13),1.43155 # DEPENDENCYPART_ARC
(12,14),-1.09943 # DEPENDENCYPART_ARC
(12,16),-2.18263 # DEPENDENCYPART_ARC
(12,17),-1.90816 # DEPENDENCYPART_ARC
(12,18),-2.19417 # DEPENDENCYPART_ARC
(13,9),-3.22828 # DEPENDENCYPART_ARC
(13,11),-1.78245 # DEPENDENCYPART_ARC
(13,12),-1.374 # DEPENDENCYPART_ARC
(13,14),-1.35333 # DEPENDENCYPART_ARC
(13,16),-3.59423 # DEPENDENCYPART_ARC
(13,17),-2.4547 # DEPENDENCYPART_ARC
(13,18),-1.6013 # DEPENDENCYPART_ARC
(13,19),-2.15522 # DEPENDENCYPART_ARC
(14,2),-2.05045 # DEPENDENCYPART_ARC
(14,5),-1.24679 # DEPENDENCYPART_ARC
(14,6),-0.5364 # DEPENDENCYPART_ARC
(14,7),-0.737751 # DEPENDENCYPART_ARC
(14,9),-1.21135 # DEPENDENCYPART_ARC
(14,10),-0.414112 # DEPENDENCYPART_ARC
(14,11),-0.33421 # DEPENDENCYPART_ARC
(14,12),-1.02724 # DEPENDENCYPART_ARC
(14,13),-1.0357 # DEPENDENCYPART_ARC
(14,16),-1.28044 # DEPENDENCYPART_ARC
(14,17),-1.4257 # DEPENDENCYPART_ARC
(14,18),-1.00797 # DEPENDENCYPART_ARC
(14,19),-0.991962 # DEPENDENCYPART_ARC
(16,12),-3.22396 # DEPENDENCYPART_ARC
(16,13),-3.73748 # DEPENDENCYPART_ARC
(16,14),-1.58325 # DEPENDENCYPART_ARC
(16,17),-1.8636 # DEPENDENCYPART_ARC
(17,12),-2.58236 # DEPENDENCYPART_ARC
(17,13),-4.55407 # DEPENDENCYPART_ARC
(17,14),-1.23982 # DEPENDENCYPART_ARC
(17,16),2.62209 # DEPENDENCYPART_ARC
(17,18),-2.135 # DEPENDENCYPART_ARC
(18,2),-0.929417 # DEPENDENCYPART_ARC
(18,3),-1.70536 # DEPENDENCYPART_ARC
(18,5),-5.63841 # DEPENDENCYPART_ARC
(18,6),-2.65912 # DEPENDENCYPART_ARC
(18,7),-1.85791 # DEPENDENCYPART_ARC
(18,8),0.601063 # DEPENDENCYPART_ARC
(18,9),0.135865 # DEPENDENCYPART_ARC
(18,10),-3.26357 # DEPENDENCYPART_ARC
(18,11),0.0776304 # DEPENDENCYPART_ARC
(18,12),0.265615 # DEPENDENCYPART_ARC
(18,13),-2.62897 # DEPENDENCYPART_ARC
(18,14),0.630501 # DEPENDENCYPART_ARC
(18,15),1.32921 # DEPENDENCYPART_ARC
(18,16),-0.800542 # DEPENDENCYPART_ARC
(18,17),2.00121 # DEPENDENCYPART_ARC
(18,19),-0.778199 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0702728 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.094228 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.360541 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0776571 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0109771 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.362474 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.360548 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0776571 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.360542 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.302867 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.229711 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.188884 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0345751 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0135705 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.184739 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.190352 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0345751 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.188887 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.432353 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.476952 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.2298 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0231368 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.477278 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.476973 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.2298 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.476952 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.450326 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.283605 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.637769 # DEPENDENCYPART_SIBL
(0,5),(0,10),-1.46321 # DEPENDENCYPART_SIBL
(0,5),(0,11),-1.46198 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.283605 # DEPENDENCYPART_SIBL
(0,5),(0,18),-1.46198 # DEPENDENCYPART_SIBL
(0,5),(0,19),0.00145225 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.00123668 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.408663 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.408619 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.129028 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.408609 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.861305 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.86144 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.326921 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.861017 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.107484 # DEPENDENCYPART_SIBL
(0,10),(0,11),-1.46486 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.307263 # DEPENDENCYPART_SIBL
(0,10),(0,18),-1.46486 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0153494 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.292836 # DEPENDENCYPART_SIBL
(0,11),(0,18),-1.46177 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.00259532 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.408609 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0154964 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.101738 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0103517 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0188144 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0197845 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.241376 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0103518 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.027302 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0212956 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00109072 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0702456 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0768019 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0213362 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.000355739 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00262634 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0652459 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.134865 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0746555 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00140246 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.023587 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.153914 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.000948221 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.262867 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.019299 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0204855 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0247441 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0621743 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0545418 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.00126483 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0259171 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00975609 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0409203 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00254651 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.522669 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.262723 # DEPENDENCYPART_SIBL
(3,4),(3,7),-1.04822 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0647855 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.437725 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.337077 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.183733 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0177394 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0280768 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.229339 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00116912 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0544527 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0120942 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.212611 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.000372406 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.105171 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.208142 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0356511 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.152529 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00232578 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0641393 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0426241 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0324768 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0489612 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0475857 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0673826 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0690074 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0595304 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0798881 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.091802 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0391324 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0527757 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0475857 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0800632 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00865657 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.177188 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0217366 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00487358 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.02458 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0602379 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0128693 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0196577 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0301238 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0507552 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0217366 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.00919927 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0349505 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0181285 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0229205 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0478915 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00585551 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0636903 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0714759 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.032919 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.011863 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0181285 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0642573 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0139068 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0101779 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0332081 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0449263 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0214974 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0282858 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0148123 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0354437 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0139068 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0178274 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0372424 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.105119 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.111093 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.100728 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0963661 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.108555 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.105368 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.134295 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.100435 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.172937 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.186673 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.169719 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.165876 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.184102 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.180741 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0194322 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.169111 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.465131 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.188584 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.194077 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.467663 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.471035 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.179953 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.189998 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0163733 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0190644 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.113493 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.118627 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0383624 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0202829 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.234894 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.028935 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0323072 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0258761 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.238974 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.023586 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0269582 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0194203 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.241741 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.117828 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0267629 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.017697 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0250816 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0120056 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.100435 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0210214 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.13569 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.00201525 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0212039 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0300801 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0470362 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0281931 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.621824 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.646518 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.36339 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0866025 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0698114 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0102042 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.141005 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.261876 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0865529 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.1326 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.129005 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0840836 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0931072 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0387276 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.122487 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0602574 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0932511 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.256456 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.276824 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.153133 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.164921 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.158452 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.150333 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.158556 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0302535 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.160936 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.00826277 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.140738 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.261652 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0514706 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.132376 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.128781 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0490013 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0580249 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0262285 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.122263 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.291819 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.287368 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.30717 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.164321 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.174149 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.308325 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.313453 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.093866 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.148855 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.403914 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.373627 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0258285 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0116964 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.364963 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.392278 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0681205 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0174618 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0826398 # DEPENDENCYPART_SIBL
(7,8),(7,10),-1.11832 # DEPENDENCYPART_SIBL
(7,8),(7,11),-1.11517 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0826516 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0836216 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.167749 # DEPENDENCYPART_SIBL
(7,8),(7,18),-1.11521 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.487501 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.497489 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0781892 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0876712 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0466453 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.496095 # DEPENDENCYPART_SIBL
(7,10),(7,11),-1.12981 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.131912 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.132882 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0250984 # DEPENDENCYPART_SIBL
(7,10),(7,18),-1.12985 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.124742 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.125712 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.00226859 # DEPENDENCYPART_SIBL
(7,11),(7,18),-1.1204 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0899581 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0422706 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.496076 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0438407 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.493277 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.466168 # DEPENDENCYPART_SIBL
