# _root_ Řešení by se však hledat mělo , protože oba festivaly měly jednak vysokou úroveň , jednak lákaly do Prahy řadu turistů .
#goldHeads=6,6,6,6,6,0,8,6,10,16,16,16,14,11,16,8,16,17,18,17,20,0,
#predictedHeads=6,6,6,0,6,4,8,6,10,11,16,16,14,11,16,8,16,17,18,17,20,0,
(17,9),-0.788042 # DEPENDENCYPART_ARC
(17,10),-0.642256 # DEPENDENCYPART_ARC
(17,11),-1.82102 # DEPENDENCYPART_ARC
(17,12),-1.22948 # DEPENDENCYPART_ARC
(17,13),-3.4578 # DEPENDENCYPART_ARC
(17,14),-1.03106 # DEPENDENCYPART_ARC
(17,15),-0.452297 # DEPENDENCYPART_ARC
(17,16),-0.113424 # DEPENDENCYPART_ARC
(17,18),1.52838 # DEPENDENCYPART_ARC
(17,19),-2.43368 # DEPENDENCYPART_ARC
(17,20),0.640147 # DEPENDENCYPART_ARC
(17,21),-1.27124 # DEPENDENCYPART_ARC
(18,19),2.59477 # DEPENDENCYPART_ARC
(18,20),-1.60355 # DEPENDENCYPART_ARC
(18,21),-2.62015 # DEPENDENCYPART_ARC
(19,18),-0.901988 # DEPENDENCYPART_ARC
(19,20),-2.62599 # DEPENDENCYPART_ARC
(19,21),-1.73727 # DEPENDENCYPART_ARC
(20,18),-0.869609 # DEPENDENCYPART_ARC
(20,19),-1.31549 # DEPENDENCYPART_ARC
(20,21),1.58218 # DEPENDENCYPART_ARC
(20,22),-1.06972 # DEPENDENCYPART_ARC
(21,14),-6.01499 # DEPENDENCYPART_ARC
(21,18),-1.53025 # DEPENDENCYPART_ARC
(21,19),-2.43028 # DEPENDENCYPART_ARC
(21,20),-3.09688 # DEPENDENCYPART_ARC
(21,22),-0.750672 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.237473 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.185527 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.200017 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0204458 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0273923 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.191547 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0204458 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0373321 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.183814 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.41703 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.922153 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.930526 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.119647 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.45331 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.927957 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.119647 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.463757 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.921091 # DEPENDENCYPART_SIBL
(0,4),(0,22),0.511513 # DEPENDENCYPART_SIBL
(0,5),(0,6),-1.47218 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.290394 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.675508 # DEPENDENCYPART_SIBL
(0,5),(0,11),-1.46493 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.290394 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.699064 # DEPENDENCYPART_SIBL
(0,5),(0,17),-1.45734 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.00441111 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.21518 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.641211 # DEPENDENCYPART_SIBL
(0,6),(0,11),-1.43608 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.21518 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.664766 # DEPENDENCYPART_SIBL
(0,6),(0,17),-1.4285 # DEPENDENCYPART_SIBL
(0,6),(0,22),0.117493 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0924915 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.41566 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0829262 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.133324 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.894824 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.452491 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.478375 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.887958 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.268893 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.278437 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.707389 # DEPENDENCYPART_SIBL
(0,11),(0,17),-1.46167 # DEPENDENCYPART_SIBL
(0,11),(0,22),0.0173425 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0829262 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.778028 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.100824 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.149099 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.197032 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.209242 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0492899 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0522441 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.264661 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0800341 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0376753 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.137882 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.105919 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0945506 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0451683 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.135046 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0761892 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0945506 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0761892 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.116251 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.004619 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.127102 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0780222 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.154504 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.107008 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.131528 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.121261 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.154504 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.121261 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0886961 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0868658 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0420476 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.106121 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0389051 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0918781 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0756544 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.106121 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0756544 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0678493 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.828447 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00246877 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.295583 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.824764 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.330272 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.00246877 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.330272 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.821058 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00482004 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.297618 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.83378 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.332308 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.00482004 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.332308 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.830074 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0981988 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.280851 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0971544 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.224442 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0971544 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.278907 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.230393 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.14539 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0552217 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.14539 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.228816 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.331404 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.00432477 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.331404 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.825572 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0655959 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.121081 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.221566 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0971544 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.278907 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.221566 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00408873 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0456184 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0307155 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0106841 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.128917 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00105865 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.069155 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.00448261 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0106841 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0416346 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0804313 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.015901 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0281463 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0478324 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.126139 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.074211 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.007122 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0281463 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0526557 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00767721 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00410683 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0498294 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0501535 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0175364 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0217911 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.00410683 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0369865 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00154747 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0987996 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0186547 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0290066 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.239736 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.00154747 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0363573 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00999527 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0693993 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.105111 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.099821 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.129008 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0719782 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0182976 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.000517545 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.00698216 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0673992 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0721749 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0500118 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0146938 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.00444756 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0446703 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.022815 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0229008 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0756044 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.00126316 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0364601 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0719782 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.097817 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0259011 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.076469 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.00236641 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0135809 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.139115 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0173541 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0805277 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0286488 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0375933 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0587571 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.100849 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0135809 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0375933 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0461549 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.144543 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.245612 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00818204 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.022616 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.297611 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0310321 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0221103 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.21433 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.227791 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0692972 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0159487 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.022616 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.227791 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.21037 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0663193 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.054737 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0165711 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0721425 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.103175 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.078171 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0350108 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0416582 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.331933 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.112878 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0165711 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0416582 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0423001 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0300908 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0137199 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0347274 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.029062 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0125648 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0025917 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0361235 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.012565 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0311263 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0137199 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0361235 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.00931117 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00602135 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.123216 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0204191 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00811841 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.00404912 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0657116 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.00991931 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.01428 # DEPENDENCYPART_SIBL
