# _root_ Německá spolková republika dosud v četných případech politických uprchlíků , kteří se stali německými státními příslušníky , dvojí občanství tolerovala a ještě toleruje .
#goldHeads=3,3,21,21,21,7,5,9,7,13,13,13,9,16,16,13,13,19,21,21,0,23,21,0,
#predictedHeads=3,3,21,6,20,7,5,9,7,13,13,13,9,16,16,13,21,19,20,21,0,23,21,0,
(11,16),-2.4821 # DEPENDENCYPART_ARC
(11,19),-3.12845 # DEPENDENCYPART_ARC
(11,21),-1.08856 # DEPENDENCYPART_ARC
(13,1),-3.29675 # DEPENDENCYPART_ARC
(13,2),-3.4179 # DEPENDENCYPART_ARC
(13,3),-1.93645 # DEPENDENCYPART_ARC
(13,4),-0.964132 # DEPENDENCYPART_ARC
(13,5),-0.631661 # DEPENDENCYPART_ARC
(13,7),-1.89761 # DEPENDENCYPART_ARC
(13,8),-3.18885 # DEPENDENCYPART_ARC
(13,9),-3.04992 # DEPENDENCYPART_ARC
(13,10),0.795877 # DEPENDENCYPART_ARC
(13,11),0.400946 # DEPENDENCYPART_ARC
(13,12),1.53416 # DEPENDENCYPART_ARC
(13,14),0.0463155 # DEPENDENCYPART_ARC
(13,15),-1.02347 # DEPENDENCYPART_ARC
(13,16),0.152673 # DEPENDENCYPART_ARC
(13,17),-0.37895 # DEPENDENCYPART_ARC
(13,19),-0.918457 # DEPENDENCYPART_ARC
(13,20),-3.36365 # DEPENDENCYPART_ARC
(13,21),-0.90787 # DEPENDENCYPART_ARC
(13,22),-1.84389 # DEPENDENCYPART_ARC
(13,23),-2.25683 # DEPENDENCYPART_ARC
(14,12),-1.89732 # DEPENDENCYPART_ARC
(14,15),-1.23661 # DEPENDENCYPART_ARC
(14,16),-1.89066 # DEPENDENCYPART_ARC
(14,19),-3.59195 # DEPENDENCYPART_ARC
(14,21),-1.12173 # DEPENDENCYPART_ARC
(14,22),-1.76014 # DEPENDENCYPART_ARC
(14,23),-2.50227 # DEPENDENCYPART_ARC
(15,12),-2.31771 # DEPENDENCYPART_ARC
(15,14),-1.03653 # DEPENDENCYPART_ARC
(16,1),-5.48656 # DEPENDENCYPART_ARC
(16,6),-4.14114 # DEPENDENCYPART_ARC
(16,8),-2.49935 # DEPENDENCYPART_ARC
(16,11),-1.05528 # DEPENDENCYPART_ARC
(16,12),-3.45668 # DEPENDENCYPART_ARC
(16,14),1.71143 # DEPENDENCYPART_ARC
(16,15),2.36472 # DEPENDENCYPART_ARC
(16,17),-1.22001 # DEPENDENCYPART_ARC
(16,19),-3.7971 # DEPENDENCYPART_ARC
(16,20),-2.52712 # DEPENDENCYPART_ARC
(16,21),-1.50866 # DEPENDENCYPART_ARC
(16,22),-1.86677 # DEPENDENCYPART_ARC
(16,23),-3.01741 # DEPENDENCYPART_ARC
(17,1),-2.44536 # DEPENDENCYPART_ARC
(17,2),-2.4803 # DEPENDENCYPART_ARC
(17,3),-2.21247 # DEPENDENCYPART_ARC
(17,5),-1.41217 # DEPENDENCYPART_ARC
(17,7),-1.83151 # DEPENDENCYPART_ARC
(17,8),-2.11543 # DEPENDENCYPART_ARC
(17,9),-1.55705 # DEPENDENCYPART_ARC
(17,10),-0.595211 # DEPENDENCYPART_ARC
(17,11),-1.35195 # DEPENDENCYPART_ARC
(17,13),-0.769891 # DEPENDENCYPART_ARC
(17,14),-1.15754 # DEPENDENCYPART_ARC
(17,15),-1.18863 # DEPENDENCYPART_ARC
(17,16),-0.361216 # DEPENDENCYPART_ARC
(17,19),-1.06988 # DEPENDENCYPART_ARC
(17,20),-1.17072 # DEPENDENCYPART_ARC
(17,21),-0.821393 # DEPENDENCYPART_ARC
(17,22),-1.59 # DEPENDENCYPART_ARC
(17,23),-2.25651 # DEPENDENCYPART_ARC
(17,24),-1.19393 # DEPENDENCYPART_ARC
(19,11),-3.70293 # DEPENDENCYPART_ARC
(19,12),-3.9613 # DEPENDENCYPART_ARC
(19,14),-3.60572 # DEPENDENCYPART_ARC
(19,15),-3.53455 # DEPENDENCYPART_ARC
(19,16),-3.25413 # DEPENDENCYPART_ARC
(19,17),-0.622432 # DEPENDENCYPART_ARC
(19,18),1.84083 # DEPENDENCYPART_ARC
(19,20),-1.61779 # DEPENDENCYPART_ARC
(19,22),-1.47157 # DEPENDENCYPART_ARC
(20,1),-2.44596 # DEPENDENCYPART_ARC
(20,3),-0.338183 # DEPENDENCYPART_ARC
(20,4),-1.12576 # DEPENDENCYPART_ARC
(20,5),-0.524205 # DEPENDENCYPART_ARC
(20,7),-2.03293 # DEPENDENCYPART_ARC
(20,9),-4.34133 # DEPENDENCYPART_ARC
(20,10),-0.663586 # DEPENDENCYPART_ARC
(20,11),-1.01304 # DEPENDENCYPART_ARC
(20,12),0.0429536 # DEPENDENCYPART_ARC
(20,13),-2.89222 # DEPENDENCYPART_ARC
(20,14),-3.17441 # DEPENDENCYPART_ARC
(20,15),-2.99459 # DEPENDENCYPART_ARC
(20,16),-1.86638 # DEPENDENCYPART_ARC
(20,17),-0.285663 # DEPENDENCYPART_ARC
(20,18),-0.818192 # DEPENDENCYPART_ARC
(20,19),0.745398 # DEPENDENCYPART_ARC
(20,21),-1.01866 # DEPENDENCYPART_ARC
(20,22),-0.882668 # DEPENDENCYPART_ARC
(20,23),-1.67841 # DEPENDENCYPART_ARC
(21,2),-2.88559 # DEPENDENCYPART_ARC
(21,3),-1.32653 # DEPENDENCYPART_ARC
(21,4),-1.08386 # DEPENDENCYPART_ARC
(21,5),-0.344089 # DEPENDENCYPART_ARC
(21,6),-2.54248 # DEPENDENCYPART_ARC
(21,7),-1.33184 # DEPENDENCYPART_ARC
(21,8),-2.32315 # DEPENDENCYPART_ARC
(21,9),-1.35916 # DEPENDENCYPART_ARC
(21,10),0.382273 # DEPENDENCYPART_ARC
(21,11),-0.559814 # DEPENDENCYPART_ARC
(21,12),-0.933394 # DEPENDENCYPART_ARC
(21,13),0.0340344 # DEPENDENCYPART_ARC
(21,14),-1.48221 # DEPENDENCYPART_ARC
(21,15),-1.24336 # DEPENDENCYPART_ARC
(21,16),-0.514176 # DEPENDENCYPART_ARC
(21,17),0.572482 # DEPENDENCYPART_ARC
(21,19),-0.00826079 # DEPENDENCYPART_ARC
(21,20),2.16668 # DEPENDENCYPART_ARC
(21,22),-0.312078 # DEPENDENCYPART_ARC
(21,23),1.12492 # DEPENDENCYPART_ARC
(21,24),-0.51394 # DEPENDENCYPART_ARC
(23,3),-0.0698528 # DEPENDENCYPART_ARC
(23,4),-1.15266 # DEPENDENCYPART_ARC
(23,5),-0.837196 # DEPENDENCYPART_ARC
(23,7),-1.95739 # DEPENDENCYPART_ARC
(23,8),-3.83716 # DEPENDENCYPART_ARC
(23,9),-3.72026 # DEPENDENCYPART_ARC
(23,10),-1.09735 # DEPENDENCYPART_ARC
(23,11),-0.898103 # DEPENDENCYPART_ARC
(23,12),-0.321336 # DEPENDENCYPART_ARC
(23,13),-2.26709 # DEPENDENCYPART_ARC
(23,14),-2.18275 # DEPENDENCYPART_ARC
(23,15),-2.14484 # DEPENDENCYPART_ARC
(23,16),-1.27633 # DEPENDENCYPART_ARC
(23,17),-1.02532 # DEPENDENCYPART_ARC
(23,19),0.0565055 # DEPENDENCYPART_ARC
(23,20),-1.37558 # DEPENDENCYPART_ARC
(23,21),-0.0935146 # DEPENDENCYPART_ARC
(23,22),1.41506 # DEPENDENCYPART_ARC
(23,24),-0.532444 # DEPENDENCYPART_ARC
(24,23),-2.81323 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.10535 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0706606 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.143556 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0659196 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0785913 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0341774 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.36085 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0785913 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.36055 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.227193 # DEPENDENCYPART_SIBL
(0,1),(0,22),0.145206 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.36055 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.303634 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0721556 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.143561 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0659287 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0787356 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0341818 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.36084 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0787356 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.360541 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.227047 # DEPENDENCYPART_SIBL
(0,2),(0,22),0.14521 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.360541 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.303406 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.126977 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.190482 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0344613 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0927122 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.167633 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0344613 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.167543 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.195469 # DEPENDENCYPART_SIBL
(0,3),(0,22),0.124676 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.167543 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.429932 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.201965 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.170238 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.296021 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.309667 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.170238 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.309665 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.196183 # DEPENDENCYPART_SIBL
(0,4),(0,22),0.143066 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.309665 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.14228 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.093583 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.117166 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.370136 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.093583 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.372218 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.207652 # DEPENDENCYPART_SIBL
(0,5),(0,22),0.121125 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.372218 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.396679 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.103059 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.408609 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.129028 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.140416 # DEPENDENCYPART_SIBL
(0,10),(0,22),0.0412265 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.408609 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.410237 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0795328 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.410237 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.10016 # DEPENDENCYPART_SIBL
(0,11),(0,22),0.114875 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.410237 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.0307597 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.287897 # DEPENDENCYPART_SIBL
(0,13),(0,20),-1.46189 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.960935 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.239204 # DEPENDENCYPART_SIBL
(0,13),(0,23),-1.46189 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.000497834 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.140416 # DEPENDENCYPART_SIBL
(0,17),(0,22),0.0412265 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.408609 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.133324 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.962228 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.240498 # DEPENDENCYPART_SIBL
(0,20),(0,23),-1.46319 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.00769122 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.0687179 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.898665 # DEPENDENCYPART_SIBL
(0,21),(0,24),0.0494213 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.313037 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.193773 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0547822 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0381176 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00973412 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00957348 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0173815 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0720234 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0252085 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0761865 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.024892 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.00152491 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00706405 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.021192 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0821286 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.017321 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0862918 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0170045 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.00240809 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.116382 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0934645 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0242679 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0931498 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0265666 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.00537868 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0247928 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0144842 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0244937 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0151628 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.00262237 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0280253 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.109462 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0298846 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00957351 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0345101 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0652661 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0134075 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0325201 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.00889839 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0161997 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.137626 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.042742 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0669525 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.40133 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0430028 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0676101 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.408938 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0438568 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0122627 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00173204 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0290332 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0888236 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0872753 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0898245 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0918822 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0276145 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0756851 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.146172 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0759354 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.140407 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.00331829 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.722625 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.232883 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.722624 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0525097 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.439923 # DEPENDENCYPART_SIBL
(5,7),(5,9),-1.40403 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.13999 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.724729 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0531039 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.138695 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.01429 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.184687 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0124686 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0145799 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0886952 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0104112 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.00646454 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0268151 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.00986834 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.00646454 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.00946571 # DEPENDENCYPART_SIBL
(7,1),(7,20),0.0246539 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.0231413 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.183077 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0144995 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.00443354 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0966974 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.00673605 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.00144394 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0238288 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.00619319 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.00144394 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.00579055 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.0216676 # DEPENDENCYPART_SIBL
(7,2),(7,21),-0.0221704 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0327206 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00197948 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0123527 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0221521 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00796544 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0166317 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0252778 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.00796544 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0274353 # DEPENDENCYPART_SIBL
(7,3),(7,20),0.018377 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.00657651 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0270158 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0477848 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0512814 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.019808 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0328262 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0529871 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.019808 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.055018 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.0324132 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.0642722 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0981982 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.000605047 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.00482096 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0253291 # DEPENDENCYPART_SIBL
(7,6),(7,16),-6.21878e-05 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.00482096 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.000340446 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0231679 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.0206701 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0331392 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.00217807 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.00697661 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0313076 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.00217807 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0312865 # DEPENDENCYPART_SIBL
(7,8),(7,20),0.00527512 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.116191 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0181006 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0103764 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0624847 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0181006 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.0606971 # DEPENDENCYPART_SIBL
(7,9),(7,20),0.00854137 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.304736 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.00551882 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0117689 # DEPENDENCYPART_SIBL
