# _root_ Měl jsem pocit , že je motor obsahem handicapován a nasadil dvojité zapalování , ale se zvýšením výkonu mi nedošly jiné souvislosti .
#goldHeads=15,1,1,5,3,10,6,9,6,5,10,13,11,15,0,20,16,17,20,15,22,20,0,
#predictedHeads=15,1,1,5,3,5,6,9,10,15,10,13,11,15,0,20,16,17,20,15,22,20,0,
(10,7),0.224304 # DEPENDENCYPART_ARC
(10,8),0.513363 # DEPENDENCYPART_ARC
(10,9),2.67649 # DEPENDENCYPART_ARC
(10,11),2.02572 # DEPENDENCYPART_ARC
(10,12),-0.678665 # DEPENDENCYPART_ARC
(10,13),-0.812636 # DEPENDENCYPART_ARC
(10,14),-0.541674 # DEPENDENCYPART_ARC
(10,15),-1.06851 # DEPENDENCYPART_ARC
(10,16),-1.33873 # DEPENDENCYPART_ARC
(10,17),-2.3996 # DEPENDENCYPART_ARC
(10,20),-1.59169 # DEPENDENCYPART_ARC
(11,6),-0.701725 # DEPENDENCYPART_ARC
(11,7),-0.40732 # DEPENDENCYPART_ARC
(11,8),-0.596371 # DEPENDENCYPART_ARC
(11,9),-0.160622 # DEPENDENCYPART_ARC
(11,10),-0.495218 # DEPENDENCYPART_ARC
(11,12),-1.04786 # DEPENDENCYPART_ARC
(11,13),1.30855 # DEPENDENCYPART_ARC
(11,14),-0.680715 # DEPENDENCYPART_ARC
(11,15),-0.540403 # DEPENDENCYPART_ARC
(11,16),-0.620392 # DEPENDENCYPART_ARC
(11,17),-1.35048 # DEPENDENCYPART_ARC
(11,18),-2.37285 # DEPENDENCYPART_ARC
(11,20),-2.97306 # DEPENDENCYPART_ARC
(11,21),-3.07063 # DEPENDENCYPART_ARC
(11,22),-1.77597 # DEPENDENCYPART_ARC
(12,13),-1.96182 # DEPENDENCYPART_ARC
(13,10),-0.374542 # DEPENDENCYPART_ARC
(13,12),2.50243 # DEPENDENCYPART_ARC
(13,14),-1.17532 # DEPENDENCYPART_ARC
(13,15),-1.24693 # DEPENDENCYPART_ARC
(13,16),-1.16972 # DEPENDENCYPART_ARC
(13,17),-2.34342 # DEPENDENCYPART_ARC
(13,18),-1.22703 # DEPENDENCYPART_ARC
(13,20),-1.83205 # DEPENDENCYPART_ARC
(14,1),-2.04237 # DEPENDENCYPART_ARC
(14,4),-1.06074 # DEPENDENCYPART_ARC
(14,5),-0.841116 # DEPENDENCYPART_ARC
(14,9),-1.33059 # DEPENDENCYPART_ARC
(14,11),-1.0492 # DEPENDENCYPART_ARC
(14,12),-1.67271 # DEPENDENCYPART_ARC
(14,13),-1.58809 # DEPENDENCYPART_ARC
(14,16),-0.881086 # DEPENDENCYPART_ARC
(14,17),-1.92447 # DEPENDENCYPART_ARC
(14,18),-1.9923 # DEPENDENCYPART_ARC
(14,20),-1.53158 # DEPENDENCYPART_ARC
(14,22),-2.47871 # DEPENDENCYPART_ARC
(15,1),-0.671786 # DEPENDENCYPART_ARC
(15,2),-0.91398 # DEPENDENCYPART_ARC
(15,3),-1.83171 # DEPENDENCYPART_ARC
(15,4),-1.46169 # DEPENDENCYPART_ARC
(15,5),-0.879555 # DEPENDENCYPART_ARC
(15,6),-0.500053 # DEPENDENCYPART_ARC
(15,7),-1.16474 # DEPENDENCYPART_ARC
(15,8),-1.33794 # DEPENDENCYPART_ARC
(15,9),-0.0589906 # DEPENDENCYPART_ARC
(15,10),-0.313818 # DEPENDENCYPART_ARC
(15,11),0.369161 # DEPENDENCYPART_ARC
(15,12),-1.26233 # DEPENDENCYPART_ARC
(15,13),-1.13913 # DEPENDENCYPART_ARC
(15,14),1.63125 # DEPENDENCYPART_ARC
(15,16),0.00724756 # DEPENDENCYPART_ARC
(15,17),-0.855434 # DEPENDENCYPART_ARC
(15,18),-1.51108 # DEPENDENCYPART_ARC
(15,20),0.515177 # DEPENDENCYPART_ARC
(15,21),-2.15705 # DEPENDENCYPART_ARC
(15,22),-2.11933 # DEPENDENCYPART_ARC
(15,23),-0.802024 # DEPENDENCYPART_ARC
(16,14),-0.256923 # DEPENDENCYPART_ARC
(16,17),2.17221 # DEPENDENCYPART_ARC
(16,18),-2.04667 # DEPENDENCYPART_ARC
(16,22),-4.08259 # DEPENDENCYPART_ARC
(17,12),-3.09856 # DEPENDENCYPART_ARC
(17,15),-0.551986 # DEPENDENCYPART_ARC
(17,16),-0.406465 # DEPENDENCYPART_ARC
(17,18),1.98553 # DEPENDENCYPART_ARC
(17,20),-2.14418 # DEPENDENCYPART_ARC
(17,21),-3.76066 # DEPENDENCYPART_ARC
(17,22),-2.727 # DEPENDENCYPART_ARC
(18,13),-4.67565 # DEPENDENCYPART_ARC
(18,17),-2.33884 # DEPENDENCYPART_ARC
(18,20),-1.92067 # DEPENDENCYPART_ARC
(18,21),-4.16277 # DEPENDENCYPART_ARC
(18,22),-1.83998 # DEPENDENCYPART_ARC
(18,23),-1.33486 # DEPENDENCYPART_ARC
(19,18),-1.46043 # DEPENDENCYPART_ARC
(19,21),-2.78298 # DEPENDENCYPART_ARC
(19,22),-2.66992 # DEPENDENCYPART_ARC
(20,1),-4.81884 # DEPENDENCYPART_ARC
(20,2),-1.14101 # DEPENDENCYPART_ARC
(20,6),-1.55741 # DEPENDENCYPART_ARC
(20,7),-1.52326 # DEPENDENCYPART_ARC
(20,8),-1.60869 # DEPENDENCYPART_ARC
(20,9),-2.18169 # DEPENDENCYPART_ARC
(20,10),-0.495774 # DEPENDENCYPART_ARC
(20,11),-2.85988 # DEPENDENCYPART_ARC
(20,12),-3.59409 # DEPENDENCYPART_ARC
(20,13),-1.75213 # DEPENDENCYPART_ARC
(20,14),-0.117514 # DEPENDENCYPART_ARC
(20,15),-0.542746 # DEPENDENCYPART_ARC
(20,16),0.508151 # DEPENDENCYPART_ARC
(20,17),-0.396399 # DEPENDENCYPART_ARC
(20,18),-1.83732 # DEPENDENCYPART_ARC
(20,19),1.1043 # DEPENDENCYPART_ARC
(20,21),0.174706 # DEPENDENCYPART_ARC
(20,22),1.03152 # DEPENDENCYPART_ARC
(20,23),-0.9005 # DEPENDENCYPART_ARC
(21,16),-1.08955 # DEPENDENCYPART_ARC
(21,19),-0.759924 # DEPENDENCYPART_ARC
(21,22),-2.06888 # DEPENDENCYPART_ARC
(22,17),-3.95857 # DEPENDENCYPART_ARC
(22,18),-4.07805 # DEPENDENCYPART_ARC
(22,19),-3.63134 # DEPENDENCYPART_ARC
(22,21),2.09842 # DEPENDENCYPART_ARC
(22,23),-0.960776 # DEPENDENCYPART_ARC
(0,1),(0,2),-1.47069 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0844806 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.340461 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.644455 # DEPENDENCYPART_SIBL
(0,1),(0,6),-1.56644 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.973591 # DEPENDENCYPART_SIBL
(0,1),(0,11),-1.48633 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.340461 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.835082 # DEPENDENCYPART_SIBL
(0,1),(0,20),-1.48492 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.049301 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0881068 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.514756 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.697481 # DEPENDENCYPART_SIBL
(0,2),(0,6),-1.53677 # DEPENDENCYPART_SIBL
(0,2),(0,10),-1.0533 # DEPENDENCYPART_SIBL
(0,2),(0,11),-1.45819 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.514756 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.901111 # DEPENDENCYPART_SIBL
(0,2),(0,20),-1.45678 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.256024 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0205985 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.00347277 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.232524 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.198261 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.190923 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0205985 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0964311 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.190923 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.427043 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.00123668 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.4829 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.140416 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.410768 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.129028 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0988373 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.909118 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.708252 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.861016 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.326921 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.54653 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.861016 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.107484 # DEPENDENCYPART_SIBL
(0,6),(0,10),-1.05835 # DEPENDENCYPART_SIBL
(0,6),(0,11),-1.56832 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.327514 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.932857 # DEPENDENCYPART_SIBL
(0,6),(0,20),-1.5655 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0527541 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.898665 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.238729 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.538398 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.898665 # DEPENDENCYPART_SIBL
(0,10),(0,23),0.0494213 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.297953 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.826095 # DEPENDENCYPART_SIBL
(0,11),(0,20),-1.46321 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.00920815 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0988373 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.826154 # DEPENDENCYPART_SIBL
(0,15),(0,23),0.233903 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.285735 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.021876 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0454182 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0833737 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.304222 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.305587 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0962406 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0519574 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.094827 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.021876 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.00962266 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.031047 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.242145 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0174723 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.146883 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.146182 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.00675134 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.279846 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.00674951 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.031047 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.209036 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0763129 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.109235 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.137193 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.136517 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0901482 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.151673 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0923099 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.153906 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.116229 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.123704 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.159177 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.158502 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.103679 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.333092 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.103681 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0434232 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.277857 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0512357 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0526006 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.233921 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.153916 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.236744 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.00492394 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.141577 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.139474 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0199961 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.244818 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0199942 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0360931 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.179736 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0200264 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.244902 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0200246 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0361314 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.179899 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.158694 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.217563 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.00229235 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.129242 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.028603 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0788904 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.096371 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.00387347 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.129235 # DEPENDENCYPART_SIBL
(1,14),(1,15),-0.116229 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.038684 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00565234 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0710614 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.152901 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.136352 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0230204 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0120869 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.217226 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0308077 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.077534 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0809198 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0524267 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0261292 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0356791 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0129612 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0129165 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0852668 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0745107 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0756425 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0755986 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.308547 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00724228 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00685279 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.275754 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0809852 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.335118 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.335162 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0523115 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0319795 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0763267 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.810702 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0899792 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0261647 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.637654 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0244153 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0241216 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0683845 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.145906 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0982365 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.181596 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.215519 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.294776 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.298781 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.162256 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.10948 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.171647 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.101235 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.120637 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.163489 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.131326 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.317841 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.314832 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.349947 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.353952 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.244513 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.150285 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.253904 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.119993 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.152846 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.245747 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.163353 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.1869 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0399742 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0420244 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.130546 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00100694 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.136842 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0342873 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0134628 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.132245 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00867451 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.366176 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.365903 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0156585 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0733479 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00687648 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0681205 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.115145 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.00625765 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.146263 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.145956 # DEPENDENCYPART_SIBL
(5,6),(5,9),-1.15415 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.863536 # DEPENDENCYPART_SIBL
(5,6),(5,11),-1.16229 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.00260808 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.670273 # DEPENDENCYPART_SIBL
(5,6),(5,20),-1.15415 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0844465 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.495855 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.410833 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.498345 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0418385 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.264098 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.495855 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.495892 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.410984 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.498383 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0419447 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.264329 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.495892 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.81403 # DEPENDENCYPART_SIBL
(5,9),(5,11),-1.12322 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.013531 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.615293 # DEPENDENCYPART_SIBL
(5,9),(5,20),-1.11791 # DEPENDENCYPART_SIBL
