# _root_ Přestože je chemická struktura molekuly známa již od let sedmdesátých , nenašli chemici levný způsob , jak tuto molekulu syntetizovat .
#goldHeads=12,1,4,2,4,2,9,2,8,9,1,0,12,15,12,20,20,19,20,15,0,
#predictedHeads=12,1,4,2,4,2,9,12,8,9,1,0,12,15,12,20,20,19,20,15,0,
(4,14),-3.46443 # DEPENDENCYPART_ARC
(4,20),-1.9538 # DEPENDENCYPART_ARC
(5,1),-1.40963 # DEPENDENCYPART_ARC
(5,3),-1.22504 # DEPENDENCYPART_ARC
(5,4),-2.12152 # DEPENDENCYPART_ARC
(5,6),-0.902546 # DEPENDENCYPART_ARC
(5,7),-1.11773 # DEPENDENCYPART_ARC
(5,8),-1.11026 # DEPENDENCYPART_ARC
(5,9),-0.606701 # DEPENDENCYPART_ARC
(5,10),-1.07674 # DEPENDENCYPART_ARC
(5,11),-1.28626 # DEPENDENCYPART_ARC
(5,12),-2.01071 # DEPENDENCYPART_ARC
(5,15),-3.85407 # DEPENDENCYPART_ARC
(6,4),-1.09692 # DEPENDENCYPART_ARC
(6,5),-0.710604 # DEPENDENCYPART_ARC
(6,7),0.228261 # DEPENDENCYPART_ARC
(6,8),-0.298242 # DEPENDENCYPART_ARC
(6,9),-0.304355 # DEPENDENCYPART_ARC
(6,11),-0.507382 # DEPENDENCYPART_ARC
(6,16),-0.724259 # DEPENDENCYPART_ARC
(6,20),0.395602 # DEPENDENCYPART_ARC
(6,21),-1.42846 # DEPENDENCYPART_ARC
(7,2),-2.00993 # DEPENDENCYPART_ARC
(7,4),-2.1225 # DEPENDENCYPART_ARC
(7,5),-1.97933 # DEPENDENCYPART_ARC
(7,8),-1.06014 # DEPENDENCYPART_ARC
(7,9),-1.96022 # DEPENDENCYPART_ARC
(8,7),-0.768884 # DEPENDENCYPART_ARC
(8,9),2.16797 # DEPENDENCYPART_ARC
(8,10),-0.745066 # DEPENDENCYPART_ARC
(8,11),-0.877154 # DEPENDENCYPART_ARC
(8,13),-3.92731 # DEPENDENCYPART_ARC
(9,1),-1.97684 # DEPENDENCYPART_ARC
(9,6),-4.06152 # DEPENDENCYPART_ARC
(9,7),-0.317587 # DEPENDENCYPART_ARC
(9,8),-1.03634 # DEPENDENCYPART_ARC
(9,10),1.01763 # DEPENDENCYPART_ARC
(9,12),-1.78571 # DEPENDENCYPART_ARC
(9,13),-3.42688 # DEPENDENCYPART_ARC
(9,14),-3.66061 # DEPENDENCYPART_ARC
(9,15),-4.0935 # DEPENDENCYPART_ARC
(9,17),-1.63245 # DEPENDENCYPART_ARC
(9,19),-4.65905 # DEPENDENCYPART_ARC
(10,8),-1.05683 # DEPENDENCYPART_ARC
(10,9),-0.380483 # DEPENDENCYPART_ARC
(10,11),-1.222 # DEPENDENCYPART_ARC
(10,12),-2.36113 # DEPENDENCYPART_ARC
(11,1),-1.03617 # DEPENDENCYPART_ARC
(11,2),-0.906722 # DEPENDENCYPART_ARC
(11,3),-2.0139 # DEPENDENCYPART_ARC
(11,4),-1.4985 # DEPENDENCYPART_ARC
(11,5),-1.55114 # DEPENDENCYPART_ARC
(11,6),-1.85309 # DEPENDENCYPART_ARC
(11,7),-1.0317 # DEPENDENCYPART_ARC
(11,8),-0.957285 # DEPENDENCYPART_ARC
(11,9),-1.26761 # DEPENDENCYPART_ARC
(11,10),-0.922946 # DEPENDENCYPART_ARC
(11,12),-0.617857 # DEPENDENCYPART_ARC
(11,13),-1.50782 # DEPENDENCYPART_ARC
(11,14),-1.81849 # DEPENDENCYPART_ARC
(11,15),-2.06273 # DEPENDENCYPART_ARC
(11,16),-1.00752 # DEPENDENCYPART_ARC
(12,1),0.595671 # DEPENDENCYPART_ARC
(12,2),-1.83943 # DEPENDENCYPART_ARC
(12,3),-3.42251 # DEPENDENCYPART_ARC
(12,4),-1.72711 # DEPENDENCYPART_ARC
(12,5),-3.2906 # DEPENDENCYPART_ARC
(12,6),-2.3422 # DEPENDENCYPART_ARC
(12,7),-0.535401 # DEPENDENCYPART_ARC
(12,8),0.060237 # DEPENDENCYPART_ARC
(12,9),-2.15122 # DEPENDENCYPART_ARC
(12,10),-2.21404 # DEPENDENCYPART_ARC
(12,11),-0.350959 # DEPENDENCYPART_ARC
(12,13),1.17897 # DEPENDENCYPART_ARC
(12,14),-1.45833 # DEPENDENCYPART_ARC
(12,15),1.11106 # DEPENDENCYPART_ARC
(12,16),-0.375255 # DEPENDENCYPART_ARC
(12,17),-0.975337 # DEPENDENCYPART_ARC
(12,18),-2.14305 # DEPENDENCYPART_ARC
(12,19),-0.565386 # DEPENDENCYPART_ARC
(12,20),1.10612 # DEPENDENCYPART_ARC
(12,21),-1.2382 # DEPENDENCYPART_ARC
(13,10),-1.08326 # DEPENDENCYPART_ARC
(13,14),-2.19744 # DEPENDENCYPART_ARC
(13,15),-2.3116 # DEPENDENCYPART_ARC
(13,16),-1.08577 # DEPENDENCYPART_ARC
(13,17),-1.06011 # DEPENDENCYPART_ARC
(13,18),-2.46983 # DEPENDENCYPART_ARC
(13,19),-3.97361 # DEPENDENCYPART_ARC
(13,20),-1.80616 # DEPENDENCYPART_ARC
(14,13),-2.33026 # DEPENDENCYPART_ARC
(14,15),-1.13428 # DEPENDENCYPART_ARC
(14,17),-1.29111 # DEPENDENCYPART_ARC
(14,18),-2.98305 # DEPENDENCYPART_ARC
(14,19),-2.60098 # DEPENDENCYPART_ARC
(15,7),-0.879982 # DEPENDENCYPART_ARC
(15,10),-1.28931 # DEPENDENCYPART_ARC
(15,13),-2.86918 # DEPENDENCYPART_ARC
(15,14),2.90825 # DEPENDENCYPART_ARC
(15,16),-0.976104 # DEPENDENCYPART_ARC
(15,17),-1.17943 # DEPENDENCYPART_ARC
(15,18),-1.88499 # DEPENDENCYPART_ARC
(15,19),-2.75501 # DEPENDENCYPART_ARC
(15,20),0.599905 # DEPENDENCYPART_ARC
(15,21),-1.66997 # DEPENDENCYPART_ARC
(16,1),-1.44247 # DEPENDENCYPART_ARC
(16,2),-1.88383 # DEPENDENCYPART_ARC
(16,4),-2.28669 # DEPENDENCYPART_ARC
(16,5),-2.39591 # DEPENDENCYPART_ARC
(16,7),-1.452 # DEPENDENCYPART_ARC
(16,11),-0.917233 # DEPENDENCYPART_ARC
(16,12),-0.751877 # DEPENDENCYPART_ARC
(16,13),-1.15477 # DEPENDENCYPART_ARC
(16,14),-1.5567 # DEPENDENCYPART_ARC
(16,15),-1.17363 # DEPENDENCYPART_ARC
(16,17),-1.31012 # DEPENDENCYPART_ARC
(16,18),-1.78367 # DEPENDENCYPART_ARC
(16,19),-1.95811 # DEPENDENCYPART_ARC
(16,20),-1.51582 # DEPENDENCYPART_ARC
(16,21),-1.48248 # DEPENDENCYPART_ARC
(17,2),-2.01631 # DEPENDENCYPART_ARC
(17,13),-1.69854 # DEPENDENCYPART_ARC
(17,14),-1.85461 # DEPENDENCYPART_ARC
(17,15),-1.35064 # DEPENDENCYPART_ARC
(17,16),-0.716925 # DEPENDENCYPART_ARC
(17,18),-1.13151 # DEPENDENCYPART_ARC
(17,19),-1.62715 # DEPENDENCYPART_ARC
(17,21),-1.00916 # DEPENDENCYPART_ARC
(18,17),-0.674588 # DEPENDENCYPART_ARC
(18,19),-1.35997 # DEPENDENCYPART_ARC
(18,21),-1.21612 # DEPENDENCYPART_ARC
(19,10),-2.07043 # DEPENDENCYPART_ARC
(19,14),-1.31417 # DEPENDENCYPART_ARC
(19,17),-0.448335 # DEPENDENCYPART_ARC
(19,18),2.95604 # DEPENDENCYPART_ARC
(19,20),0.214858 # DEPENDENCYPART_ARC
(19,21),-1.25647 # DEPENDENCYPART_ARC
(20,1),0.419141 # DEPENDENCYPART_ARC
(20,2),-2.78687 # DEPENDENCYPART_ARC
(20,4),-2.12351 # DEPENDENCYPART_ARC
(20,5),-2.27234 # DEPENDENCYPART_ARC
(20,8),-0.581718 # DEPENDENCYPART_ARC
(20,9),-1.93113 # DEPENDENCYPART_ARC
(20,11),-2.14839 # DEPENDENCYPART_ARC
(20,12),-2.45666 # DEPENDENCYPART_ARC
(20,13),-1.5541 # DEPENDENCYPART_ARC
(20,15),-0.299651 # DEPENDENCYPART_ARC
(20,16),-0.327949 # DEPENDENCYPART_ARC
(20,17),0.513071 # DEPENDENCYPART_ARC
(20,18),1.47872 # DEPENDENCYPART_ARC
(20,19),2.11343 # DEPENDENCYPART_ARC
(20,21),-0.858088 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.920494 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.189661 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.119682 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.472035 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.877201 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.472035 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.877201 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.274324 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.332393 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.143572 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.327514 # DEPENDENCYPART_SIBL
(0,2),(0,12),-1.5655 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.327514 # DEPENDENCYPART_SIBL
(0,2),(0,20),-1.5655 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0527541 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0207947 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0792367 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.360576 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0792367 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.360576 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.303992 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.036333 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.384937 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.036333 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.384937 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.251262 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.408609 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.129028 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.133324 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.315472 # DEPENDENCYPART_SIBL
(0,12),(0,20),-1.47079 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.0343037 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.133324 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0812766 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00281922 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00244199 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0812783 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.144201 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.795245 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.144201 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.797506 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.0314359 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.133356 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.133363 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.250392 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.00637169 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.363144 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.00637169 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.365404 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.12769 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0666372 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0169753 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0255162 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.334849 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0255162 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.341632 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.196076 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0291429 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0268824 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.349261 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0268824 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.356043 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.193289 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.00795128 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.363179 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.00795128 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.36544 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.128815 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.345909 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.354157 # DEPENDENCYPART_SIBL
(1,11),(1,20),-0.34817 # DEPENDENCYPART_SIBL
(1,11),(1,21),-0.189148 # DEPENDENCYPART_SIBL
(1,12),(1,16),0.130576 # DEPENDENCYPART_SIBL
(1,12),(1,20),-0.781578 # DEPENDENCYPART_SIBL
(1,12),(1,21),0.00644601 # DEPENDENCYPART_SIBL
(1,16),(1,20),-0.34817 # DEPENDENCYPART_SIBL
(1,16),(1,21),-0.189148 # DEPENDENCYPART_SIBL
(1,20),(1,21),0.0140496 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0399812 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0010813 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0254259 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0114225 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0877609 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.077976 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00614874 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.00508072 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0260838 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0887933 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.00208863 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0399812 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.010348 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0260838 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0493261 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.000120707 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0887933 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0853493 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.100515 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.43196 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.137546 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0411618 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.103424 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.126972 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0259631 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.114892 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0923542 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.428754 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.102806 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0259631 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.153758 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0923748 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.114892 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.145856 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00995818 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.131983 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00494923 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.170191 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0249827 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00935624 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.000405972 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.136607 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.00674901 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.141347 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.00935624 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.13097 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.136666 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0026669 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00615443 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.118385 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0253992 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.147896 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0120434 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0187873 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.00717333 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.114313 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00294526 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.119052 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0187873 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.117371 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.114372 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0049124 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.141973 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.00418882 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.100192 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.125085 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0276056 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.117284 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0891221 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.426259 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0995743 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0276056 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.158186 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0891427 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.117284 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0353984 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.031724 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0116976 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.013624 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0499523 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.00845791 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0547652 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0256138 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.013624 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0711408 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.00847863 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0499523 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.106429 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0237112 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0108367 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0285201 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.114163 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0943173 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.102938 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0108367 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0429112 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.114143 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0285201 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0297581 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0232596 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0131883 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.146265 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.00825454 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.151005 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0232596 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.129065 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.146324 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0154493 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0459205 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0389171 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.1105 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.124075 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.120114 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0459205 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.117239 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.11052 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.0389171 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0901423 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.115513 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.109295 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.127193 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.163659 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0991657 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.115533 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.0901423 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0405857 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.127352 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0164362 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.013031 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0578976 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0405626 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.238667 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0057704 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.138585 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.00734954 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.129979 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.133904 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.0068145 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.102806 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0259631 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.153758 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0923748 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.114892 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0442303 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.152388 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.16248 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.0314942 # DEPENDENCYPART_SIBL
(2,16),(2,17),-0.0991657 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.115533 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.0901423 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.0110663 # DEPENDENCYPART_SIBL
(2,17),(2,20),0.0179469 # DEPENDENCYPART_SIBL
(2,19),(2,20),-0.0102898 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0648518 # DEPENDENCYPART_SIBL
(3,1),(3,4),4.07669e-05 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00431617 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0285149 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0249022 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.112659 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.214221 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.159401 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0576627 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.020471 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0801858 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0680716 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0613784 # DEPENDENCYPART_SIBL
