# _root_ Jde zhruba o polovinu Afriky , velkou část Asie , Jižní a Střední Ameriku a Irsko .
#goldHeads=0,4,1,15,4,15,8,15,8,15,12,14,12,15,3,15,0,
#predictedHeads=0,1,1,3,4,15,8,15,8,15,12,14,12,15,3,15,0,
(6,15),-0.794779 # DEPENDENCYPART_ARC
(6,16),-2.36843 # DEPENDENCYPART_ARC
(7,1),-3.06185 # DEPENDENCYPART_ARC
(7,6),-0.324438 # DEPENDENCYPART_ARC
(7,8),-1.54114 # DEPENDENCYPART_ARC
(7,9),-1.59664 # DEPENDENCYPART_ARC
(7,17),-1.53893 # DEPENDENCYPART_ARC
(8,1),-2.14581 # DEPENDENCYPART_ARC
(8,2),-1.03507 # DEPENDENCYPART_ARC
(8,3),-1.51317 # DEPENDENCYPART_ARC
(8,5),-2.78347 # DEPENDENCYPART_ARC
(8,6),-0.642991 # DEPENDENCYPART_ARC
(8,7),2.00524 # DEPENDENCYPART_ARC
(8,9),2.76773 # DEPENDENCYPART_ARC
(8,10),-1.01076 # DEPENDENCYPART_ARC
(8,11),-0.127504 # DEPENDENCYPART_ARC
(8,12),-0.478995 # DEPENDENCYPART_ARC
(8,13),-0.834496 # DEPENDENCYPART_ARC
(8,14),-1.95643 # DEPENDENCYPART_ARC
(8,15),-0.296263 # DEPENDENCYPART_ARC
(8,16),-2.69781 # DEPENDENCYPART_ARC
(9,4),-3.83784 # DEPENDENCYPART_ARC
(9,5),-2.82164 # DEPENDENCYPART_ARC
(9,7),-0.68918 # DEPENDENCYPART_ARC
(9,8),-1.97771 # DEPENDENCYPART_ARC
(9,10),-1.68119 # DEPENDENCYPART_ARC
(9,11),-2.70653 # DEPENDENCYPART_ARC
(9,12),-1.37704 # DEPENDENCYPART_ARC
(9,13),-3.69756 # DEPENDENCYPART_ARC
(9,14),-4.58622 # DEPENDENCYPART_ARC
(9,15),-1.7508 # DEPENDENCYPART_ARC
(9,16),-5.48989 # DEPENDENCYPART_ARC
(10,1),-1.09385 # DEPENDENCYPART_ARC
(10,2),-1.1962 # DEPENDENCYPART_ARC
(10,3),-1.17063 # DEPENDENCYPART_ARC
(10,4),-1.24511 # DEPENDENCYPART_ARC
(10,5),-1.2304 # DEPENDENCYPART_ARC
(10,6),-0.326627 # DEPENDENCYPART_ARC
(10,7),-1.35977 # DEPENDENCYPART_ARC
(10,8),-1.10971 # DEPENDENCYPART_ARC
(10,9),-0.291387 # DEPENDENCYPART_ARC
(10,11),-1.41462 # DEPENDENCYPART_ARC
(10,12),-0.956526 # DEPENDENCYPART_ARC
(10,13),-1.99064 # DEPENDENCYPART_ARC
(10,14),-1.3311 # DEPENDENCYPART_ARC
(10,15),-0.961147 # DEPENDENCYPART_ARC
(10,16),-1.88165 # DEPENDENCYPART_ARC
(10,17),-1.29875 # DEPENDENCYPART_ARC
(11,9),-2.36296 # DEPENDENCYPART_ARC
(11,10),-0.177247 # DEPENDENCYPART_ARC
(11,14),-2.98144 # DEPENDENCYPART_ARC
(11,16),-2.81598 # DEPENDENCYPART_ARC
(11,17),-1.5083 # DEPENDENCYPART_ARC
(12,1),-0.921877 # DEPENDENCYPART_ARC
(12,2),-0.850426 # DEPENDENCYPART_ARC
(12,3),-1.03024 # DEPENDENCYPART_ARC
(12,4),-0.750205 # DEPENDENCYPART_ARC
(12,5),-0.554304 # DEPENDENCYPART_ARC
(12,6),-0.0154557 # DEPENDENCYPART_ARC
(12,7),-1.12557 # DEPENDENCYPART_ARC
(12,8),-0.346827 # DEPENDENCYPART_ARC
(12,9),-0.152645 # DEPENDENCYPART_ARC
(12,10),0.43091 # DEPENDENCYPART_ARC
(12,11),1.96502 # DEPENDENCYPART_ARC
(12,13),3.05931 # DEPENDENCYPART_ARC
(12,14),-0.332221 # DEPENDENCYPART_ARC
(12,15),-0.453781 # DEPENDENCYPART_ARC
(12,16),-1.2659 # DEPENDENCYPART_ARC
(12,17),-1.12602 # DEPENDENCYPART_ARC
(13,14),-1.60083 # DEPENDENCYPART_ARC
(14,7),-1.12962 # DEPENDENCYPART_ARC
(14,11),-0.891132 # DEPENDENCYPART_ARC
(14,12),0.215588 # DEPENDENCYPART_ARC
(14,13),1.71986 # DEPENDENCYPART_ARC
(14,16),-3.68335 # DEPENDENCYPART_ARC
(15,1),-0.53091 # DEPENDENCYPART_ARC
(15,2),-0.905203 # DEPENDENCYPART_ARC
(15,3),-1.41945 # DEPENDENCYPART_ARC
(15,4),-0.874818 # DEPENDENCYPART_ARC
(15,5),-0.057783 # DEPENDENCYPART_ARC
(15,6),0.130725 # DEPENDENCYPART_ARC
(15,7),-1.3907 # DEPENDENCYPART_ARC
(15,8),-0.42642 # DEPENDENCYPART_ARC
(15,9),0.0767154 # DEPENDENCYPART_ARC
(15,10),0.163359 # DEPENDENCYPART_ARC
(15,11),-0.857256 # DEPENDENCYPART_ARC
(15,12),-0.0751285 # DEPENDENCYPART_ARC
(15,13),0.261125 # DEPENDENCYPART_ARC
(15,14),2.29906 # DEPENDENCYPART_ARC
(15,16),2.23478 # DEPENDENCYPART_ARC
(15,17),-0.969859 # DEPENDENCYPART_ARC
(16,17),-0.783926 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.253185 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.200883 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0651846 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0646426 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.307116 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.307116 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.981425 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.981425 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0134098 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.178883 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.306355 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.310088 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.173893 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.173893 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.172289 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.172289 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.12025 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.226307 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.226462 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0665988 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0665988 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.181206 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.181206 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.316417 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0333197 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0209556 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0209556 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.180909 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.180909 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.417291 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0233167 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0233167 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.18225 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.18225 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.418728 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.129028 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.140416 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.140416 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.140416 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.140416 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.747338 # DEPENDENCYPART_SIBL
(0,12),(0,17),0.0494213 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.0494213 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00947765 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.120053 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.107865 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0706436 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.00861638 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0944216 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.107861 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0706436 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.00769988 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.175407 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.107872 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.175407 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0978601 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.141949 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.365576 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.359012 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.129814 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.23315 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.351598 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.357744 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.129814 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.231509 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.392217 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.35772 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.392217 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.34972 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.202376 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.14154 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00815071 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00967799 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.130311 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.141407 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.00815071 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0104579 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.257382 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.139861 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.257382 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.136691 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.11977 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00619009 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0102314 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.126642 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.137737 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.00619009 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0110113 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.260029 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.136191 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.260029 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.133021 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.121012 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0646235 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.162721 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.144426 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.115367 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0641036 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.166489 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.144443 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.166489 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.140201 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.114991 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.134904 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.136474 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0331189 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.319209 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0856537 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.13649 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0856537 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.132252 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.148207 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.12679 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0321109 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0233146 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.24775 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.125244 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.24775 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.122074 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.108349 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.00892297 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0109841 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.25985 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.132239 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.25985 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.129069 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.119298 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0641036 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.166489 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.144443 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.166489 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.140201 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.114991 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.085158 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.135042 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.085158 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.130803 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.146265 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.0418934 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.254249 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.0376526 # DEPENDENCYPART_SIBL
(1,12),(1,17),0.0706722 # DEPENDENCYPART_SIBL
(1,14),(1,15),-0.259356 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.13249 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.121818 # DEPENDENCYPART_SIBL
(1,15),(1,16),-0.0376526 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.0706722 # DEPENDENCYPART_SIBL
(1,16),(1,17),-0.120603 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0315052 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0434242 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0477501 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0924881 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0952623 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.075877 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0912587 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.075877 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0198407 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0198407 # DEPENDENCYPART_SIBL
(3,4),(3,5),-1.39974 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.345029 # DEPENDENCYPART_SIBL
(3,4),(3,8),-1.3948 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.345029 # DEPENDENCYPART_SIBL
(3,4),(3,12),-1.37984 # DEPENDENCYPART_SIBL
(3,4),(3,15),-1.37984 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.3481 # DEPENDENCYPART_SIBL
(3,5),(3,8),-1.39306 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.3481 # DEPENDENCYPART_SIBL
(3,5),(3,12),-1.38149 # DEPENDENCYPART_SIBL
(3,5),(3,15),-1.38149 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.589374 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.197465 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.521051 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.521051 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.341687 # DEPENDENCYPART_SIBL
(3,8),(3,12),-1.38067 # DEPENDENCYPART_SIBL
(3,8),(3,15),-1.38067 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.521051 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.521051 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.740237 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.110978 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.159562 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0501797 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0221796 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.120302 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0477712 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0670287 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0221796 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.120736 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0516524 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.058294 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0516524 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0671681 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0249409 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0860254 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0018276 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0241036 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0756229 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.065207 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0018276 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0244365 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.02024 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0798286 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.02024 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.069454 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.188782 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0835483 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.19648 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.199946 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.204699 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0835483 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.19629 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0506016 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.195712 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0506016 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.205184 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0457079 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0254512 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0645001 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0719682 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0457079 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0276763 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.310739 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0672904 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.310739 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0678282 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0158017 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.030709 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0107141 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00446913 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0174333 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.077498 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0091568 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.077498 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00915852 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0308784 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0312467 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0176965 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.110385 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.11626 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0296894 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.11626 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0296967 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0723534 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0396226 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0309043 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.309698 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0676756 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.309698 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0682134 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0354077 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0353486 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.302771 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.051671 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.302771 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0522088 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0174333 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.077498 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0091568 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.077498 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00915852 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.116616 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0292552 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.116616 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0292626 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.00900279 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.253185 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.00900492 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.309884 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0671518 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.00900492 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.110979 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.159517 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.233843 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0221876 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.120052 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0549336 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0741912 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.120485 # DEPENDENCYPART_SIBL
