# _root_ Neuspěje - li ani do této doby , je to signál , že cena byla špatně stanovena a je na místě úvaha o jejím snížení .
#goldHeads=3,3,9,7,1,7,5,3,0,9,9,13,11,17,17,17,18,13,18,19,20,19,22,25,23,0,
#predictedHeads=3,3,9,7,1,7,5,3,0,9,9,13,11,15,18,17,18,13,18,19,20,19,22,25,23,0,
(3,4),-0.53025 # DEPENDENCYPART_ARC
(3,5),-1.50625 # DEPENDENCYPART_ARC
(3,8),-0.25262 # DEPENDENCYPART_ARC
(3,9),-1.28554 # DEPENDENCYPART_ARC
(3,12),-0.576348 # DEPENDENCYPART_ARC
(3,18),-0.955393 # DEPENDENCYPART_ARC
(4,1),-1.01692 # DEPENDENCYPART_ARC
(4,2),-0.518763 # DEPENDENCYPART_ARC
(4,3),-0.48136 # DEPENDENCYPART_ARC
(4,5),-0.736826 # DEPENDENCYPART_ARC
(4,6),-1.65737 # DEPENDENCYPART_ARC
(4,7),-2.16062 # DEPENDENCYPART_ARC
(4,8),-0.882662 # DEPENDENCYPART_ARC
(4,9),-0.977929 # DEPENDENCYPART_ARC
(4,10),-2.5057 # DEPENDENCYPART_ARC
(4,12),-1.73521 # DEPENDENCYPART_ARC
(4,18),-0.969093 # DEPENDENCYPART_ARC
(5,2),-0.582896 # DEPENDENCYPART_ARC
(5,6),0.281056 # DEPENDENCYPART_ARC
(5,7),0.958564 # DEPENDENCYPART_ARC
(5,8),-0.768681 # DEPENDENCYPART_ARC
(5,11),-3.9078 # DEPENDENCYPART_ARC
(6,1),-1.9273 # DEPENDENCYPART_ARC
(6,4),-1.0514 # DEPENDENCYPART_ARC
(6,13),-1.26482 # DEPENDENCYPART_ARC
(7,2),-1.12699 # DEPENDENCYPART_ARC
(7,3),-0.745735 # DEPENDENCYPART_ARC
(7,4),0.161736 # DEPENDENCYPART_ARC
(7,6),2.99242 # DEPENDENCYPART_ARC
(7,13),-1.84003 # DEPENDENCYPART_ARC
(8,1),-0.920805 # DEPENDENCYPART_ARC
(8,2),-1.20426 # DEPENDENCYPART_ARC
(8,3),-0.993842 # DEPENDENCYPART_ARC
(8,4),-0.951024 # DEPENDENCYPART_ARC
(8,5),-1.13033 # DEPENDENCYPART_ARC
(8,6),-1.35666 # DEPENDENCYPART_ARC
(8,7),-1.32188 # DEPENDENCYPART_ARC
(8,9),-0.889337 # DEPENDENCYPART_ARC
(8,10),-1.58275 # DEPENDENCYPART_ARC
(8,11),-1.68481 # DEPENDENCYPART_ARC
(8,12),-0.601116 # DEPENDENCYPART_ARC
(9,1),-2.61076 # DEPENDENCYPART_ARC
(9,2),-1.59948 # DEPENDENCYPART_ARC
(9,3),-0.49531 # DEPENDENCYPART_ARC
(9,4),-1.18824 # DEPENDENCYPART_ARC
(9,5),-0.737815 # DEPENDENCYPART_ARC
(9,6),-3.79063 # DEPENDENCYPART_ARC
(9,7),-2.76415 # DEPENDENCYPART_ARC
(9,8),-0.60078 # DEPENDENCYPART_ARC
(9,10),2.13966 # DEPENDENCYPART_ARC
(9,11),1.69688 # DEPENDENCYPART_ARC
(9,12),-0.472981 # DEPENDENCYPART_ARC
(9,13),-0.0338524 # DEPENDENCYPART_ARC
(9,14),-1.4296 # DEPENDENCYPART_ARC
(9,15),-1.69334 # DEPENDENCYPART_ARC
(9,16),-1.50721 # DEPENDENCYPART_ARC
(9,17),-0.507633 # DEPENDENCYPART_ARC
(9,18),-1.02395 # DEPENDENCYPART_ARC
(9,19),-3.48023 # DEPENDENCYPART_ARC
(9,20),-2.34604 # DEPENDENCYPART_ARC
(10,11),-1.53879 # DEPENDENCYPART_ARC
(10,13),-0.99921 # DEPENDENCYPART_ARC
(10,14),-2.0278 # DEPENDENCYPART_ARC
(10,17),-2.15591 # DEPENDENCYPART_ARC
(11,6),-1.87343 # DEPENDENCYPART_ARC
(11,10),-0.00163522 # DEPENDENCYPART_ARC
(11,13),-0.848345 # DEPENDENCYPART_ARC
(11,14),-1.78153 # DEPENDENCYPART_ARC
(11,15),-2.08951 # DEPENDENCYPART_ARC
(11,17),-2.67572 # DEPENDENCYPART_ARC
(11,18),-1.49105 # DEPENDENCYPART_ARC
(12,1),-1.85286 # DEPENDENCYPART_ARC
(12,2),-1.47412 # DEPENDENCYPART_ARC
(12,8),-0.666942 # DEPENDENCYPART_ARC
(12,9),-0.631695 # DEPENDENCYPART_ARC
(12,10),-1.49695 # DEPENDENCYPART_ARC
(12,11),-1.33029 # DEPENDENCYPART_ARC
(12,14),-1.88169 # DEPENDENCYPART_ARC
(12,15),-1.475 # DEPENDENCYPART_ARC
(12,16),-1.72945 # DEPENDENCYPART_ARC
(12,17),-2.26703 # DEPENDENCYPART_ARC
(12,18),-1.01483 # DEPENDENCYPART_ARC
(12,19),-3.05236 # DEPENDENCYPART_ARC
(13,1),-2.98363 # DEPENDENCYPART_ARC
(13,7),-1.7264 # DEPENDENCYPART_ARC
(13,8),-1.22995 # DEPENDENCYPART_ARC
(13,9),-1.73035 # DEPENDENCYPART_ARC
(13,11),-1.08811 # DEPENDENCYPART_ARC
(13,12),1.54977 # DEPENDENCYPART_ARC
(13,14),-1.22485 # DEPENDENCYPART_ARC
(13,15),1.09695 # DEPENDENCYPART_ARC
(13,16),-1.79001 # DEPENDENCYPART_ARC
(13,17),-0.476478 # DEPENDENCYPART_ARC
(13,18),0.131806 # DEPENDENCYPART_ARC
(13,19),-1.64873 # DEPENDENCYPART_ARC
(13,20),-2.39409 # DEPENDENCYPART_ARC
(13,23),-2.6178 # DEPENDENCYPART_ARC
(14,13),-1.49771 # DEPENDENCYPART_ARC
(14,15),-1.34047 # DEPENDENCYPART_ARC
(14,16),-1.5528 # DEPENDENCYPART_ARC
(14,17),-2.27632 # DEPENDENCYPART_ARC
(14,23),-1.7722 # DEPENDENCYPART_ARC
(15,3),-1.29073 # DEPENDENCYPART_ARC
(15,5),-2.10826 # DEPENDENCYPART_ARC
(15,7),-3.71759 # DEPENDENCYPART_ARC
(15,9),-1.72894 # DEPENDENCYPART_ARC
(15,10),-1.54902 # DEPENDENCYPART_ARC
(15,11),-1.32265 # DEPENDENCYPART_ARC
(15,12),-1.27682 # DEPENDENCYPART_ARC
(15,13),-1.79233 # DEPENDENCYPART_ARC
(15,14),1.00493 # DEPENDENCYPART_ARC
(15,16),-0.285496 # DEPENDENCYPART_ARC
(15,17),-0.281555 # DEPENDENCYPART_ARC
(15,18),-1.01549 # DEPENDENCYPART_ARC
(15,19),-2.56053 # DEPENDENCYPART_ARC
(15,20),-1.52744 # DEPENDENCYPART_ARC
(15,21),-3.25695 # DEPENDENCYPART_ARC
(15,22),-1.28497 # DEPENDENCYPART_ARC
(15,23),-1.78266 # DEPENDENCYPART_ARC
(15,25),-3.09719 # DEPENDENCYPART_ARC
(16,14),-1.76404 # DEPENDENCYPART_ARC
(16,15),-1.56255 # DEPENDENCYPART_ARC
(16,19),-2.36342 # DEPENDENCYPART_ARC
(16,20),-1.84388 # DEPENDENCYPART_ARC
(16,23),-2.16489 # DEPENDENCYPART_ARC
(17,4),-1.62442 # DEPENDENCYPART_ARC
(17,5),-1.25073 # DEPENDENCYPART_ARC
(17,7),-3.48108 # DEPENDENCYPART_ARC
(17,9),-1.04012 # DEPENDENCYPART_ARC
(17,10),-1.71271 # DEPENDENCYPART_ARC
(17,11),-1.45234 # DEPENDENCYPART_ARC
(17,12),-1.94002 # DEPENDENCYPART_ARC
(17,13),-1.65013 # DEPENDENCYPART_ARC
(17,14),0.133304 # DEPENDENCYPART_ARC
(17,15),2.08808 # DEPENDENCYPART_ARC
(17,16),1.18285 # DEPENDENCYPART_ARC
(17,19),-2.37402 # DEPENDENCYPART_ARC
(17,20),-1.44624 # DEPENDENCYPART_ARC
(17,21),-2.81991 # DEPENDENCYPART_ARC
(17,22),-1.93053 # DEPENDENCYPART_ARC
(17,23),-1.94721 # DEPENDENCYPART_ARC
(17,25),-2.96914 # DEPENDENCYPART_ARC
(18,1),-1.59782 # DEPENDENCYPART_ARC
(18,2),-0.672132 # DEPENDENCYPART_ARC
(18,3),-0.413168 # DEPENDENCYPART_ARC
(18,4),-1.02788 # DEPENDENCYPART_ARC
(18,5),-1.11796 # DEPENDENCYPART_ARC
(18,6),-1.3375 # DEPENDENCYPART_ARC
(18,7),-1.40156 # DEPENDENCYPART_ARC
(18,8),-0.609374 # DEPENDENCYPART_ARC
(18,9),-0.373365 # DEPENDENCYPART_ARC
(18,10),-0.767529 # DEPENDENCYPART_ARC
(18,11),-1.09479 # DEPENDENCYPART_ARC
(18,12),-0.483937 # DEPENDENCYPART_ARC
(18,13),-0.392445 # DEPENDENCYPART_ARC
(18,14),0.189651 # DEPENDENCYPART_ARC
(18,15),1.26976 # DEPENDENCYPART_ARC
(18,16),0.169437 # DEPENDENCYPART_ARC
(18,17),2.49125 # DEPENDENCYPART_ARC
(18,19),2.11922 # DEPENDENCYPART_ARC
(18,20),-0.292698 # DEPENDENCYPART_ARC
(18,21),-1.13808 # DEPENDENCYPART_ARC
(18,22),-1.25819 # DEPENDENCYPART_ARC
(18,23),-1.16448 # DEPENDENCYPART_ARC
(18,25),-2.37377 # DEPENDENCYPART_ARC
(18,26),-0.771891 # DEPENDENCYPART_ARC
(19,3),-1.15525 # DEPENDENCYPART_ARC
(19,10),-1.74558 # DEPENDENCYPART_ARC
(19,14),-0.372327 # DEPENDENCYPART_ARC
(19,15),-2.68887 # DEPENDENCYPART_ARC
(19,16),-1.03858 # DEPENDENCYPART_ARC
(19,17),-0.946474 # DEPENDENCYPART_ARC
(19,20),0.821386 # DEPENDENCYPART_ARC
(19,21),-0.769376 # DEPENDENCYPART_ARC
(19,22),0.645403 # DEPENDENCYPART_ARC
(19,23),-0.71202 # DEPENDENCYPART_ARC
(19,25),-1.15686 # DEPENDENCYPART_ARC
(20,21),2.23265 # DEPENDENCYPART_ARC
(20,22),-2.90156 # DEPENDENCYPART_ARC
(20,25),-2.52768 # DEPENDENCYPART_ARC
(21,16),-1.77067 # DEPENDENCYPART_ARC
(21,20),-0.395019 # DEPENDENCYPART_ARC
(21,22),0.725803 # DEPENDENCYPART_ARC
(21,23),-0.281229 # DEPENDENCYPART_ARC
(21,25),-2.24765 # DEPENDENCYPART_ARC
(22,20),-1.25908 # DEPENDENCYPART_ARC
(22,21),-2.63584 # DEPENDENCYPART_ARC
(22,23),0.469576 # DEPENDENCYPART_ARC
(22,25),-2.32883 # DEPENDENCYPART_ARC
(22,26),-1.09975 # DEPENDENCYPART_ARC
(23,21),-2.19511 # DEPENDENCYPART_ARC
(23,22),-2.7492 # DEPENDENCYPART_ARC
(23,24),0.498331 # DEPENDENCYPART_ARC
(23,25),1.41635 # DEPENDENCYPART_ARC
(23,26),-1.20182 # DEPENDENCYPART_ARC
(25,20),-1.28123 # DEPENDENCYPART_ARC
(25,21),-1.79778 # DEPENDENCYPART_ARC
(25,22),-2.89036 # DEPENDENCYPART_ARC
(25,23),-1.24877 # DEPENDENCYPART_ARC
(25,24),3.01014 # DEPENDENCYPART_ARC
(25,26),-0.292661 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.137789 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.223102 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.712973 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.150066 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.296463 # DEPENDENCYPART_SIBL
(0,1),(0,9),-1.54471 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.296463 # DEPENDENCYPART_SIBL
(0,1),(0,15),-1.45259 # DEPENDENCYPART_SIBL
(0,1),(0,17),-1.46319 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.962228 # DEPENDENCYPART_SIBL
(0,1),(0,19),-1.54471 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.00769122 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0512271 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0920836 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0519799 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.227369 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.525507 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.227369 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.469085 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.469612 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.103927 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.525507 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.277536 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0835576 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.108414 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.127584 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.497872 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.127584 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.447976 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.45012 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.153131 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.497872 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.0221969 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.145571 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.634645 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.993506 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.634645 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.937494 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.950212 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.772754 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.993506 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.491257 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.105915 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.425669 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.105915 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.377727 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.377666 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.174474 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.425669 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.324816 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.4829 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.129028 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.409453 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.140416 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.4829 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.133324 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.327514 # DEPENDENCYPART_SIBL
(0,9),(0,15),-1.5549 # DEPENDENCYPART_SIBL
(0,9),(0,17),-1.5655 # DEPENDENCYPART_SIBL
(0,9),(0,18),-1.05835 # DEPENDENCYPART_SIBL
(0,9),(0,19),-1.65888 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.0527541 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.409453 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.140416 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.4829 # DEPENDENCYPART_SIBL
(0,12),(0,26),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,17),-1.4965 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.991711 # DEPENDENCYPART_SIBL
(0,15),(0,19),-1.57802 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.0942613 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.971313 # DEPENDENCYPART_SIBL
(0,17),(0,19),-1.54929 # DEPENDENCYPART_SIBL
(0,17),(0,26),-0.0240872 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.943713 # DEPENDENCYPART_SIBL
(0,18),(0,26),0.0494213 # DEPENDENCYPART_SIBL
(0,19),(0,26),-0.0527541 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.026582 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.131875 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0665411 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0045271 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0191159 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0373848 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0393556 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0119683 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.016691 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0373848 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0678639 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0280938 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0984209 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.106269 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0362328 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0259123 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0473464 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.00952164 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.05594 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0281531 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.04264 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.00952164 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0542924 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.00771624 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0895893 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0544749 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0164944 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0320614 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0795412 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0600052 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0456308 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0269808 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0795412 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.00199036 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.00338469 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.198654 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0424266 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0415228 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.00284595 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0340409 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.00433007 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0578043 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.00284595 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.00252504 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0757394 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.151125 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0432153 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0146981 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0899509 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0211448 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0378942 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0146981 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0854403 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.018591 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0460724 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0247238 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0472694 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0688025 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.114322 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0247238 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.142559 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0080162 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.255877 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.122391 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.039736 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.104922 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.124158 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0340273 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.0236342 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.139006 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.00378447 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0378707 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.00747872 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0964568 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.028293 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.141402 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0719279 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.108499 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0596034 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.0696294 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.072926 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.0266211 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.160639 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.00198482 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.263377 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0340273 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.0236342 # DEPENDENCYPART_SIBL
(1,12),(1,18),-0.139006 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.100174 # DEPENDENCYPART_SIBL
(1,13),(1,18),-0.367159 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.071998 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.037141 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00478617 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0110347 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0299836 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0163045 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0579106 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0405182 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0370729 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0149074 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00816945 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.040098 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0190544 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0378695 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0858442 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.219424 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00781756 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0822498 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.140761 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0330085 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.175497 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0800731 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.678363 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.112663 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0622674 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0511326 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0436828 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0511326 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0901357 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0297141 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0566497 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.285122 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.135106 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.285122 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0121119 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0513524 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.105209 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0658422 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.105209 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.178175 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0697828 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0813775 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0697828 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.123544 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.102534 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.255869 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0977777 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0557282 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.22324 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0977777 # DEPENDENCYPART_SIBL
