# _root_ Tento počet zahrnuje vedle dětí osvojených i děti , pro něž měli otevřenou náruč , a hlavně srdce pěstouni .
#goldHeads=2,3,0,3,4,5,8,3,12,12,10,8,14,16,16,12,18,16,12,0,
#predictedHeads=2,3,0,3,4,5,8,3,12,12,10,8,14,12,16,12,18,16,18,0,
(5,6),0.660208 # DEPENDENCYPART_ARC
(5,7),-0.646053 # DEPENDENCYPART_ARC
(5,8),-3.79719 # DEPENDENCYPART_ARC
(5,9),-1.20568 # DEPENDENCYPART_ARC
(5,10),-1.19244 # DEPENDENCYPART_ARC
(5,12),-0.922639 # DEPENDENCYPART_ARC
(5,13),-3.72051 # DEPENDENCYPART_ARC
(5,14),-4.00079 # DEPENDENCYPART_ARC
(5,16),-1.23341 # DEPENDENCYPART_ARC
(5,17),-1.48909 # DEPENDENCYPART_ARC
(5,19),-3.45108 # DEPENDENCYPART_ARC
(6,1),-2.02723 # DEPENDENCYPART_ARC
(6,2),-2.60204 # DEPENDENCYPART_ARC
(6,3),-1.34689 # DEPENDENCYPART_ARC
(6,4),-0.710298 # DEPENDENCYPART_ARC
(6,5),-1.55034 # DEPENDENCYPART_ARC
(6,7),-0.403015 # DEPENDENCYPART_ARC
(6,8),-2.35964 # DEPENDENCYPART_ARC
(6,10),-1.00151 # DEPENDENCYPART_ARC
(6,12),-2.92349 # DEPENDENCYPART_ARC
(6,14),-3.23207 # DEPENDENCYPART_ARC
(7,1),-1.57157 # DEPENDENCYPART_ARC
(7,2),-1.40359 # DEPENDENCYPART_ARC
(7,3),-1.57667 # DEPENDENCYPART_ARC
(7,4),-1.47213 # DEPENDENCYPART_ARC
(7,5),-0.985608 # DEPENDENCYPART_ARC
(7,6),-0.469416 # DEPENDENCYPART_ARC
(7,8),-0.498265 # DEPENDENCYPART_ARC
(7,9),-1.52589 # DEPENDENCYPART_ARC
(7,10),-2.19661 # DEPENDENCYPART_ARC
(7,12),-1.53981 # DEPENDENCYPART_ARC
(7,13),-2.23898 # DEPENDENCYPART_ARC
(7,16),-1.83508 # DEPENDENCYPART_ARC
(8,1),-3.76223 # DEPENDENCYPART_ARC
(8,4),-1.10929 # DEPENDENCYPART_ARC
(8,5),-2.94533 # DEPENDENCYPART_ARC
(8,6),-0.982588 # DEPENDENCYPART_ARC
(8,7),1.08658 # DEPENDENCYPART_ARC
(8,9),-1.312 # DEPENDENCYPART_ARC
(8,10),-1.22142 # DEPENDENCYPART_ARC
(8,12),-0.657391 # DEPENDENCYPART_ARC
(8,13),-2.29266 # DEPENDENCYPART_ARC
(8,15),-1.47337 # DEPENDENCYPART_ARC
(8,16),-1.71594 # DEPENDENCYPART_ARC
(8,17),-2.49264 # DEPENDENCYPART_ARC
(9,1),-1.84407 # DEPENDENCYPART_ARC
(9,2),-1.67692 # DEPENDENCYPART_ARC
(9,3),-0.6948 # DEPENDENCYPART_ARC
(9,4),-0.491727 # DEPENDENCYPART_ARC
(9,5),-1.42113 # DEPENDENCYPART_ARC
(9,6),-1.47681 # DEPENDENCYPART_ARC
(9,7),-0.92749 # DEPENDENCYPART_ARC
(9,8),-1.221 # DEPENDENCYPART_ARC
(9,10),-0.438901 # DEPENDENCYPART_ARC
(9,12),-0.637265 # DEPENDENCYPART_ARC
(9,13),-1.69755 # DEPENDENCYPART_ARC
(9,14),-1.32559 # DEPENDENCYPART_ARC
(9,15),-0.393174 # DEPENDENCYPART_ARC
(9,16),-0.701944 # DEPENDENCYPART_ARC
(9,17),-1.35145 # DEPENDENCYPART_ARC
(9,18),-2.38505 # DEPENDENCYPART_ARC
(9,19),-2.12303 # DEPENDENCYPART_ARC
(10,8),-3.94036 # DEPENDENCYPART_ARC
(10,9),-1.13356 # DEPENDENCYPART_ARC
(10,11),2.32598 # DEPENDENCYPART_ARC
(10,13),-1.01181 # DEPENDENCYPART_ARC
(10,14),0.14337 # DEPENDENCYPART_ARC
(10,15),-0.577334 # DEPENDENCYPART_ARC
(10,16),-0.697021 # DEPENDENCYPART_ARC
(10,18),-1.04665 # DEPENDENCYPART_ARC
(12,1),-2.25361 # DEPENDENCYPART_ARC
(12,2),-1.17448 # DEPENDENCYPART_ARC
(12,3),-1.56623 # DEPENDENCYPART_ARC
(12,4),-0.173403 # DEPENDENCYPART_ARC
(12,5),-2.75613 # DEPENDENCYPART_ARC
(12,6),-3.73217 # DEPENDENCYPART_ARC
(12,7),-0.923405 # DEPENDENCYPART_ARC
(12,8),-0.470963 # DEPENDENCYPART_ARC
(12,9),0.849781 # DEPENDENCYPART_ARC
(12,10),0.953208 # DEPENDENCYPART_ARC
(12,13),-1.86304 # DEPENDENCYPART_ARC
(12,14),1.36041 # DEPENDENCYPART_ARC
(12,15),-0.365169 # DEPENDENCYPART_ARC
(12,16),-0.257043 # DEPENDENCYPART_ARC
(12,17),-0.960291 # DEPENDENCYPART_ARC
(12,18),-0.633803 # DEPENDENCYPART_ARC
(12,19),-1.07325 # DEPENDENCYPART_ARC
(12,20),-1.07574 # DEPENDENCYPART_ARC
(13,10),-0.923574 # DEPENDENCYPART_ARC
(13,14),-1.79059 # DEPENDENCYPART_ARC
(13,18),-3.04254 # DEPENDENCYPART_ARC
(14,6),-4.25349 # DEPENDENCYPART_ARC
(14,7),-0.297451 # DEPENDENCYPART_ARC
(14,10),-1.08971 # DEPENDENCYPART_ARC
(14,13),2.58294 # DEPENDENCYPART_ARC
(14,15),-1.16262 # DEPENDENCYPART_ARC
(14,16),-1.09597 # DEPENDENCYPART_ARC
(14,17),-2.21062 # DEPENDENCYPART_ARC
(14,18),-3.53572 # DEPENDENCYPART_ARC
(14,19),-3.12679 # DEPENDENCYPART_ARC
(15,3),-1.5894 # DEPENDENCYPART_ARC
(15,9),-0.63447 # DEPENDENCYPART_ARC
(15,12),-0.882653 # DEPENDENCYPART_ARC
(15,13),-1.49135 # DEPENDENCYPART_ARC
(15,14),-1.40672 # DEPENDENCYPART_ARC
(15,17),-1.73599 # DEPENDENCYPART_ARC
(15,18),-2.32553 # DEPENDENCYPART_ARC
(15,19),-2.22722 # DEPENDENCYPART_ARC
(16,1),-1.44224 # DEPENDENCYPART_ARC
(16,2),-0.730685 # DEPENDENCYPART_ARC
(16,3),-0.254434 # DEPENDENCYPART_ARC
(16,4),-1.21957 # DEPENDENCYPART_ARC
(16,5),-1.76096 # DEPENDENCYPART_ARC
(16,6),-2.15253 # DEPENDENCYPART_ARC
(16,7),-0.712351 # DEPENDENCYPART_ARC
(16,8),-1.35269 # DEPENDENCYPART_ARC
(16,9),-0.393138 # DEPENDENCYPART_ARC
(16,10),-0.587842 # DEPENDENCYPART_ARC
(16,12),0.42346 # DEPENDENCYPART_ARC
(16,13),-0.946432 # DEPENDENCYPART_ARC
(16,14),-0.551098 # DEPENDENCYPART_ARC
(16,15),0.997269 # DEPENDENCYPART_ARC
(16,17),-0.190363 # DEPENDENCYPART_ARC
(16,18),0.312565 # DEPENDENCYPART_ARC
(16,19),-0.494499 # DEPENDENCYPART_ARC
(16,20),-0.818339 # DEPENDENCYPART_ARC
(17,15),-1.4073 # DEPENDENCYPART_ARC
(17,18),-1.50769 # DEPENDENCYPART_ARC
(17,19),-2.67935 # DEPENDENCYPART_ARC
(17,20),-1.42844 # DEPENDENCYPART_ARC
(18,13),-2.5489 # DEPENDENCYPART_ARC
(18,15),-0.992859 # DEPENDENCYPART_ARC
(18,16),-0.533082 # DEPENDENCYPART_ARC
(18,17),-0.0960276 # DEPENDENCYPART_ARC
(18,19),-0.00567767 # DEPENDENCYPART_ARC
(18,20),-0.924639 # DEPENDENCYPART_ARC
(19,14),-5.54468 # DEPENDENCYPART_ARC
(19,17),-0.484953 # DEPENDENCYPART_ARC
(19,18),-2.21041 # DEPENDENCYPART_ARC
(19,20),-0.580681 # DEPENDENCYPART_ARC
(20,19),-3.2735 # DEPENDENCYPART_ARC
(0,1),(0,2),0.203151 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.407809 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.304182 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.218359 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0256517 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.201073 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0807307 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.41317 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0807307 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.106896 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0314602 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.176108 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.180261 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.03189 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0623405 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0106246 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0035079 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.198277 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0035079 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.186804 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.400329 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.164154 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0505864 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.687667 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.069593 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.290688 # DEPENDENCYPART_SIBL
(0,3),(0,12),-1.4716 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.290688 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.960055 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.000698602 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.231573 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0339188 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.211069 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.113676 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.363407 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.113676 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.176336 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.333183 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0602998 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.00660781 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.01332 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.201355 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.01332 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.182582 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.413387 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.10103 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.72795 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.99659 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.72795 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.820605 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.648967 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.00336537 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.181901 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.00336537 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.173922 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.3906 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.406852 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.140416 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.264749 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.951698 # DEPENDENCYPART_SIBL
(0,12),(0,20),0.0555623 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.140416 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,20),0.0494213 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0126435 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0182807 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.126595 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0622688 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0709583 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.00537337 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.020689 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.000530401 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0153026 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.258525 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0269582 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0364055 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0423649 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0133707 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0209884 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.00926494 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0649507 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.112639 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.135133 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.166914 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.130138 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0796651 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0149386 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.164664 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.106301 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.112422 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0149386 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0371573 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.166753 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.116711 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.112422 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0827532 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0675592 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00433898 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0223494 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.069755 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0463996 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0604064 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00798541 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0577691 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0463996 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0486064 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0286608 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0699258 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0577691 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.059707 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.022564 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.142472 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0547163 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00456161 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.00742315 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0173362 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0636421 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.00456161 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.119793 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0208535 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0569456 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0636421 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0261293 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.261641 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.129371 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0209715 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0547969 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0406716 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.119405 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0209715 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.283739 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0586438 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.126045 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.119405 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.13943 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0991249 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0409772 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.056414 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0558258 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0948674 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0409772 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0753762 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0917924 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.101498 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0948674 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.013402 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0140115 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0495249 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00240507 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0194195 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0140115 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.19916 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0217311 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0127943 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0194195 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0173419 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0216523 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0261118 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.109284 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0173419 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.284787 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0523255 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.115923 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.109284 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0969642 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0680562 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0781733 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.101049 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.139535 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0314943 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0867401 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0781733 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0268844 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0568323 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0105069 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.139222 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0401411 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0501357 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0568323 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.050411 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0136883 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.151601 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.00594519 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.0436736 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.050411 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.026916 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.282201 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.0571797 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.124267 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.117627 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.139535 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.0314943 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.0867401 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.0781733 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0167017 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0135733 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0201985 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.068509 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.0521019 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.110843 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0724445 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0598289 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0151681 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.103628 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0556105 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.417247 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.947529 # DEPENDENCYPART_SIBL
(4,5),(4,8),-1.29852 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.161432 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.38999 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.678526 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0623621 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.533071 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0379186 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.184839 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0979037 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.352849 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0809945 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0636955 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00697012 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0176935 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0751723 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.154675 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.00292711 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0636953 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.04159 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0434091 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0694152 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.04159 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.257795 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.140281 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00607968 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00541852 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.000746045 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0511288 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.06991 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0216149 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.00612561 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.00669742 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.00820669 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0211282 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.00669742 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.146245 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.114875 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0845112 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0532073 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00893772 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0990015 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.00986768 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.114859 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0669617 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0469465 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.038997 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0669617 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.120548 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0626249 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0216842 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0510431 # DEPENDENCYPART_SIBL
