# _root_ Přesto se zdá , že největší nadějí na zmírnění vlny je bouřlivé počasí , které meteorologové čekají ode dneška .
#goldHeads=3,3,0,5,3,7,11,7,8,9,5,13,11,17,17,17,13,17,18,0,
#predictedHeads=0,3,1,5,3,7,11,7,8,9,5,13,11,17,17,17,13,17,18,0,
(13,9),-2.97145 # DEPENDENCYPART_ARC
(13,10),-3.96511 # DEPENDENCYPART_ARC
(13,11),-2.04055 # DEPENDENCYPART_ARC
(13,12),2.6141 # DEPENDENCYPART_ARC
(13,14),-1.22386 # DEPENDENCYPART_ARC
(13,15),-2.3362 # DEPENDENCYPART_ARC
(13,16),-2.4818 # DEPENDENCYPART_ARC
(13,17),-1.60356 # DEPENDENCYPART_ARC
(13,18),-1.91482 # DEPENDENCYPART_ARC
(13,19),-1.94592 # DEPENDENCYPART_ARC
(14,3),-1.89271 # DEPENDENCYPART_ARC
(14,4),-1.64976 # DEPENDENCYPART_ARC
(14,5),-1.80423 # DEPENDENCYPART_ARC
(14,7),-2.14971 # DEPENDENCYPART_ARC
(14,9),-2.06961 # DEPENDENCYPART_ARC
(14,10),-2.14856 # DEPENDENCYPART_ARC
(14,11),-0.937385 # DEPENDENCYPART_ARC
(14,12),-1.8183 # DEPENDENCYPART_ARC
(14,13),-1.72842 # DEPENDENCYPART_ARC
(14,16),-1.60897 # DEPENDENCYPART_ARC
(14,17),-1.21489 # DEPENDENCYPART_ARC
(14,18),-1.61633 # DEPENDENCYPART_ARC
(14,19),-2.22253 # DEPENDENCYPART_ARC
(14,20),-1.29236 # DEPENDENCYPART_ARC
(15,14),-0.974594 # DEPENDENCYPART_ARC
(15,16),-1.42558 # DEPENDENCYPART_ARC
(15,19),-1.54628 # DEPENDENCYPART_ARC
(16,9),-4.66621 # DEPENDENCYPART_ARC
(16,12),-2.04669 # DEPENDENCYPART_ARC
(16,13),-3.09453 # DEPENDENCYPART_ARC
(16,14),-1.3053 # DEPENDENCYPART_ARC
(16,15),-1.63909 # DEPENDENCYPART_ARC
(16,17),-1.65496 # DEPENDENCYPART_ARC
(16,18),-1.38056 # DEPENDENCYPART_ARC
(16,19),-1.29854 # DEPENDENCYPART_ARC
(17,1),-1.41489 # DEPENDENCYPART_ARC
(17,2),-1.9127 # DEPENDENCYPART_ARC
(17,3),-2.83176 # DEPENDENCYPART_ARC
(17,4),-1.67713 # DEPENDENCYPART_ARC
(17,6),-2.83016 # DEPENDENCYPART_ARC
(17,7),-0.918206 # DEPENDENCYPART_ARC
(17,8),-1.54895 # DEPENDENCYPART_ARC
(17,9),-1.49396 # DEPENDENCYPART_ARC
(17,10),-3.30751 # DEPENDENCYPART_ARC
(17,11),-2.0058 # DEPENDENCYPART_ARC
(17,12),-2.37579 # DEPENDENCYPART_ARC
(17,13),-1.84498 # DEPENDENCYPART_ARC
(17,14),0.736885 # DEPENDENCYPART_ARC
(17,15),0.906265 # DEPENDENCYPART_ARC
(17,16),1.43983 # DEPENDENCYPART_ARC
(17,18),1.57985 # DEPENDENCYPART_ARC
(17,19),-1.25027 # DEPENDENCYPART_ARC
(17,20),-0.863353 # DEPENDENCYPART_ARC
(18,14),-1.08113 # DEPENDENCYPART_ARC
(18,19),1.93319 # DEPENDENCYPART_ARC
(18,20),-0.965751 # DEPENDENCYPART_ARC
(19,15),-3.18763 # DEPENDENCYPART_ARC
(19,16),-3.50222 # DEPENDENCYPART_ARC
(19,18),-0.9243 # DEPENDENCYPART_ARC
(19,20),-0.76075 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.209998 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.116504 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.532114 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.281462 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.116504 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.206877 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.34087 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.279423 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.632491 # DEPENDENCYPART_SIBL
(0,3),(0,11),-1.533 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.279423 # DEPENDENCYPART_SIBL
(0,3),(0,17),-1.45148 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.00607418 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.00123668 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.4829 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.129028 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.909118 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.326921 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.861016 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.107484 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.327514 # DEPENDENCYPART_SIBL
(0,11),(0,17),-1.5655 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.0527541 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.00769645 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.160513 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.159552 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0433634 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0699441 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0392201 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0418631 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0668784 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.065453 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.09409 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0537336 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0160228 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0602922 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0159914 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0270683 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0521437 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.00539758 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.065453 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.041714 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.139847 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0271384 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.279564 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0240919 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0771012 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0241233 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0138812 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0255059 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0213849 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.139847 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0341773 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0167245 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0868049 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.109664 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.114897 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.109638 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.110256 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.138425 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.112876 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.128922 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.127313 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.193292 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.198274 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.223758 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.198247 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.198818 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.218224 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.184623 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0208272 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.222711 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.117671 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0101158 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.117644 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.118163 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00987794 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.114211 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0293474 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.03372 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0280434 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.111329 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.113253 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.053105 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.113864 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0117421 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0452645 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0310956 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0317983 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.108666 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0276637 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0107389 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.000677056 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.113253 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0531066 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.113864 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.00804684 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0465803 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0562252 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.111139 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0100006 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0396612 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0377039 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.00809275 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0634562 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.00727546 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0376027 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.127313 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0170646 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0892827 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00925237 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0417285 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0168233 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.00031044 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.183552 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.147331 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00527211 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0638028 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0832838 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00751951 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0256711 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0333855 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.63448 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00919804 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0288147 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0683845 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0421797 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0681687 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0321632 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0259782 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.148021 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0278368 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.158788 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0611423 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.167423 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.146882 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0106903 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.100623 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.305812 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.201328 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.293968 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.199586 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.30222 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.216166 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0933399 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.152182 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.126759 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.377956 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.210756 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.375841 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00867451 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0681205 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0418167 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.136937 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0712725 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.137291 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.558657 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0207023 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.49456 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.053737 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0796046 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.552275 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.00455033 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.489308 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.040748 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.639543 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0657394 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.592516 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.559205 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0411209 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.496239 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.00260808 # DEPENDENCYPART_SIBL
(5,11),(5,17),-1.15415 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.466132 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.149682 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.00689049 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0648395 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0138037 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0304226 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0137002 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0270742 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.043297 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0129455 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.067421 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.012842 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.17991 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.297972 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.236069 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.307322 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.06968 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0892231 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0695748 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00495623 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.110545 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0396467 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0939878 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.28363 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0384682 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.075935 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0058265 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0865205 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0394007 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0384484 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0490319 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0472555 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0315809 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0394007 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0371267 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.0085635 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.332148 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0592207 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0507589 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.114832 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0593265 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0707645 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0689705 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0491297 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.142264 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0719422 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0707645 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0422295 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.00952224 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0329228 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.101422 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0729258 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.139322 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0571605 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0556068 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0102768 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.112092 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0563389 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0571605 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.00531209 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0856832 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0923243 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0657394 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00601577 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0113865 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.00775018 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0156903 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0214879 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.024419 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0113865 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.00570782 # DEPENDENCYPART_SIBL
(7,4),(7,18),0.00203288 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.305818 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.198453 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.174273 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.171959 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.124673 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0867317 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.174349 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.174273 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.122755 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.130767 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0327006 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0204414 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.00834917 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0263306 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.10122 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0197877 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0204414 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.000736585 # DEPENDENCYPART_SIBL
