# _root_ Mají - li totiž mít nějaký smysl , je ho do nich třeba vnést z vnějšku , to jest z historikovy současnosti .
#goldHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,19,15,19,19,14,19,22,20,0,
#predictedHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,14,15,19,19,16,19,22,20,0,
(6,9),-1.91613 # DEPENDENCYPART_ARC
(6,11),-1.23023 # DEPENDENCYPART_ARC
(7,2),-1.2546 # DEPENDENCYPART_ARC
(7,3),-0.928837 # DEPENDENCYPART_ARC
(7,4),-1.03625 # DEPENDENCYPART_ARC
(7,6),2.1408 # DEPENDENCYPART_ARC
(7,9),-1.90011 # DEPENDENCYPART_ARC
(7,13),-2.89319 # DEPENDENCYPART_ARC
(7,14),-0.60792 # DEPENDENCYPART_ARC
(7,19),-2.8096 # DEPENDENCYPART_ARC
(8,1),-1.20715 # DEPENDENCYPART_ARC
(8,2),-1.11266 # DEPENDENCYPART_ARC
(8,3),-1.02481 # DEPENDENCYPART_ARC
(8,4),-1.32066 # DEPENDENCYPART_ARC
(8,5),-0.43897 # DEPENDENCYPART_ARC
(8,6),-1.37923 # DEPENDENCYPART_ARC
(8,7),-1.36786 # DEPENDENCYPART_ARC
(8,9),-0.851677 # DEPENDENCYPART_ARC
(8,11),-1.47257 # DEPENDENCYPART_ARC
(8,14),-2.07806 # DEPENDENCYPART_ARC
(8,19),-2.87719 # DEPENDENCYPART_ARC
(9,1),-2.6902 # DEPENDENCYPART_ARC
(9,2),-1.3479 # DEPENDENCYPART_ARC
(9,3),-0.186883 # DEPENDENCYPART_ARC
(9,4),-0.872285 # DEPENDENCYPART_ARC
(9,5),0.207703 # DEPENDENCYPART_ARC
(9,6),-1.51441 # DEPENDENCYPART_ARC
(9,7),-0.998956 # DEPENDENCYPART_ARC
(9,8),-0.372264 # DEPENDENCYPART_ARC
(9,10),1.02556 # DEPENDENCYPART_ARC
(9,11),0.732343 # DEPENDENCYPART_ARC
(9,13),1.22542 # DEPENDENCYPART_ARC
(9,14),1.85289 # DEPENDENCYPART_ARC
(9,15),-0.762076 # DEPENDENCYPART_ARC
(9,16),-2.41945 # DEPENDENCYPART_ARC
(9,17),-0.942067 # DEPENDENCYPART_ARC
(9,18),-1.29001 # DEPENDENCYPART_ARC
(9,19),-1.79085 # DEPENDENCYPART_ARC
(9,20),-1.35645 # DEPENDENCYPART_ARC
(9,22),-2.93141 # DEPENDENCYPART_ARC
(10,16),-2.03165 # DEPENDENCYPART_ARC
(11,12),0.15307 # DEPENDENCYPART_ARC
(11,16),-0.751038 # DEPENDENCYPART_ARC
(12,15),-0.959087 # DEPENDENCYPART_ARC
(13,8),-1.55628 # DEPENDENCYPART_ARC
(13,11),-0.639277 # DEPENDENCYPART_ARC
(13,14),0.020932 # DEPENDENCYPART_ARC
(13,15),-1.20312 # DEPENDENCYPART_ARC
(13,16),-2.43964 # DEPENDENCYPART_ARC
(14,1),-3.44854 # DEPENDENCYPART_ARC
(14,3),-0.77001 # DEPENDENCYPART_ARC
(14,4),-1.6185 # DEPENDENCYPART_ARC
(14,5),-1.87916 # DEPENDENCYPART_ARC
(14,6),-0.672863 # DEPENDENCYPART_ARC
(14,7),-0.354442 # DEPENDENCYPART_ARC
(14,8),-1.80514 # DEPENDENCYPART_ARC
(14,9),-1.92614 # DEPENDENCYPART_ARC
(14,10),1.3875 # DEPENDENCYPART_ARC
(14,11),0.524975 # DEPENDENCYPART_ARC
(14,13),-0.813293 # DEPENDENCYPART_ARC
(14,15),1.43925 # DEPENDENCYPART_ARC
(14,16),-0.651857 # DEPENDENCYPART_ARC
(14,17),-0.37047 # DEPENDENCYPART_ARC
(14,18),-1.36705 # DEPENDENCYPART_ARC
(14,19),-1.01711 # DEPENDENCYPART_ARC
(14,20),-0.524968 # DEPENDENCYPART_ARC
(14,22),-1.89709 # DEPENDENCYPART_ARC
(14,23),-1.32594 # DEPENDENCYPART_ARC
(15,16),1.97054 # DEPENDENCYPART_ARC
(15,17),-0.759613 # DEPENDENCYPART_ARC
(16,11),-1.37342 # DEPENDENCYPART_ARC
(16,13),-2.94865 # DEPENDENCYPART_ARC
(16,15),-0.781212 # DEPENDENCYPART_ARC
(16,17),-1.22568 # DEPENDENCYPART_ARC
(16,18),-2.49969 # DEPENDENCYPART_ARC
(16,19),-1.57089 # DEPENDENCYPART_ARC
(16,20),-2.07312 # DEPENDENCYPART_ARC
(16,21),-2.33525 # DEPENDENCYPART_ARC
(16,22),-1.49623 # DEPENDENCYPART_ARC
(17,1),-2.1538 # DEPENDENCYPART_ARC
(17,2),-1.49963 # DEPENDENCYPART_ARC
(17,5),-1.61459 # DEPENDENCYPART_ARC
(17,6),-2.11952 # DEPENDENCYPART_ARC
(17,8),-0.99305 # DEPENDENCYPART_ARC
(17,9),-0.956561 # DEPENDENCYPART_ARC
(17,11),-1.73652 # DEPENDENCYPART_ARC
(17,13),-2.03586 # DEPENDENCYPART_ARC
(17,14),-0.686912 # DEPENDENCYPART_ARC
(17,15),-1.36517 # DEPENDENCYPART_ARC
(17,16),-1.40699 # DEPENDENCYPART_ARC
(17,18),-0.812583 # DEPENDENCYPART_ARC
(17,19),-0.935484 # DEPENDENCYPART_ARC
(17,20),-1.48363 # DEPENDENCYPART_ARC
(17,21),-2.0469 # DEPENDENCYPART_ARC
(17,22),-1.68956 # DEPENDENCYPART_ARC
(17,23),-1.076 # DEPENDENCYPART_ARC
(18,14),-0.780424 # DEPENDENCYPART_ARC
(18,16),-1.62581 # DEPENDENCYPART_ARC
(18,17),-0.96032 # DEPENDENCYPART_ARC
(18,19),-0.655474 # DEPENDENCYPART_ARC
(18,20),-1.14948 # DEPENDENCYPART_ARC
(18,22),-1.8353 # DEPENDENCYPART_ARC
(19,1),-3.83083 # DEPENDENCYPART_ARC
(19,2),-1.93794 # DEPENDENCYPART_ARC
(19,3),-0.397742 # DEPENDENCYPART_ARC
(19,4),-1.6403 # DEPENDENCYPART_ARC
(19,5),-1.13849 # DEPENDENCYPART_ARC
(19,6),-3.28289 # DEPENDENCYPART_ARC
(19,7),-1.60401 # DEPENDENCYPART_ARC
(19,8),-2.00311 # DEPENDENCYPART_ARC
(19,9),-2.40691 # DEPENDENCYPART_ARC
(19,10),-1.21488 # DEPENDENCYPART_ARC
(19,11),-0.639203 # DEPENDENCYPART_ARC
(19,13),-0.95578 # DEPENDENCYPART_ARC
(19,14),0.148318 # DEPENDENCYPART_ARC
(19,15),-0.725113 # DEPENDENCYPART_ARC
(19,16),-2.819 # DEPENDENCYPART_ARC
(19,17),0.643292 # DEPENDENCYPART_ARC
(19,18),2.21857 # DEPENDENCYPART_ARC
(19,20),1.30589 # DEPENDENCYPART_ARC
(19,22),-1.52754 # DEPENDENCYPART_ARC
(19,23),-0.891795 # DEPENDENCYPART_ARC
(20,18),-2.46703 # DEPENDENCYPART_ARC
(20,21),-0.303678 # DEPENDENCYPART_ARC
(20,22),1.51625 # DEPENDENCYPART_ARC
(20,23),-0.965679 # DEPENDENCYPART_ARC
(22,15),-1.29407 # DEPENDENCYPART_ARC
(22,18),-2.76268 # DEPENDENCYPART_ARC
(22,20),-1.00437 # DEPENDENCYPART_ARC
(22,21),2.84117 # DEPENDENCYPART_ARC
(22,23),-0.848182 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0841026 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.207239 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.222339 # DEPENDENCYPART_SIBL
(0,1),(0,5),-1.43935 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.206141 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0426046 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.255593 # DEPENDENCYPART_SIBL
(0,1),(0,9),-1.53495 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.272948 # DEPENDENCYPART_SIBL
(0,1),(0,14),-1.45343 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.255593 # DEPENDENCYPART_SIBL
(0,1),(0,19),-1.45518 # DEPENDENCYPART_SIBL
(0,1),(0,23),0.0870675 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0512271 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0363778 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.455584 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0674876 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0154328 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.227369 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.525507 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0738794 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.469612 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.227369 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.469613 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.277536 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.140845 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.439033 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0756876 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.139744 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.127584 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.497872 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0439169 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.45012 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.127584 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.45012 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0221969 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.318278 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.29573 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.324876 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.232685 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.397923 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.169918 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.323335 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.232685 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.323343 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.191868 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.192533 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0354624 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.183683 # DEPENDENCYPART_SIBL
(0,5),(0,9),-1.51328 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.252752 # DEPENDENCYPART_SIBL
(0,5),(0,14),-1.43176 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.183683 # DEPENDENCYPART_SIBL
(0,5),(0,19),-1.43351 # DEPENDENCYPART_SIBL
(0,5),(0,23),0.101466 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.227067 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0786249 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.473419 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0762367 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.408948 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0786249 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.408431 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0298513 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0259717 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.218987 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.134759 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.177386 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0259717 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.177674 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.421848 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.4829 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0366238 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.129028 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.340451 # DEPENDENCYPART_SIBL
(0,9),(0,14),-1.5655 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.327514 # DEPENDENCYPART_SIBL
(0,9),(0,19),-1.56726 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0527541 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.289638 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0940765 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.290519 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.346656 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.296463 # DEPENDENCYPART_SIBL
(0,14),(0,19),-1.46495 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.408609 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,19),(0,23),0.00487948 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0471016 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00733162 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0366123 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0236596 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0420892 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0248581 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0527191 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0950133 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0398126 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.090993 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0248581 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0104537 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0360838 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0443354 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0581288 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.011353 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0592925 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0532621 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0373254 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0782817 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.011353 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0889151 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.111022 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.113303 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0284595 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0427091 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0856381 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0960485 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0783785 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.0284595 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0170906 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0263092 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0876922 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.28011 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.000364024 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.259099 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0272398 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0876922 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0720471 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.000724196 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.101892 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0247614 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.04666 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0671182 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.000724196 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.00194101 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0392867 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0529224 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.00784401 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0603751 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.00194101 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.132498 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.195466 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.10969 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.210446 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.106359 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0459667 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.26095 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.00471165 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0217305 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0318975 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.0570122 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.06645 # DEPENDENCYPART_SIBL
(1,14),(1,15),-0.0139946 # DEPENDENCYPART_SIBL
(1,14),(1,17),0.0303919 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.0273494 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0462511 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0484541 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.565136 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00656324 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0509957 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0485242 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.569078 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0173568 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0879974 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0138265 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0136485 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00816945 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0885013 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.085104 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0422515 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0381883 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0717932 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0808479 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0218853 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0129937 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0565747 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.383663 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0343996 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0843529 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.114589 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0310517 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0350996 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0559952 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.696018 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0138412 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0178384 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.132462 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0362787 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.132462 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0260638 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.144035 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.206483 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.285122 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.135106 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.285122 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.184744 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0497022 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.102943 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0652267 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.102943 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.121182 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0716318 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.347743 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0716318 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.0729176 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.102534 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.255869 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.183654 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.0557282 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.0532524 # DEPENDENCYPART_SIBL
(3,17),(3,23),-0.183654 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.180388 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0131129 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.173219 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0110884 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.164636 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.299879 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.197463 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00591337 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00121076 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0229738 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.00859269 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00826822 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.061134 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0103038 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0562899 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0155574 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0221874 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0212537 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0659955 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0295885 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0643272 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0155574 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0637128 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0295885 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0640455 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.165288 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0446628 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0600536 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0097511 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0752295 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00558508 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0168143 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0406943 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0496173 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0236488 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0752295 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0494252 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0496173 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.022045 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0744738 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0917717 # DEPENDENCYPART_SIBL
