# _root_ Strana demokratické levice po přehodnocení faktu , že vedoucí silou SNP byla komunistická strana , se jednoznačně staví za antifašistický a demokratický odkaz povstání .
#goldHeads=18,3,1,18,4,5,8,6,10,12,10,8,14,12,8,18,18,0,18,21,23,21,19,23,0,
#predictedHeads=0,3,1,3,4,5,8,6,10,12,10,8,14,12,18,18,18,14,18,21,23,21,19,23,0,
(4,3),-3.02789 # DEPENDENCYPART_ARC
(4,5),2.40982 # DEPENDENCYPART_ARC
(4,6),-2.41413 # DEPENDENCYPART_ARC
(4,7),-1.43027 # DEPENDENCYPART_ARC
(4,8),-1.50296 # DEPENDENCYPART_ARC
(5,2),-2.68528 # DEPENDENCYPART_ARC
(5,4),-0.419672 # DEPENDENCYPART_ARC
(5,6),2.1486 # DEPENDENCYPART_ARC
(5,7),-1.07607 # DEPENDENCYPART_ARC
(5,8),-0.232704 # DEPENDENCYPART_ARC
(5,9),-1.76488 # DEPENDENCYPART_ARC
(5,10),-0.993869 # DEPENDENCYPART_ARC
(5,11),-0.726032 # DEPENDENCYPART_ARC
(5,12),-2.27523 # DEPENDENCYPART_ARC
(5,18),-2.92584 # DEPENDENCYPART_ARC
(6,1),-4.05543 # DEPENDENCYPART_ARC
(6,2),-2.03138 # DEPENDENCYPART_ARC
(6,3),-2.84853 # DEPENDENCYPART_ARC
(6,4),-1.29068 # DEPENDENCYPART_ARC
(6,5),-2.65723 # DEPENDENCYPART_ARC
(6,7),-1.04105 # DEPENDENCYPART_ARC
(6,8),-0.637924 # DEPENDENCYPART_ARC
(6,9),-2.842 # DEPENDENCYPART_ARC
(6,10),-2.41809 # DEPENDENCYPART_ARC
(6,11),-1.13209 # DEPENDENCYPART_ARC
(6,12),-1.87919 # DEPENDENCYPART_ARC
(7,1),-1.73373 # DEPENDENCYPART_ARC
(7,2),-2.20385 # DEPENDENCYPART_ARC
(7,3),-1.58443 # DEPENDENCYPART_ARC
(7,4),-1.0151 # DEPENDENCYPART_ARC
(7,6),-1.3643 # DEPENDENCYPART_ARC
(7,9),-1.94535 # DEPENDENCYPART_ARC
(7,12),-1.73547 # DEPENDENCYPART_ARC
(7,15),-1.00031 # DEPENDENCYPART_ARC
(8,3),-1.61453 # DEPENDENCYPART_ARC
(8,5),-1.46135 # DEPENDENCYPART_ARC
(8,6),-1.36497 # DEPENDENCYPART_ARC
(8,7),1.43212 # DEPENDENCYPART_ARC
(8,9),-0.523072 # DEPENDENCYPART_ARC
(8,10),-1.61704 # DEPENDENCYPART_ARC
(8,12),0.721823 # DEPENDENCYPART_ARC
(8,15),-0.530221 # DEPENDENCYPART_ARC
(8,18),-0.4777 # DEPENDENCYPART_ARC
(8,21),-0.67217 # DEPENDENCYPART_ARC
(9,10),-1.11819 # DEPENDENCYPART_ARC
(9,11),-2.32014 # DEPENDENCYPART_ARC
(9,14),-4.25451 # DEPENDENCYPART_ARC
(9,19),-1.80268 # DEPENDENCYPART_ARC
(10,8),-0.472554 # DEPENDENCYPART_ARC
(10,9),2.15805 # DEPENDENCYPART_ARC
(10,11),1.38962 # DEPENDENCYPART_ARC
(10,12),-1.6775 # DEPENDENCYPART_ARC
(10,13),-1.83079 # DEPENDENCYPART_ARC
(10,14),-2.25475 # DEPENDENCYPART_ARC
(10,15),-1.20688 # DEPENDENCYPART_ARC
(10,17),-1.72209 # DEPENDENCYPART_ARC
(10,18),-2.52931 # DEPENDENCYPART_ARC
(10,20),-3.18632 # DEPENDENCYPART_ARC
(10,21),-1.20543 # DEPENDENCYPART_ARC
(11,1),-6.02339 # DEPENDENCYPART_ARC
(11,5),-5.14456 # DEPENDENCYPART_ARC
(11,6),-5.71438 # DEPENDENCYPART_ARC
(11,9),-2.24525 # DEPENDENCYPART_ARC
(11,10),-3.69451 # DEPENDENCYPART_ARC
(11,12),-2.71251 # DEPENDENCYPART_ARC
(11,13),-3.45074 # DEPENDENCYPART_ARC
(11,14),-1.52043 # DEPENDENCYPART_ARC
(12,1),-0.33952 # DEPENDENCYPART_ARC
(12,3),-2.67933 # DEPENDENCYPART_ARC
(12,4),-2.23088 # DEPENDENCYPART_ARC
(12,5),-2.2255 # DEPENDENCYPART_ARC
(12,6),-3.90991 # DEPENDENCYPART_ARC
(12,7),-1.06001 # DEPENDENCYPART_ARC
(12,8),-1.83937 # DEPENDENCYPART_ARC
(12,10),-0.0998237 # DEPENDENCYPART_ARC
(12,11),-1.0258 # DEPENDENCYPART_ARC
(12,13),-0.100771 # DEPENDENCYPART_ARC
(12,14),0.77669 # DEPENDENCYPART_ARC
(12,15),-0.984474 # DEPENDENCYPART_ARC
(12,17),-1.52865 # DEPENDENCYPART_ARC
(12,18),-2.56354 # DEPENDENCYPART_ARC
(12,19),-1.52549 # DEPENDENCYPART_ARC
(12,20),-3.32981 # DEPENDENCYPART_ARC
(12,21),-1.52626 # DEPENDENCYPART_ARC
(12,23),-1.24862 # DEPENDENCYPART_ARC
(12,24),-3.1902 # DEPENDENCYPART_ARC
(13,14),-1.68102 # DEPENDENCYPART_ARC
(13,17),-1.29527 # DEPENDENCYPART_ARC
(13,18),-3.01994 # DEPENDENCYPART_ARC
(14,9),-1.15751 # DEPENDENCYPART_ARC
(14,10),-2.75241 # DEPENDENCYPART_ARC
(14,11),-3.29673 # DEPENDENCYPART_ARC
(14,13),2.53682 # DEPENDENCYPART_ARC
(14,15),-1.20201 # DEPENDENCYPART_ARC
(14,17),-1.6238 # DEPENDENCYPART_ARC
(14,18),-1.48379 # DEPENDENCYPART_ARC
(14,19),-2.01765 # DEPENDENCYPART_ARC
(14,20),-3.74351 # DEPENDENCYPART_ARC
(14,21),-1.40903 # DEPENDENCYPART_ARC
(14,23),-4.80339 # DEPENDENCYPART_ARC
(14,24),-1.82508 # DEPENDENCYPART_ARC
(15,1),-2.39801 # DEPENDENCYPART_ARC
(15,4),-1.5874 # DEPENDENCYPART_ARC
(15,7),-0.903864 # DEPENDENCYPART_ARC
(15,8),-1.11399 # DEPENDENCYPART_ARC
(15,11),-1.63052 # DEPENDENCYPART_ARC
(15,12),-0.363669 # DEPENDENCYPART_ARC
(15,13),-1.32097 # DEPENDENCYPART_ARC
(15,14),-1.24305 # DEPENDENCYPART_ARC
(15,17),-1.17715 # DEPENDENCYPART_ARC
(15,18),-1.15241 # DEPENDENCYPART_ARC
(15,19),-1.44969 # DEPENDENCYPART_ARC
(15,20),-2.00519 # DEPENDENCYPART_ARC
(15,21),-0.702932 # DEPENDENCYPART_ARC
(15,23),-2.17948 # DEPENDENCYPART_ARC
(15,24),-1.9103 # DEPENDENCYPART_ARC
(15,25),-1.12415 # DEPENDENCYPART_ARC
(17,14),-2.2634 # DEPENDENCYPART_ARC
(17,15),-1.05396 # DEPENDENCYPART_ARC
(17,19),-1.92062 # DEPENDENCYPART_ARC
(17,20),-3.45943 # DEPENDENCYPART_ARC
(17,23),-3.57408 # DEPENDENCYPART_ARC
(17,24),-2.25571 # DEPENDENCYPART_ARC
(18,1),-0.108846 # DEPENDENCYPART_ARC
(18,3),-3.00114 # DEPENDENCYPART_ARC
(18,4),-1.91475 # DEPENDENCYPART_ARC
(18,5),-2.08774 # DEPENDENCYPART_ARC
(18,7),-1.50683 # DEPENDENCYPART_ARC
(18,9),-2.27637 # DEPENDENCYPART_ARC
(18,10),-0.606486 # DEPENDENCYPART_ARC
(18,11),-1.5941 # DEPENDENCYPART_ARC
(18,12),-2.41961 # DEPENDENCYPART_ARC
(18,13),-1.05089 # DEPENDENCYPART_ARC
(18,14),-0.429094 # DEPENDENCYPART_ARC
(18,15),0.282632 # DEPENDENCYPART_ARC
(18,16),2.01321 # DEPENDENCYPART_ARC
(18,17),1.30374 # DEPENDENCYPART_ARC
(18,19),1.52671 # DEPENDENCYPART_ARC
(18,20),-1.35423 # DEPENDENCYPART_ARC
(18,21),-0.441845 # DEPENDENCYPART_ARC
(18,22),-2.56031 # DEPENDENCYPART_ARC
(18,23),0.0667027 # DEPENDENCYPART_ARC
(18,24),-1.52439 # DEPENDENCYPART_ARC
(18,25),-1.09431 # DEPENDENCYPART_ARC
(19,15),-1.18007 # DEPENDENCYPART_ARC
(19,20),0.970819 # DEPENDENCYPART_ARC
(19,21),0.248089 # DEPENDENCYPART_ARC
(19,22),-0.968843 # DEPENDENCYPART_ARC
(19,23),1.0589 # DEPENDENCYPART_ARC
(19,24),-3.03117 # DEPENDENCYPART_ARC
(19,25),-0.92261 # DEPENDENCYPART_ARC
(20,16),-2.23749 # DEPENDENCYPART_ARC
(20,17),-0.517939 # DEPENDENCYPART_ARC
(20,19),-0.853573 # DEPENDENCYPART_ARC
(20,23),-3.45317 # DEPENDENCYPART_ARC
(21,1),-2.4412 # DEPENDENCYPART_ARC
(21,3),-1.84364 # DEPENDENCYPART_ARC
(21,5),-1.94006 # DEPENDENCYPART_ARC
(21,6),-1.88296 # DEPENDENCYPART_ARC
(21,7),-1.3166 # DEPENDENCYPART_ARC
(21,8),-0.509075 # DEPENDENCYPART_ARC
(21,10),-1.47288 # DEPENDENCYPART_ARC
(21,11),-1.48452 # DEPENDENCYPART_ARC
(21,12),-1.10467 # DEPENDENCYPART_ARC
(21,13),-2.01466 # DEPENDENCYPART_ARC
(21,14),-1.0293 # DEPENDENCYPART_ARC
(21,15),-0.622948 # DEPENDENCYPART_ARC
(21,16),-1.20785 # DEPENDENCYPART_ARC
(21,17),-0.667262 # DEPENDENCYPART_ARC
(21,18),0.20538 # DEPENDENCYPART_ARC
(21,19),-0.80477 # DEPENDENCYPART_ARC
(21,20),1.58357 # DEPENDENCYPART_ARC
(21,22),3.01354 # DEPENDENCYPART_ARC
(21,23),-0.501549 # DEPENDENCYPART_ARC
(21,24),-1.12661 # DEPENDENCYPART_ARC
(21,25),-1.01914 # DEPENDENCYPART_ARC
(22,23),-1.84193 # DEPENDENCYPART_ARC
(22,24),-2.0604 # DEPENDENCYPART_ARC
(23,13),-4.03127 # DEPENDENCYPART_ARC
(23,16),-4.13365 # DEPENDENCYPART_ARC
(23,17),-1.83219 # DEPENDENCYPART_ARC
(23,19),-1.27676 # DEPENDENCYPART_ARC
(23,20),-0.310173 # DEPENDENCYPART_ARC
(23,21),0.637745 # DEPENDENCYPART_ARC
(23,22),2.33715 # DEPENDENCYPART_ARC
(23,24),1.79611 # DEPENDENCYPART_ARC
(23,25),-1.02841 # DEPENDENCYPART_ARC
(24,17),-2.18078 # DEPENDENCYPART_ARC
(24,20),-3.67446 # DEPENDENCYPART_ARC
(24,21),-0.303693 # DEPENDENCYPART_ARC
(24,22),-2.09142 # DEPENDENCYPART_ARC
(24,23),-2.3654 # DEPENDENCYPART_ARC
(24,25),-0.752696 # DEPENDENCYPART_ARC
(25,24),-3.26863 # DEPENDENCYPART_ARC
(0,1),(0,2),0.148777 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.036151 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.150635 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0367575 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0367427 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0242993 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0330457 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.167523 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0369578 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0242993 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.182805 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.196682 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.177367 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.419899 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0742734 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0730284 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0742764 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.074262 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.078186 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0109788 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.359438 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0718146 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.078186 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.360706 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.0683705 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.227048 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.303348 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.125076 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0364774 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0364625 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.025862 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0262662 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.171011 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0366858 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.025862 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.186293 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.171122 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.182061 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.42241 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.234045 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.234011 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0947225 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0149186 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.403754 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.233429 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0947225 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.406351 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.191651 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.220906 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.339793 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0371981 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0232212 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0258253 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.170009 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0374214 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0232212 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.185291 # DEPENDENCYPART_SIBL
(0,5),(0,19),0.171778 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.182942 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.41833 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0203466 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0261263 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.170013 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.0374238 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0203466 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.185295 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.171188 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.182133 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.416895 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.00123668 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.409453 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.0660653 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.408632 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.00155058 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.140416 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.133324 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.848309 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0280678 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.326921 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.861355 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0991401 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.708252 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.107484 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.066259 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.370587 # DEPENDENCYPART_SIBL
(0,12),(0,18),-1.49745 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.216625 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.991711 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.0942613 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0242993 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.182805 # DEPENDENCYPART_SIBL
(0,14),(0,19),0.196682 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.177367 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.419899 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.408632 # DEPENDENCYPART_SIBL
(0,15),(0,19),0.00155058 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.140416 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.133324 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.206966 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.978039 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.0596359 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0918597 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.211521 # DEPENDENCYPART_SIBL
(0,21),(0,25),0.0494213 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0355742 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0107853 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0341086 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.034108 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0122732 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0521868 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0988308 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0344505 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.034108 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.00333745 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00804722 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0815151 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0815146 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0576731 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.134731 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0313701 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0815327 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0815144 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.00440784 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0325492 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0325425 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00358971 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.125976 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0439827 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0325316 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0325488 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0148895 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0735721 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0439999 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.129131 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0378515 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0735902 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.073572 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.00407666 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0413198 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.128718 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0376526 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0737753 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.073757 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.00387909 # DEPENDENCYPART_SIBL
(1,7),(1,8),8.16813e-05 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0486686 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.00526707 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.00522107 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.00845788 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.030946 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0690846 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0687797 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0596772 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0417075 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.041365 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0149109 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0731076 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.00452236 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.00452891 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0228737 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0559602 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0238619 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00351252 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0590578 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.039885 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0395396 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.210163 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0359973 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.112769 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0248191 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0243598 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.24983 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0746759 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0273837 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.027377 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.133783 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.026036 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0637962 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.123851 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0368542 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.123439 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0366554 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0388201 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0902475 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0910619 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0653802 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0623467 # DEPENDENCYPART_SIBL
(4,5),(4,6),-1.31186 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.174253 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.930924 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.171373 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.930618 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.299744 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0359712 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00523549 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0259268 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.235259 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0865496 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00588425 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0048315 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0161276 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.039897 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.042821 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0513563 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.20955 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.172278 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.042821 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.042417 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0883689 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0677597 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.037757 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.122088 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0379703 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0541104 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0540921 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.00637009 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.00933029 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.010232 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.023541 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00506893 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00502293 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0218406 # DEPENDENCYPART_SIBL
