# _root_ Jestliže však byla tak váhavá dokonce i země , která ostatní Evropany k unii před lety vyzvala a potom tlačila , neznamená to snad konec snu o integraci ?
#goldHeads=22,0,1,5,3,8,8,3,18,18,12,18,18,13,17,15,18,8,20,18,1,2,22,22,22,25,26,27,0,
#predictedHeads=22,3,1,5,3,8,8,3,18,17,12,17,17,13,14,15,18,1,20,18,1,0,22,22,22,25,26,27,0,
(3,11),-3.13312 # DEPENDENCYPART_ARC
(3,12),-1.24512 # DEPENDENCYPART_ARC
(3,13),-1.40463 # DEPENDENCYPART_ARC
(3,14),-1.86703 # DEPENDENCYPART_ARC
(3,15),-1.60491 # DEPENDENCYPART_ARC
(3,18),-1.19608 # DEPENDENCYPART_ARC
(3,19),-2.42764 # DEPENDENCYPART_ARC
(3,21),-1.60151 # DEPENDENCYPART_ARC
(3,24),-2.48832 # DEPENDENCYPART_ARC
(4,1),-0.599054 # DEPENDENCYPART_ARC
(4,2),-0.442295 # DEPENDENCYPART_ARC
(4,3),-0.282739 # DEPENDENCYPART_ARC
(4,5),-1.77545 # DEPENDENCYPART_ARC
(4,6),-1.96497 # DEPENDENCYPART_ARC
(5,2),-0.730105 # DEPENDENCYPART_ARC
(5,4),0.731288 # DEPENDENCYPART_ARC
(5,6),-0.446682 # DEPENDENCYPART_ARC
(5,7),-0.747274 # DEPENDENCYPART_ARC
(5,8),-2.5415 # DEPENDENCYPART_ARC
(5,9),-0.811309 # DEPENDENCYPART_ARC
(5,15),-1.64905 # DEPENDENCYPART_ARC
(5,21),-0.714603 # DEPENDENCYPART_ARC
(6,4),-0.866832 # DEPENDENCYPART_ARC
(6,5),-1.13564 # DEPENDENCYPART_ARC
(6,7),-0.85963 # DEPENDENCYPART_ARC
(6,8),-1.85562 # DEPENDENCYPART_ARC
(7,1),-1.10105 # DEPENDENCYPART_ARC
(7,2),-1.27321 # DEPENDENCYPART_ARC
(7,4),-1.39263 # DEPENDENCYPART_ARC
(7,5),-1.05093 # DEPENDENCYPART_ARC
(7,6),-0.706737 # DEPENDENCYPART_ARC
(7,8),-0.505923 # DEPENDENCYPART_ARC
(7,9),-1.47223 # DEPENDENCYPART_ARC
(7,10),-2.31873 # DEPENDENCYPART_ARC
(7,11),-2.5922 # DEPENDENCYPART_ARC
(7,12),-2.72711 # DEPENDENCYPART_ARC
(8,1),-1.13087 # DEPENDENCYPART_ARC
(8,4),-0.890392 # DEPENDENCYPART_ARC
(8,5),-0.10975 # DEPENDENCYPART_ARC
(8,6),0.0749882 # DEPENDENCYPART_ARC
(8,7),1.10326 # DEPENDENCYPART_ARC
(8,9),-1.1093 # DEPENDENCYPART_ARC
(8,10),-0.626351 # DEPENDENCYPART_ARC
(8,11),-3.02675 # DEPENDENCYPART_ARC
(8,12),-4.43303 # DEPENDENCYPART_ARC
(8,13),-1.18479 # DEPENDENCYPART_ARC
(8,15),-1.34856 # DEPENDENCYPART_ARC
(8,17),-1.50308 # DEPENDENCYPART_ARC
(8,18),-1.39608 # DEPENDENCYPART_ARC
(8,20),-2.50684 # DEPENDENCYPART_ARC
(9,3),-0.990097 # DEPENDENCYPART_ARC
(9,8),-1.4026 # DEPENDENCYPART_ARC
(9,11),-1.86453 # DEPENDENCYPART_ARC
(9,12),-1.81176 # DEPENDENCYPART_ARC
(9,17),-2.03786 # DEPENDENCYPART_ARC
(9,20),-2.72038 # DEPENDENCYPART_ARC
(10,11),-1.31467 # DEPENDENCYPART_ARC
(10,12),-2.41757 # DEPENDENCYPART_ARC
(10,14),-2.20728 # DEPENDENCYPART_ARC
(11,13),-0.97262 # DEPENDENCYPART_ARC
(12,5),-5.14738 # DEPENDENCYPART_ARC
(12,6),-0.766242 # DEPENDENCYPART_ARC
(12,7),-0.417283 # DEPENDENCYPART_ARC
(12,8),-5.45824 # DEPENDENCYPART_ARC
(12,10),-1.94893 # DEPENDENCYPART_ARC
(12,11),2.29972 # DEPENDENCYPART_ARC
(12,13),-0.305224 # DEPENDENCYPART_ARC
(12,14),-3.21114 # DEPENDENCYPART_ARC
(12,15),-0.797528 # DEPENDENCYPART_ARC
(13,12),-2.33341 # DEPENDENCYPART_ARC
(13,14),2.63087 # DEPENDENCYPART_ARC
(13,16),-0.694568 # DEPENDENCYPART_ARC
(14,10),-1.36443 # DEPENDENCYPART_ARC
(14,11),-5.09044 # DEPENDENCYPART_ARC
(14,13),-1.3609 # DEPENDENCYPART_ARC
(14,15),0.556855 # DEPENDENCYPART_ARC
(14,16),-2.05887 # DEPENDENCYPART_ARC
(14,17),-1.67276 # DEPENDENCYPART_ARC
(14,18),-0.991871 # DEPENDENCYPART_ARC
(14,19),-1.42731 # DEPENDENCYPART_ARC
(14,20),-2.67413 # DEPENDENCYPART_ARC
(15,13),-0.923739 # DEPENDENCYPART_ARC
(15,14),-1.19964 # DEPENDENCYPART_ARC
(15,16),4.3068 # DEPENDENCYPART_ARC
(15,19),-1.65591 # DEPENDENCYPART_ARC
(16,10),-3.26605 # DEPENDENCYPART_ARC
(16,14),-3.1807 # DEPENDENCYPART_ARC
(17,1),0.274962 # DEPENDENCYPART_ARC
(17,2),-0.743959 # DEPENDENCYPART_ARC
(17,3),-0.913601 # DEPENDENCYPART_ARC
(17,4),-1.05996 # DEPENDENCYPART_ARC
(17,5),-1.99213 # DEPENDENCYPART_ARC
(17,6),-0.643935 # DEPENDENCYPART_ARC
(17,7),-0.870569 # DEPENDENCYPART_ARC
(17,8),-0.184986 # DEPENDENCYPART_ARC
(17,9),-0.0357031 # DEPENDENCYPART_ARC
(17,10),0.74921 # DEPENDENCYPART_ARC
(17,11),-2.8786 # DEPENDENCYPART_ARC
(17,12),-0.331525 # DEPENDENCYPART_ARC
(17,13),-0.282857 # DEPENDENCYPART_ARC
(17,14),0.940907 # DEPENDENCYPART_ARC
(17,15),0.174259 # DEPENDENCYPART_ARC
(17,16),0.121831 # DEPENDENCYPART_ARC
(17,18),-1.11554 # DEPENDENCYPART_ARC
(17,19),-0.898037 # DEPENDENCYPART_ARC
(17,20),-2.67638 # DEPENDENCYPART_ARC
(17,21),-1.04495 # DEPENDENCYPART_ARC
(17,22),-3.9369 # DEPENDENCYPART_ARC
(17,23),-2.0328 # DEPENDENCYPART_ARC
(17,24),-2.06048 # DEPENDENCYPART_ARC
(17,25),-1.66922 # DEPENDENCYPART_ARC
(17,26),-3.34652 # DEPENDENCYPART_ARC
(17,27),-2.29466 # DEPENDENCYPART_ARC
(18,1),-0.0779718 # DEPENDENCYPART_ARC
(18,2),-0.834028 # DEPENDENCYPART_ARC
(18,3),-0.8042 # DEPENDENCYPART_ARC
(18,4),-1.06373 # DEPENDENCYPART_ARC
(18,6),-0.674553 # DEPENDENCYPART_ARC
(18,7),-0.692348 # DEPENDENCYPART_ARC
(18,8),-1.21626 # DEPENDENCYPART_ARC
(18,9),0.211778 # DEPENDENCYPART_ARC
(18,10),-0.20128 # DEPENDENCYPART_ARC
(18,11),-1.71701 # DEPENDENCYPART_ARC
(18,12),-0.49203 # DEPENDENCYPART_ARC
(18,13),-0.534313 # DEPENDENCYPART_ARC
(18,14),-0.451993 # DEPENDENCYPART_ARC
(18,15),-0.244917 # DEPENDENCYPART_ARC
(18,16),-0.108249 # DEPENDENCYPART_ARC
(18,17),1.95647 # DEPENDENCYPART_ARC
(18,19),-0.0762673 # DEPENDENCYPART_ARC
(18,20),1.24447 # DEPENDENCYPART_ARC
(18,21),0.0608966 # DEPENDENCYPART_ARC
(18,22),-0.557677 # DEPENDENCYPART_ARC
(18,23),-2.00736 # DEPENDENCYPART_ARC
(18,24),-1.42222 # DEPENDENCYPART_ARC
(18,25),-1.95693 # DEPENDENCYPART_ARC
(18,26),-2.2107 # DEPENDENCYPART_ARC
(18,27),-1.6189 # DEPENDENCYPART_ARC
(18,29),-0.989657 # DEPENDENCYPART_ARC
(19,22),-2.01979 # DEPENDENCYPART_ARC
(20,1),0.524834 # DEPENDENCYPART_ARC
(20,2),-0.274504 # DEPENDENCYPART_ARC
(20,3),-1.20487 # DEPENDENCYPART_ARC
(20,4),-1.28293 # DEPENDENCYPART_ARC
(20,5),-1.68384 # DEPENDENCYPART_ARC
(20,6),-0.868349 # DEPENDENCYPART_ARC
(20,7),-0.47671 # DEPENDENCYPART_ARC
(20,8),-0.0573647 # DEPENDENCYPART_ARC
(20,9),-0.684711 # DEPENDENCYPART_ARC
(20,10),0.49776 # DEPENDENCYPART_ARC
(20,11),-2.63137 # DEPENDENCYPART_ARC
(20,12),-0.460909 # DEPENDENCYPART_ARC
(20,13),-0.805292 # DEPENDENCYPART_ARC
(20,14),0.669288 # DEPENDENCYPART_ARC
(20,15),-0.345087 # DEPENDENCYPART_ARC
(20,16),-0.475461 # DEPENDENCYPART_ARC
(20,17),-1.23127 # DEPENDENCYPART_ARC
(20,18),-0.156593 # DEPENDENCYPART_ARC
(20,19),1.58134 # DEPENDENCYPART_ARC
(20,21),-0.0657052 # DEPENDENCYPART_ARC
(20,22),-2.45831 # DEPENDENCYPART_ARC
(20,23),-1.06307 # DEPENDENCYPART_ARC
(20,24),-1.45979 # DEPENDENCYPART_ARC
(20,25),-0.974951 # DEPENDENCYPART_ARC
(20,26),-3.09509 # DEPENDENCYPART_ARC
(20,27),-1.93662 # DEPENDENCYPART_ARC
(20,28),-3.38326 # DEPENDENCYPART_ARC
(20,29),-1.76241 # DEPENDENCYPART_ARC
(21,3),-1.01791 # DEPENDENCYPART_ARC
(21,15),-0.986136 # DEPENDENCYPART_ARC
(21,17),-0.50797 # DEPENDENCYPART_ARC
(21,18),-0.288771 # DEPENDENCYPART_ARC
(21,19),-0.765756 # DEPENDENCYPART_ARC
(21,20),-0.277843 # DEPENDENCYPART_ARC
(21,22),-0.568599 # DEPENDENCYPART_ARC
(21,23),-1.65546 # DEPENDENCYPART_ARC
(21,24),-1.37907 # DEPENDENCYPART_ARC
(21,25),-2.25537 # DEPENDENCYPART_ARC
(21,26),-2.55463 # DEPENDENCYPART_ARC
(21,27),-1.94125 # DEPENDENCYPART_ARC
(22,1),0.437396 # DEPENDENCYPART_ARC
(22,2),-0.396927 # DEPENDENCYPART_ARC
(22,3),-2.1672 # DEPENDENCYPART_ARC
(22,7),-1.22163 # DEPENDENCYPART_ARC
(22,8),-1.1737 # DEPENDENCYPART_ARC
(22,10),-1.6098 # DEPENDENCYPART_ARC
(22,12),-2.35685 # DEPENDENCYPART_ARC
(22,13),-1.96932 # DEPENDENCYPART_ARC
(22,14),-0.979975 # DEPENDENCYPART_ARC
(22,15),-1.98482 # DEPENDENCYPART_ARC
(22,17),-2.25098 # DEPENDENCYPART_ARC
(22,18),-0.832431 # DEPENDENCYPART_ARC
(22,19),-0.45696 # DEPENDENCYPART_ARC
(22,20),-1.39151 # DEPENDENCYPART_ARC
(22,21),-0.458271 # DEPENDENCYPART_ARC
(22,23),1.94806 # DEPENDENCYPART_ARC
(22,24),0.448283 # DEPENDENCYPART_ARC
(22,25),0.544396 # DEPENDENCYPART_ARC
(22,26),-0.3411 # DEPENDENCYPART_ARC
(22,27),-0.239435 # DEPENDENCYPART_ARC
(22,28),-1.17336 # DEPENDENCYPART_ARC
(22,29),-0.597713 # DEPENDENCYPART_ARC
(23,19),-1.06819 # DEPENDENCYPART_ARC
(23,21),-1.14355 # DEPENDENCYPART_ARC
(23,22),-0.89102 # DEPENDENCYPART_ARC
(23,24),-0.953958 # DEPENDENCYPART_ARC
(23,25),-2.28181 # DEPENDENCYPART_ARC
(23,26),-2.03718 # DEPENDENCYPART_ARC
(23,27),-1.50467 # DEPENDENCYPART_ARC
(23,28),-2.40003 # DEPENDENCYPART_ARC
(24,19),-2.03182 # DEPENDENCYPART_ARC
(24,23),-1.27111 # DEPENDENCYPART_ARC
(24,25),-1.61893 # DEPENDENCYPART_ARC
(24,26),-2.25572 # DEPENDENCYPART_ARC
(24,27),-2.30878 # DEPENDENCYPART_ARC
(24,28),-3.0025 # DEPENDENCYPART_ARC
(25,23),-2.20691 # DEPENDENCYPART_ARC
(25,24),-0.16962 # DEPENDENCYPART_ARC
(25,26),2.25657 # DEPENDENCYPART_ARC
(25,27),0.290113 # DEPENDENCYPART_ARC
(25,28),-1.61805 # DEPENDENCYPART_ARC
(25,29),-0.926083 # DEPENDENCYPART_ARC
(26,23),-2.6751 # DEPENDENCYPART_ARC
(26,24),-0.626283 # DEPENDENCYPART_ARC
(26,25),-1.8023 # DEPENDENCYPART_ARC
(26,27),0.758243 # DEPENDENCYPART_ARC
(26,28),-1.73397 # DEPENDENCYPART_ARC
(26,29),-1.03444 # DEPENDENCYPART_ARC
(27,25),-3.24791 # DEPENDENCYPART_ARC
(27,26),-2.74918 # DEPENDENCYPART_ARC
(27,28),2.63477 # DEPENDENCYPART_ARC
(27,29),-1.29119 # DEPENDENCYPART_ARC
(28,23),-2.74659 # DEPENDENCYPART_ARC
(28,24),-1.34752 # DEPENDENCYPART_ARC
(28,25),-2.3936 # DEPENDENCYPART_ARC
(28,26),-2.18185 # DEPENDENCYPART_ARC
(28,27),-0.91059 # DEPENDENCYPART_ARC
(28,29),-1.1145 # DEPENDENCYPART_ARC
(29,22),-2.29577 # DEPENDENCYPART_ARC
(29,23),-2.7785 # DEPENDENCYPART_ARC
(29,28),-2.611 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.690242 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.894379 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.503071 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0974755 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.907097 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.74896 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.907097 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.503071 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.907239 # DEPENDENCYPART_SIBL
(0,1),(0,29),-0.105283 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.896915 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.119647 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.00214325 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.921091 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.736528 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.921091 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.119647 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.921233 # DEPENDENCYPART_SIBL
(0,2),(0,29),0.405497 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.370587 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.250784 # DEPENDENCYPART_SIBL
(0,3),(0,17),-1.49653 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.991711 # DEPENDENCYPART_SIBL
(0,3),(0,20),-1.4965 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.370587 # DEPENDENCYPART_SIBL
(0,3),(0,22),-1.4965 # DEPENDENCYPART_SIBL
(0,3),(0,29),0.0842301 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.0970252 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.140416 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.129028 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.408609 # DEPENDENCYPART_SIBL
(0,9),(0,29),0.0600043 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.415716 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.105494 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.415716 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.0902836 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.415719 # DEPENDENCYPART_SIBL
(0,10),(0,29),0.180625 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.958807 # DEPENDENCYPART_SIBL
(0,17),(0,20),-1.46029 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.286987 # DEPENDENCYPART_SIBL
(0,17),(0,22),-1.46029 # DEPENDENCYPART_SIBL
(0,17),(0,29),0.173458 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.898665 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.238729 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.898807 # DEPENDENCYPART_SIBL
(0,18),(0,29),0.209679 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.296463 # DEPENDENCYPART_SIBL
(0,20),(0,22),-1.46319 # DEPENDENCYPART_SIBL
(0,20),(0,29),0.163983 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.408609 # DEPENDENCYPART_SIBL
(0,21),(0,29),0.0600043 # DEPENDENCYPART_SIBL
(0,22),(0,29),0.183086 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.204926 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0211171 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00057037 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00738058 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.138156 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00315262 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.219717 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.25893 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.219717 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.00315262 # DEPENDENCYPART_SIBL
(1,2),(1,22),-0.219859 # DEPENDENCYPART_SIBL
(1,2),(1,29),0.0737057 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.117608 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.128453 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0946352 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.340891 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0222395 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.834026 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.538984 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.833998 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.0222395 # DEPENDENCYPART_SIBL
(1,3),(1,22),-0.833998 # DEPENDENCYPART_SIBL
(1,3),(1,29),-0.0700951 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0613271 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00688953 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0384677 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0988846 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.0791649 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0669306 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.079163 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.0988846 # DEPENDENCYPART_SIBL
(1,4),(1,22),-0.0791841 # DEPENDENCYPART_SIBL
(1,4),(1,29),-0.0759232 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0437967 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.098602 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0443965 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.365887 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.161559 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.365887 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.0443965 # DEPENDENCYPART_SIBL
(1,5),(1,22),-0.36601 # DEPENDENCYPART_SIBL
(1,5),(1,29),-0.0742973 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.123258 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.1169 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.261801 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.17621 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.261799 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.1169 # DEPENDENCYPART_SIBL
(1,6),(1,22),-0.26182 # DEPENDENCYPART_SIBL
(1,6),(1,29),-0.0998793 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0978834 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.225625 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.229984 # DEPENDENCYPART_SIBL
(1,7),(1,20),-0.225625 # DEPENDENCYPART_SIBL
(1,7),(1,21),-0.0978834 # DEPENDENCYPART_SIBL
(1,7),(1,22),-0.225767 # DEPENDENCYPART_SIBL
(1,7),(1,29),-0.0932548 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.360739 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.252494 # DEPENDENCYPART_SIBL
(1,9),(1,20),-0.360739 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.421656 # DEPENDENCYPART_SIBL
(1,9),(1,22),-0.36074 # DEPENDENCYPART_SIBL
(1,9),(1,29),-0.241227 # DEPENDENCYPART_SIBL
(1,17),(1,18),-0.518917 # DEPENDENCYPART_SIBL
(1,17),(1,20),-0.810284 # DEPENDENCYPART_SIBL
(1,17),(1,21),0.0275071 # DEPENDENCYPART_SIBL
(1,17),(1,22),-0.810284 # DEPENDENCYPART_SIBL
(1,17),(1,29),-0.0215819 # DEPENDENCYPART_SIBL
(1,18),(1,20),-0.228483 # DEPENDENCYPART_SIBL
(1,18),(1,21),0.0571111 # DEPENDENCYPART_SIBL
(1,18),(1,22),-0.228625 # DEPENDENCYPART_SIBL
(1,18),(1,29),0.0655322 # DEPENDENCYPART_SIBL
(1,20),(1,21),0.025519 # DEPENDENCYPART_SIBL
(1,20),(1,22),-0.810081 # DEPENDENCYPART_SIBL
(1,20),(1,29),-0.0235701 # DEPENDENCYPART_SIBL
(1,21),(1,22),-0.36074 # DEPENDENCYPART_SIBL
(1,21),(1,29),-0.241227 # DEPENDENCYPART_SIBL
(1,22),(1,29),-0.0198643 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.106133 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0388959 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0605405 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0129941 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0425376 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0109467 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0425376 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0129941 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0297023 # DEPENDENCYPART_SIBL
(2,1),(2,29),0.0217504 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.124888 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.134543 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0522922 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.848662 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.568234 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.848634 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.0522922 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.848634 # DEPENDENCYPART_SIBL
(2,3),(2,29),-0.0498815 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0585662 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0965822 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0848195 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0813957 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0848176 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0965822 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0848387 # DEPENDENCYPART_SIBL
(2,4),(2,29),-0.0505097 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0437703 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.374241 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.177317 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.374241 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0437703 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.374364 # DEPENDENCYPART_SIBL
(2,5),(2,29),-0.0504439 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.278907 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.179083 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.278907 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.224442 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.278908 # DEPENDENCYPART_SIBL
(2,9),(2,29),-0.0398858 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.548694 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.825447 # DEPENDENCYPART_SIBL
(2,17),(2,21),-0.00361459 # DEPENDENCYPART_SIBL
(2,17),(2,22),-0.825447 # DEPENDENCYPART_SIBL
(2,17),(2,29),-0.00243747 # DEPENDENCYPART_SIBL
(2,18),(2,20),-0.277859 # DEPENDENCYPART_SIBL
