# _root_ " Podnikám a nezakrývám , že závodění a firma někdy nejdou dohromady , jedno druhému zabírá čas .
#goldHeads=3,3,0,3,6,4,8,11,8,11,13,11,6,16,16,13,16,0,
#predictedHeads=3,3,0,3,6,4,8,11,8,11,6,11,11,16,16,13,16,0,
(13,15),-1.38579 # DEPENDENCYPART_ARC
(13,16),-0.964701 # DEPENDENCYPART_ARC
(13,17),-1.40692 # DEPENDENCYPART_ARC
(13,18),-1.08347 # DEPENDENCYPART_ARC
(14,12),-0.576415 # DEPENDENCYPART_ARC
(14,13),-0.371817 # DEPENDENCYPART_ARC
(14,15),-0.950438 # DEPENDENCYPART_ARC
(14,17),-3.13322 # DEPENDENCYPART_ARC
(14,18),-0.84733 # DEPENDENCYPART_ARC
(15,8),-1.16254 # DEPENDENCYPART_ARC
(15,9),-3.84095 # DEPENDENCYPART_ARC
(15,10),-1.38227 # DEPENDENCYPART_ARC
(15,11),-3.07526 # DEPENDENCYPART_ARC
(15,12),-1.12129 # DEPENDENCYPART_ARC
(15,13),-0.702852 # DEPENDENCYPART_ARC
(15,14),-1.52368 # DEPENDENCYPART_ARC
(15,16),-1.98086 # DEPENDENCYPART_ARC
(15,17),-3.32316 # DEPENDENCYPART_ARC
(15,18),-1.19888 # DEPENDENCYPART_ARC
(16,1),-1.46086 # DEPENDENCYPART_ARC
(16,2),-2.27345 # DEPENDENCYPART_ARC
(16,3),-1.32706 # DEPENDENCYPART_ARC
(16,4),-2.05414 # DEPENDENCYPART_ARC
(16,5),-1.83963 # DEPENDENCYPART_ARC
(16,6),-1.81921 # DEPENDENCYPART_ARC
(16,7),-0.249466 # DEPENDENCYPART_ARC
(16,8),-0.734579 # DEPENDENCYPART_ARC
(16,9),0.128587 # DEPENDENCYPART_ARC
(16,10),-0.90871 # DEPENDENCYPART_ARC
(16,11),-1.62749 # DEPENDENCYPART_ARC
(16,12),-0.657656 # DEPENDENCYPART_ARC
(16,13),-0.113453 # DEPENDENCYPART_ARC
(16,14),-0.060844 # DEPENDENCYPART_ARC
(16,15),0.531758 # DEPENDENCYPART_ARC
(16,17),2.01519 # DEPENDENCYPART_ARC
(16,18),-0.915144 # DEPENDENCYPART_ARC
(17,12),-1.29626 # DEPENDENCYPART_ARC
(17,14),-1.56835 # DEPENDENCYPART_ARC
(17,15),-1.49641 # DEPENDENCYPART_ARC
(17,18),-0.372959 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.434769 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0787619 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.434769 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.159905 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0265409 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0787619 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.434769 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.159905 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.082306 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.434769 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.216479 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.962228 # DEPENDENCYPART_SIBL
(0,2),(0,4),-1.46319 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.296463 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.638976 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.962228 # DEPENDENCYPART_SIBL
(0,2),(0,11),-1.46319 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.296463 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0755921 # DEPENDENCYPART_SIBL
(0,2),(0,16),-1.46319 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.00769122 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.898665 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.238729 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.223685 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.747338 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.898665 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.238729 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0769542 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.898665 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.0494213 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.296463 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.638976 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.962228 # DEPENDENCYPART_SIBL
(0,4),(0,11),-1.46319 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.296463 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0755921 # DEPENDENCYPART_SIBL
(0,4),(0,16),-1.46319 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.00769122 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.00123668 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.140416 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.408609 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.129028 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0266979 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.408609 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.708252 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.861016 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.326921 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0512204 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.861016 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.107484 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.898665 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.238729 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0769542 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.898665 # DEPENDENCYPART_SIBL
(0,8),(0,18),0.0494213 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.296463 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0755921 # DEPENDENCYPART_SIBL
(0,11),(0,16),-1.46319 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.00769122 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0266979 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.408609 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.390058 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.272176 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0174852 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.215172 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.36181 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.161017 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0828816 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0521746 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.161017 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0174513 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0373778 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00706366 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0514026 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0174513 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00706366 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0366275 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00281093 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0127567 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.244861 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.00281093 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.000347453 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0821589 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.140642 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.000347453 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0340273 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.139006 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.124158 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.367159 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00994844 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.00281093 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.144881 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0553702 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0134314 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.112645 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.123907 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0969499 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0965703 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0553702 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0134314 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0061148 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0553702 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.481874 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0119204 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0911583 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.150222 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0285578 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0243198 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.481874 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0119204 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0222397 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.481874 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0220343 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.255987 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0260586 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.310971 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0388541 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.828865 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0220343 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0134426 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.828865 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0614137 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0353391 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0637265 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0321401 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.284829 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.235972 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0636416 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.284829 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.102003 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.164893 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.00749846 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.253982 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0161427 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0702766 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.253982 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0925773 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0181131 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.480211 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0521956 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0208703 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.480211 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0179933 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.216182 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00237326 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0373859 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.216182 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.192601 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0237379 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0563418 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.192601 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0220343 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0134426 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.828865 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0636416 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.284829 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.477227 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0910492 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0220843 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00706366 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0514026 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0102244 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0174513 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0320348 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0411493 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0373778 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00588669 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0185041 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0270831 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0113785 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0469312 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0145784 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0199261 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.026436 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00265295 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0116506 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.01319 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.014528 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00948827 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0414413 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00529173 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0267921 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.022757 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.00291254 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0187148 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.00707667 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0143804 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0340273 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.106766 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.139006 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.115555 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0211412 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0995844 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0455559 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0780258 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.182973 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.367159 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.189569 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0923179 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.16892 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.122774 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.175257 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.247974 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.11021 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0177528 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.01606 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0167254 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0184 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0219261 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00561766 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0366275 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.035676 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0539675 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0456629 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0308943 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0111846 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0164082 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0942595 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0311674 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0609173 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.000465484 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0992469 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0362565 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.278123 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00403631 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.278123 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0131374 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0041147 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0151316 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.124378 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0229424 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.124378 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.290959 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.346497 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0388936 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.328902 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.174552 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0818862 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0117402 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0818862 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0105657 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.102282 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.289906 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.298143 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0914242 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.287218 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.133206 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.131848 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0803462 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.131848 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0206821 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.209567 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0175315 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0356354 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0193549 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0416899 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.131912 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.127306 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.131912 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.289906 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.298143 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0914242 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.287218 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.133206 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.131848 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0803462 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.131848 # DEPENDENCYPART_SIBL
