# _root_ Mezi pašeráky byli v Průhonicích u Prahy zadrženi i dva policisté z Bratislavy , kteří - jak se po prvním výslechu ukázalo - nepřísluší ke kriminální , ale k dopravní policii .
#goldHeads=8,1,8,8,4,5,6,0,11,11,8,11,12,24,24,22,22,22,22,21,19,24,22,11,28,25,28,24,28,31,29,0,
#predictedHeads=8,1,8,3,4,5,6,0,11,11,8,11,12,22,22,22,22,22,22,21,19,13,22,0,28,25,28,24,28,31,29,0,
(24,1),-0.501888 # DEPENDENCYPART_ARC
(24,2),-1.56555 # DEPENDENCYPART_ARC
(24,3),-1.86026 # DEPENDENCYPART_ARC
(24,4),-1.31887 # DEPENDENCYPART_ARC
(24,5),-2.16973 # DEPENDENCYPART_ARC
(24,6),-1.43474 # DEPENDENCYPART_ARC
(24,7),-4.27028 # DEPENDENCYPART_ARC
(24,8),-1.00864 # DEPENDENCYPART_ARC
(24,9),-1.15715 # DEPENDENCYPART_ARC
(24,10),-0.816983 # DEPENDENCYPART_ARC
(24,11),-0.693396 # DEPENDENCYPART_ARC
(24,13),-4.23645 # DEPENDENCYPART_ARC
(24,14),-0.427894 # DEPENDENCYPART_ARC
(24,15),-0.976337 # DEPENDENCYPART_ARC
(24,16),-0.417134 # DEPENDENCYPART_ARC
(24,17),-0.116353 # DEPENDENCYPART_ARC
(24,18),0.117294 # DEPENDENCYPART_ARC
(24,19),0.00733068 # DEPENDENCYPART_ARC
(24,21),-1.15085 # DEPENDENCYPART_ARC
(24,22),-0.344707 # DEPENDENCYPART_ARC
(24,23),-0.298795 # DEPENDENCYPART_ARC
(24,25),1.03888 # DEPENDENCYPART_ARC
(24,26),-0.854023 # DEPENDENCYPART_ARC
(24,27),-0.729394 # DEPENDENCYPART_ARC
(24,28),-0.132826 # DEPENDENCYPART_ARC
(24,29),-0.711549 # DEPENDENCYPART_ARC
(24,31),-0.862725 # DEPENDENCYPART_ARC
(24,32),-1.34908 # DEPENDENCYPART_ARC
(25,23),-0.868412 # DEPENDENCYPART_ARC
(25,26),0.47194 # DEPENDENCYPART_ARC
(25,27),-0.756091 # DEPENDENCYPART_ARC
(25,28),-0.985783 # DEPENDENCYPART_ARC
(25,31),0.783554 # DEPENDENCYPART_ARC
(26,19),-1.82207 # DEPENDENCYPART_ARC
(26,24),-2.93809 # DEPENDENCYPART_ARC
(26,25),-0.76929 # DEPENDENCYPART_ARC
(26,27),-1.08417 # DEPENDENCYPART_ARC
(26,29),-1.8762 # DEPENDENCYPART_ARC
(26,31),-3.12437 # DEPENDENCYPART_ARC
(27,24),-1.02369 # DEPENDENCYPART_ARC
(27,25),-1.52172 # DEPENDENCYPART_ARC
(27,26),-1.27437 # DEPENDENCYPART_ARC
(27,29),-0.845502 # DEPENDENCYPART_ARC
(27,30),-0.980277 # DEPENDENCYPART_ARC
(27,31),-1.81744 # DEPENDENCYPART_ARC
(28,1),-2.12966 # DEPENDENCYPART_ARC
(28,2),-1.73942 # DEPENDENCYPART_ARC
(28,3),-0.661992 # DEPENDENCYPART_ARC
(28,4),-1.57958 # DEPENDENCYPART_ARC
(28,5),-2.05142 # DEPENDENCYPART_ARC
(28,6),-1.40918 # DEPENDENCYPART_ARC
(28,8),-0.399215 # DEPENDENCYPART_ARC
(28,9),-1.6224 # DEPENDENCYPART_ARC
(28,11),-2.17087 # DEPENDENCYPART_ARC
(28,12),-1.41748 # DEPENDENCYPART_ARC
(28,13),-2.18637 # DEPENDENCYPART_ARC
(28,14),-1.09359 # DEPENDENCYPART_ARC
(28,15),-1.403 # DEPENDENCYPART_ARC
(28,16),-0.937709 # DEPENDENCYPART_ARC
(28,17),-1.27863 # DEPENDENCYPART_ARC
(28,18),-1.50327 # DEPENDENCYPART_ARC
(28,19),-0.672384 # DEPENDENCYPART_ARC
(28,20),-1.82105 # DEPENDENCYPART_ARC
(28,21),-1.501 # DEPENDENCYPART_ARC
(28,22),-0.318024 # DEPENDENCYPART_ARC
(28,23),-0.534368 # DEPENDENCYPART_ARC
(28,24),0.124814 # DEPENDENCYPART_ARC
(28,25),0.519503 # DEPENDENCYPART_ARC
(28,26),-0.557814 # DEPENDENCYPART_ARC
(28,27),1.81608 # DEPENDENCYPART_ARC
(28,29),0.115388 # DEPENDENCYPART_ARC
(28,30),-0.8463 # DEPENDENCYPART_ARC
(28,31),-0.977807 # DEPENDENCYPART_ARC
(28,32),-0.61947 # DEPENDENCYPART_ARC
(29,27),-0.686723 # DEPENDENCYPART_ARC
(29,30),-0.207445 # DEPENDENCYPART_ARC
(29,31),2.34746 # DEPENDENCYPART_ARC
(29,32),-0.988926 # DEPENDENCYPART_ARC
(30,25),-2.05322 # DEPENDENCYPART_ARC
(30,29),-1.01234 # DEPENDENCYPART_ARC
(31,20),-2.28781 # DEPENDENCYPART_ARC
(31,25),-1.84769 # DEPENDENCYPART_ARC
(31,26),-0.767621 # DEPENDENCYPART_ARC
(31,27),-0.744367 # DEPENDENCYPART_ARC
(31,28),-0.371769 # DEPENDENCYPART_ARC
(31,29),-1.47428 # DEPENDENCYPART_ARC
(31,30),2.2879 # DEPENDENCYPART_ARC
(31,32),-0.884681 # DEPENDENCYPART_ARC
(0,1),(0,2),0.34573 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.314593 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.295222 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.24639 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0188303 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.202807 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0404869 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.310117 # DEPENDENCYPART_SIBL
(0,1),(0,23),0.0404869 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.307588 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.0188303 # DEPENDENCYPART_SIBL
(0,1),(0,28),0.0194357 # DEPENDENCYPART_SIBL
(0,1),(0,32),-0.217919 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.193764 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.150666 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.101942 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0205511 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.0965325 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.124524 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.187706 # DEPENDENCYPART_SIBL
(0,2),(0,23),0.124524 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.183763 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.0205511 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.0857789 # DEPENDENCYPART_SIBL
(0,2),(0,32),-0.416994 # DEPENDENCYPART_SIBL
(0,3),(0,8),-1.46303 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0841167 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.335094 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.235901 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.16096 # DEPENDENCYPART_SIBL
(0,3),(0,22),-1.47841 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.16096 # DEPENDENCYPART_SIBL
(0,3),(0,24),-1.47628 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.335094 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.832238 # DEPENDENCYPART_SIBL
(0,3),(0,32),-0.0481876 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0651977 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.279106 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.216982 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.120433 # DEPENDENCYPART_SIBL
(0,8),(0,22),-1.45838 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.120433 # DEPENDENCYPART_SIBL
(0,8),(0,24),-1.45625 # DEPENDENCYPART_SIBL
(0,8),(0,27),-0.279106 # DEPENDENCYPART_SIBL
(0,8),(0,28),-0.819128 # DEPENDENCYPART_SIBL
(0,8),(0,32),0.0166082 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0460152 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0736979 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.073099 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.393874 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.073099 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.389198 # DEPENDENCYPART_SIBL
(0,10),(0,27),-0.0460152 # DEPENDENCYPART_SIBL
(0,10),(0,28),-0.128338 # DEPENDENCYPART_SIBL
(0,10),(0,32),-0.262365 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.103059 # DEPENDENCYPART_SIBL
(0,14),(0,16),0.290761 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.410766 # DEPENDENCYPART_SIBL
(0,14),(0,23),0.290761 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.408609 # DEPENDENCYPART_SIBL
(0,14),(0,27),-0.129028 # DEPENDENCYPART_SIBL
(0,14),(0,28),-0.0988373 # DEPENDENCYPART_SIBL
(0,14),(0,32),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.006092 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.412412 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.006092 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.410237 # DEPENDENCYPART_SIBL
(0,15),(0,27),-0.0795328 # DEPENDENCYPART_SIBL
(0,15),(0,28),-0.035626 # DEPENDENCYPART_SIBL
(0,15),(0,32),-0.0307597 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.471815 # DEPENDENCYPART_SIBL
(0,16),(0,23),0.0671112 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.469612 # DEPENDENCYPART_SIBL
(0,16),(0,27),-0.227369 # DEPENDENCYPART_SIBL
(0,16),(0,28),-0.103562 # DEPENDENCYPART_SIBL
(0,16),(0,32),-0.277536 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.103393 # DEPENDENCYPART_SIBL
(0,22),(0,24),-1.44742 # DEPENDENCYPART_SIBL
(0,22),(0,27),-0.261348 # DEPENDENCYPART_SIBL
(0,22),(0,28),-0.815612 # DEPENDENCYPART_SIBL
(0,22),(0,32),0.0499565 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.469612 # DEPENDENCYPART_SIBL
(0,23),(0,27),-0.227369 # DEPENDENCYPART_SIBL
(0,23),(0,28),-0.103562 # DEPENDENCYPART_SIBL
(0,23),(0,32),-0.277536 # DEPENDENCYPART_SIBL
(0,24),(0,27),-0.296463 # DEPENDENCYPART_SIBL
(0,24),(0,28),-0.826071 # DEPENDENCYPART_SIBL
(0,24),(0,32),-0.00769122 # DEPENDENCYPART_SIBL
(0,27),(0,28),-0.0988373 # DEPENDENCYPART_SIBL
(0,27),(0,32),-0.133324 # DEPENDENCYPART_SIBL
(0,28),(0,32),0.233903 # DEPENDENCYPART_SIBL
(1,2),(1,5),-1.31656 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0956213 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.137698 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.148221 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0773922 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00468451 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00638287 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0637046 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00512072 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00365476 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0190564 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00463508 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0206244 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0496199 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0692125 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.00157525 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0191349 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0710798 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.00622015 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0205354 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.00259175 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0710317 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.0710798 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.00431931 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.0414047 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00987813 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0719867 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0475878 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0575513 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0667003 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0442324 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0500961 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0699157 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0338173 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0467246 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.009475 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0178446 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0609865 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.00418187 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.0467246 # DEPENDENCYPART_SIBL
(3,2),(3,28),0.00824879 # DEPENDENCYPART_SIBL
(3,2),(3,29),0.0462073 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0750965 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0740733 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0735426 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00038879 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.132536 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.193171 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.08379 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00630821 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0618573 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0893385 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.181668 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.000481577 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0438463 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.0618573 # DEPENDENCYPART_SIBL
(3,4),(3,28),0.0124248 # DEPENDENCYPART_SIBL
(3,4),(3,29),0.0697426 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0899239 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0986629 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0231293 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.211525 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0227841 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0944853 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.00258981 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.00383179 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0170675 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0134668 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0317315 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0346885 # DEPENDENCYPART_SIBL
(3,5),(3,27),0.00383179 # DEPENDENCYPART_SIBL
(3,5),(3,28),-0.122542 # DEPENDENCYPART_SIBL
