# _root_ Jedná se o projekty snižující zamoření ovzduší , zlepšující kvalitu vod , hospodaření s odpady .
#goldHeads=0,1,1,3,8,5,6,4,8,12,10,9,12,13,14,0,
#predictedHeads=0,1,1,3,4,5,6,9,4,9,10,9,9,13,14,0,
(6,14),-0.16305 # DEPENDENCYPART_ARC
(7,1),-2.10453 # DEPENDENCYPART_ARC
(7,2),-4.29587 # DEPENDENCYPART_ARC
(7,3),-1.75236 # DEPENDENCYPART_ARC
(7,4),-4.51267 # DEPENDENCYPART_ARC
(7,5),-3.93804 # DEPENDENCYPART_ARC
(7,6),-1.6047 # DEPENDENCYPART_ARC
(7,8),-1.42059 # DEPENDENCYPART_ARC
(7,9),-2.79743 # DEPENDENCYPART_ARC
(7,10),-3.39966 # DEPENDENCYPART_ARC
(7,11),-1.11267 # DEPENDENCYPART_ARC
(7,14),-1.13217 # DEPENDENCYPART_ARC
(8,1),-1.22088 # DEPENDENCYPART_ARC
(8,3),-1.05482 # DEPENDENCYPART_ARC
(8,4),-0.98194 # DEPENDENCYPART_ARC
(8,5),-1.36722 # DEPENDENCYPART_ARC
(8,6),-1.00682 # DEPENDENCYPART_ARC
(8,7),-0.204161 # DEPENDENCYPART_ARC
(8,9),-1.41695 # DEPENDENCYPART_ARC
(8,10),-0.937866 # DEPENDENCYPART_ARC
(8,11),-1.11941 # DEPENDENCYPART_ARC
(8,12),-0.770428 # DEPENDENCYPART_ARC
(8,13),-2.1882 # DEPENDENCYPART_ARC
(8,14),-1.616 # DEPENDENCYPART_ARC
(8,15),-2.55874 # DEPENDENCYPART_ARC
(8,16),-1.63736 # DEPENDENCYPART_ARC
(9,3),-1.14761 # DEPENDENCYPART_ARC
(9,6),-1.59268 # DEPENDENCYPART_ARC
(9,7),-2.74504 # DEPENDENCYPART_ARC
(9,8),0.050817 # DEPENDENCYPART_ARC
(9,10),1.21622 # DEPENDENCYPART_ARC
(9,11),-0.99849 # DEPENDENCYPART_ARC
(9,12),-0.437481 # DEPENDENCYPART_ARC
(9,13),-0.470648 # DEPENDENCYPART_ARC
(9,14),-0.728916 # DEPENDENCYPART_ARC
(9,15),-1.68167 # DEPENDENCYPART_ARC
(9,16),-1.07411 # DEPENDENCYPART_ARC
(10,1),-2.14667 # DEPENDENCYPART_ARC
(10,3),-1.36164 # DEPENDENCYPART_ARC
(10,5),-3.69146 # DEPENDENCYPART_ARC
(10,7),-3.83777 # DEPENDENCYPART_ARC
(10,8),-0.657862 # DEPENDENCYPART_ARC
(10,9),-1.47814 # DEPENDENCYPART_ARC
(10,11),1.90525 # DEPENDENCYPART_ARC
(10,12),-0.847539 # DEPENDENCYPART_ARC
(10,13),-2.34966 # DEPENDENCYPART_ARC
(10,14),0.388134 # DEPENDENCYPART_ARC
(10,15),-2.93588 # DEPENDENCYPART_ARC
(10,16),-1.65277 # DEPENDENCYPART_ARC
(11,4),-4.41 # DEPENDENCYPART_ARC
(11,5),-4.41893 # DEPENDENCYPART_ARC
(11,6),-4.26511 # DEPENDENCYPART_ARC
(11,7),-4.27797 # DEPENDENCYPART_ARC
(11,9),-2.35058 # DEPENDENCYPART_ARC
(11,10),-1.75406 # DEPENDENCYPART_ARC
(11,12),-1.0661 # DEPENDENCYPART_ARC
(11,13),-3.43459 # DEPENDENCYPART_ARC
(11,14),-0.643973 # DEPENDENCYPART_ARC
(11,15),-4.43446 # DEPENDENCYPART_ARC
(12,1),-1.47062 # DEPENDENCYPART_ARC
(12,3),-1.10114 # DEPENDENCYPART_ARC
(12,4),-1.15999 # DEPENDENCYPART_ARC
(12,6),-1.14169 # DEPENDENCYPART_ARC
(12,7),-0.938356 # DEPENDENCYPART_ARC
(12,8),-0.260256 # DEPENDENCYPART_ARC
(12,9),-1.34245 # DEPENDENCYPART_ARC
(12,10),-0.87082 # DEPENDENCYPART_ARC
(12,11),0.134815 # DEPENDENCYPART_ARC
(12,13),-0.0295488 # DEPENDENCYPART_ARC
(12,14),-0.79854 # DEPENDENCYPART_ARC
(12,15),-1.61218 # DEPENDENCYPART_ARC
(12,16),-1.05261 # DEPENDENCYPART_ARC
(13,1),-2.75132 # DEPENDENCYPART_ARC
(13,4),-4.58863 # DEPENDENCYPART_ARC
(13,5),-5.38042 # DEPENDENCYPART_ARC
(13,6),-2.67206 # DEPENDENCYPART_ARC
(13,7),-3.77843 # DEPENDENCYPART_ARC
(13,9),-4.33776 # DEPENDENCYPART_ARC
(13,10),-2.93225 # DEPENDENCYPART_ARC
(13,11),-4.50978 # DEPENDENCYPART_ARC
(13,12),-0.821052 # DEPENDENCYPART_ARC
(13,14),1.24714 # DEPENDENCYPART_ARC
(13,15),-1.02246 # DEPENDENCYPART_ARC
(13,16),-0.740219 # DEPENDENCYPART_ARC
(14,12),-1.02598 # DEPENDENCYPART_ARC
(14,13),-1.86752 # DEPENDENCYPART_ARC
(14,15),2.76078 # DEPENDENCYPART_ARC
(14,16),-1.10191 # DEPENDENCYPART_ARC
(15,9),-3.77003 # DEPENDENCYPART_ARC
(15,11),-4.40366 # DEPENDENCYPART_ARC
(15,13),-3.18212 # DEPENDENCYPART_ARC
(15,16),-0.476529 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.166191 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0380158 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.259847 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.259847 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0454564 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.223856 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0665988 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0665988 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.316417 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0221572 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0221572 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.41824 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.129028 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.133324 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.133324 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.281321 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0209486 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0554712 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0208112 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0187314 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0621638 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0183024 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0217801 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0621638 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0212014 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.221591 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0322209 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.107818 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.287611 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.237894 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.279898 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.281997 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.1689 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.281316 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.278969 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.1689 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.279858 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.288326 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.254555 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.226943 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0247311 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.14166 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.143288 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0464425 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.147522 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.137938 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0464425 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.141497 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0276112 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.129809 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.157489 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.120886 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.12298 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0681017 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.123395 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.119917 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0681017 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.120578 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0346764 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.109477 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.1659 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.131898 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0417268 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.136132 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.12271 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0417268 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.130106 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0332505 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.118418 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.153634 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0408132 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.137352 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.127767 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0408132 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.131326 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0403853 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.119638 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.152312 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.137326 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.133849 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.166325 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.134504 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0652312 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.116463 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.149543 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.143747 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.03191 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.147306 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0201535 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.135618 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.148518 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.0417519 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.130611 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.0488178 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.118923 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.153659 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.134504 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.0652312 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.116463 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.149543 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.030679 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.118554 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.15433 # DEPENDENCYPART_SIBL
(1,14),(1,15),-0.0314601 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.103307 # DEPENDENCYPART_SIBL
(1,15),(1,16),-0.15363 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.485719 # DEPENDENCYPART_SIBL
(3,4),(3,6),-1.40081 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.346081 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.346081 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.735387 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.149 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.149 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.344411 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.344411 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.197465 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.135784 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.160109 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.114896 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0715746 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0717575 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0108811 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.114896 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0714394 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.069061 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0108811 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0722177 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.100893 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0739548 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.166646 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.133784 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0734245 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0740395 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.059004 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.133784 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0788907 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0713581 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.059004 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0723392 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0242271 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0762247 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.192145 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.20588 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.205213 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0836792 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.192145 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.187701 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.202909 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0836792 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.195783 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.148066 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.207455 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0346093 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0346698 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0199631 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.118211 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0346214 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0346405 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0199631 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0350818 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0227564 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0346093 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0625763 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0389158 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0361695 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0644596 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0564633 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0389158 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0631144 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0418649 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0625487 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0416012 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0351777 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0689745 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0648157 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0416012 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0676293 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0428965 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0670636 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0180551 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0100163 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0100351 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.00508354 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0104643 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0227922 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00653171 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0431131 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0431321 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0284547 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0435734 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0142648 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.043101 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0698562 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0320085 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0726697 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0385107 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0721041 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0176184 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.039176 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.094399 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0386103 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0104643 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.0227922 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.00653171 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0424955 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0644617 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.184177 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0293015 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.124792 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.123479 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0200988 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.106184 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.107846 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0099349 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0118095 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0232645 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0108573 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0530542 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.106181 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.102609 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.108084 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.132333 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.101552 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.111651 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.13317 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0103079 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.12302 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.12717 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.135787 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.160118 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.241008 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0775482 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0698931 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0106581 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.118663 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.069575 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0671965 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0703532 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.102198 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.165657 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.109596 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.119687 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0745078 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0569907 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.142263 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0793589 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0718263 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0728074 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0278644 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0705265 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00718036 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.203344 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0834542 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.195909 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.185833 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.20104 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.193914 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.149369 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.00581414 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0104319 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0238302 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00348588 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0116015 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0156688 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.00825201 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.104606 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.000913494 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00835887 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0945888 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00141352 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.000484092 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0142122 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0385809 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0411046 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0326179 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0666975 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0625387 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0653522 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.048294 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0190393 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.00884005 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.00885889 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.00928809 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0259706 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0335392 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0335583 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0339996 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0258422 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0675791 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0703927 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0439082 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.039438 # DEPENDENCYPART_SIBL
