# _root_ Úřad slovenského prezidenta nejdříve vyvrátil slova Hornovy mluvčí , za několik dní však vydal prohlášení , v němž svoji původní verzi odvolal .
#goldHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
#predictedHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
(5,7),-2.21016 # DEPENDENCYPART_ARC
(5,8),-1.69802 # DEPENDENCYPART_ARC
(5,9),-0.664272 # DEPENDENCYPART_ARC
(5,10),-0.58738 # DEPENDENCYPART_ARC
(5,11),-1.27786 # DEPENDENCYPART_ARC
(5,12),-2.69444 # DEPENDENCYPART_ARC
(5,13),-0.676264 # DEPENDENCYPART_ARC
(5,14),-3.53961 # DEPENDENCYPART_ARC
(5,15),-1.01453 # DEPENDENCYPART_ARC
(5,16),-1.25432 # DEPENDENCYPART_ARC
(5,17),-1.74912 # DEPENDENCYPART_ARC
(5,21),-2.44594 # DEPENDENCYPART_ARC
(5,22),-3.95003 # DEPENDENCYPART_ARC
(6,2),-4.60217 # DEPENDENCYPART_ARC
(6,4),-1.20951 # DEPENDENCYPART_ARC
(6,5),-2.87476 # DEPENDENCYPART_ARC
(6,7),-1.52665 # DEPENDENCYPART_ARC
(6,8),0.929064 # DEPENDENCYPART_ARC
(6,9),-1.03244 # DEPENDENCYPART_ARC
(6,10),-0.559081 # DEPENDENCYPART_ARC
(6,12),-1.05374 # DEPENDENCYPART_ARC
(6,13),-1.02779 # DEPENDENCYPART_ARC
(6,14),-2.26633 # DEPENDENCYPART_ARC
(6,15),-3.60544 # DEPENDENCYPART_ARC
(6,16),-1.05485 # DEPENDENCYPART_ARC
(6,17),-1.75732 # DEPENDENCYPART_ARC
(6,21),-2.80057 # DEPENDENCYPART_ARC
(6,22),-2.69052 # DEPENDENCYPART_ARC
(7,3),-1.77246 # DEPENDENCYPART_ARC
(7,6),-1.65387 # DEPENDENCYPART_ARC
(8,2),-1.76879 # DEPENDENCYPART_ARC
(8,4),-1.70254 # DEPENDENCYPART_ARC
(8,6),-4.47221 # DEPENDENCYPART_ARC
(8,7),3.04235 # DEPENDENCYPART_ARC
(8,9),-1.47153 # DEPENDENCYPART_ARC
(8,10),-1.57056 # DEPENDENCYPART_ARC
(8,12),-1.33657 # DEPENDENCYPART_ARC
(8,13),-1.39576 # DEPENDENCYPART_ARC
(8,14),-1.91493 # DEPENDENCYPART_ARC
(8,22),-1.88447 # DEPENDENCYPART_ARC
(9,1),-1.71318 # DEPENDENCYPART_ARC
(9,2),-2.16658 # DEPENDENCYPART_ARC
(9,3),-1.69582 # DEPENDENCYPART_ARC
(9,4),-1.05004 # DEPENDENCYPART_ARC
(9,5),-0.622322 # DEPENDENCYPART_ARC
(9,6),-1.09374 # DEPENDENCYPART_ARC
(9,7),-1.28988 # DEPENDENCYPART_ARC
(9,8),-1.26945 # DEPENDENCYPART_ARC
(9,10),-0.469089 # DEPENDENCYPART_ARC
(9,12),-1.17177 # DEPENDENCYPART_ARC
(9,13),-0.787319 # DEPENDENCYPART_ARC
(9,14),-1.28225 # DEPENDENCYPART_ARC
(9,15),-1.95068 # DEPENDENCYPART_ARC
(9,16),-0.724202 # DEPENDENCYPART_ARC
(9,17),-2.00375 # DEPENDENCYPART_ARC
(9,22),-2.41963 # DEPENDENCYPART_ARC
(10,9),-0.693369 # DEPENDENCYPART_ARC
(10,11),1.17895 # DEPENDENCYPART_ARC
(10,12),-1.13531 # DEPENDENCYPART_ARC
(10,13),-0.463293 # DEPENDENCYPART_ARC
(10,14),-2.25444 # DEPENDENCYPART_ARC
(10,15),-0.457668 # DEPENDENCYPART_ARC
(10,16),-0.693145 # DEPENDENCYPART_ARC
(11,8),-1.48248 # DEPENDENCYPART_ARC
(11,9),-0.699857 # DEPENDENCYPART_ARC
(11,12),2.18215 # DEPENDENCYPART_ARC
(11,13),-0.590524 # DEPENDENCYPART_ARC
(11,14),-1.70841 # DEPENDENCYPART_ARC
(11,15),0.0111172 # DEPENDENCYPART_ARC
(12,7),-2.26911 # DEPENDENCYPART_ARC
(12,8),-3.37676 # DEPENDENCYPART_ARC
(12,10),-1.47256 # DEPENDENCYPART_ARC
(12,11),-0.82649 # DEPENDENCYPART_ARC
(12,15),-4.68711 # DEPENDENCYPART_ARC
(12,21),-5.05349 # DEPENDENCYPART_ARC
(12,22),-2.66466 # DEPENDENCYPART_ARC
(13,1),-1.60448 # DEPENDENCYPART_ARC
(13,2),-3.38076 # DEPENDENCYPART_ARC
(13,3),-1.50726 # DEPENDENCYPART_ARC
(13,4),-1.34007 # DEPENDENCYPART_ARC
(13,5),0.402159 # DEPENDENCYPART_ARC
(13,6),-1.58051 # DEPENDENCYPART_ARC
(13,8),-1.41977 # DEPENDENCYPART_ARC
(13,9),0.341653 # DEPENDENCYPART_ARC
(13,10),-0.88062 # DEPENDENCYPART_ARC
(13,11),-0.951708 # DEPENDENCYPART_ARC
(13,12),-1.79055 # DEPENDENCYPART_ARC
(13,14),0.742545 # DEPENDENCYPART_ARC
(13,15),-1.22102 # DEPENDENCYPART_ARC
(13,16),-0.640041 # DEPENDENCYPART_ARC
(13,17),-2.11624 # DEPENDENCYPART_ARC
(13,21),-2.86863 # DEPENDENCYPART_ARC
(13,22),-1.74301 # DEPENDENCYPART_ARC
(13,23),-1.22067 # DEPENDENCYPART_ARC
(14,1),0.329666 # DEPENDENCYPART_ARC
(14,2),-3.87999 # DEPENDENCYPART_ARC
(14,3),-2.42204 # DEPENDENCYPART_ARC
(14,4),-0.996829 # DEPENDENCYPART_ARC
(14,5),-1.50841 # DEPENDENCYPART_ARC
(14,6),-1.23449 # DEPENDENCYPART_ARC
(14,8),-2.82272 # DEPENDENCYPART_ARC
(14,9),0.0614744 # DEPENDENCYPART_ARC
(14,10),0.929986 # DEPENDENCYPART_ARC
(14,11),-0.294659 # DEPENDENCYPART_ARC
(14,12),-1.26079 # DEPENDENCYPART_ARC
(14,13),0.34806 # DEPENDENCYPART_ARC
(14,15),2.12671 # DEPENDENCYPART_ARC
(14,16),-0.446565 # DEPENDENCYPART_ARC
(14,17),-0.406301 # DEPENDENCYPART_ARC
(14,20),-3.18913 # DEPENDENCYPART_ARC
(14,21),-1.12081 # DEPENDENCYPART_ARC
(14,22),-2.55781 # DEPENDENCYPART_ARC
(15,11),-3.06068 # DEPENDENCYPART_ARC
(15,16),-1.05744 # DEPENDENCYPART_ARC
(15,17),-1.23909 # DEPENDENCYPART_ARC
(15,20),-1.51722 # DEPENDENCYPART_ARC
(15,21),-2.91082 # DEPENDENCYPART_ARC
(15,22),-0.943187 # DEPENDENCYPART_ARC
(16,1),-2.33481 # DEPENDENCYPART_ARC
(16,5),-1.17161 # DEPENDENCYPART_ARC
(16,7),-2.37055 # DEPENDENCYPART_ARC
(16,9),-0.38136 # DEPENDENCYPART_ARC
(16,10),-0.995682 # DEPENDENCYPART_ARC
(16,12),-1.48808 # DEPENDENCYPART_ARC
(16,13),-0.811928 # DEPENDENCYPART_ARC
(16,14),-0.902544 # DEPENDENCYPART_ARC
(16,15),-1.20513 # DEPENDENCYPART_ARC
(16,17),-0.586894 # DEPENDENCYPART_ARC
(16,20),-1.7277 # DEPENDENCYPART_ARC
(16,21),-1.86649 # DEPENDENCYPART_ARC
(16,22),-1.43161 # DEPENDENCYPART_ARC
(16,23),-1.04893 # DEPENDENCYPART_ARC
(17,16),-1.23033 # DEPENDENCYPART_ARC
(17,18),1.33727 # DEPENDENCYPART_ARC
(17,20),-2.60178 # DEPENDENCYPART_ARC
(17,21),-1.40469 # DEPENDENCYPART_ARC
(20,17),-0.91951 # DEPENDENCYPART_ARC
(20,19),-1.10269 # DEPENDENCYPART_ARC
(20,21),-1.94215 # DEPENDENCYPART_ARC
(21,17),-1.17925 # DEPENDENCYPART_ARC
(21,19),2.11581 # DEPENDENCYPART_ARC
(21,20),2.71798 # DEPENDENCYPART_ARC
(22,1),0.123066 # DEPENDENCYPART_ARC
(22,3),-2.40047 # DEPENDENCYPART_ARC
(22,4),-1.4342 # DEPENDENCYPART_ARC
(22,5),-1.8309 # DEPENDENCYPART_ARC
(22,6),-1.14483 # DEPENDENCYPART_ARC
(22,8),-3.42418 # DEPENDENCYPART_ARC
(22,9),-0.421916 # DEPENDENCYPART_ARC
(22,10),0.488989 # DEPENDENCYPART_ARC
(22,11),-0.791267 # DEPENDENCYPART_ARC
(22,12),-2.16158 # DEPENDENCYPART_ARC
(22,13),-0.0457785 # DEPENDENCYPART_ARC
(22,14),-0.902363 # DEPENDENCYPART_ARC
(22,15),-1.12683 # DEPENDENCYPART_ARC
(22,16),0.380661 # DEPENDENCYPART_ARC
(22,17),1.61781 # DEPENDENCYPART_ARC
(22,20),-1.52621 # DEPENDENCYPART_ARC
(22,21),1.16063 # DEPENDENCYPART_ARC
(22,23),-0.687838 # DEPENDENCYPART_ARC
(0,1),(0,2),0.15637 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0357534 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.183944 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0211179 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.112665 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.237509 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.183346 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0211179 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.183983 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.417436 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0735962 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.361833 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0789541 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0175624 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.285458 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.362886 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0789541 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.361834 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.304105 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.188143 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0227185 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.11258 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.238033 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.187545 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0227185 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.188182 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.418226 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.296463 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0678791 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.927082 # DEPENDENCYPART_SIBL
(0,5),(0,14),-1.46443 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.296463 # DEPENDENCYPART_SIBL
(0,5),(0,22),-1.46319 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(0,9),(0,11),0.025409 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.276897 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.404224 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.129028 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.398813 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.250284 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.387219 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0343456 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.378826 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.25451 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.922165 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.119647 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.921108 # DEPENDENCYPART_SIBL
(0,13),(0,23),0.511513 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.241385 # DEPENDENCYPART_SIBL
(0,14),(0,22),-1.44397 # DEPENDENCYPART_SIBL
(0,14),(0,23),0.0673104 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.398813 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.0183348 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0354126 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0123605 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00739757 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00703912 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0342861 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.029208 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0128295 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0206935 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0792038 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.107097 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.00397386 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00925488 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.052844 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0165439 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0572723 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0291543 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.00297851 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0161639 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0713471 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0718516 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0400217 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00252642 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0387737 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00481809 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0217496 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.103881 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0995356 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0038682 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00615283 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00218315 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00263606 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0191751 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0108872 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0188007 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0579943 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0536806 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00517928 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0663832 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0194752 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0138096 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00203835 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0282277 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0619788 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.035048 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00357086 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.113691 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0585996 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00718564 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00762769 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00516008 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.098006 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0450397 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.179441 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.217988 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00535487 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0489746 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0444399 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.052119 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00891605 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0081003 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0174862 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0260287 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0222953 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0167236 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0198184 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.00891605 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0176804 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0400911 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.0123871 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0480286 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0158847 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0635822 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0794116 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0752827 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0406386 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.103917 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0799632 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0659421 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0471015 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0788613 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.056509 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0406386 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.092337 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0660611 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0800969 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00687529 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0613498 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0402001 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0644941 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00060754 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0112164 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0106162 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0384038 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0172661 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0142819 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0321935 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.00060754 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.012584 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0524663 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.00994537 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0278403 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0483486 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.028306 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00234194 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00970797 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0336271 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00766409 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.040743 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0148299 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0152997 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.00234194 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0181108 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0281854 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.0124351 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0221516 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.131162 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0176465 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0661915 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0114226 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.125497 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0422929 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0217944 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.116951 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0176465 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0640622 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.128544 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0233424 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.110826 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0493901 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0354256 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0993508 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.107317 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.014953 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0504768 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.100669 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0493901 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0297479 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.11872 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.0506211 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0322261 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0521275 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.00687758 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.136493 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0451119 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0233516 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.127947 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0322261 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0442451 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.13954 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.0248997 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.133089 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0850906 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.106999 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0335898 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0943215 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0996897 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.124158 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.209144 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.110904 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.0898055 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0151391 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.00177867 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0346298 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.00558791 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0175448 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0360627 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.13884 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.00177302 # DEPENDENCYPART_SIBL
(5,10),(5,22),0.00523386 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0400438 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.000678599 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.004749 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0371273 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0104981 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.0306831 # DEPENDENCYPART_SIBL
(5,11),(5,21),-0.0483402 # DEPENDENCYPART_SIBL
(5,11),(5,22),0.0113128 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0345235 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0166832 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.108655 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0135963 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.0637809 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.120248 # DEPENDENCYPART_SIBL
(5,12),(5,22),-0.0182312 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0070319 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.0267043 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.0274976 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.0419193 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.0154869 # DEPENDENCYPART_SIBL
(5,13),(5,22),-0.0068599 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.038401 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.0168759 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.143927 # DEPENDENCYPART_SIBL
(5,14),(5,21),0.0286567 # DEPENDENCYPART_SIBL
