# _root_ Jestliže rada jednou jmenovala komisi a schválila její závěr , nemůže se zříci odpovědnosti , trvá na svém ředitel Sadil .
#goldHeads=11,6,4,6,4,1,6,9,7,1,15,13,11,13,0,15,16,17,20,16,0,
#predictedHeads=16,4,4,6,4,1,6,9,7,1,16,13,11,13,1,0,16,17,20,16,0,
(4,20),-4.01199 # DEPENDENCYPART_ARC
(5,2),-2.86662 # DEPENDENCYPART_ARC
(5,3),-0.684684 # DEPENDENCYPART_ARC
(5,9),-3.9318 # DEPENDENCYPART_ARC
(6,1),-0.162477 # DEPENDENCYPART_ARC
(6,2),-0.209412 # DEPENDENCYPART_ARC
(6,3),-0.438098 # DEPENDENCYPART_ARC
(6,4),1.52206 # DEPENDENCYPART_ARC
(6,5),-0.0738475 # DEPENDENCYPART_ARC
(6,7),1.80445 # DEPENDENCYPART_ARC
(6,9),-0.617073 # DEPENDENCYPART_ARC
(6,10),-0.13378 # DEPENDENCYPART_ARC
(6,11),-1.0525 # DEPENDENCYPART_ARC
(6,13),-2.05215 # DEPENDENCYPART_ARC
(6,15),-0.272833 # DEPENDENCYPART_ARC
(6,16),-3.31187 # DEPENDENCYPART_ARC
(7,1),-0.525565 # DEPENDENCYPART_ARC
(7,2),-0.198804 # DEPENDENCYPART_ARC
(7,3),-0.818105 # DEPENDENCYPART_ARC
(7,4),-1.81114 # DEPENDENCYPART_ARC
(7,5),-0.369106 # DEPENDENCYPART_ARC
(7,6),-0.444016 # DEPENDENCYPART_ARC
(7,8),-1.02677 # DEPENDENCYPART_ARC
(7,9),1.8717 # DEPENDENCYPART_ARC
(7,10),-0.182302 # DEPENDENCYPART_ARC
(7,11),-2.02257 # DEPENDENCYPART_ARC
(7,13),0.638273 # DEPENDENCYPART_ARC
(7,14),-2.86285 # DEPENDENCYPART_ARC
(7,15),-0.689515 # DEPENDENCYPART_ARC
(7,16),-3.07824 # DEPENDENCYPART_ARC
(7,17),-1.61595 # DEPENDENCYPART_ARC
(7,19),-2.84912 # DEPENDENCYPART_ARC
(7,20),-2.74328 # DEPENDENCYPART_ARC
(9,7),-2.23678 # DEPENDENCYPART_ARC
(9,8),3.21269 # DEPENDENCYPART_ARC
(9,10),-1.2618 # DEPENDENCYPART_ARC
(9,11),-2.42176 # DEPENDENCYPART_ARC
(9,13),0.00650689 # DEPENDENCYPART_ARC
(9,16),-3.42091 # DEPENDENCYPART_ARC
(10,4),-0.767082 # DEPENDENCYPART_ARC
(10,5),-1.479 # DEPENDENCYPART_ARC
(10,6),-0.751559 # DEPENDENCYPART_ARC
(10,7),-0.555218 # DEPENDENCYPART_ARC
(10,8),-1.36295 # DEPENDENCYPART_ARC
(10,9),-1.37273 # DEPENDENCYPART_ARC
(10,11),-0.732296 # DEPENDENCYPART_ARC
(10,13),-1.50933 # DEPENDENCYPART_ARC
(10,14),-1.88749 # DEPENDENCYPART_ARC
(10,15),-0.461913 # DEPENDENCYPART_ARC
(10,16),-2.83274 # DEPENDENCYPART_ARC
(10,17),-2.15423 # DEPENDENCYPART_ARC
(10,20),-2.98096 # DEPENDENCYPART_ARC
(11,1),-0.141658 # DEPENDENCYPART_ARC
(11,2),-0.908625 # DEPENDENCYPART_ARC
(11,3),-1.70518 # DEPENDENCYPART_ARC
(11,4),-2.41202 # DEPENDENCYPART_ARC
(11,5),-1.85863 # DEPENDENCYPART_ARC
(11,6),-1.16203 # DEPENDENCYPART_ARC
(11,7),-1.54007 # DEPENDENCYPART_ARC
(11,9),-0.937896 # DEPENDENCYPART_ARC
(11,10),-0.428838 # DEPENDENCYPART_ARC
(11,12),0.983426 # DEPENDENCYPART_ARC
(11,13),2.56399 # DEPENDENCYPART_ARC
(11,14),-0.968736 # DEPENDENCYPART_ARC
(11,15),-0.172701 # DEPENDENCYPART_ARC
(11,16),-1.81144 # DEPENDENCYPART_ARC
(11,17),-1.02126 # DEPENDENCYPART_ARC
(11,19),-1.77153 # DEPENDENCYPART_ARC
(11,20),-1.78861 # DEPENDENCYPART_ARC
(13,1),-0.453277 # DEPENDENCYPART_ARC
(13,2),-1.93138 # DEPENDENCYPART_ARC
(13,3),-1.92811 # DEPENDENCYPART_ARC
(13,4),-4.38746 # DEPENDENCYPART_ARC
(13,5),-0.660442 # DEPENDENCYPART_ARC
(13,6),-1.33638 # DEPENDENCYPART_ARC
(13,7),-3.57828 # DEPENDENCYPART_ARC
(13,9),0.166406 # DEPENDENCYPART_ARC
(13,10),-1.27219 # DEPENDENCYPART_ARC
(13,11),-2.12876 # DEPENDENCYPART_ARC
(13,12),1.51559 # DEPENDENCYPART_ARC
(13,14),0.481521 # DEPENDENCYPART_ARC
(13,15),-0.250735 # DEPENDENCYPART_ARC
(13,16),-1.50551 # DEPENDENCYPART_ARC
(13,17),-1.06374 # DEPENDENCYPART_ARC
(13,19),-3.68221 # DEPENDENCYPART_ARC
(13,20),-3.70445 # DEPENDENCYPART_ARC
(14,8),-1.96186 # DEPENDENCYPART_ARC
(14,12),-3.26159 # DEPENDENCYPART_ARC
(14,13),-1.46415 # DEPENDENCYPART_ARC
(14,15),-1.28584 # DEPENDENCYPART_ARC
(14,16),-1.67321 # DEPENDENCYPART_ARC
(14,17),-1.94219 # DEPENDENCYPART_ARC
(14,19),-2.92738 # DEPENDENCYPART_ARC
(14,20),-3.78188 # DEPENDENCYPART_ARC
(15,1),-0.485072 # DEPENDENCYPART_ARC
(15,4),-1.07574 # DEPENDENCYPART_ARC
(15,6),-0.504774 # DEPENDENCYPART_ARC
(15,7),-1.06694 # DEPENDENCYPART_ARC
(15,9),-1.78827 # DEPENDENCYPART_ARC
(15,10),-0.392986 # DEPENDENCYPART_ARC
(15,11),-0.219328 # DEPENDENCYPART_ARC
(15,12),-1.13223 # DEPENDENCYPART_ARC
(15,13),-0.505824 # DEPENDENCYPART_ARC
(15,14),-1.07878 # DEPENDENCYPART_ARC
(15,16),-0.751721 # DEPENDENCYPART_ARC
(15,17),-1.17645 # DEPENDENCYPART_ARC
(15,19),-1.93536 # DEPENDENCYPART_ARC
(15,20),-1.8542 # DEPENDENCYPART_ARC
(16,1),0.300122 # DEPENDENCYPART_ARC
(16,2),-1.01919 # DEPENDENCYPART_ARC
(16,3),-2.31921 # DEPENDENCYPART_ARC
(16,4),-3.54488 # DEPENDENCYPART_ARC
(16,5),-1.94698 # DEPENDENCYPART_ARC
(16,6),-1.25152 # DEPENDENCYPART_ARC
(16,7),-3.01048 # DEPENDENCYPART_ARC
(16,9),-1.41723 # DEPENDENCYPART_ARC
(16,10),-2.53302 # DEPENDENCYPART_ARC
(16,11),-1.54869 # DEPENDENCYPART_ARC
(16,12),-0.371945 # DEPENDENCYPART_ARC
(16,13),0.717171 # DEPENDENCYPART_ARC
(16,14),-2.46021 # DEPENDENCYPART_ARC
(16,15),-0.795359 # DEPENDENCYPART_ARC
(16,17),1.63531 # DEPENDENCYPART_ARC
(16,18),-1.34442 # DEPENDENCYPART_ARC
(16,19),0.409023 # DEPENDENCYPART_ARC
(16,20),0.545811 # DEPENDENCYPART_ARC
(16,21),-0.827601 # DEPENDENCYPART_ARC
(17,14),-3.01585 # DEPENDENCYPART_ARC
(17,18),1.01403 # DEPENDENCYPART_ARC
(17,19),-2.12892 # DEPENDENCYPART_ARC
(17,20),-3.98788 # DEPENDENCYPART_ARC
(19,14),-5.08135 # DEPENDENCYPART_ARC
(19,17),-1.06851 # DEPENDENCYPART_ARC
(19,18),-0.0343089 # DEPENDENCYPART_ARC
(19,20),-1.04145 # DEPENDENCYPART_ARC
(19,21),-1.02768 # DEPENDENCYPART_ARC
(20,14),-2.88788 # DEPENDENCYPART_ARC
(20,17),-0.973424 # DEPENDENCYPART_ARC
(20,18),-1.8612 # DEPENDENCYPART_ARC
(20,19),2.95581 # DEPENDENCYPART_ARC
(20,21),-0.504395 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0367622 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.104446 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.907257 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.74896 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.907097 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.503071 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.90798 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.907097 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.503071 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.907097 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.348573 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.152813 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.188031 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.18946 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.187805 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0291859 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.190706 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.18785 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0291859 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.183625 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.433567 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.231194 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0902428 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.230801 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0563409 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.225444 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.230801 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0563409 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.230818 # DEPENDENCYPART_SIBL
(0,3),(0,21),0.0650382 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.956996 # DEPENDENCYPART_SIBL
(0,4),(0,7),-1.45796 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.283566 # DEPENDENCYPART_SIBL
(0,4),(0,11),-1.46136 # DEPENDENCYPART_SIBL
(0,4),(0,13),-1.45344 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.283566 # DEPENDENCYPART_SIBL
(0,4),(0,16),-1.45883 # DEPENDENCYPART_SIBL
(0,4),(0,21),0.00858712 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.898665 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.238729 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.899552 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.898665 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.238729 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.899302 # DEPENDENCYPART_SIBL
(0,6),(0,21),0.0494213 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.277822 # DEPENDENCYPART_SIBL
(0,7),(0,11),-1.45907 # DEPENDENCYPART_SIBL
(0,7),(0,13),-1.45115 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.277822 # DEPENDENCYPART_SIBL
(0,7),(0,16),-1.45654 # DEPENDENCYPART_SIBL
(0,7),(0,21),0.0232452 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.409334 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.408609 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.406467 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,13),-1.45687 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.272303 # DEPENDENCYPART_SIBL
(0,11),(0,16),-1.46226 # DEPENDENCYPART_SIBL
(0,11),(0,21),0.0226367 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.296463 # DEPENDENCYPART_SIBL
(0,13),(0,16),-1.46407 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.00769122 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.406467 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.0281076 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0323201 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.350115 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0610171 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.285855 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.350047 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0714503 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0707517 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.357027 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.350091 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0707517 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.346832 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.24587 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.013956 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.150778 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.245792 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0181313 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0742623 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.244654 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.245792 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0742623 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.246726 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0146338 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.518979 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.810173 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0163773 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0276759 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.821039 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.80566 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0276759 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.812836 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.274215 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.354999 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0717699 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0755694 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.36198 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.355043 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0755694 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.351784 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.228483 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0321253 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0571111 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.234297 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.228483 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0571111 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.230038 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0106088 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0323808 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.815804 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.800426 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0323808 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.807602 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0713416 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.360743 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.353806 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0713416 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.350548 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.365925 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.360739 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.421656 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.359515 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.802425 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0500918 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.809601 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.025519 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.812744 # DEPENDENCYPART_SIBL
(1,15),(1,16),-0.359515 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0577638 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00927654 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0744601 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0375364 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00950182 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0294896 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.108281 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00774838 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.254927 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.309318 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0224012 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0177505 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.116203 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0250256 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.108785 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0163945 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0054011 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0679788 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0171276 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00568427 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.048153 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0131483 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.00568427 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.010483 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0961934 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0235761 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00466628 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00783899 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0125631 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0132484 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0279563 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0242292 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0132484 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0289012 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0337469 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00413324 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00103445 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0357511 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0108929 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0269605 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0372559 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0108929 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0334096 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.222515 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0162274 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.104858 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0137928 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0145754 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.110155 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0137928 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.100986 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0366291 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00966794 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00123583 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0326352 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0124224 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.00123583 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0100687 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0385577 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.000666011 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.233746 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0381103 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.000666011 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0407807 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00737427 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0100905 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.105309 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.00737427 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0961406 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0958954 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.102183 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.126002 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0994968 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0378634 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.00931198 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.0405339 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.000728435 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.0957813 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.0994968 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0532045 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0332136 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00629287 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0165757 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0126264 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00396468 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0314285 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00808115 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0377399 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.00323866 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0147548 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.00681886 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.00323866 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0141763 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0244122 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0452087 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0204719 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00409276 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0684496 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0021341 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.00134939 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.00298852 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0021341 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.00586584 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0228965 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0234206 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0768576 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0222417 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0695775 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0620395 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0781195 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0695775 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0603204 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.145472 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.475001 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.156512 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00895447 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.495567 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.474553 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.00895447 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.488284 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0216792 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0474627 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0341669 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0244226 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0287605 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0341669 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0199061 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0365818 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0359094 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.833474 # DEPENDENCYPART_SIBL
