# _root_ Ve Francii mi říkali , že kdyby moje auto šlapalo tak jako mistru Evropy Dubourgovi , koukali by se mi všichni na záda s kilometrovým odstupem .
#goldHeads=4,1,4,0,6,4,17,9,10,7,10,11,15,15,12,7,6,17,17,17,17,17,22,17,26,24,0,
#predictedHeads=4,1,4,0,6,4,17,9,10,7,10,13,15,13,10,7,6,17,17,17,17,17,22,23,26,24,0,
(11,17),-2.22962 # DEPENDENCYPART_ARC
(12,9),-2.64491 # DEPENDENCYPART_ARC
(12,10),-2.04932 # DEPENDENCYPART_ARC
(12,11),-1.7728 # DEPENDENCYPART_ARC
(12,13),-0.334675 # DEPENDENCYPART_ARC
(12,14),-1.21639 # DEPENDENCYPART_ARC
(12,15),-1.99721 # DEPENDENCYPART_ARC
(12,16),-0.539944 # DEPENDENCYPART_ARC
(12,17),-1.46769 # DEPENDENCYPART_ARC
(12,22),-2.57408 # DEPENDENCYPART_ARC
(12,24),-2.7952 # DEPENDENCYPART_ARC
(13,8),-1.0462 # DEPENDENCYPART_ARC
(13,11),-0.483865 # DEPENDENCYPART_ARC
(13,12),0.907759 # DEPENDENCYPART_ARC
(13,14),2.27978 # DEPENDENCYPART_ARC
(13,15),-3.364 # DEPENDENCYPART_ARC
(13,16),-1.05249 # DEPENDENCYPART_ARC
(13,17),-1.93684 # DEPENDENCYPART_ARC
(13,21),-2.53401 # DEPENDENCYPART_ARC
(13,22),-3.32686 # DEPENDENCYPART_ARC
(13,24),-2.26249 # DEPENDENCYPART_ARC
(14,11),-1.44785 # DEPENDENCYPART_ARC
(14,12),-0.476774 # DEPENDENCYPART_ARC
(14,13),-1.11495 # DEPENDENCYPART_ARC
(14,15),-2.50718 # DEPENDENCYPART_ARC
(14,16),-1.68535 # DEPENDENCYPART_ARC
(14,17),-1.83259 # DEPENDENCYPART_ARC
(14,21),-2.93521 # DEPENDENCYPART_ARC
(14,22),-3.30448 # DEPENDENCYPART_ARC
(14,23),-6.3867 # DEPENDENCYPART_ARC
(14,24),-2.03332 # DEPENDENCYPART_ARC
(15,6),-1.77574 # DEPENDENCYPART_ARC
(15,8),-2.39093 # DEPENDENCYPART_ARC
(15,9),-3.44732 # DEPENDENCYPART_ARC
(15,11),-0.996037 # DEPENDENCYPART_ARC
(15,12),-0.317992 # DEPENDENCYPART_ARC
(15,13),3.03425 # DEPENDENCYPART_ARC
(15,14),0.384027 # DEPENDENCYPART_ARC
(15,16),-1.31494 # DEPENDENCYPART_ARC
(15,17),-1.94166 # DEPENDENCYPART_ARC
(15,18),-1.60813 # DEPENDENCYPART_ARC
(15,21),-2.91268 # DEPENDENCYPART_ARC
(15,24),-3.03264 # DEPENDENCYPART_ARC
(16,1),-2.1873 # DEPENDENCYPART_ARC
(16,4),-1.30243 # DEPENDENCYPART_ARC
(16,5),-1.10378 # DEPENDENCYPART_ARC
(16,6),-1.2972 # DEPENDENCYPART_ARC
(16,7),-1.11153 # DEPENDENCYPART_ARC
(16,9),-1.66425 # DEPENDENCYPART_ARC
(16,10),-0.749621 # DEPENDENCYPART_ARC
(16,11),-1.61803 # DEPENDENCYPART_ARC
(16,12),-1.09675 # DEPENDENCYPART_ARC
(16,13),-1.11915 # DEPENDENCYPART_ARC
(16,14),-1.48493 # DEPENDENCYPART_ARC
(16,15),-1.42314 # DEPENDENCYPART_ARC
(16,17),-1.00165 # DEPENDENCYPART_ARC
(16,21),-2.4101 # DEPENDENCYPART_ARC
(16,22),-2.05037 # DEPENDENCYPART_ARC
(16,24),-2.33802 # DEPENDENCYPART_ARC
(17,1),-1.20904 # DEPENDENCYPART_ARC
(17,2),-4.06865 # DEPENDENCYPART_ARC
(17,4),-3.40653 # DEPENDENCYPART_ARC
(17,6),-2.36895 # DEPENDENCYPART_ARC
(17,7),-0.460603 # DEPENDENCYPART_ARC
(17,9),-2.10161 # DEPENDENCYPART_ARC
(17,10),-2.82923 # DEPENDENCYPART_ARC
(17,11),-1.43715 # DEPENDENCYPART_ARC
(17,12),-1.0968 # DEPENDENCYPART_ARC
(17,13),-0.171969 # DEPENDENCYPART_ARC
(17,14),-3.67994 # DEPENDENCYPART_ARC
(17,15),-1.90178 # DEPENDENCYPART_ARC
(17,16),-0.619142 # DEPENDENCYPART_ARC
(17,18),2.26575 # DEPENDENCYPART_ARC
(17,19),0.615927 # DEPENDENCYPART_ARC
(17,20),0.189547 # DEPENDENCYPART_ARC
(17,21),0.0585395 # DEPENDENCYPART_ARC
(17,22),-0.170311 # DEPENDENCYPART_ARC
(17,23),-0.287078 # DEPENDENCYPART_ARC
(17,24),-0.304232 # DEPENDENCYPART_ARC
(17,25),-3.04982 # DEPENDENCYPART_ARC
(17,26),-0.665982 # DEPENDENCYPART_ARC
(17,27),-0.736619 # DEPENDENCYPART_ARC
(20,23),-2.62617 # DEPENDENCYPART_ARC
(20,26),-2.64306 # DEPENDENCYPART_ARC
(21,22),-0.814202 # DEPENDENCYPART_ARC
(21,24),-1.5785 # DEPENDENCYPART_ARC
(22,23),2.19967 # DEPENDENCYPART_ARC
(22,26),-2.53723 # DEPENDENCYPART_ARC
(23,19),-4.44759 # DEPENDENCYPART_ARC
(23,20),-3.80077 # DEPENDENCYPART_ARC
(23,21),-1.50779 # DEPENDENCYPART_ARC
(23,22),-1.51478 # DEPENDENCYPART_ARC
(23,24),0.992966 # DEPENDENCYPART_ARC
(23,25),-2.15089 # DEPENDENCYPART_ARC
(23,26),-1.67417 # DEPENDENCYPART_ARC
(23,27),-1.02492 # DEPENDENCYPART_ARC
(24,22),-0.204953 # DEPENDENCYPART_ARC
(24,23),-1.3255 # DEPENDENCYPART_ARC
(24,25),-0.787338 # DEPENDENCYPART_ARC
(24,26),1.85073 # DEPENDENCYPART_ARC
(24,27),-1.10319 # DEPENDENCYPART_ARC
(25,19),-2.66127 # DEPENDENCYPART_ARC
(25,21),-4.46255 # DEPENDENCYPART_ARC
(26,19),-4.19829 # DEPENDENCYPART_ARC
(26,21),-3.15925 # DEPENDENCYPART_ARC
(26,22),-1.1108 # DEPENDENCYPART_ARC
(26,23),-4.15674 # DEPENDENCYPART_ARC
(26,24),-1.28059 # DEPENDENCYPART_ARC
(26,25),2.42704 # DEPENDENCYPART_ARC
(26,27),-0.543416 # DEPENDENCYPART_ARC
(27,21),-3.48948 # DEPENDENCYPART_ARC
(0,1),(0,2),0.26405 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.182017 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.308936 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0441675 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0624297 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0113042 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.308936 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0441675 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.308936 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.182017 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.23815 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.103545 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.185704 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0249983 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0243233 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0170438 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.185704 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0249983 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.185704 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.103545 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.420934 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.37873 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0495367 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.17155 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0397945 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.378725 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0495367 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.378725 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.214496 # DEPENDENCYPART_SIBL
(0,3),(0,27),0.00963574 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.296485 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.638982 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.685089 # DEPENDENCYPART_SIBL
(0,4),(0,10),-1.46319 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.296485 # DEPENDENCYPART_SIBL
(0,4),(0,17),-1.46319 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.215006 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.00771355 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.00123668 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0819848 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.408609 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.129028 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,5),(0,20),0.100132 # DEPENDENCYPART_SIBL
(0,5),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.442886 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.861016 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.326921 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.861016 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0138417 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.107484 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.81219 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.336456 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.81219 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.00799283 # DEPENDENCYPART_SIBL
(0,7),(0,27),-0.0936148 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.296463 # DEPENDENCYPART_SIBL
(0,10),(0,17),-1.46319 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.215 # DEPENDENCYPART_SIBL
(0,10),(0,27),-0.00769122 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,16),(0,20),0.100132 # DEPENDENCYPART_SIBL
(0,16),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.215 # DEPENDENCYPART_SIBL
(0,17),(0,27),-0.00780411 # DEPENDENCYPART_SIBL
(0,20),(0,27),0.00963574 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.149669 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0143137 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0196642 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.149337 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0161848 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0353033 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0143136 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0231798 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.15307 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0984677 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00787549 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.260211 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00955931 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0165229 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00759368 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.014256 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.148454 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0646482 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.057145 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0216827 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0173324 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.018349 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00210974 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.030254 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0105491 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0152897 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0708753 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0177818 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0790251 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0113054 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00629421 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0129435 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0290447 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0129435 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0105491 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.04958 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00487971 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0124044 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0435565 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0764961 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0123452 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0310151 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0205818 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0341518 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0356152 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0353131 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.00487971 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00402746 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.084091 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.043615 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0641396 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0257679 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.10315 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0381301 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0339892 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0369513 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0339892 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.00402746 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0357684 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0294657 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.109931 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.103376 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0310448 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.026069 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.108507 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.117443 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.108507 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.12735 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.174307 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.18497 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.169955 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0752342 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.237324 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.182973 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.18324 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.182973 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0109542 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00283176 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0101769 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0668451 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0628649 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.000931729 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.00119928 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.000931729 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.034908 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0250312 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.014366 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.117004 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.129795 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.133326 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.129795 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0259382 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.00773153 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0300775 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0331326 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0331066 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0331326 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00154503 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.170083 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0678167 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0657608 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0678167 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0446655 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0429698 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0432393 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0429698 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.022665 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.11716 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.113629 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0136903 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.114224 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0268134 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0136903 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0288774 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0530723 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0216825 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0141311 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0618726 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.134284 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0259219 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0197515 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0107887 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0164842 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0532935 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.666606 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0547764 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0604075 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0264215 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0181684 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.118641 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0345129 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0211688 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.103292 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0623279 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.103161 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.010378 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0283033 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.106386 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.289921 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.142839 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.307891 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.131852 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.116318 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.195857 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.298143 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0803463 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.136962 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0376432 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.378268 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00625765 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0363976 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.132994 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.365338 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0681205 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.00139722 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0169697 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.330269 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0773371 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.160251 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0162522 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.00600244 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.330269 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.495951 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0699192 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.221672 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0887236 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0462548 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.495951 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.190969 # DEPENDENCYPART_SIBL
