# _root_ Podstatné je , že tyto peníze nejdou z podstaty , ale z lepších než očekávaných výsledků hospodaření .
#goldHeads=2,0,4,2,6,7,4,11,8,11,7,11,16,13,14,12,16,0,
#predictedHeads=2,0,4,2,6,7,4,11,8,11,7,11,14,16,14,12,16,0,
(10,8),-1.36577 # DEPENDENCYPART_ARC
(10,9),-1.54303 # DEPENDENCYPART_ARC
(10,12),-1.04259 # DEPENDENCYPART_ARC
(10,13),-1.94499 # DEPENDENCYPART_ARC
(10,14),-1.17467 # DEPENDENCYPART_ARC
(10,16),-2.26575 # DEPENDENCYPART_ARC
(10,17),-2.1099 # DEPENDENCYPART_ARC
(11,1),-2.61895 # DEPENDENCYPART_ARC
(11,2),-0.733473 # DEPENDENCYPART_ARC
(11,3),-0.490606 # DEPENDENCYPART_ARC
(11,4),-0.619514 # DEPENDENCYPART_ARC
(11,5),-1.25178 # DEPENDENCYPART_ARC
(11,6),-1.02227 # DEPENDENCYPART_ARC
(11,7),0.379456 # DEPENDENCYPART_ARC
(11,8),0.283783 # DEPENDENCYPART_ARC
(11,9),-1.09356 # DEPENDENCYPART_ARC
(11,10),1.62708 # DEPENDENCYPART_ARC
(11,12),0.183159 # DEPENDENCYPART_ARC
(11,13),-0.722525 # DEPENDENCYPART_ARC
(11,14),-0.17364 # DEPENDENCYPART_ARC
(11,15),-1.48862 # DEPENDENCYPART_ARC
(11,16),-1.54675 # DEPENDENCYPART_ARC
(11,17),-1.60722 # DEPENDENCYPART_ARC
(11,18),-0.597705 # DEPENDENCYPART_ARC
(12,9),-2.72656 # DEPENDENCYPART_ARC
(12,10),-0.454622 # DEPENDENCYPART_ARC
(12,13),0.225622 # DEPENDENCYPART_ARC
(12,14),-0.510371 # DEPENDENCYPART_ARC
(12,15),-1.73037 # DEPENDENCYPART_ARC
(12,16),0.674452 # DEPENDENCYPART_ARC
(12,17),-0.851949 # DEPENDENCYPART_ARC
(12,18),-1.19446 # DEPENDENCYPART_ARC
(13,8),-1.92661 # DEPENDENCYPART_ARC
(13,10),-1.51786 # DEPENDENCYPART_ARC
(13,12),-1.11675 # DEPENDENCYPART_ARC
(13,14),0.740382 # DEPENDENCYPART_ARC
(13,15),-2.8765 # DEPENDENCYPART_ARC
(13,16),-2.48739 # DEPENDENCYPART_ARC
(13,17),-2.06279 # DEPENDENCYPART_ARC
(14,2),-3.19892 # DEPENDENCYPART_ARC
(14,7),-2.2851 # DEPENDENCYPART_ARC
(14,9),-2.18355 # DEPENDENCYPART_ARC
(14,10),-0.77692 # DEPENDENCYPART_ARC
(14,11),-1.51646 # DEPENDENCYPART_ARC
(14,12),-2.19202 # DEPENDENCYPART_ARC
(14,13),-0.0135097 # DEPENDENCYPART_ARC
(14,15),2.65113 # DEPENDENCYPART_ARC
(14,16),-0.780546 # DEPENDENCYPART_ARC
(14,17),-1.31138 # DEPENDENCYPART_ARC
(14,18),-0.865474 # DEPENDENCYPART_ARC
(15,16),-2.36449 # DEPENDENCYPART_ARC
(15,17),-2.45822 # DEPENDENCYPART_ARC
(16,8),-1.86149 # DEPENDENCYPART_ARC
(16,11),-1.27753 # DEPENDENCYPART_ARC
(16,12),-1.87365 # DEPENDENCYPART_ARC
(16,13),-1.14796 # DEPENDENCYPART_ARC
(16,14),0.00414386 # DEPENDENCYPART_ARC
(16,15),1.74945 # DEPENDENCYPART_ARC
(16,17),1.42919 # DEPENDENCYPART_ARC
(16,18),-1.13991 # DEPENDENCYPART_ARC
(17,13),-4.3285 # DEPENDENCYPART_ARC
(17,14),-0.982643 # DEPENDENCYPART_ARC
(17,15),-2.42356 # DEPENDENCYPART_ARC
(17,16),-2.10205 # DEPENDENCYPART_ARC
(17,18),-0.63034 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.423733 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0854441 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0145118 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.030305 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.364307 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0854441 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.205403 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.313514 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.327514 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.73671 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.284583 # DEPENDENCYPART_SIBL
(0,2),(0,7),-1.5655 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.327514 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.932857 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0527541 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.00123668 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0930158 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.408609 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.129028 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0988373 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0210248 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.861016 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.326921 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.54653 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.107484 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.410462 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0841583 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0417555 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0340448 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.296463 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.826071 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.00769122 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0988373 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,18),0.233903 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.104744 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.172915 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0357306 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.000682384 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0308899 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0151092 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0202189 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0665115 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0808848 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0306879 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0797091 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0606596 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00886674 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.076586 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0135494 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0710283 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0797091 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0912882 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.113711 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0479871 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0709867 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0623132 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.115697 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0901423 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.183705 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.163659 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.118962 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.109297 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.116177 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.127182 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.161112 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.140859 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.218785 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.000850349 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.322105 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.172912 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.168142 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0344264 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0987627 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0716438 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0441704 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.152537 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.179409 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0433192 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00366205 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.025247 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0243772 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.183164 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00434744 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.142926 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0919185 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00922915 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.131137 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.127353 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0400224 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0955582 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.138783 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0578772 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0131771 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.118962 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.109297 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.116177 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0420861 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.00588373 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.093028 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0441221 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0382672 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0701581 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0138729 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0148372 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0469545 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.169404 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0322689 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.765556 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0500406 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0332276 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0604075 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00673026 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0724885 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0232237 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0393249 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00866689 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0341599 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.147964 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.263266 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.103321 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0173887 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0207103 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.103321 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0324423 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.313734 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.119146 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.254641 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.174844 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.202606 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.10909 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.136142 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.202606 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.215687 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.129387 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.366115 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00625765 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.217931 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0681205 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.115145 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.217931 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.121477 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0496318 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.456402 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0955572 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0511247 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.159264 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0955572 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0897456 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.486762 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0275217 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0435266 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.247467 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0275217 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.167392 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.130676 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00170439 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.617659 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.130676 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.503101 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0593198 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.221234 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0342942 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.175461 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.248238 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.01356 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.207434 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0206693 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.208045 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.175461 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0417815 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.245993 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0492961 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0921335 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0645739 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0166738 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0882793 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0269001 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0166738 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0211538 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00019083 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0146188 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00263093 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0533325 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0132415 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0626884 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0533325 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.210948 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.204872 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0866167 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0953641 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.208709 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0787999 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0953641 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00982226 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.141337 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0625568 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0135567 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.127994 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0625568 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0223865 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0276995 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.131203 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.150362 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0276995 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0166724 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00287875 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.213164 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0166724 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.00114613 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0657856 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0145421 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.155185 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0205358 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.065229 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.290795 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0274462 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.027166 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0237938 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00430946 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0312524 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00325436 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.10078 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0312524 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0707399 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.151761 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.202587 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0119364 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0852154 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0831421 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0838361 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0852154 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.093183 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0476833 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0182396 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0130824 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00866042 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0153845 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0130824 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0927876 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.13356 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.129261 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.178763 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0556085 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.129261 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0228079 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.18347 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0325441 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0824136 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.18347 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0108113 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00226899 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.14624 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0108113 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0313 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0806727 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.034868 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.117583 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0172686 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0431696 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.00682192 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0361376 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0426514 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.108362 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0453924 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.098063 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0444024 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.00996107 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.023171 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.098063 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.100075 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0084105 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.04989 # DEPENDENCYPART_SIBL
