# _root_ Nepřispěje - li sponzor , nezbude škole než využít možností , které jí dává zákonodárce .
#goldHeads=3,3,6,1,3,0,6,6,8,9,14,14,14,10,14,0,
#predictedHeads=3,3,6,1,3,0,6,6,8,9,14,14,14,10,14,0,
(0,5),(0,8),-0.0974037 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.409009 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.129028 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.408878 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.133324 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.705202 # DEPENDENCYPART_SIBL
(0,6),(0,9),-1.46054 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.296463 # DEPENDENCYPART_SIBL
(0,6),(0,14),-1.46324 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.00769122 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.932676 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.62994 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.932616 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.434631 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.311095 # DEPENDENCYPART_SIBL
(0,9),(0,14),-1.48007 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0499504 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.408878 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.00111964 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.026582 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0185379 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0373848 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0264511 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0218421 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.108945 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0233223 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0255424 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0373848 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0467691 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00952164 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0339748 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0484977 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.085737 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0304497 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.053475 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.00952164 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.013201 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.016539 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.115416 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0966016 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.00996225 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.12208 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.013201 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0995844 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.110073 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.115745 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0968295 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.114058 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.124158 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0318441 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0602075 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.225747 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0266252 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.00034744 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0968883 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0103188 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.122789 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0119265 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0530275 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0120475 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.12611 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0151559 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0398129 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0169139 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.037141 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0283529 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0163045 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.569467 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0235364 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0137586 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0346599 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.572424 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.01491 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00816945 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0885013 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0149092 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0401288 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0149015 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0891326 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0269769 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0420087 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0227592 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.067106 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0242888 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0444146 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0559947 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0143829 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0769663 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0132848 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0568619 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00145884 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.15041 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.00126199 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.382574 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0623203 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0196495 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0396933 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.00655988 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.114166 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0449056 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.678363 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.100977 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0511326 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0232648 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0151448 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0511326 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0280643 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0416469 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.285122 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.166311 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.174475 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.285122 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.184744 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0526763 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0443065 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0427853 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0526763 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.174251 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0935537 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0939539 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.255869 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.183654 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.333686 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0211471 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0328132 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0373796 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.029128 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.183654 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.175639 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.134571 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00590654 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0156923 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0622511 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.135255 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0244705 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.107372 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.107572 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0486132 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0390291 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.143839 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0283737 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0155715 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0426477 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0417356 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0523663 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0448733 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0141743 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0120876 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.024733 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0152932 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.000830768 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.108912 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.260323 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0829789 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.00824098 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0352732 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0981399 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0963312 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0498117 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.6658 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00774332 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0139252 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.729607 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0189062 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0384604 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0643466 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0354828 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0765012 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0135253 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0190592 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.138238 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0153813 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.033044 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00504008 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0964096 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.125347 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.17737 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.13514 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.12046 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0911044 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0149589 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.184954 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0430758 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0528413 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.16643 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00432441 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0218075 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0838023 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.359933 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.022012 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0471175 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00015049 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0137127 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0162511 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0463697 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0525705 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0261665 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.00376501 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0281023 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0632818 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0347878 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00699582 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0175402 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0149092 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0918092 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0146746 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0723124 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.013731 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0422034 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0113785 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0553865 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.00340635 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0209271 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0386911 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.180058 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0575173 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.170843 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00639988 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0738096 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0381702 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0175506 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0389589 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0407793 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0267203 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.011341 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0298982 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0138614 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0496383 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0190508 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0588503 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0576562 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0340945 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0348978 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0768567 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0385293 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0253038 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0438785 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.15105 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0209012 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0385493 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00749642 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0530322 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0039114 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.101148 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0201666 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0326001 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0234202 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00154227 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.135958 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0617989 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0110569 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.181764 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0574792 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0417909 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.007528 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0253276 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0955404 # DEPENDENCYPART_SIBL
