# _root_ Havlova tvrdá a otevřená slova o Mnichově , okupaci , odsunu Němců a zločinech komunismu jsou jednoznačná .
#goldHeads=5,3,5,3,16,5,13,13,13,13,13,11,6,13,14,0,16,0,
#predictedHeads=5,3,5,3,16,5,13,13,13,13,13,11,6,13,14,0,16,0,
(5,7),-1.16476 # DEPENDENCYPART_ARC
(5,8),-1.12811 # DEPENDENCYPART_ARC
(5,9),-2.39656 # DEPENDENCYPART_ARC
(5,10),-1.29975 # DEPENDENCYPART_ARC
(5,13),-1.13619 # DEPENDENCYPART_ARC
(6,7),2.9188 # DEPENDENCYPART_ARC
(6,8),-1.29484 # DEPENDENCYPART_ARC
(6,9),-0.642154 # DEPENDENCYPART_ARC
(6,10),-1.60719 # DEPENDENCYPART_ARC
(6,13),-0.508009 # DEPENDENCYPART_ARC
(7,1),-4.43638 # DEPENDENCYPART_ARC
(7,2),-5.27495 # DEPENDENCYPART_ARC
(7,3),-0.653621 # DEPENDENCYPART_ARC
(7,5),-3.02938 # DEPENDENCYPART_ARC
(7,6),-1.2438 # DEPENDENCYPART_ARC
(7,8),-1.30713 # DEPENDENCYPART_ARC
(7,9),-2.22846 # DEPENDENCYPART_ARC
(7,10),-1.84122 # DEPENDENCYPART_ARC
(7,11),-2.91376 # DEPENDENCYPART_ARC
(7,12),-3.26659 # DEPENDENCYPART_ARC
(7,13),-1.36159 # DEPENDENCYPART_ARC
(7,15),-2.60417 # DEPENDENCYPART_ARC
(7,16),-2.62359 # DEPENDENCYPART_ARC
(7,17),-5.23621 # DEPENDENCYPART_ARC
(8,1),-1.8041 # DEPENDENCYPART_ARC
(8,2),-1.72171 # DEPENDENCYPART_ARC
(8,3),-0.88825 # DEPENDENCYPART_ARC
(8,4),-1.58086 # DEPENDENCYPART_ARC
(8,5),-0.615889 # DEPENDENCYPART_ARC
(8,6),-1.24068 # DEPENDENCYPART_ARC
(8,7),0.0161233 # DEPENDENCYPART_ARC
(8,9),0.167647 # DEPENDENCYPART_ARC
(8,10),-0.693823 # DEPENDENCYPART_ARC
(8,11),-2.05427 # DEPENDENCYPART_ARC
(8,12),-2.0998 # DEPENDENCYPART_ARC
(8,13),-0.9783 # DEPENDENCYPART_ARC
(8,14),-3.09927 # DEPENDENCYPART_ARC
(8,15),-3.33903 # DEPENDENCYPART_ARC
(8,16),-2.28057 # DEPENDENCYPART_ARC
(8,17),-2.35479 # DEPENDENCYPART_ARC
(8,18),-1.70867 # DEPENDENCYPART_ARC
(9,2),-5.64818 # DEPENDENCYPART_ARC
(9,3),-0.270338 # DEPENDENCYPART_ARC
(9,5),-4.11387 # DEPENDENCYPART_ARC
(9,6),-1.55418 # DEPENDENCYPART_ARC
(9,7),-2.05315 # DEPENDENCYPART_ARC
(9,8),-0.621408 # DEPENDENCYPART_ARC
(9,10),-0.785547 # DEPENDENCYPART_ARC
(9,11),-1.5505 # DEPENDENCYPART_ARC
(9,12),-1.31501 # DEPENDENCYPART_ARC
(9,14),-3.47219 # DEPENDENCYPART_ARC
(9,15),-1.52226 # DEPENDENCYPART_ARC
(9,16),-2.24407 # DEPENDENCYPART_ARC
(9,17),-4.00043 # DEPENDENCYPART_ARC
(10,1),-1.90065 # DEPENDENCYPART_ARC
(10,2),-1.88235 # DEPENDENCYPART_ARC
(10,3),-0.768324 # DEPENDENCYPART_ARC
(10,5),-0.953586 # DEPENDENCYPART_ARC
(10,6),-1.09259 # DEPENDENCYPART_ARC
(10,7),-0.378887 # DEPENDENCYPART_ARC
(10,8),0.390205 # DEPENDENCYPART_ARC
(10,9),0.668416 # DEPENDENCYPART_ARC
(10,11),-0.163579 # DEPENDENCYPART_ARC
(10,12),-1.02498 # DEPENDENCYPART_ARC
(10,13),-0.54362 # DEPENDENCYPART_ARC
(10,14),-2.25381 # DEPENDENCYPART_ARC
(10,15),-2.54817 # DEPENDENCYPART_ARC
(10,16),-1.66556 # DEPENDENCYPART_ARC
(10,17),-2.16244 # DEPENDENCYPART_ARC
(10,18),-1.2951 # DEPENDENCYPART_ARC
(11,3),-0.439855 # DEPENDENCYPART_ARC
(11,7),-2.58186 # DEPENDENCYPART_ARC
(11,8),-1.56446 # DEPENDENCYPART_ARC
(11,9),-2.99368 # DEPENDENCYPART_ARC
(11,10),-0.624555 # DEPENDENCYPART_ARC
(11,12),1.38534 # DEPENDENCYPART_ARC
(11,13),0.0470501 # DEPENDENCYPART_ARC
(11,14),-2.2953 # DEPENDENCYPART_ARC
(11,15),0.0985735 # DEPENDENCYPART_ARC
(11,16),-2.40434 # DEPENDENCYPART_ARC
(11,17),-3.82747 # DEPENDENCYPART_ARC
(11,18),-1.80358 # DEPENDENCYPART_ARC
(12,3),-0.559427 # DEPENDENCYPART_ARC
(12,7),-5.72174 # DEPENDENCYPART_ARC
(12,9),-6.61647 # DEPENDENCYPART_ARC
(12,11),-3.80615 # DEPENDENCYPART_ARC
(12,14),-3.27314 # DEPENDENCYPART_ARC
(12,15),-1.8285 # DEPENDENCYPART_ARC
(13,2),-2.18714 # DEPENDENCYPART_ARC
(13,3),-0.818967 # DEPENDENCYPART_ARC
(13,4),-1.69032 # DEPENDENCYPART_ARC
(13,5),-0.678591 # DEPENDENCYPART_ARC
(13,6),-1.48982 # DEPENDENCYPART_ARC
(13,7),0.123057 # DEPENDENCYPART_ARC
(13,8),0.3793 # DEPENDENCYPART_ARC
(13,9),0.417276 # DEPENDENCYPART_ARC
(13,10),0.743075 # DEPENDENCYPART_ARC
(13,11),-0.119875 # DEPENDENCYPART_ARC
(13,12),1.88083 # DEPENDENCYPART_ARC
(13,14),1.92618 # DEPENDENCYPART_ARC
(13,15),0.203202 # DEPENDENCYPART_ARC
(13,16),-0.147135 # DEPENDENCYPART_ARC
(13,17),-1.72349 # DEPENDENCYPART_ARC
(13,18),-1.21792 # DEPENDENCYPART_ARC
(14,15),1.77265 # DEPENDENCYPART_ARC
(14,16),-1.86588 # DEPENDENCYPART_ARC
(14,17),-3.12307 # DEPENDENCYPART_ARC
(14,18),-1.17135 # DEPENDENCYPART_ARC
(15,5),-6.33656 # DEPENDENCYPART_ARC
(15,7),-4.9143 # DEPENDENCYPART_ARC
(15,9),-5.81025 # DEPENDENCYPART_ARC
(15,11),-4.39926 # DEPENDENCYPART_ARC
(15,12),-2.97574 # DEPENDENCYPART_ARC
(15,13),-0.481078 # DEPENDENCYPART_ARC
(15,14),-3.27344 # DEPENDENCYPART_ARC
(15,16),-1.4611 # DEPENDENCYPART_ARC
(15,17),-3.38334 # DEPENDENCYPART_ARC
(15,18),-1.09753 # DEPENDENCYPART_ARC
(16,2),-2.99963 # DEPENDENCYPART_ARC
(16,3),-0.921682 # DEPENDENCYPART_ARC
(16,5),-0.601268 # DEPENDENCYPART_ARC
(16,6),-2.08207 # DEPENDENCYPART_ARC
(16,8),-1.52019 # DEPENDENCYPART_ARC
(16,9),-2.75738 # DEPENDENCYPART_ARC
(16,10),-1.15111 # DEPENDENCYPART_ARC
(16,11),-1.28088 # DEPENDENCYPART_ARC
(16,12),-2.29479 # DEPENDENCYPART_ARC
(16,13),-0.2748 # DEPENDENCYPART_ARC
(16,14),0.356807 # DEPENDENCYPART_ARC
(16,15),-1.85042 # DEPENDENCYPART_ARC
(16,17),1.37338 # DEPENDENCYPART_ARC
(16,18),-0.957993 # DEPENDENCYPART_ARC
(17,12),-2.76729 # DEPENDENCYPART_ARC
(17,13),-1.12127 # DEPENDENCYPART_ARC
(17,14),-2.72877 # DEPENDENCYPART_ARC
(17,15),-2.60227 # DEPENDENCYPART_ARC
(17,18),-0.357024 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.227047 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0782271 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0634661 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0776571 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0776571 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.074285 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0741222 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.227047 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.074285 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.343715 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.302867 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0311497 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.00444807 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.238729 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.238729 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0314861 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0314861 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.747338 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0314861 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.885256 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.0494213 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.147732 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0352021 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0352021 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0273041 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0272732 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.189825 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0273041 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.131484 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.434756 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0665988 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0665988 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.227791 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.226342 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.181206 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.227795 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.392786 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.316417 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.129028 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.0665233 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0684756 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.140416 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0665233 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.374026 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0665233 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0684756 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.140416 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.0665233 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.374026 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.0371893 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.182061 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0372201 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.123737 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.416889 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.182061 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.0372201 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.123977 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.416891 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0314861 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.885256 # DEPENDENCYPART_SIBL
(0,13),(0,18),0.0494213 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.123737 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.416889 # DEPENDENCYPART_SIBL
(0,16),(0,18),0.0831844 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0177648 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.646361 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0133885 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.106063 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00211852 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0293304 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0293304 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.00211852 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.240279 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.649221 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.646361 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0133935 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.106053 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00211349 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0293304 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0293304 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00211349 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.240279 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.649221 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.194087 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0306867 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.193283 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0173759 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0173759 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.193283 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.455275 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.294797 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00901319 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0401947 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.059906 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.059906 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0401947 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.430759 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.00237161 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0224898 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00240101 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00240101 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0224929 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.463631 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0498304 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0521956 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0521956 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0344949 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.424615 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.00539084 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.235972 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0353391 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.254132 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0480531 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0353391 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.254132 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0480531 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.424615 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.00539084 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0544076 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0176789 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0836654 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0137167 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.00192004 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.016499 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00191999 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.108313 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0158795 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0193109 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0159929 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0193109 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0146297 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.016499 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00191999 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.108288 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0158847 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0193061 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0159982 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0193061 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0146249 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.339964 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0294993 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0208112 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0371802 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0208198 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0371802 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.00896661 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.108588 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0149764 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0200591 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0150899 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0200591 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0149786 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00993758 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0336511 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.00912867 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0336511 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.201478 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0477736 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0732797 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0477736 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.31449 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0138588 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.00185783 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0795939 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.048156 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.31454 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0795939 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.344411 # DEPENDENCYPART_SIBL
(6,7),(6,9),-1.3968 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.344411 # DEPENDENCYPART_SIBL
(6,7),(6,13),-1.38106 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.568788 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.197465 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.521051 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.34473 # DEPENDENCYPART_SIBL
(6,9),(6,13),-1.38109 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.521051 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.000585167 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0182595 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.199032 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0717221 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.00835887 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.000355758 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.00835887 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.000242297 # DEPENDENCYPART_SIBL
(7,1),(7,12),8.12972e-05 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.00267481 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.00129858 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0506828 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0945888 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0182595 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.199032 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0717221 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.00835406 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.000361017 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.00835406 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.000247555 # DEPENDENCYPART_SIBL
(7,2),(7,12),7.60387e-05 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.00267 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.00129332 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.050678 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0945936 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0301707 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.134818 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0413265 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0122361 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0413265 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0122274 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.017576 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.00490475 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0138954 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0506726 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.00209514 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.135553 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0205407 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0145567 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0205407 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0100303 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0185517 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0095538 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0121784 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0174652 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.00254181 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0834542 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.202706 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0834542 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.202701 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.202488 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.050375 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.204806 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.226622 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.195909 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.00857947 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0054108 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.00756143 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.00258916 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0766533 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.00913065 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.00881228 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.0190393 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0375287 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0601044 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0590699 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.304819 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0625325 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.0261674 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.0348083 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.00756143 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.00258916 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0766533 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.00913065 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.00881228 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.0190393 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.058993 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.304769 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0624556 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0262352 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.0348826 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.307809 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0654965 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0227155 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.0280884 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.00888988 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.0348187 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.00118672 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.0334959 # DEPENDENCYPART_SIBL
(7,15),(7,17),0.0432427 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.0230081 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.100325 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.00121434 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.100317 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0148359 # DEPENDENCYPART_SIBL
