# _root_ V něm si několik prostitutek najalo vysloužilé zabijáky , aby se pomstily dvěma zákazníkům , kteří v opilosti jednu z nich zohavili .
#goldHeads=6,1,6,6,4,0,8,6,10,6,12,10,14,12,22,22,22,17,22,19,20,14,0,
#predictedHeads=6,1,6,6,4,0,8,6,10,6,12,10,14,12,22,22,22,17,16,19,20,14,0,
(6,5),(6,17),-0.00286482 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0165316 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.032525 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.0156261 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.107112 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0493901 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.00207284 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0506334 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.110568 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.104218 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0493901 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0297479 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.112118 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0659098 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.0506334 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0126846 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0306106 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.01606 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.00847474 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.106665 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0126846 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0568614 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.010974 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.000517498 # DEPENDENCYPART_SIBL
(6,8),(6,22),-0.01606 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.052115 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0995844 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.095432 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.103989 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.124158 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.209144 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.0970079 # DEPENDENCYPART_SIBL
(6,9),(6,20),-0.176314 # DEPENDENCYPART_SIBL
(6,9),(6,22),-0.0995844 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0270217 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0358257 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0167933 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0128545 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.043559 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.0373673 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.0778899 # DEPENDENCYPART_SIBL
(6,10),(6,22),-0.0270217 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0233277 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0343761 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.000347453 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.144168 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.0217808 # DEPENDENCYPART_SIBL
(6,12),(6,20),-0.000929399 # DEPENDENCYPART_SIBL
(6,12),(6,22),-0.23459 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0698516 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0206295 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.00688236 # DEPENDENCYPART_SIBL
(6,13),(6,19),-0.0748023 # DEPENDENCYPART_SIBL
(6,13),(6,20),-0.0750068 # DEPENDENCYPART_SIBL
(6,13),(6,22),-0.0157642 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.00715489 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.0553476 # DEPENDENCYPART_SIBL
(6,14),(6,19),-0.0121762 # DEPENDENCYPART_SIBL
(6,14),(6,20),-0.000996296 # DEPENDENCYPART_SIBL
(6,14),(6,22),-0.0173302 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.209144 # DEPENDENCYPART_SIBL
(6,15),(6,19),-0.0970079 # DEPENDENCYPART_SIBL
(6,15),(6,20),-0.176314 # DEPENDENCYPART_SIBL
(6,15),(6,22),-0.0995844 # DEPENDENCYPART_SIBL
(6,17),(6,19),0.17807 # DEPENDENCYPART_SIBL
(6,17),(6,20),-0.00452507 # DEPENDENCYPART_SIBL
(6,17),(6,22),0.00330363 # DEPENDENCYPART_SIBL
(6,19),(6,20),-0.0710583 # DEPENDENCYPART_SIBL
(6,19),(6,22),-0.0136243 # DEPENDENCYPART_SIBL
(6,20),(6,22),-0.0817789 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0218269 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0461104 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0746821 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0139028 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.025931 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0195089 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0584317 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0610124 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.170586 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0483064 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.013222 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0957438 # DEPENDENCYPART_SIBL
