# _root_ Do oblasti Plitvických jezer , kde působí náš prapor jako součást ochranných sil OSN , se začnou přesunovat autobusy 10 . října .
#goldHeads=17,1,4,2,7,7,2,9,7,11,9,13,11,13,7,18,0,17,17,22,20,17,0,
#predictedHeads=0,1,4,2,7,7,4,9,7,11,9,13,11,13,17,18,0,17,18,22,20,19,0,
(6,10),-0.805416 # DEPENDENCYPART_ARC
(6,11),-2.57454 # DEPENDENCYPART_ARC
(7,1),-0.403872 # DEPENDENCYPART_ARC
(7,2),-2.63452 # DEPENDENCYPART_ARC
(7,3),-3.94481 # DEPENDENCYPART_ARC
(7,4),-3.4206 # DEPENDENCYPART_ARC
(7,5),-0.128676 # DEPENDENCYPART_ARC
(7,6),1.31982 # DEPENDENCYPART_ARC
(7,8),-0.267257 # DEPENDENCYPART_ARC
(7,9),1.33044 # DEPENDENCYPART_ARC
(7,10),-0.162696 # DEPENDENCYPART_ARC
(7,11),-0.251131 # DEPENDENCYPART_ARC
(7,12),-3.45086 # DEPENDENCYPART_ARC
(7,13),-2.73744 # DEPENDENCYPART_ARC
(7,14),-1.9536 # DEPENDENCYPART_ARC
(7,15),-0.453633 # DEPENDENCYPART_ARC
(7,17),-2.2657 # DEPENDENCYPART_ARC
(7,18),-0.18882 # DEPENDENCYPART_ARC
(7,19),-2.43876 # DEPENDENCYPART_ARC
(7,20),-1.28798 # DEPENDENCYPART_ARC
(7,21),-0.952121 # DEPENDENCYPART_ARC
(7,22),-3.98858 # DEPENDENCYPART_ARC
(7,23),-1.24641 # DEPENDENCYPART_ARC
(9,3),-5.39408 # DEPENDENCYPART_ARC
(9,4),-5.4967 # DEPENDENCYPART_ARC
(9,6),-1.54798 # DEPENDENCYPART_ARC
(9,8),1.85896 # DEPENDENCYPART_ARC
(9,10),-0.924648 # DEPENDENCYPART_ARC
(9,11),-0.875483 # DEPENDENCYPART_ARC
(9,12),-3.52482 # DEPENDENCYPART_ARC
(9,13),-0.778234 # DEPENDENCYPART_ARC
(9,14),-1.63919 # DEPENDENCYPART_ARC
(9,18),-2.26208 # DEPENDENCYPART_ARC
(10,4),-2.24383 # DEPENDENCYPART_ARC
(10,5),-1.81372 # DEPENDENCYPART_ARC
(10,6),-2.22219 # DEPENDENCYPART_ARC
(10,7),-1.85069 # DEPENDENCYPART_ARC
(10,9),0.173371 # DEPENDENCYPART_ARC
(10,11),0.849668 # DEPENDENCYPART_ARC
(10,12),-1.9601 # DEPENDENCYPART_ARC
(10,13),-1.62102 # DEPENDENCYPART_ARC
(10,14),-1.59969 # DEPENDENCYPART_ARC
(10,15),-1.20498 # DEPENDENCYPART_ARC
(10,17),-2.05842 # DEPENDENCYPART_ARC
(10,18),-2.57254 # DEPENDENCYPART_ARC
(10,19),-3.06493 # DEPENDENCYPART_ARC
(10,22),-3.1368 # DEPENDENCYPART_ARC
(11,6),-1.56232 # DEPENDENCYPART_ARC
(11,8),-0.208482 # DEPENDENCYPART_ARC
(11,9),-2.29858 # DEPENDENCYPART_ARC
(11,10),0.716613 # DEPENDENCYPART_ARC
(11,12),-0.921516 # DEPENDENCYPART_ARC
(11,13),0.38709 # DEPENDENCYPART_ARC
(11,14),-0.979949 # DEPENDENCYPART_ARC
(11,15),-1.27364 # DEPENDENCYPART_ARC
(11,17),-2.11611 # DEPENDENCYPART_ARC
(11,18),-1.4515 # DEPENDENCYPART_ARC
(11,20),-2.16897 # DEPENDENCYPART_ARC
(12,1),-1.73787 # DEPENDENCYPART_ARC
(12,11),-1.83666 # DEPENDENCYPART_ARC
(12,13),-1.42568 # DEPENDENCYPART_ARC
(12,14),-1.5536 # DEPENDENCYPART_ARC
(13,8),-3.66579 # DEPENDENCYPART_ARC
(13,10),-0.929703 # DEPENDENCYPART_ARC
(13,12),1.89834 # DEPENDENCYPART_ARC
(13,14),1.2717 # DEPENDENCYPART_ARC
(13,15),-1.27253 # DEPENDENCYPART_ARC
(13,17),-0.882855 # DEPENDENCYPART_ARC
(13,18),-1.67153 # DEPENDENCYPART_ARC
(13,19),-4.53149 # DEPENDENCYPART_ARC
(13,20),-1.98696 # DEPENDENCYPART_ARC
(13,21),-1.65391 # DEPENDENCYPART_ARC
(13,22),-2.2056 # DEPENDENCYPART_ARC
(14,8),-3.23989 # DEPENDENCYPART_ARC
(14,9),-4.41758 # DEPENDENCYPART_ARC
(14,11),-3.10394 # DEPENDENCYPART_ARC
(14,12),-1.45936 # DEPENDENCYPART_ARC
(14,13),-3.48527 # DEPENDENCYPART_ARC
(14,15),-1.16822 # DEPENDENCYPART_ARC
(14,17),-2.18371 # DEPENDENCYPART_ARC
(14,18),-1.35508 # DEPENDENCYPART_ARC
(14,19),-4.62888 # DEPENDENCYPART_ARC
(14,20),-1.78056 # DEPENDENCYPART_ARC
(14,21),-1.58466 # DEPENDENCYPART_ARC
(14,22),-3.35614 # DEPENDENCYPART_ARC
(15,2),-2.40776 # DEPENDENCYPART_ARC
(15,5),-1.06967 # DEPENDENCYPART_ARC
(15,7),-1.2467 # DEPENDENCYPART_ARC
(15,11),-1.52427 # DEPENDENCYPART_ARC
(15,12),-1.82915 # DEPENDENCYPART_ARC
(15,13),-1.61441 # DEPENDENCYPART_ARC
(15,14),-1.41146 # DEPENDENCYPART_ARC
(15,17),-0.976884 # DEPENDENCYPART_ARC
(15,18),-1.45025 # DEPENDENCYPART_ARC
(15,19),-2.17432 # DEPENDENCYPART_ARC
(15,20),-2.00369 # DEPENDENCYPART_ARC
(15,21),-1.11829 # DEPENDENCYPART_ARC
(15,22),-2.36454 # DEPENDENCYPART_ARC
(15,23),-1.40877 # DEPENDENCYPART_ARC
(17,1),-1.87921 # DEPENDENCYPART_ARC
(17,2),-4.54136 # DEPENDENCYPART_ARC
(17,5),-1.49585 # DEPENDENCYPART_ARC
(17,6),-0.994405 # DEPENDENCYPART_ARC
(17,7),-2.54207 # DEPENDENCYPART_ARC
(17,9),-1.78532 # DEPENDENCYPART_ARC
(17,11),-1.52834 # DEPENDENCYPART_ARC
(17,12),-4.26381 # DEPENDENCYPART_ARC
(17,13),-2.62588 # DEPENDENCYPART_ARC
(17,14),-3.20214 # DEPENDENCYPART_ARC
(17,15),0.462752 # DEPENDENCYPART_ARC
(17,16),1.20967 # DEPENDENCYPART_ARC
(17,18),2.84709 # DEPENDENCYPART_ARC
(17,19),0.500395 # DEPENDENCYPART_ARC
(17,20),-0.756287 # DEPENDENCYPART_ARC
(17,21),-0.951589 # DEPENDENCYPART_ARC
(17,22),-2.62365 # DEPENDENCYPART_ARC
(17,23),-1.14766 # DEPENDENCYPART_ARC
(18,1),-1.90151 # DEPENDENCYPART_ARC
(18,2),-3.19752 # DEPENDENCYPART_ARC
(18,4),-3.54715 # DEPENDENCYPART_ARC
(18,5),-2.09773 # DEPENDENCYPART_ARC
(18,7),-3.47971 # DEPENDENCYPART_ARC
(18,9),-2.16428 # DEPENDENCYPART_ARC
(18,11),-1.84412 # DEPENDENCYPART_ARC
(18,13),-2.1983 # DEPENDENCYPART_ARC
(18,14),-2.54763 # DEPENDENCYPART_ARC
(18,15),-0.540177 # DEPENDENCYPART_ARC
(18,16),1.31688 # DEPENDENCYPART_ARC
(18,17),-0.844971 # DEPENDENCYPART_ARC
(18,19),1.81505 # DEPENDENCYPART_ARC
(18,20),-0.53041 # DEPENDENCYPART_ARC
(18,21),-0.931624 # DEPENDENCYPART_ARC
(18,22),-1.49242 # DEPENDENCYPART_ARC
(18,23),-1.35034 # DEPENDENCYPART_ARC
(19,16),-4.41764 # DEPENDENCYPART_ARC
(19,20),0.226658 # DEPENDENCYPART_ARC
(19,21),-0.689873 # DEPENDENCYPART_ARC
(19,22),-0.402009 # DEPENDENCYPART_ARC
(19,23),-1.33242 # DEPENDENCYPART_ARC
(20,15),-1.52465 # DEPENDENCYPART_ARC
(20,19),-1.55102 # DEPENDENCYPART_ARC
(20,21),1.36327 # DEPENDENCYPART_ARC
(20,22),-0.987301 # DEPENDENCYPART_ARC
(20,23),-1.23608 # DEPENDENCYPART_ARC
(21,19),-1.81095 # DEPENDENCYPART_ARC
(21,20),-1.79607 # DEPENDENCYPART_ARC
(21,22),-1.38472 # DEPENDENCYPART_ARC
(21,23),-1.83144 # DEPENDENCYPART_ARC
(22,14),-3.26171 # DEPENDENCYPART_ARC
(22,16),-4.18139 # DEPENDENCYPART_ARC
(22,19),-4.10819 # DEPENDENCYPART_ARC
(22,20),-0.0579581 # DEPENDENCYPART_ARC
(22,21),-0.19034 # DEPENDENCYPART_ARC
(22,23),-0.211775 # DEPENDENCYPART_ARC
(0,1),(0,2),0.207015 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.104169 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.216159 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.105915 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.179881 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.379737 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.105915 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.378648 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.37759 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.324816 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.324816 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.155713 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0498746 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.000231196 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.137676 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.181918 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.000231196 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.181747 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.181263 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.409109 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.409109 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.074285 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0776571 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.152027 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.361635 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0776571 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.360542 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.360541 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.302867 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.302867 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0203409 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.139203 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.184418 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0203409 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.184247 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.183763 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.416889 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.416889 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0629895 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.408632 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.40863 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.408609 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.133324 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.371736 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.262748 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.370657 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.369345 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.22022 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.22022 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.336349 # DEPENDENCYPART_SIBL
(0,7),(0,17),-1.47835 # DEPENDENCYPART_SIBL
(0,7),(0,18),-1.47831 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0616486 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.0616486 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.40863 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.408609 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,17),(0,18),-1.43961 # DEPENDENCYPART_SIBL
(0,17),(0,21),0.0783125 # DEPENDENCYPART_SIBL
(0,17),(0,23),0.0783125 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.00769122 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.147083 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.465797 # DEPENDENCYPART_SIBL
(1,2),(1,4),-1.38138 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.217983 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.953593 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.714063 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0875246 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.369955 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.258417 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.957926 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.284325 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.136665 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0241743 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00927018 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0670265 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0855491 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0241744 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0016648 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0275305 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0133297 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0340834 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0103451 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0169626 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00298559 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0340833 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00104396 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0341415 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0393084 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0149703 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0107717 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0083823 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0662907 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0870531 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0663489 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0772056 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.061338 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0130161 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00585456 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0630351 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00572302 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.01429 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0210935 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.00399802 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0238121 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.00309104 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00102519 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00358645 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0698476 # DEPENDENCYPART_SIBL
(2,7),(2,11),9.62572e-06 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.00861526 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0870516 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0663476 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0772043 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0573544 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0629375 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.077273 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.028044 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0274581 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0287085 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0656213 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0540824 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00367939 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0582475 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00958187 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0631916 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00975411 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00335913 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.140155 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00682906 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.01831 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.134781 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0169108 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0186013 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0420569 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0890094 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.104837 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0490358 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0487656 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.154733 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.100608 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0954611 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00593724 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00451015 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0309108 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.000202654 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0270968 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0396501 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00300811 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.00850525 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0106728 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00835887 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00675872 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0110875 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.000242289 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0603424 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0939308 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.00257371 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0100197 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0586666 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0136802 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00775342 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0650918 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0190393 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0150277 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0141743 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0190145 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00725313 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0282264 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0606758 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0196387 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0171594 # DEPENDENCYPART_SIBL
(4,7),(4,9),-5.96694e-05 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0651717 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0138643 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.260504 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.259654 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0806948 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0348826 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0103554 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0116568 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0426413 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.049025 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0481898 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.00697263 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.0077836 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.259564 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0201109 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0230501 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0152906 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0024356 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00954156 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0487904 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0967887 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0518616 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.00722359 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0135613 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0328473 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00133098 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0161726 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.037619 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.191097 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.112378 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0034665 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0315908 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.024225 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0127103 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0180466 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00544927 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00140069 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00676806 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.568448 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0313935 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0145127 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0208018 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0280283 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.163321 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.11555 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00812856 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.00930883 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0146344 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0802492 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0444999 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0974133 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.00171534 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0226075 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0782604 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0250506 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0859215 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0242196 # DEPENDENCYPART_SIBL
