# _root_ V prvním poločase , kdy se domácí celek ujal ve 28 . minutě vedení brankou z kopačky Kellyho , rozpoutali podnapilí výtržníci z Anglie na horní části tribuny nepokoje .
#goldHeads=20,3,1,9,9,9,8,9,3,9,13,11,10,9,9,15,16,17,9,0,22,20,22,23,20,27,25,27,20,0,
#predictedHeads=20,3,1,9,9,9,8,9,3,9,13,11,10,13,14,15,16,17,9,0,22,20,22,23,20,27,25,27,20,0,
(9,27),-3.17469 # DEPENDENCYPART_ARC
(9,28),-3.31571 # DEPENDENCYPART_ARC
(9,29),-1.37931 # DEPENDENCYPART_ARC
(10,11),-0.131717 # DEPENDENCYPART_ARC
(10,12),-0.904559 # DEPENDENCYPART_ARC
(10,13),0.87612 # DEPENDENCYPART_ARC
(10,14),-2.80781 # DEPENDENCYPART_ARC
(10,15),-2.84145 # DEPENDENCYPART_ARC
(10,19),-1.27937 # DEPENDENCYPART_ARC
(11,7),-1.78134 # DEPENDENCYPART_ARC
(11,8),-1.77959 # DEPENDENCYPART_ARC
(11,10),-1.13752 # DEPENDENCYPART_ARC
(11,12),1.51001 # DEPENDENCYPART_ARC
(11,13),-1.19999 # DEPENDENCYPART_ARC
(11,14),-1.89049 # DEPENDENCYPART_ARC
(11,15),-2.14561 # DEPENDENCYPART_ARC
(11,16),-1.48522 # DEPENDENCYPART_ARC
(11,20),-2.04905 # DEPENDENCYPART_ARC
(12,3),-2.25762 # DEPENDENCYPART_ARC
(12,9),-1.69395 # DEPENDENCYPART_ARC
(12,13),-1.25374 # DEPENDENCYPART_ARC
(12,14),-2.11085 # DEPENDENCYPART_ARC
(13,2),-1.19229 # DEPENDENCYPART_ARC
(13,4),-0.791154 # DEPENDENCYPART_ARC
(13,5),-1.06302 # DEPENDENCYPART_ARC
(13,6),-3.59518 # DEPENDENCYPART_ARC
(13,7),-2.504 # DEPENDENCYPART_ARC
(13,8),-2.21372 # DEPENDENCYPART_ARC
(13,9),-2.4337 # DEPENDENCYPART_ARC
(13,10),-0.705742 # DEPENDENCYPART_ARC
(13,11),0.293901 # DEPENDENCYPART_ARC
(13,12),-0.0813894 # DEPENDENCYPART_ARC
(13,14),1.76706 # DEPENDENCYPART_ARC
(13,15),-1.23922 # DEPENDENCYPART_ARC
(13,16),-0.546439 # DEPENDENCYPART_ARC
(13,17),-1.03884 # DEPENDENCYPART_ARC
(13,18),-1.4017 # DEPENDENCYPART_ARC
(13,20),-2.42602 # DEPENDENCYPART_ARC
(13,21),-3.76155 # DEPENDENCYPART_ARC
(13,23),-1.29192 # DEPENDENCYPART_ARC
(13,25),-1.2911 # DEPENDENCYPART_ARC
(14,10),-1.90549 # DEPENDENCYPART_ARC
(14,11),-1.67116 # DEPENDENCYPART_ARC
(14,13),-4.20124 # DEPENDENCYPART_ARC
(14,15),1.22743 # DEPENDENCYPART_ARC
(14,16),0.0963038 # DEPENDENCYPART_ARC
(14,17),-0.394418 # DEPENDENCYPART_ARC
(14,18),-0.942044 # DEPENDENCYPART_ARC
(14,19),-1.03685 # DEPENDENCYPART_ARC
(14,20),-1.79623 # DEPENDENCYPART_ARC
(14,21),-3.69488 # DEPENDENCYPART_ARC
(14,23),-0.727665 # DEPENDENCYPART_ARC
(14,25),-0.946667 # DEPENDENCYPART_ARC
(15,8),-3.90739 # DEPENDENCYPART_ARC
(15,10),-1.77195 # DEPENDENCYPART_ARC
(15,11),-1.60184 # DEPENDENCYPART_ARC
(15,13),-2.37974 # DEPENDENCYPART_ARC
(15,14),-1.67199 # DEPENDENCYPART_ARC
(15,16),0.679637 # DEPENDENCYPART_ARC
(15,17),0.121099 # DEPENDENCYPART_ARC
(15,18),-1.14062 # DEPENDENCYPART_ARC
(15,20),-2.27003 # DEPENDENCYPART_ARC
(15,21),-3.13221 # DEPENDENCYPART_ARC
(15,23),-0.834842 # DEPENDENCYPART_ARC
(15,25),-0.904144 # DEPENDENCYPART_ARC
(16,15),-2.24968 # DEPENDENCYPART_ARC
(16,17),1.82034 # DEPENDENCYPART_ARC
(16,18),-0.430797 # DEPENDENCYPART_ARC
(16,19),-1.11088 # DEPENDENCYPART_ARC
(17,16),-0.288881 # DEPENDENCYPART_ARC
(17,18),0.756785 # DEPENDENCYPART_ARC
(17,20),-1.66424 # DEPENDENCYPART_ARC
(17,21),-3.30309 # DEPENDENCYPART_ARC
(17,22),-2.29032 # DEPENDENCYPART_ARC
(17,23),-1.09506 # DEPENDENCYPART_ARC
(17,25),-1.1111 # DEPENDENCYPART_ARC
(17,28),-1.096 # DEPENDENCYPART_ARC
(17,29),-4.55913 # DEPENDENCYPART_ARC
(18,13),-3.58491 # DEPENDENCYPART_ARC
(18,14),-1.51923 # DEPENDENCYPART_ARC
(18,15),-2.97438 # DEPENDENCYPART_ARC
(18,16),-1.49191 # DEPENDENCYPART_ARC
(18,17),0.58027 # DEPENDENCYPART_ARC
(18,19),-1.41718 # DEPENDENCYPART_ARC
(18,20),-1.88103 # DEPENDENCYPART_ARC
(18,21),-3.6318 # DEPENDENCYPART_ARC
(18,22),-3.46983 # DEPENDENCYPART_ARC
(19,1),-1.82208 # DEPENDENCYPART_ARC
(19,3),-2.7244 # DEPENDENCYPART_ARC
(19,4),-1.49065 # DEPENDENCYPART_ARC
(19,5),-1.64963 # DEPENDENCYPART_ARC
(19,8),-1.84013 # DEPENDENCYPART_ARC
(19,9),-0.756194 # DEPENDENCYPART_ARC
(19,10),-1.60037 # DEPENDENCYPART_ARC
(19,11),-2.09261 # DEPENDENCYPART_ARC
(19,13),-1.18414 # DEPENDENCYPART_ARC
(19,14),-1.49428 # DEPENDENCYPART_ARC
(19,15),-1.37242 # DEPENDENCYPART_ARC
(19,16),-1.0704 # DEPENDENCYPART_ARC
(19,17),-1.34012 # DEPENDENCYPART_ARC
(19,18),-1.36496 # DEPENDENCYPART_ARC
(19,20),-0.846317 # DEPENDENCYPART_ARC
(19,21),-1.98791 # DEPENDENCYPART_ARC
(19,22),-1.89726 # DEPENDENCYPART_ARC
(19,24),-2.49887 # DEPENDENCYPART_ARC
(19,29),-2.8039 # DEPENDENCYPART_ARC
(20,1),-0.417273 # DEPENDENCYPART_ARC
(20,3),-2.91388 # DEPENDENCYPART_ARC
(20,4),-1.26493 # DEPENDENCYPART_ARC
(20,5),-0.955674 # DEPENDENCYPART_ARC
(20,6),-1.16364 # DEPENDENCYPART_ARC
(20,8),-2.07152 # DEPENDENCYPART_ARC
(20,9),-3.39475 # DEPENDENCYPART_ARC
(20,10),-1.09744 # DEPENDENCYPART_ARC
(20,11),-1.27241 # DEPENDENCYPART_ARC
(20,12),-0.737627 # DEPENDENCYPART_ARC
(20,13),-2.07138 # DEPENDENCYPART_ARC
(20,14),-3.10808 # DEPENDENCYPART_ARC
(20,15),-1.0125 # DEPENDENCYPART_ARC
(20,16),-0.882051 # DEPENDENCYPART_ARC
(20,17),-2.48323 # DEPENDENCYPART_ARC
(20,18),-3.43908 # DEPENDENCYPART_ARC
(20,19),-0.423716 # DEPENDENCYPART_ARC
(20,21),0.785023 # DEPENDENCYPART_ARC
(20,22),0.923756 # DEPENDENCYPART_ARC
(20,23),0.445765 # DEPENDENCYPART_ARC
(20,24),-2.38363 # DEPENDENCYPART_ARC
(20,25),0.0534969 # DEPENDENCYPART_ARC
(20,26),-4.12647 # DEPENDENCYPART_ARC
(20,27),-1.36521 # DEPENDENCYPART_ARC
(20,28),-2.0365 # DEPENDENCYPART_ARC
(20,29),0.422897 # DEPENDENCYPART_ARC
(20,30),-1.00225 # DEPENDENCYPART_ARC
(21,16),-1.58782 # DEPENDENCYPART_ARC
(21,19),-1.17116 # DEPENDENCYPART_ARC
(21,22),-1.94685 # DEPENDENCYPART_ARC
(21,23),-0.448508 # DEPENDENCYPART_ARC
(21,24),-1.66945 # DEPENDENCYPART_ARC
(22,17),-4.56579 # DEPENDENCYPART_ARC
(22,18),-2.91128 # DEPENDENCYPART_ARC
(22,19),-1.45779 # DEPENDENCYPART_ARC
(22,21),2.33178 # DEPENDENCYPART_ARC
(22,23),0.682541 # DEPENDENCYPART_ARC
(22,24),0.143886 # DEPENDENCYPART_ARC
(22,25),-0.712457 # DEPENDENCYPART_ARC
(22,26),-3.19315 # DEPENDENCYPART_ARC
(22,27),-2.39187 # DEPENDENCYPART_ARC
(22,28),-1.2291 # DEPENDENCYPART_ARC
(22,29),-4.84514 # DEPENDENCYPART_ARC
(23,22),-3.22602 # DEPENDENCYPART_ARC
(23,24),2.40026 # DEPENDENCYPART_ARC
(23,27),-1.89982 # DEPENDENCYPART_ARC
(23,28),-2.73883 # DEPENDENCYPART_ARC
(24,21),-5.2511 # DEPENDENCYPART_ARC
(24,22),-3.40711 # DEPENDENCYPART_ARC
(24,23),-1.26324 # DEPENDENCYPART_ARC
(24,25),-0.319465 # DEPENDENCYPART_ARC
(24,26),-2.16432 # DEPENDENCYPART_ARC
(24,27),-2.60796 # DEPENDENCYPART_ARC
(24,28),-1.63114 # DEPENDENCYPART_ARC
(24,29),-5.36387 # DEPENDENCYPART_ARC
(25,22),-3.60373 # DEPENDENCYPART_ARC
(25,23),-0.808944 # DEPENDENCYPART_ARC
(25,24),-1.74276 # DEPENDENCYPART_ARC
(25,26),-0.447786 # DEPENDENCYPART_ARC
(25,27),2.03806 # DEPENDENCYPART_ARC
(25,28),-2.65293 # DEPENDENCYPART_ARC
(25,29),-2.59693 # DEPENDENCYPART_ARC
(25,30),-1.67194 # DEPENDENCYPART_ARC
(26,28),-2.09619 # DEPENDENCYPART_ARC
(26,29),-2.5658 # DEPENDENCYPART_ARC
(27,21),-4.49573 # DEPENDENCYPART_ARC
(27,24),-0.920719 # DEPENDENCYPART_ARC
(27,25),-0.897664 # DEPENDENCYPART_ARC
(27,26),2.04807 # DEPENDENCYPART_ARC
(27,28),1.62548 # DEPENDENCYPART_ARC
(27,29),-2.70968 # DEPENDENCYPART_ARC
(27,30),-1.3438 # DEPENDENCYPART_ARC
(28,24),-2.16553 # DEPENDENCYPART_ARC
(28,26),-1.23716 # DEPENDENCYPART_ARC
(28,27),-3.20692 # DEPENDENCYPART_ARC
(28,29),-1.36429 # DEPENDENCYPART_ARC
(28,30),-1.05994 # DEPENDENCYPART_ARC
(29,13),-5.70391 # DEPENDENCYPART_ARC
(29,14),-4.53707 # DEPENDENCYPART_ARC
(29,15),-4.98646 # DEPENDENCYPART_ARC
(29,17),-4.23611 # DEPENDENCYPART_ARC
(29,18),-3.9635 # DEPENDENCYPART_ARC
(29,22),-3.59204 # DEPENDENCYPART_ARC
(29,24),-3.16297 # DEPENDENCYPART_ARC
(29,25),-1.26678 # DEPENDENCYPART_ARC
(29,26),-4.13849 # DEPENDENCYPART_ARC
(29,27),-3.21933 # DEPENDENCYPART_ARC
(29,28),-1.85787 # DEPENDENCYPART_ARC
(29,30),-0.616924 # DEPENDENCYPART_ARC
(0,1),(0,2),0.228656 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.114591 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.093583 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0564103 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.372233 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.396679 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.093583 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.372218 # DEPENDENCYPART_SIBL
(0,1),(0,30),-0.396679 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.167713 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0404496 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0523082 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.388262 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.255374 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0404496 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.388261 # DEPENDENCYPART_SIBL
(0,2),(0,30),-0.255374 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0203409 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0906276 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.183775 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.416889 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0203409 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.183763 # DEPENDENCYPART_SIBL
(0,3),(0,30),-0.416889 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0313585 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.408637 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.133324 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.129028 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,4),(0,30),-0.133324 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.262343 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0429877 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.091718 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.262343 # DEPENDENCYPART_SIBL
(0,5),(0,30),-0.0429877 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0303419 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.313812 # DEPENDENCYPART_SIBL
(0,9),(0,20),-1.46933 # DEPENDENCYPART_SIBL
(0,9),(0,30),-0.0303419 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.375943 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.602365 # DEPENDENCYPART_SIBL
(0,12),(0,30),-0.147083 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,19),(0,30),-0.133324 # DEPENDENCYPART_SIBL
(0,20),(0,30),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.712195 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0694901 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.180673 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.712745 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.138695 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.528912 # DEPENDENCYPART_SIBL
(1,3),(1,8),-1.40632 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.110278 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.556456 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.568016 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.035065 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.101741 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0169139 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0623754 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.128499 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.109374 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.080721 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.118373 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.116672 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0568851 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0161443 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00191148 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0138053 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0167862 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.000606816 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.032595 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0421236 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0187349 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0108053 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0142628 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00195438 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.11183 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0579107 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00432444 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0135434 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.00598215 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0370837 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.02444 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00808922 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0299289 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.156166 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00685463 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0156467 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.209633 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0163893 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0423129 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.192222 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00134047 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0337562 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0362553 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0395188 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0112617 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00709022 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.357442 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0206929 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0686461 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0200765 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.00695631 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0044329 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00297972 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00557961 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0344177 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0220514 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0180404 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.146666 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0148083 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0424317 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.021743 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0614919 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00974052 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.154428 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0148046 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0195715 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0531786 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0315608 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.00930883 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.014972 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0115137 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.035673 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0816943 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.206475 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0673761 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0507071 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.015103 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0816935 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.028777 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0403105 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.108937 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0437174 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.107665 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0167958 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0403077 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.021619 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0818034 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.133257 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.125325 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.0303157 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0216055 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.014471 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0423167 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.125006 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0420518 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.362467 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.185652 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0635853 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0515653 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0703359 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0575721 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0344347 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0620129 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0933189 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.0131629 # DEPENDENCYPART_SIBL
(4,19),(4,20),-0.0429737 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0327211 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.07361 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0198216 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0253085 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.022997 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0660078 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.203726 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0129433 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0812015 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00520306 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0370557 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.197479 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0774597 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.281075 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0257574 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0541327 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.015648 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.154573 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.00916862 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.185573 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0385696 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.114933 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0610655 # DEPENDENCYPART_SIBL
