# _root_ Jakmile bude toto perspektivně levné vozidlo předvedeno potencionálním zájemcům in natura , bude jim jasné , že na něco podobného vlastně čekali .
#goldHeads=13,7,6,5,6,7,1,9,7,11,7,1,0,13,13,17,13,22,18,19,22,17,0,
#predictedHeads=13,7,6,5,6,7,1,9,7,9,10,1,0,15,13,17,13,22,18,19,22,17,0,
(16,22),-1.81641 # DEPENDENCYPART_ARC
(17,11),-2.76656 # DEPENDENCYPART_ARC
(17,12),-0.981026 # DEPENDENCYPART_ARC
(17,13),-1.25512 # DEPENDENCYPART_ARC
(17,15),-1.37634 # DEPENDENCYPART_ARC
(17,16),1.62023 # DEPENDENCYPART_ARC
(17,18),-0.688047 # DEPENDENCYPART_ARC
(17,19),-1.38112 # DEPENDENCYPART_ARC
(17,20),-1.83379 # DEPENDENCYPART_ARC
(17,21),-1.4283 # DEPENDENCYPART_ARC
(17,22),0.733163 # DEPENDENCYPART_ARC
(17,23),-0.744763 # DEPENDENCYPART_ARC
(18,16),-1.17895 # DEPENDENCYPART_ARC
(18,19),1.15886 # DEPENDENCYPART_ARC
(18,20),-1.68212 # DEPENDENCYPART_ARC
(18,21),-1.39285 # DEPENDENCYPART_ARC
(19,18),-0.700559 # DEPENDENCYPART_ARC
(19,20),0.817258 # DEPENDENCYPART_ARC
(19,21),-0.887575 # DEPENDENCYPART_ARC
(19,22),-1.4298 # DEPENDENCYPART_ARC
(20,14),-1.73754 # DEPENDENCYPART_ARC
(20,18),-0.645537 # DEPENDENCYPART_ARC
(20,19),-1.44655 # DEPENDENCYPART_ARC
(20,21),-0.588399 # DEPENDENCYPART_ARC
(20,22),-2.0539 # DEPENDENCYPART_ARC
(20,23),-0.901006 # DEPENDENCYPART_ARC
(21,14),-2.16586 # DEPENDENCYPART_ARC
(21,18),-1.34599 # DEPENDENCYPART_ARC
(21,19),-1.46903 # DEPENDENCYPART_ARC
(21,20),-1.06618 # DEPENDENCYPART_ARC
(22,1),-0.280494 # DEPENDENCYPART_ARC
(22,2),-2.44512 # DEPENDENCYPART_ARC
(22,3),-3.08711 # DEPENDENCYPART_ARC
(22,4),-1.71047 # DEPENDENCYPART_ARC
(22,5),-3.08302 # DEPENDENCYPART_ARC
(22,6),-1.83962 # DEPENDENCYPART_ARC
(22,7),-2.56053 # DEPENDENCYPART_ARC
(22,8),-1.36546 # DEPENDENCYPART_ARC
(22,9),-0.492 # DEPENDENCYPART_ARC
(22,10),-2.53891 # DEPENDENCYPART_ARC
(22,11),-3.09433 # DEPENDENCYPART_ARC
(22,12),-1.85356 # DEPENDENCYPART_ARC
(22,13),-1.63871 # DEPENDENCYPART_ARC
(22,14),-0.57628 # DEPENDENCYPART_ARC
(22,15),-2.64323 # DEPENDENCYPART_ARC
(22,16),-0.935013 # DEPENDENCYPART_ARC
(22,17),-1.29766 # DEPENDENCYPART_ARC
(22,18),0.692172 # DEPENDENCYPART_ARC
(22,19),-0.274564 # DEPENDENCYPART_ARC
(22,20),-3.35767 # DEPENDENCYPART_ARC
(22,21),1.45959 # DEPENDENCYPART_ARC
(22,23),-0.53022 # DEPENDENCYPART_ARC
(23,19),-2.9112 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.864081 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.850416 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.403269 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.864081 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0407675 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.403269 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0135722 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.850421 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.178901 # DEPENDENCYPART_SIBL
(0,2),(0,7),-1.47985 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.347357 # DEPENDENCYPART_SIBL
(0,2),(0,13),-1.4904 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.243037 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.347357 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.218989 # DEPENDENCYPART_SIBL
(0,2),(0,22),-1.47988 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.107215 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.296463 # DEPENDENCYPART_SIBL
(0,7),(0,13),-1.47374 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.226525 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.296463 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.202476 # DEPENDENCYPART_SIBL
(0,7),(0,22),-1.46322 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.417451 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.090598 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.129028 # DEPENDENCYPART_SIBL
(0,12),(0,19),0.14113 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.408609 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.243037 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.347357 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.218989 # DEPENDENCYPART_SIBL
(0,13),(0,22),-1.47988 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.107215 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0734913 # DEPENDENCYPART_SIBL
(0,14),(0,19),0.203258 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.416849 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.0305091 # DEPENDENCYPART_SIBL
(0,16),(0,19),0.14113 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.408609 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.424267 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.0567633 # DEPENDENCYPART_SIBL
(0,22),(0,23),0.036116 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0812907 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0727485 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.088817 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0191103 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.804787 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.042404 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.042404 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0231356 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0177688 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.036036 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.319761 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0413554 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0413554 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.02562 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00581594 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.232543 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0392577 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0392577 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.133378 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.364101 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0102108 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0102108 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.34468 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0257252 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0257252 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0933753 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0933753 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.323796 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.109067 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.147013 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.264961 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.188202 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.158506 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.264961 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.189005 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.136665 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.188981 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.169329 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.288114 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.255482 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.264357 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.175775 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0189738 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0467192 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0231725 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00667481 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0467192 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0206544 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0338515 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0206036 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.011565 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0373377 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0694966 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0467704 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0187863 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.111705 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0923397 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0727255 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.113175 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0946669 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.102406 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.094922 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0145411 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.130676 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0983394 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.113171 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.110143 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0135182 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.28198 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.226813 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00938995 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.047328 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00933914 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0385046 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.225951 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0682328 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.226813 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0470758 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0711704 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0642025 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0367238 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0781784 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0364708 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0771366 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0638397 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0880521 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0639558 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0800517 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0869871 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0249676 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0135745 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0250401 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0196122 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.10173 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.111438 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0869888 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0322432 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00900637 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.047328 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.00895556 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0400784 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.225951 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0682328 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.226813 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.0474763 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0562672 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0417655 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0722356 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0585921 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.0933016 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0587083 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.0795683 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.136055 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0439964 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.135903 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.046761 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.131264 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.174076 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0792741 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0638515 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0880481 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0639677 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.0800557 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0426816 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0382244 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.0445434 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.00287861 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.163632 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.180943 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.113323 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.116531 # DEPENDENCYPART_SIBL
(2,17),(2,21),-0.0558698 # DEPENDENCYPART_SIBL
(2,20),(2,21),0.0474677 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0250108 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0156169 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0986997 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0448892 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0472359 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0744106 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0111396 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0150223 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0504427 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.023344 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.060994 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0592629 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0203864 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.034664 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.342832 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0653753 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.019275 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.045943 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0048738 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00642866 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0971074 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0113921 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00784652 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0292084 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0299022 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.100452 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0183035 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00491952 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.00426157 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0459186 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0644159 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0636108 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0457889 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.107489 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.124937 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.125582 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0527277 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0845366 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00347052 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.000524816 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0774692 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.000562538 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.002419 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00229674 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00702058 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.111073 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00934526 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0941273 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.182954 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.000721247 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0199671 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0557854 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0567848 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0388748 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.142829 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00893167 # DEPENDENCYPART_SIBL
