# _root_ Poslanec FS Aleš Mucha ( LSU ) nevidí důvod , proč by stahoval svůj návrh kandidatury Jiřího Kotase na funkci prezidenta ČSFR , přestože se v minulých dnech LSU od kandidatury J . Kotase distancovala .
#goldHeads=4,1,4,8,4,4,4,0,8,13,13,13,9,15,13,15,18,16,16,19,20,21,24,8,35,35,28,26,35,35,30,34,32,31,24,0,
#predictedHeads=4,1,4,8,4,4,4,0,8,13,13,13,9,15,13,15,18,16,15,19,20,21,24,13,35,35,28,26,28,35,30,34,32,31,24,0,
(16,19),-0.274301 # DEPENDENCYPART_ARC
(16,20),-4.18422 # DEPENDENCYPART_ARC
(16,21),-1.16184 # DEPENDENCYPART_ARC
(16,26),-1.90241 # DEPENDENCYPART_ARC
(17,14),-2.44603 # DEPENDENCYPART_ARC
(17,15),-3.11613 # DEPENDENCYPART_ARC
(17,16),-1.88983 # DEPENDENCYPART_ARC
(17,18),-0.35819 # DEPENDENCYPART_ARC
(17,19),-1.01064 # DEPENDENCYPART_ARC
(17,20),-4.70914 # DEPENDENCYPART_ARC
(17,21),-1.96411 # DEPENDENCYPART_ARC
(17,22),-1.46308 # DEPENDENCYPART_ARC
(17,26),-2.64145 # DEPENDENCYPART_ARC
(18,1),-1.17318 # DEPENDENCYPART_ARC
(18,9),-3.79109 # DEPENDENCYPART_ARC
(18,14),-2.72337 # DEPENDENCYPART_ARC
(18,15),-2.38785 # DEPENDENCYPART_ARC
(18,16),-0.282565 # DEPENDENCYPART_ARC
(18,17),4.61615 # DEPENDENCYPART_ARC
(18,19),-0.734297 # DEPENDENCYPART_ARC
(18,20),-3.71177 # DEPENDENCYPART_ARC
(18,21),-1.83245 # DEPENDENCYPART_ARC
(18,22),-0.506199 # DEPENDENCYPART_ARC
(18,24),-1.33043 # DEPENDENCYPART_ARC
(19,18),-2.35974 # DEPENDENCYPART_ARC
(19,20),2.23173 # DEPENDENCYPART_ARC
(19,21),-3.09272 # DEPENDENCYPART_ARC
(19,22),-3.75924 # DEPENDENCYPART_ARC
(19,23),-1.19282 # DEPENDENCYPART_ARC
(19,24),-1.52111 # DEPENDENCYPART_ARC
(20,19),-0.43188 # DEPENDENCYPART_ARC
(20,21),1.82678 # DEPENDENCYPART_ARC
(20,22),0.419351 # DEPENDENCYPART_ARC
(20,23),-0.940573 # DEPENDENCYPART_ARC
(20,24),-0.877306 # DEPENDENCYPART_ARC
(20,26),-1.54942 # DEPENDENCYPART_ARC
(20,28),-2.23578 # DEPENDENCYPART_ARC
(20,30),-1.25519 # DEPENDENCYPART_ARC
(20,34),-1.78085 # DEPENDENCYPART_ARC
(20,35),-1.82454 # DEPENDENCYPART_ARC
(21,16),-4.45232 # DEPENDENCYPART_ARC
(21,17),0.173864 # DEPENDENCYPART_ARC
(21,19),-1.39127 # DEPENDENCYPART_ARC
(21,20),-3.57359 # DEPENDENCYPART_ARC
(21,22),2.06858 # DEPENDENCYPART_ARC
(21,23),-1.35394 # DEPENDENCYPART_ARC
(21,24),-1.04177 # DEPENDENCYPART_ARC
(21,26),-2.35397 # DEPENDENCYPART_ARC
(21,28),-2.8174 # DEPENDENCYPART_ARC
(21,29),-0.613359 # DEPENDENCYPART_ARC
(21,30),-1.45861 # DEPENDENCYPART_ARC
(21,32),-1.5313 # DEPENDENCYPART_ARC
(21,34),-2.81182 # DEPENDENCYPART_ARC
(22,15),-3.70413 # DEPENDENCYPART_ARC
(22,16),-4.17443 # DEPENDENCYPART_ARC
(22,17),-2.72698 # DEPENDENCYPART_ARC
(22,18),-3.35208 # DEPENDENCYPART_ARC
(22,19),-2.14141 # DEPENDENCYPART_ARC
(22,20),-2.16023 # DEPENDENCYPART_ARC
(22,21),-1.78349 # DEPENDENCYPART_ARC
(22,23),-1.05027 # DEPENDENCYPART_ARC
(22,24),-1.07418 # DEPENDENCYPART_ARC
(22,35),-2.98214 # DEPENDENCYPART_ARC
(23,5),-1.59387 # DEPENDENCYPART_ARC
(23,10),-1.11949 # DEPENDENCYPART_ARC
(23,13),-1.41828 # DEPENDENCYPART_ARC
(23,15),-1.50063 # DEPENDENCYPART_ARC
(23,16),-1.86389 # DEPENDENCYPART_ARC
(23,17),-1.76788 # DEPENDENCYPART_ARC
(23,18),-1.80186 # DEPENDENCYPART_ARC
(23,20),-1.42038 # DEPENDENCYPART_ARC
(23,22),-1.40237 # DEPENDENCYPART_ARC
(23,24),-0.785074 # DEPENDENCYPART_ARC
(23,26),-1.25856 # DEPENDENCYPART_ARC
(23,35),-2.20997 # DEPENDENCYPART_ARC
(24,13),-1.90614 # DEPENDENCYPART_ARC
(24,18),-2.23379 # DEPENDENCYPART_ARC
(24,20),-2.00975 # DEPENDENCYPART_ARC
(24,21),-1.89293 # DEPENDENCYPART_ARC
(24,22),-1.94719 # DEPENDENCYPART_ARC
(24,23),0.329883 # DEPENDENCYPART_ARC
(24,26),-1.03321 # DEPENDENCYPART_ARC
(24,27),-1.62866 # DEPENDENCYPART_ARC
(24,28),-1.78672 # DEPENDENCYPART_ARC
(24,29),-1.96997 # DEPENDENCYPART_ARC
(24,31),-2.7496 # DEPENDENCYPART_ARC
(24,32),-2.37573 # DEPENDENCYPART_ARC
(24,33),-0.667822 # DEPENDENCYPART_ARC
(24,35),0.397156 # DEPENDENCYPART_ARC
(24,36),-0.969156 # DEPENDENCYPART_ARC
(26,27),-0.588328 # DEPENDENCYPART_ARC
(26,28),2.01999 # DEPENDENCYPART_ARC
(26,29),-1.04137 # DEPENDENCYPART_ARC
(26,31),-3.97944 # DEPENDENCYPART_ARC
(26,33),-1.59539 # DEPENDENCYPART_ARC
(27,25),-2.04065 # DEPENDENCYPART_ARC
(27,29),-1.61095 # DEPENDENCYPART_ARC
(28,25),-3.4689 # DEPENDENCYPART_ARC
(28,26),-1.07323 # DEPENDENCYPART_ARC
(28,27),1.24304 # DEPENDENCYPART_ARC
(28,29),0.85401 # DEPENDENCYPART_ARC
(28,30),-0.259681 # DEPENDENCYPART_ARC
(28,31),-0.869418 # DEPENDENCYPART_ARC
(28,32),-1.31239 # DEPENDENCYPART_ARC
(28,33),-1.28343 # DEPENDENCYPART_ARC
(28,34),-1.75582 # DEPENDENCYPART_ARC
(29,25),-5.42274 # DEPENDENCYPART_ARC
(29,27),-3.37897 # DEPENDENCYPART_ARC
(29,28),-4.50053 # DEPENDENCYPART_ARC
(29,30),-0.477921 # DEPENDENCYPART_ARC
(29,31),-0.545676 # DEPENDENCYPART_ARC
(29,32),-1.75959 # DEPENDENCYPART_ARC
(29,33),-0.737965 # DEPENDENCYPART_ARC
(29,34),-3.21982 # DEPENDENCYPART_ARC
(30,28),-2.39222 # DEPENDENCYPART_ARC
(30,29),-2.47993 # DEPENDENCYPART_ARC
(30,31),1.894 # DEPENDENCYPART_ARC
(30,32),-1.05754 # DEPENDENCYPART_ARC
(30,33),-1.17522 # DEPENDENCYPART_ARC
(30,34),-1.02451 # DEPENDENCYPART_ARC
(31,30),-0.520031 # DEPENDENCYPART_ARC
(31,32),1.29089 # DEPENDENCYPART_ARC
(31,33),-0.527514 # DEPENDENCYPART_ARC
(31,34),-1.03886 # DEPENDENCYPART_ARC
(31,35),-1.22534 # DEPENDENCYPART_ARC
(32,28),-6.74936 # DEPENDENCYPART_ARC
(32,29),-5.84814 # DEPENDENCYPART_ARC
(32,30),-2.12738 # DEPENDENCYPART_ARC
(32,31),-3.6378 # DEPENDENCYPART_ARC
(32,33),1.38011 # DEPENDENCYPART_ARC
(32,34),-2.51703 # DEPENDENCYPART_ARC
(32,35),-2.06923 # DEPENDENCYPART_ARC
(32,36),-0.500055 # DEPENDENCYPART_ARC
(33,31),-2.06393 # DEPENDENCYPART_ARC
(33,32),-0.991891 # DEPENDENCYPART_ARC
(33,34),-1.72196 # DEPENDENCYPART_ARC
(34,16),-3.2705 # DEPENDENCYPART_ARC
(34,17),0.811422 # DEPENDENCYPART_ARC
(34,21),0.328482 # DEPENDENCYPART_ARC
(34,28),-6.53589 # DEPENDENCYPART_ARC
(34,29),-2.38957 # DEPENDENCYPART_ARC
(34,30),-1.66971 # DEPENDENCYPART_ARC
(34,31),-0.790325 # DEPENDENCYPART_ARC
(34,32),4.88584 # DEPENDENCYPART_ARC
(34,33),-0.709145 # DEPENDENCYPART_ARC
(34,36),-1.25919 # DEPENDENCYPART_ARC
(35,9),-1.8192 # DEPENDENCYPART_ARC
(35,10),-1.35041 # DEPENDENCYPART_ARC
(35,11),-0.146752 # DEPENDENCYPART_ARC
(35,12),0.880925 # DEPENDENCYPART_ARC
(35,13),-2.76026 # DEPENDENCYPART_ARC
(35,15),-0.0029957 # DEPENDENCYPART_ARC
(35,16),-2.48163 # DEPENDENCYPART_ARC
(35,17),-3.69818 # DEPENDENCYPART_ARC
(35,18),-3.34334 # DEPENDENCYPART_ARC
(35,19),-1.49877 # DEPENDENCYPART_ARC
(35,20),-0.754754 # DEPENDENCYPART_ARC
(35,21),-3.31193 # DEPENDENCYPART_ARC
(35,22),-2.11925 # DEPENDENCYPART_ARC
(35,23),-0.97602 # DEPENDENCYPART_ARC
(35,24),0.20043 # DEPENDENCYPART_ARC
(35,25),0.903512 # DEPENDENCYPART_ARC
(35,26),0.372124 # DEPENDENCYPART_ARC
(35,27),-4.02909 # DEPENDENCYPART_ARC
(35,28),-1.35258 # DEPENDENCYPART_ARC
(35,29),-0.222032 # DEPENDENCYPART_ARC
(35,30),-0.0585579 # DEPENDENCYPART_ARC
(35,31),-1.54359 # DEPENDENCYPART_ARC
(35,32),-1.7624 # DEPENDENCYPART_ARC
(35,33),-0.218279 # DEPENDENCYPART_ARC
(35,34),-1.28144 # DEPENDENCYPART_ARC
(35,36),-0.617803 # DEPENDENCYPART_ARC
(0,1),(0,2),0.00477964 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.00596377 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.00596504 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0188183 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.00409597 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.218916 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.202579 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0081172 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0583617 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.121288 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.201684 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0583617 # DEPENDENCYPART_SIBL
(0,1),(0,33),-0.453185 # DEPENDENCYPART_SIBL
(0,1),(0,35),-0.201684 # DEPENDENCYPART_SIBL
(0,1),(0,36),-0.453185 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0297451 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0297463 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0537455 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0278773 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.254565 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.186008 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0318985 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0255599 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.137509 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.185113 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0255599 # DEPENDENCYPART_SIBL
(0,2),(0,33),-0.421596 # DEPENDENCYPART_SIBL
(0,2),(0,35),-0.185113 # DEPENDENCYPART_SIBL
(0,2),(0,36),-0.421596 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0371826 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0584287 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0353136 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.259259 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.18468 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0393348 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0203662 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.139491 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.183785 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0203662 # DEPENDENCYPART_SIBL
(0,3),(0,33),-0.416913 # DEPENDENCYPART_SIBL
(0,3),(0,35),-0.183785 # DEPENDENCYPART_SIBL
(0,3),(0,36),-0.416913 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0583878 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0353468 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.259161 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.184663 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.039368 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.020405 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.139506 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.183767 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.020405 # DEPENDENCYPART_SIBL
(0,4),(0,33),-0.416954 # DEPENDENCYPART_SIBL
(0,4),(0,35),-0.183767 # DEPENDENCYPART_SIBL
(0,4),(0,36),-0.416954 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.348267 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.719282 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.365621 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.348716 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.015078 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.19123 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.365401 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.015078 # DEPENDENCYPART_SIBL
(0,5),(0,33),-0.136057 # DEPENDENCYPART_SIBL
(0,5),(0,35),-0.365401 # DEPENDENCYPART_SIBL
(0,5),(0,36),-0.136057 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.270005 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.177622 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0226572 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.01416 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.144122 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.176727 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.01416 # DEPENDENCYPART_SIBL
(0,6),(0,33),-0.410528 # DEPENDENCYPART_SIBL
(0,6),(0,35),-0.176727 # DEPENDENCYPART_SIBL
(0,6),(0,36),-0.410528 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.351214 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0461726 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.00849008 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.12663 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.350994 # DEPENDENCYPART_SIBL
(0,7),(0,23),0.00849008 # DEPENDENCYPART_SIBL
(0,7),(0,33),-0.110149 # DEPENDENCYPART_SIBL
(0,7),(0,35),-0.350994 # DEPENDENCYPART_SIBL
(0,7),(0,36),-0.110149 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0270203 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.21888 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.203468 # DEPENDENCYPART_SIBL
(0,8),(0,13),-1.43606 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.21888 # DEPENDENCYPART_SIBL
(0,8),(0,33),0.104025 # DEPENDENCYPART_SIBL
(0,8),(0,35),-1.43606 # DEPENDENCYPART_SIBL
(0,8),(0,36),0.104025 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0446902 # DEPENDENCYPART_SIBL
(0,9),(0,11),0.125805 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.203316 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0446902 # DEPENDENCYPART_SIBL
(0,9),(0,33),-0.446062 # DEPENDENCYPART_SIBL
(0,9),(0,35),-0.203316 # DEPENDENCYPART_SIBL
(0,9),(0,36),-0.446062 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0793639 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.408609 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.129028 # DEPENDENCYPART_SIBL
(0,10),(0,33),-0.133324 # DEPENDENCYPART_SIBL
(0,10),(0,35),-0.408609 # DEPENDENCYPART_SIBL
(0,10),(0,36),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.259327 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.113121 # DEPENDENCYPART_SIBL
(0,11),(0,33),-0.0565924 # DEPENDENCYPART_SIBL
(0,11),(0,35),-0.259327 # DEPENDENCYPART_SIBL
(0,11),(0,36),-0.0565924 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.296463 # DEPENDENCYPART_SIBL
(0,13),(0,33),-0.00769122 # DEPENDENCYPART_SIBL
(0,13),(0,35),-1.46319 # DEPENDENCYPART_SIBL
(0,13),(0,36),-0.00769122 # DEPENDENCYPART_SIBL
(0,23),(0,33),-0.133324 # DEPENDENCYPART_SIBL
(0,23),(0,35),-0.408609 # DEPENDENCYPART_SIBL
(0,23),(0,36),-0.133324 # DEPENDENCYPART_SIBL
(0,33),(0,35),-0.602365 # DEPENDENCYPART_SIBL
(0,33),(0,36),-0.147083 # DEPENDENCYPART_SIBL
(0,35),(0,36),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0668966 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0668944 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0387093 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.067905 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.256257 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0147304 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.00775048 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0669224 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0428408 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0679331 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.252147 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00574798 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0136883 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0428913 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0679246 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.252041 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.00575271 # DEPENDENCYPART_SIBL
