# _root_ Se Zlínem jsem loni uhrál v Ostravě bezbrankovou remízu , proto si myslím , že ani s Brnem nejsem bez šancí .
#goldHeads=5,1,5,5,11,5,6,9,5,11,0,13,11,15,13,18,19,17,15,19,20,0,
#predictedHeads=5,1,5,5,11,5,6,9,5,11,0,13,11,15,13,18,19,17,15,19,20,0,
(17,14),-0.058525 # DEPENDENCYPART_ARC
(17,16),-0.660488 # DEPENDENCYPART_ARC
(17,18),3.16422 # DEPENDENCYPART_ARC
(17,21),-2.20716 # DEPENDENCYPART_ARC
(18,12),-4.71164 # DEPENDENCYPART_ARC
(18,16),0.0241786 # DEPENDENCYPART_ARC
(18,17),-0.98997 # DEPENDENCYPART_ARC
(18,19),-1.58556 # DEPENDENCYPART_ARC
(18,20),-2.1291 # DEPENDENCYPART_ARC
(18,21),-2.46273 # DEPENDENCYPART_ARC
(19,1),-2.24187 # DEPENDENCYPART_ARC
(19,3),-3.12333 # DEPENDENCYPART_ARC
(19,4),-1.93667 # DEPENDENCYPART_ARC
(19,5),-2.60078 # DEPENDENCYPART_ARC
(19,6),-1.75932 # DEPENDENCYPART_ARC
(19,7),-3.5118 # DEPENDENCYPART_ARC
(19,8),-3.61247 # DEPENDENCYPART_ARC
(19,9),-2.62144 # DEPENDENCYPART_ARC
(19,11),-1.26302 # DEPENDENCYPART_ARC
(19,12),-0.83881 # DEPENDENCYPART_ARC
(19,13),-2.15769 # DEPENDENCYPART_ARC
(19,14),-1.13434 # DEPENDENCYPART_ARC
(19,15),-1.4231 # DEPENDENCYPART_ARC
(19,16),-0.468826 # DEPENDENCYPART_ARC
(19,17),0.400887 # DEPENDENCYPART_ARC
(19,18),-1.04465 # DEPENDENCYPART_ARC
(19,20),0.707843 # DEPENDENCYPART_ARC
(19,21),-2.03387 # DEPENDENCYPART_ARC
(19,22),-1.337 # DEPENDENCYPART_ARC
(20,18),-2.1016 # DEPENDENCYPART_ARC
(20,21),1.92127 # DEPENDENCYPART_ARC
(20,22),-1.11754 # DEPENDENCYPART_ARC
(21,16),-0.760377 # DEPENDENCYPART_ARC
(21,17),-1.13547 # DEPENDENCYPART_ARC
(21,20),-1.01504 # DEPENDENCYPART_ARC
(21,22),-0.761948 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.358143 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.158288 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.373785 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.174984 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0191456 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.369902 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.174984 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.373789 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.431639 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.278756 # DEPENDENCYPART_SIBL
(0,3),(0,5),-1.45678 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.514756 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.731488 # DEPENDENCYPART_SIBL
(0,3),(0,13),-1.45245 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.514756 # DEPENDENCYPART_SIBL
(0,3),(0,19),-1.45678 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.256024 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.301261 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.173814 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0708283 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.297531 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.173814 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.301261 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.119123 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.296463 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.66348 # DEPENDENCYPART_SIBL
(0,5),(0,13),-1.45886 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.296463 # DEPENDENCYPART_SIBL
(0,5),(0,19),-1.46319 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.00769122 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0761105 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.389268 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.129028 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.408609 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.731352 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.125852 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.736219 # DEPENDENCYPART_SIBL
(0,11),(0,22),0.362764 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.352238 # DEPENDENCYPART_SIBL
(0,13),(0,19),-1.49031 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.0933963 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.408609 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.133324 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.0220083 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0100122 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.190586 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0101757 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0087895 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0681244 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0137772 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0072485 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00167197 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00328103 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.111288 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0031899 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.211911 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.00425631 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0162743 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.00675924 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.000298998 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0162743 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0217041 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0585023 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0110957 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00848721 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0110056 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0159218 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00560728 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0451485 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0542724 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0151045 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0451485 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0103156 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0769412 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.10793 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.16007 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.124596 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.16765 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0605187 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.124924 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0713176 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0605187 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.170246 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.132973 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0464805 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0898741 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0496428 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0450177 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0276686 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.242662 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0450177 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0723137 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0700006 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0642288 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0753221 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0731984 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0701125 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00994763 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0731984 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0123865 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0433416 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0483657 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.147665 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0433723 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0286198 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.147665 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0756132 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0857544 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0148847 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00144144 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0483007 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0148847 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0106547 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.143887 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0401203 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0237284 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.143887 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0788651 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0444256 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0994447 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0765754 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0230204 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0500004 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0724332 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.350884 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0413659 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0745666 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0230204 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0533216 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00332927 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.173031 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0350871 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0717717 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0136064 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.206332 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.01254 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0345512 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0279945 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0223909 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0345512 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.00174829 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0330445 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.136085 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0257309 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0549915 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0623893 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0185848 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00315773 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0438822 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0387897 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0492804 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00191086 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0497005 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0197634 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00191086 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0126674 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0313386 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.00259601 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0165931 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0191508 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0542087 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0292968 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0152579 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0233283 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0160008 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00422938 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0862712 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0119713 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00422938 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0153089 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.00434651 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0502512 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0129511 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0528033 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0286625 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00319542 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.03266 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00387178 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0407528 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.030885 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.01021 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0407528 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.00680695 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0400675 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.109076 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.0123571 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0324472 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0410714 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0342305 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.046393 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.00748637 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0368761 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.00175571 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.00748637 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0475888 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.104975 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0498372 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.00324283 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.147029 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0166134 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.114953 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0128743 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0164489 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0213431 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0128743 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.1374 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.159978 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0255121 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0165464 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.0284025 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.104168 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0493902 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0157411 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0474608 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0493902 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.00597618 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.103081 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0513078 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.0505703 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.00837799 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0166524 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0197009 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0262345 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0166524 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.140651 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.16323 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0195103 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0214378 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.0236016 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0534678 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0969984 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.124158 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0340273 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.133889 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0681097 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0996411 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.121482 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0524236 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0242919 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.339426 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0596838 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0193215 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.0557212 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0173847 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.00330438 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0844118 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.107461 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.0238895 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.235792 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.0699407 # DEPENDENCYPART_SIBL
