# _root_ Šest členů prezídia proto tlačí na odvolání Tomáše Ježka a prosazuje , aby se na jeho místo dostal úředník , který na FNM udělá pořádek .
#goldHeads=10,1,2,10,10,5,6,9,7,0,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
#predictedHeads=4,1,2,0,10,5,6,9,7,4,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
(13,12),1.2769 # DEPENDENCYPART_ARC
(13,15),-1.3623 # DEPENDENCYPART_ARC
(13,17),-2.47825 # DEPENDENCYPART_ARC
(13,18),1.03042 # DEPENDENCYPART_ARC
(13,19),-2.52048 # DEPENDENCYPART_ARC
(13,20),-0.563825 # DEPENDENCYPART_ARC
(13,22),-2.74512 # DEPENDENCYPART_ARC
(13,24),0.134943 # DEPENDENCYPART_ARC
(15,12),-0.44194 # DEPENDENCYPART_ARC
(15,16),-0.296353 # DEPENDENCYPART_ARC
(15,17),1.80914 # DEPENDENCYPART_ARC
(15,19),-3.91485 # DEPENDENCYPART_ARC
(17,14),-3.10813 # DEPENDENCYPART_ARC
(17,15),-1.14574 # DEPENDENCYPART_ARC
(17,16),3.23511 # DEPENDENCYPART_ARC
(17,19),-2.60347 # DEPENDENCYPART_ARC
(17,22),-1.67536 # DEPENDENCYPART_ARC
(17,24),-2.75226 # DEPENDENCYPART_ARC
(18,1),-0.555985 # DEPENDENCYPART_ARC
(18,2),-3.42725 # DEPENDENCYPART_ARC
(18,3),-3.54765 # DEPENDENCYPART_ARC
(18,4),-0.927646 # DEPENDENCYPART_ARC
(18,5),-0.703279 # DEPENDENCYPART_ARC
(18,6),-0.704984 # DEPENDENCYPART_ARC
(18,8),-3.22124 # DEPENDENCYPART_ARC
(18,9),-3.06349 # DEPENDENCYPART_ARC
(18,10),-1.18186 # DEPENDENCYPART_ARC
(18,11),-0.865696 # DEPENDENCYPART_ARC
(18,12),-0.535807 # DEPENDENCYPART_ARC
(18,13),-1.07838 # DEPENDENCYPART_ARC
(18,14),1.15218 # DEPENDENCYPART_ARC
(18,15),1.26656 # DEPENDENCYPART_ARC
(18,16),-1.50047 # DEPENDENCYPART_ARC
(18,17),1.06671 # DEPENDENCYPART_ARC
(18,19),1.39521 # DEPENDENCYPART_ARC
(18,20),-0.583684 # DEPENDENCYPART_ARC
(18,22),-0.519892 # DEPENDENCYPART_ARC
(18,23),-2.73188 # DEPENDENCYPART_ARC
(18,24),-1.72883 # DEPENDENCYPART_ARC
(18,25),-0.611559 # DEPENDENCYPART_ARC
(19,14),-4.48713 # DEPENDENCYPART_ARC
(19,15),-0.606527 # DEPENDENCYPART_ARC
(19,16),0.0397575 # DEPENDENCYPART_ARC
(19,17),-3.32962 # DEPENDENCYPART_ARC
(19,20),-1.03479 # DEPENDENCYPART_ARC
(19,21),-0.926142 # DEPENDENCYPART_ARC
(19,22),-1.84548 # DEPENDENCYPART_ARC
(19,23),-1.26749 # DEPENDENCYPART_ARC
(19,24),-1.09972 # DEPENDENCYPART_ARC
(19,25),-5.09343 # DEPENDENCYPART_ARC
(20,1),-3.0314 # DEPENDENCYPART_ARC
(20,12),-1.49521 # DEPENDENCYPART_ARC
(20,17),-1.63956 # DEPENDENCYPART_ARC
(20,18),-1.0861 # DEPENDENCYPART_ARC
(20,19),-1.39089 # DEPENDENCYPART_ARC
(20,22),-1.14068 # DEPENDENCYPART_ARC
(20,24),-1.19386 # DEPENDENCYPART_ARC
(20,25),-2.11592 # DEPENDENCYPART_ARC
(21,20),-1.03289 # DEPENDENCYPART_ARC
(21,22),-0.576688 # DEPENDENCYPART_ARC
(21,23),-2.32429 # DEPENDENCYPART_ARC
(21,25),-2.27544 # DEPENDENCYPART_ARC
(22,20),-0.950651 # DEPENDENCYPART_ARC
(22,23),2.64042 # DEPENDENCYPART_ARC
(22,25),-2.82346 # DEPENDENCYPART_ARC
(23,15),-1.93901 # DEPENDENCYPART_ARC
(23,19),-3.57616 # DEPENDENCYPART_ARC
(23,21),-0.90837 # DEPENDENCYPART_ARC
(23,22),-1.34818 # DEPENDENCYPART_ARC
(23,24),-2.32065 # DEPENDENCYPART_ARC
(23,25),-3.82196 # DEPENDENCYPART_ARC
(24,2),-3.99512 # DEPENDENCYPART_ARC
(24,4),-0.868005 # DEPENDENCYPART_ARC
(24,5),-1.91819 # DEPENDENCYPART_ARC
(24,11),-2.2439 # DEPENDENCYPART_ARC
(24,12),-1.18176 # DEPENDENCYPART_ARC
(24,13),-1.17764 # DEPENDENCYPART_ARC
(24,14),-0.666585 # DEPENDENCYPART_ARC
(24,15),-0.161268 # DEPENDENCYPART_ARC
(24,17),-0.361934 # DEPENDENCYPART_ARC
(24,18),-1.14512 # DEPENDENCYPART_ARC
(24,19),-0.978557 # DEPENDENCYPART_ARC
(24,20),0.722927 # DEPENDENCYPART_ARC
(24,21),1.4963 # DEPENDENCYPART_ARC
(24,22),1.00734 # DEPENDENCYPART_ARC
(24,23),-0.0220629 # DEPENDENCYPART_ARC
(24,25),1.94414 # DEPENDENCYPART_ARC
(24,26),-0.990919 # DEPENDENCYPART_ARC
(25,15),-0.501601 # DEPENDENCYPART_ARC
(25,21),-2.27856 # DEPENDENCYPART_ARC
(25,22),-0.781385 # DEPENDENCYPART_ARC
(25,23),-2.10172 # DEPENDENCYPART_ARC
(25,26),-0.40745 # DEPENDENCYPART_ARC
(0,1),(0,2),0.162673 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.163373 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0559633 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.393106 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0548476 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.161144 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.163366 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.163373 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.17117 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.393106 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0445033 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0486388 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.386413 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0445033 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.393106 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.259432 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0334888 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0172233 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.177558 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.223866 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0244847 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0334765 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0329581 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.182592 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.171803 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0248262 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0315518 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.171264 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0248262 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.177559 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.419311 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0169571 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.183768 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.212987 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0282159 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0372078 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0366893 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.182061 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.178012 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0203409 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.031818 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.177473 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0203409 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.183768 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.416889 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.736158 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0762114 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.161181 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.157342 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.15735 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.464921 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.736158 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.125852 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.161176 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.729499 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.125852 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.73636 # DEPENDENCYPART_SIBL
(0,4),(0,26),0.362764 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.193298 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0814442 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0786142 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0786081 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.988693 # DEPENDENCYPART_SIBL
(0,5),(0,11),-1.48965 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.362625 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.694231 # DEPENDENCYPART_SIBL
(0,5),(0,18),-1.48459 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.362625 # DEPENDENCYPART_SIBL
(0,5),(0,24),-1.48965 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.100318 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.212653 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.208236 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.208249 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.221198 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.476952 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.2298 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.00767194 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.470859 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.2298 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.476974 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.450326 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0250045 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0244861 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.195386 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.192626 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0551236 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0184926 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.192087 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0551236 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.198382 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.457186 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.0364919 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.182076 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.178031 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0203867 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0318029 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.177492 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0203867 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.183787 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.416935 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.182746 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.178643 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0209363 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.0311321 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.178104 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0209363 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.184399 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.417485 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.898665 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.238729 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.394567 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.892039 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.238729 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.898867 # DEPENDENCYPART_SIBL
(0,10),(0,26),0.0494213 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.299733 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.669074 # DEPENDENCYPART_SIBL
(0,11),(0,18),-1.45944 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.299733 # DEPENDENCYPART_SIBL
(0,11),(0,24),-1.4645 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.0122683 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0596916 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.382757 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.129028 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.408609 # DEPENDENCYPART_SIBL
(0,12),(0,26),-0.133324 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.820707 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.395234 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.827568 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.20532 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.341091 # DEPENDENCYPART_SIBL
(0,18),(0,24),-1.48321 # DEPENDENCYPART_SIBL
(0,18),(0,26),-0.0691949 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.408609 # DEPENDENCYPART_SIBL
(0,20),(0,26),-0.133324 # DEPENDENCYPART_SIBL
(0,24),(0,26),0.00743239 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0852663 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0554952 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0203104 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0533301 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0160002 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0100101 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0130956 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0679421 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0111922 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.130303 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0154562 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00307722 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.00335788 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0171158 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.090022 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0204117 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.107274 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0352238 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0582449 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.063483 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.30231 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0132867 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00509492 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0274786 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0157623 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0200379 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.170303 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00325309 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0318401 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00137461 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0029056 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.250494 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0742245 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0303652 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0260928 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.16519 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0605462 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0657842 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.305433 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0642522 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.302905 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.300203 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0328813 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0645444 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00486442 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0602363 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00494288 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0102915 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0659513 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0648637 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.150241 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0263998 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0418102 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0429178 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0424715 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0596581 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.15206 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0392081 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00322792 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.141455 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0392081 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0634556 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.115454 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0809263 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0182308 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.024712 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0220973 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0397867 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.117261 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00394934 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0707452 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.113115 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.00394934 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.116776 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0812209 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0146211 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0211023 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0184876 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0412648 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.118583 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.00529136 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0722247 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.114436 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.00529136 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0638322 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0374794 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.03558 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.03558 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.544242 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.825382 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0493113 # DEPENDENCYPART_SIBL
