# _root_ Návrh si klade za cíl vytvoření " demokratického , laického a decentralizovaného státu " , který by zaručil všem národům stejná práva .
#goldHeads=3,3,0,3,4,3,13,11,11,11,13,11,6,13,18,18,18,13,20,18,22,18,0,
#predictedHeads=3,3,0,3,4,5,13,11,11,11,13,11,6,13,18,18,18,13,20,18,22,18,0,
(7,1),-2.16425 # DEPENDENCYPART_ARC
(7,3),-1.76746 # DEPENDENCYPART_ARC
(7,4),-1.55533 # DEPENDENCYPART_ARC
(7,5),-1.91226 # DEPENDENCYPART_ARC
(7,6),-1.093 # DEPENDENCYPART_ARC
(7,8),-2.01781 # DEPENDENCYPART_ARC
(7,9),-1.60572 # DEPENDENCYPART_ARC
(7,10),-3.05873 # DEPENDENCYPART_ARC
(7,11),-1.63811 # DEPENDENCYPART_ARC
(7,13),-2.48909 # DEPENDENCYPART_ARC
(7,14),-1.74065 # DEPENDENCYPART_ARC
(7,15),-1.98471 # DEPENDENCYPART_ARC
(7,18),-3.02852 # DEPENDENCYPART_ARC
(7,20),-3.5194 # DEPENDENCYPART_ARC
(7,22),-3.22336 # DEPENDENCYPART_ARC
(8,1),-3.38048 # DEPENDENCYPART_ARC
(8,2),-1.29491 # DEPENDENCYPART_ARC
(8,3),-2.62475 # DEPENDENCYPART_ARC
(8,4),-1.01459 # DEPENDENCYPART_ARC
(8,5),-2.13281 # DEPENDENCYPART_ARC
(8,6),-2.15679 # DEPENDENCYPART_ARC
(8,7),-0.00629419 # DEPENDENCYPART_ARC
(8,9),-0.315223 # DEPENDENCYPART_ARC
(8,10),-3.19341 # DEPENDENCYPART_ARC
(8,11),-1.18254 # DEPENDENCYPART_ARC
(8,13),-3.72318 # DEPENDENCYPART_ARC
(8,14),-1.45409 # DEPENDENCYPART_ARC
(8,15),-1.70176 # DEPENDENCYPART_ARC
(8,20),-2.42492 # DEPENDENCYPART_ARC
(8,22),-3.58816 # DEPENDENCYPART_ARC
(9,1),-1.16229 # DEPENDENCYPART_ARC
(9,3),-0.840873 # DEPENDENCYPART_ARC
(9,4),-0.856036 # DEPENDENCYPART_ARC
(9,5),-0.798523 # DEPENDENCYPART_ARC
(9,6),-0.645982 # DEPENDENCYPART_ARC
(9,7),-0.493303 # DEPENDENCYPART_ARC
(9,8),0.00176359 # DEPENDENCYPART_ARC
(9,10),-0.292055 # DEPENDENCYPART_ARC
(9,12),-1.06719 # DEPENDENCYPART_ARC
(9,13),-1.51868 # DEPENDENCYPART_ARC
(9,14),-1.0088 # DEPENDENCYPART_ARC
(9,15),-0.933393 # DEPENDENCYPART_ARC
(9,18),-2.4424 # DEPENDENCYPART_ARC
(9,22),-2.9801 # DEPENDENCYPART_ARC
(10,8),-2.76315 # DEPENDENCYPART_ARC
(10,9),-0.775673 # DEPENDENCYPART_ARC
(11,1),-0.735608 # DEPENDENCYPART_ARC
(11,2),-1.57895 # DEPENDENCYPART_ARC
(11,3),-0.621488 # DEPENDENCYPART_ARC
(11,4),-0.68724 # DEPENDENCYPART_ARC
(11,5),-0.624215 # DEPENDENCYPART_ARC
(11,6),-0.510315 # DEPENDENCYPART_ARC
(11,7),-1.18817 # DEPENDENCYPART_ARC
(11,8),-0.0660934 # DEPENDENCYPART_ARC
(11,9),1.05591 # DEPENDENCYPART_ARC
(11,10),2.02912 # DEPENDENCYPART_ARC
(11,12),3.00812 # DEPENDENCYPART_ARC
(11,13),-0.499684 # DEPENDENCYPART_ARC
(11,14),-0.773184 # DEPENDENCYPART_ARC
(11,15),-0.888119 # DEPENDENCYPART_ARC
(11,18),-1.73987 # DEPENDENCYPART_ARC
(11,20),-3.09216 # DEPENDENCYPART_ARC
(11,21),-2.03685 # DEPENDENCYPART_ARC
(11,22),-3.56516 # DEPENDENCYPART_ARC
(11,23),-2.01527 # DEPENDENCYPART_ARC
(13,2),-4.13444 # DEPENDENCYPART_ARC
(13,7),-0.95378 # DEPENDENCYPART_ARC
(13,8),-0.27737 # DEPENDENCYPART_ARC
(13,9),-0.347313 # DEPENDENCYPART_ARC
(13,10),-0.21429 # DEPENDENCYPART_ARC
(13,11),0.948624 # DEPENDENCYPART_ARC
(13,12),2.57157 # DEPENDENCYPART_ARC
(13,14),-0.9657 # DEPENDENCYPART_ARC
(13,16),-3.16507 # DEPENDENCYPART_ARC
(13,18),-2.05557 # DEPENDENCYPART_ARC
(13,19),-3.20149 # DEPENDENCYPART_ARC
(13,21),-4.34309 # DEPENDENCYPART_ARC
(14,3),-2.45106 # DEPENDENCYPART_ARC
(14,13),-2.19072 # DEPENDENCYPART_ARC
(14,15),-1.94189 # DEPENDENCYPART_ARC
(14,18),-2.83801 # DEPENDENCYPART_ARC
(14,19),-3.39727 # DEPENDENCYPART_ARC
(15,1),-2.6274 # DEPENDENCYPART_ARC
(15,3),-1.73878 # DEPENDENCYPART_ARC
(15,9),-1.02538 # DEPENDENCYPART_ARC
(15,14),-1.12148 # DEPENDENCYPART_ARC
(15,18),-1.60642 # DEPENDENCYPART_ARC
(15,19),-2.13648 # DEPENDENCYPART_ARC
(15,20),-2.49965 # DEPENDENCYPART_ARC
(15,21),-2.14637 # DEPENDENCYPART_ARC
(15,22),-2.76113 # DEPENDENCYPART_ARC
(15,23),-1.35643 # DEPENDENCYPART_ARC
(16,15),-1.11814 # DEPENDENCYPART_ARC
(16,19),-0.0089582 # DEPENDENCYPART_ARC
(16,20),-2.01244 # DEPENDENCYPART_ARC
(16,22),-2.75396 # DEPENDENCYPART_ARC
(16,23),-1.07192 # DEPENDENCYPART_ARC
(18,1),-0.935954 # DEPENDENCYPART_ARC
(18,2),-2.42886 # DEPENDENCYPART_ARC
(18,3),-2.4675 # DEPENDENCYPART_ARC
(18,4),-1.87896 # DEPENDENCYPART_ARC
(18,5),-1.89154 # DEPENDENCYPART_ARC
(18,6),-3.07638 # DEPENDENCYPART_ARC
(18,7),-1.59036 # DEPENDENCYPART_ARC
(18,10),-3.86668 # DEPENDENCYPART_ARC
(18,11),-1.33465 # DEPENDENCYPART_ARC
(18,12),-3.9412 # DEPENDENCYPART_ARC
(18,13),-3.1635 # DEPENDENCYPART_ARC
(18,14),-0.755188 # DEPENDENCYPART_ARC
(18,15),-0.217926 # DEPENDENCYPART_ARC
(18,16),0.899492 # DEPENDENCYPART_ARC
(18,17),1.67527 # DEPENDENCYPART_ARC
(18,19),-0.264911 # DEPENDENCYPART_ARC
(18,20),1.19434 # DEPENDENCYPART_ARC
(18,21),-2.1401 # DEPENDENCYPART_ARC
(18,22),0.429024 # DEPENDENCYPART_ARC
(18,23),-1.09357 # DEPENDENCYPART_ARC
(19,20),-1.89915 # DEPENDENCYPART_ARC
(20,16),-2.66597 # DEPENDENCYPART_ARC
(20,19),2.12717 # DEPENDENCYPART_ARC
(20,21),-1.13074 # DEPENDENCYPART_ARC
(20,22),-2.40679 # DEPENDENCYPART_ARC
(20,23),-0.959155 # DEPENDENCYPART_ARC
(21,19),-0.84611 # DEPENDENCYPART_ARC
(21,20),-0.843733 # DEPENDENCYPART_ARC
(21,22),-1.13395 # DEPENDENCYPART_ARC
(21,23),-0.920912 # DEPENDENCYPART_ARC
(22,16),-3.4731 # DEPENDENCYPART_ARC
(22,19),-0.667077 # DEPENDENCYPART_ARC
(22,20),-2.45578 # DEPENDENCYPART_ARC
(22,21),2.50127 # DEPENDENCYPART_ARC
(22,23),-0.575828 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.18538 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.164127 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0263586 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0272793 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0439637 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.194328 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0439637 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0924278 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.185695 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.436205 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.176672 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0321625 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0360625 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.260207 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.94744 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.260207 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.210069 # DEPENDENCYPART_SIBL
(0,3),(0,18),-1.44831 # DEPENDENCYPART_SIBL
(0,3),(0,23),0.0351725 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.241406 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.243444 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0805515 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0918597 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0805515 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.152678 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.328824 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.211521 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0390624 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.027797 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.18457 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.027797 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0964236 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.187846 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.421026 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0249607 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.18745 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0249607 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.0943931 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.185946 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.422224 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.140416 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.0871369 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.408609 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.238729 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.053499 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.898665 # DEPENDENCYPART_SIBL
(0,11),(0,23),0.0494213 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.0871369 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.408609 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.426203 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.0560259 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0169024 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.137099 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0135302 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0137458 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0380232 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0210794 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.021082 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0530758 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.00346999 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0176745 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0323404 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0129616 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00858739 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0353266 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0173515 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0173489 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.243042 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.00353432 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.253951 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0123294 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0109307 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0191605 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0277122 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0277095 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.137731 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0287502 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0212389 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0821039 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0189378 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0118102 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0118194 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.312693 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.108919 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.00101973 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0212769 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0111456 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0111548 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.314497 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.114815 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.00224305 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0145714 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0145688 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.107332 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.00885231 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0231947 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.117704 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.113464 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0432876 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.00817142 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.11346 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.043283 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.00817528 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.0043033 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0397425 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0349959 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00718433 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.078347 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0189329 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0133233 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0250331 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0218211 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0239412 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0218118 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0165893 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0587902 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0250331 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0239412 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0172611 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0164241 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0197948 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0414716 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0224006 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0547579 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.195871 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0240723 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.195871 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0836874 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.00895019 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0547579 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0240723 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.038803 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0752325 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0237653 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0199 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0443255 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0396324 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0882385 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0396324 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0754775 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.00656839 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0443255 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0882385 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0248512 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0109844 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.103663 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0318933 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0232121 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0759555 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0232072 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.261989 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.118054 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0318933 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0759555 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.099035 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.103673 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0240194 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0220772 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0620967 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0220724 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.262216 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.125784 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0240194 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0620967 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.106765 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.111402 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0272622 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0702451 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0272622 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.108113 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.000893218 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.128007 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0702451 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0208217 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.000664149 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0773916 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.345669 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0689374 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.100616 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0399318 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0773916 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0910773 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.1002 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0770172 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.141204 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.102711 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0246892 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.15364 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0694516 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.102488 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0689374 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.100615 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0399312 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0773906 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.091077 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.100199 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.00430344 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0174411 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.00658783 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.00492317 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.00503524 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.030582 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0709465 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.108037 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.112675 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0702451 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.0208217 # DEPENDENCYPART_SIBL
(3,14),(3,22),-0.000664149 # DEPENDENCYPART_SIBL
(3,15),(3,20),-0.0694516 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.102488 # DEPENDENCYPART_SIBL
(3,20),(3,22),-0.0986263 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.113325 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0970883 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0535845 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0792541 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00591599 # DEPENDENCYPART_SIBL
(4,5),(4,6),-1.35701 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.179498 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.466082 # DEPENDENCYPART_SIBL
(4,5),(4,11),-1.3082 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.176524 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.466118 # DEPENDENCYPART_SIBL
(4,6),(4,11),-1.30911 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.051499 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.47286 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.580286 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.138549 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0314536 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0678187 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.106027 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.01344 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.106007 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.029491 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.106007 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0259841 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0678187 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0122031 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0588188 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00893401 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00222515 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.118551 # DEPENDENCYPART_SIBL
