# _root_ ( Herečky navíc údajně strávily tři týdny speciálním výcvikem na ranči , kde se učily jezdit na koních , zacházet se zbraněmi a dokonce i žvýkat tabák . )
#goldHeads=5,5,5,5,0,7,5,9,5,5,10,15,15,15,11,23,16,17,23,23,20,21,15,26,26,23,26,0,5,
#predictedHeads=5,5,5,5,0,7,5,9,5,9,10,15,15,16,11,15,16,17,15,23,20,21,19,26,26,23,26,0,5,
(5,29),-1.51807 # DEPENDENCYPART_ARC
(6,3),-0.803343 # DEPENDENCYPART_ARC
(6,4),-0.885951 # DEPENDENCYPART_ARC
(6,7),-0.92184 # DEPENDENCYPART_ARC
(6,8),-2.25395 # DEPENDENCYPART_ARC
(6,9),-2.79266 # DEPENDENCYPART_ARC
(7,2),-3.54877 # DEPENDENCYPART_ARC
(7,3),-0.778086 # DEPENDENCYPART_ARC
(7,4),-0.866965 # DEPENDENCYPART_ARC
(7,5),-1.32134 # DEPENDENCYPART_ARC
(7,6),2.28101 # DEPENDENCYPART_ARC
(7,8),-1.27264 # DEPENDENCYPART_ARC
(7,9),-1.21829 # DEPENDENCYPART_ARC
(7,10),-0.172028 # DEPENDENCYPART_ARC
(7,11),-1.81547 # DEPENDENCYPART_ARC
(7,13),-1.39147 # DEPENDENCYPART_ARC
(7,15),-1.36584 # DEPENDENCYPART_ARC
(7,16),-1.62757 # DEPENDENCYPART_ARC
(8,3),-1.41847 # DEPENDENCYPART_ARC
(8,4),-0.626929 # DEPENDENCYPART_ARC
(8,7),-2.2278 # DEPENDENCYPART_ARC
(8,9),-0.531751 # DEPENDENCYPART_ARC
(8,10),-0.590379 # DEPENDENCYPART_ARC
(8,11),-3.64072 # DEPENDENCYPART_ARC
(9,6),-1.71657 # DEPENDENCYPART_ARC
(9,7),-3.3944 # DEPENDENCYPART_ARC
(9,8),2.40941 # DEPENDENCYPART_ARC
(9,10),0.656495 # DEPENDENCYPART_ARC
(9,11),-1.52745 # DEPENDENCYPART_ARC
(9,15),-2.18368 # DEPENDENCYPART_ARC
(9,16),-1.53399 # DEPENDENCYPART_ARC
(10,11),2.26183 # DEPENDENCYPART_ARC
(10,12),-1.41666 # DEPENDENCYPART_ARC
(11,6),-2.73417 # DEPENDENCYPART_ARC
(11,8),-0.319775 # DEPENDENCYPART_ARC
(11,10),-0.360631 # DEPENDENCYPART_ARC
(11,12),-1.11383 # DEPENDENCYPART_ARC
(11,13),-1.36383 # DEPENDENCYPART_ARC
(11,15),-1.16437 # DEPENDENCYPART_ARC
(11,16),-1.07015 # DEPENDENCYPART_ARC
(11,20),-2.00925 # DEPENDENCYPART_ARC
(11,23),-1.19046 # DEPENDENCYPART_ARC
(12,1),-1.0249 # DEPENDENCYPART_ARC
(12,5),-0.862767 # DEPENDENCYPART_ARC
(12,6),-1.60871 # DEPENDENCYPART_ARC
(12,7),-1.51744 # DEPENDENCYPART_ARC
(12,8),-1.78562 # DEPENDENCYPART_ARC
(12,9),-1.14178 # DEPENDENCYPART_ARC
(12,10),-1.30103 # DEPENDENCYPART_ARC
(12,11),-1.04301 # DEPENDENCYPART_ARC
(12,13),-1.26249 # DEPENDENCYPART_ARC
(12,15),-1.37058 # DEPENDENCYPART_ARC
(12,16),-1.70051 # DEPENDENCYPART_ARC
(12,19),-0.881063 # DEPENDENCYPART_ARC
(12,20),-2.88754 # DEPENDENCYPART_ARC
(12,23),-0.584686 # DEPENDENCYPART_ARC
(13,8),-2.1805 # DEPENDENCYPART_ARC
(13,9),-1.83496 # DEPENDENCYPART_ARC
(13,10),-1.43106 # DEPENDENCYPART_ARC
(13,11),-1.3002 # DEPENDENCYPART_ARC
(13,12),-0.914174 # DEPENDENCYPART_ARC
(13,18),-2.46903 # DEPENDENCYPART_ARC
(15,1),-0.942206 # DEPENDENCYPART_ARC
(15,2),-0.472249 # DEPENDENCYPART_ARC
(15,3),-0.972499 # DEPENDENCYPART_ARC
(15,4),-1.03789 # DEPENDENCYPART_ARC
(15,5),-2.04324 # DEPENDENCYPART_ARC
(15,6),-0.703612 # DEPENDENCYPART_ARC
(15,7),-0.516996 # DEPENDENCYPART_ARC
(15,8),-4.12726 # DEPENDENCYPART_ARC
(15,9),-1.059 # DEPENDENCYPART_ARC
(15,10),-1.09077 # DEPENDENCYPART_ARC
(15,11),-2.38345 # DEPENDENCYPART_ARC
(15,12),0.201453 # DEPENDENCYPART_ARC
(15,13),1.02633 # DEPENDENCYPART_ARC
(15,14),1.37162 # DEPENDENCYPART_ARC
(15,16),2.94869 # DEPENDENCYPART_ARC
(15,17),-0.0443119 # DEPENDENCYPART_ARC
(15,18),-1.66705 # DEPENDENCYPART_ARC
(15,19),0.0894907 # DEPENDENCYPART_ARC
(15,20),0.293095 # DEPENDENCYPART_ARC
(15,21),-1.14126 # DEPENDENCYPART_ARC
(15,22),-2.13102 # DEPENDENCYPART_ARC
(15,23),-0.720373 # DEPENDENCYPART_ARC
(15,24),-1.89218 # DEPENDENCYPART_ARC
(15,25),-1.51918 # DEPENDENCYPART_ARC
(15,26),-1.14238 # DEPENDENCYPART_ARC
(15,27),-2.00708 # DEPENDENCYPART_ARC
(15,28),-1.15043 # DEPENDENCYPART_ARC
(15,29),-1.47863 # DEPENDENCYPART_ARC
(16,1),-1.58267 # DEPENDENCYPART_ARC
(16,2),-1.79509 # DEPENDENCYPART_ARC
(16,4),-1.20656 # DEPENDENCYPART_ARC
(16,5),-3.45209 # DEPENDENCYPART_ARC
(16,7),-0.041117 # DEPENDENCYPART_ARC
(16,9),-0.810994 # DEPENDENCYPART_ARC
(16,11),-1.88821 # DEPENDENCYPART_ARC
(16,12),-1.12443 # DEPENDENCYPART_ARC
(16,13),-0.00169804 # DEPENDENCYPART_ARC
(16,14),1.09621 # DEPENDENCYPART_ARC
(16,15),-1.34539 # DEPENDENCYPART_ARC
(16,17),1.20037 # DEPENDENCYPART_ARC
(16,18),-0.499111 # DEPENDENCYPART_ARC
(16,19),-0.239076 # DEPENDENCYPART_ARC
(16,20),-0.147739 # DEPENDENCYPART_ARC
(16,21),-0.294236 # DEPENDENCYPART_ARC
(16,22),-1.43291 # DEPENDENCYPART_ARC
(16,23),-0.686699 # DEPENDENCYPART_ARC
(16,24),-1.7943 # DEPENDENCYPART_ARC
(16,25),-1.44396 # DEPENDENCYPART_ARC
(16,26),-1.65049 # DEPENDENCYPART_ARC
(16,27),-1.38768 # DEPENDENCYPART_ARC
(16,28),-1.37895 # DEPENDENCYPART_ARC
(16,29),-1.51172 # DEPENDENCYPART_ARC
(17,18),2.17977 # DEPENDENCYPART_ARC
(17,19),-1.06978 # DEPENDENCYPART_ARC
(17,22),-1.91237 # DEPENDENCYPART_ARC
(18,13),-1.44516 # DEPENDENCYPART_ARC
(18,14),-4.26396 # DEPENDENCYPART_ARC
(18,17),-0.881405 # DEPENDENCYPART_ARC
(18,20),-1.83168 # DEPENDENCYPART_ARC
(18,21),-2.34445 # DEPENDENCYPART_ARC
(18,22),-4.18082 # DEPENDENCYPART_ARC
(18,23),-1.30365 # DEPENDENCYPART_ARC
(18,25),-1.78063 # DEPENDENCYPART_ARC
(18,26),-2.60142 # DEPENDENCYPART_ARC
(19,1),-1.08521 # DEPENDENCYPART_ARC
(19,5),-0.968139 # DEPENDENCYPART_ARC
(19,12),-0.799725 # DEPENDENCYPART_ARC
(19,15),-0.6575 # DEPENDENCYPART_ARC
(19,16),-0.235813 # DEPENDENCYPART_ARC
(19,17),-1.01106 # DEPENDENCYPART_ARC
(19,18),-1.32507 # DEPENDENCYPART_ARC
(19,20),-0.73166 # DEPENDENCYPART_ARC
(19,21),-1.05722 # DEPENDENCYPART_ARC
(19,22),-1.74735 # DEPENDENCYPART_ARC
(19,23),-0.607037 # DEPENDENCYPART_ARC
(19,24),-1.39461 # DEPENDENCYPART_ARC
(19,25),-0.884014 # DEPENDENCYPART_ARC
(19,26),-2.43385 # DEPENDENCYPART_ARC
(19,28),-0.738855 # DEPENDENCYPART_ARC
(19,29),-0.984389 # DEPENDENCYPART_ARC
(20,2),-2.37625 # DEPENDENCYPART_ARC
(20,5),-3.78602 # DEPENDENCYPART_ARC
(20,7),-0.448241 # DEPENDENCYPART_ARC
(20,9),-1.27891 # DEPENDENCYPART_ARC
(20,12),-2.20614 # DEPENDENCYPART_ARC
(20,13),-1.07625 # DEPENDENCYPART_ARC
(20,14),-0.561323 # DEPENDENCYPART_ARC
(20,15),-2.84992 # DEPENDENCYPART_ARC
(20,16),-0.781961 # DEPENDENCYPART_ARC
(20,17),-0.621143 # DEPENDENCYPART_ARC
(20,18),-1.45614 # DEPENDENCYPART_ARC
(20,19),-1.12943 # DEPENDENCYPART_ARC
(20,21),1.34452 # DEPENDENCYPART_ARC
(20,22),0.40346 # DEPENDENCYPART_ARC
(20,23),-0.287817 # DEPENDENCYPART_ARC
(20,24),-0.68131 # DEPENDENCYPART_ARC
(20,25),-1.06002 # DEPENDENCYPART_ARC
(20,26),-0.673296 # DEPENDENCYPART_ARC
(20,27),-0.23428 # DEPENDENCYPART_ARC
(20,28),-0.845848 # DEPENDENCYPART_ARC
(20,29),-1.21498 # DEPENDENCYPART_ARC
(21,19),-0.759572 # DEPENDENCYPART_ARC
(21,22),2.97438 # DEPENDENCYPART_ARC
(21,23),-0.400139 # DEPENDENCYPART_ARC
(21,24),-1.67315 # DEPENDENCYPART_ARC
(21,25),-1.7526 # DEPENDENCYPART_ARC
(21,27),-3.15893 # DEPENDENCYPART_ARC
(22,17),-1.74978 # DEPENDENCYPART_ARC
(22,18),-4.27349 # DEPENDENCYPART_ARC
(22,21),-0.648764 # DEPENDENCYPART_ARC
(22,27),-4.87965 # DEPENDENCYPART_ARC
(23,1),-1.01202 # DEPENDENCYPART_ARC
(23,3),-1.68053 # DEPENDENCYPART_ARC
(23,4),-1.56536 # DEPENDENCYPART_ARC
(23,5),-1.5486 # DEPENDENCYPART_ARC
(23,7),-2.00656 # DEPENDENCYPART_ARC
(23,9),-1.44679 # DEPENDENCYPART_ARC
(23,10),-1.51265 # DEPENDENCYPART_ARC
(23,11),-1.34393 # DEPENDENCYPART_ARC
(23,12),-0.722488 # DEPENDENCYPART_ARC
(23,13),-0.656543 # DEPENDENCYPART_ARC
(23,14),-1.05897 # DEPENDENCYPART_ARC
(23,15),-0.6307 # DEPENDENCYPART_ARC
(23,16),-0.0565329 # DEPENDENCYPART_ARC
(23,17),-0.730391 # DEPENDENCYPART_ARC
(23,18),-0.481023 # DEPENDENCYPART_ARC
(23,19),-0.0538758 # DEPENDENCYPART_ARC
(23,20),1.16646 # DEPENDENCYPART_ARC
(23,21),-0.440302 # DEPENDENCYPART_ARC
(23,22),-0.151829 # DEPENDENCYPART_ARC
(23,24),0.351 # DEPENDENCYPART_ARC
(23,25),-0.516826 # DEPENDENCYPART_ARC
(23,26),0.178746 # DEPENDENCYPART_ARC
(23,27),-0.309996 # DEPENDENCYPART_ARC
(23,28),-0.711947 # DEPENDENCYPART_ARC
(23,29),-0.163932 # DEPENDENCYPART_ARC
(24,25),-0.976962 # DEPENDENCYPART_ARC
(24,26),-1.68741 # DEPENDENCYPART_ARC
(24,27),-2.37107 # DEPENDENCYPART_ARC
(24,28),-1.39392 # DEPENDENCYPART_ARC
(25,13),-1.78554 # DEPENDENCYPART_ARC
(25,14),-1.90406 # DEPENDENCYPART_ARC
(25,17),-1.77972 # DEPENDENCYPART_ARC
(25,18),-2.07856 # DEPENDENCYPART_ARC
(25,19),-1.12624 # DEPENDENCYPART_ARC
(25,20),-0.550231 # DEPENDENCYPART_ARC
(25,21),-1.40007 # DEPENDENCYPART_ARC
(25,22),-1.55776 # DEPENDENCYPART_ARC
(25,24),-0.652738 # DEPENDENCYPART_ARC
(25,26),0.309271 # DEPENDENCYPART_ARC
(25,27),-1.32659 # DEPENDENCYPART_ARC
(25,28),-1.12119 # DEPENDENCYPART_ARC
(25,29),-1.11554 # DEPENDENCYPART_ARC
(26,2),-2.10799 # DEPENDENCYPART_ARC
(26,14),-1.02826 # DEPENDENCYPART_ARC
(26,16),-1.43122 # DEPENDENCYPART_ARC
(26,17),-1.08193 # DEPENDENCYPART_ARC
(26,18),-1.97247 # DEPENDENCYPART_ARC
(26,20),-0.573067 # DEPENDENCYPART_ARC
(26,21),0.111224 # DEPENDENCYPART_ARC
(26,22),-0.220253 # DEPENDENCYPART_ARC
(26,24),0.36841 # DEPENDENCYPART_ARC
(26,25),0.145927 # DEPENDENCYPART_ARC
(26,27),1.89112 # DEPENDENCYPART_ARC
(26,28),-1.13539 # DEPENDENCYPART_ARC
(26,29),-0.961158 # DEPENDENCYPART_ARC
(27,24),-0.651965 # DEPENDENCYPART_ARC
(27,25),0.0557601 # DEPENDENCYPART_ARC
(27,28),-0.0979594 # DEPENDENCYPART_ARC
(27,29),-1.36199 # DEPENDENCYPART_ARC
(28,26),-2.22838 # DEPENDENCYPART_ARC
(28,27),-2.10429 # DEPENDENCYPART_ARC
(0,1),(0,2),0.348839 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.146318 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.152434 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.365401 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.172083 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.015078 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.365401 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.365403 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.015078 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.365401 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.065234 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.365401 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.136057 # DEPENDENCYPART_SIBL
(0,1),(0,29),0.719282 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.153025 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.138571 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.183767 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.106371 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0203758 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.183767 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.185897 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0203758 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.18377 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.182062 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.183767 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.416924 # DEPENDENCYPART_SIBL
(0,2),(0,29),0.259215 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.108404 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.328376 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.110649 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.209339 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.328376 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.319 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.209339 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.328377 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.183066 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.328376 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.15575 # DEPENDENCYPART_SIBL
(0,3),(0,29),0.0132637 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.286068 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.137709 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.152228 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.286068 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.276691 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.152228 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.286068 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.150978 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.286068 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.102779 # DEPENDENCYPART_SIBL
(0,4),(0,29),0.0627297 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0780844 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.296463 # DEPENDENCYPART_SIBL
(0,5),(0,15),-1.46319 # DEPENDENCYPART_SIBL
(0,5),(0,16),-1.46319 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.296463 # DEPENDENCYPART_SIBL
(0,5),(0,20),-1.46319 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.962228 # DEPENDENCYPART_SIBL
(0,5),(0,26),-1.46319 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.00769122 # DEPENDENCYPART_SIBL
(0,5),(0,29),0.00821205 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0810202 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.411561 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.411561 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0810202 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.411561 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.189369 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.411561 # DEPENDENCYPART_SIBL
(0,6),(0,28),-0.299274 # DEPENDENCYPART_SIBL
(0,6),(0,29),-0.0513678 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.408609 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.40861 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.129028 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.140416 # DEPENDENCYPART_SIBL
(0,12),(0,26),-0.408609 # DEPENDENCYPART_SIBL
(0,12),(0,28),-0.133324 # DEPENDENCYPART_SIBL
(0,12),(0,29),0.0767127 # DEPENDENCYPART_SIBL
(0,15),(0,16),-1.46319 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.296463 # DEPENDENCYPART_SIBL
(0,15),(0,20),-1.46319 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.962228 # DEPENDENCYPART_SIBL
(0,15),(0,26),-1.46319 # DEPENDENCYPART_SIBL
(0,15),(0,28),-0.00769122 # DEPENDENCYPART_SIBL
(0,15),(0,29),0.00821205 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.298928 # DEPENDENCYPART_SIBL
(0,16),(0,20),-1.4632 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.958717 # DEPENDENCYPART_SIBL
(0,16),(0,26),-1.4632 # DEPENDENCYPART_SIBL
(0,16),(0,28),-0.00894 # DEPENDENCYPART_SIBL
(0,16),(0,29),0.00697036 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.140416 # DEPENDENCYPART_SIBL
(0,19),(0,26),-0.408609 # DEPENDENCYPART_SIBL
(0,19),(0,28),-0.133324 # DEPENDENCYPART_SIBL
(0,19),(0,29),0.0767127 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.963661 # DEPENDENCYPART_SIBL
(0,20),(0,26),-1.46319 # DEPENDENCYPART_SIBL
(0,20),(0,28),-0.00774061 # DEPENDENCYPART_SIBL
(0,20),(0,29),0.00818679 # DEPENDENCYPART_SIBL
(0,23),(0,26),-0.898665 # DEPENDENCYPART_SIBL
(0,23),(0,28),0.0494213 # DEPENDENCYPART_SIBL
(0,23),(0,29),-0.029451 # DEPENDENCYPART_SIBL
(0,26),(0,28),-0.00769122 # DEPENDENCYPART_SIBL
(0,26),(0,29),0.00821205 # DEPENDENCYPART_SIBL
(0,28),(0,29),-0.150117 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.112366 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0884687 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.112595 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0346357 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0149507 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0332782 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0374532 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0394186 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0568319 # DEPENDENCYPART_SIBL
(2,1),(2,6),-7.44792e-05 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0113999 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.06596 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0406 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0127014 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0104383 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00742217 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0481392 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0701108 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0590006 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00429833 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00847657 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0154674 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0703292 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0764937 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0174433 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00232166 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0137666 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.00345524 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00251143 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0331034 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0266385 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0346186 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.103814 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0190015 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0139145 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.000775349 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0922863 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0172622 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00133795 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0109245 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0140328 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0959735 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0894507 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0890623 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00220436 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.017362 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0220063 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0010301 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0373727 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.000434407 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0167816 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.00574899 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.012597 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0502088 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.012597 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0124334 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0409684 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0467323 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0502088 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0124334 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.0952441 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0183092 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.0685399 # DEPENDENCYPART_SIBL
(5,1),(5,29),1.28568 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0999898 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00799828 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0322305 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0345782 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0388114 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0425245 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0189449 # DEPENDENCYPART_SIBL
