# _root_ Pro pedagogický dozor může být potěšující , že jejich účast při soutěžích bude odměňována podle zákona o cestovních náhradách , a v tomto směru jsou postaveni na roveň ostatním pracovníkům vyslaným na služební cestu .
#goldHeads=4,3,1,21,4,5,8,4,10,14,10,11,14,8,14,15,16,19,17,8,0,25,24,22,21,25,26,27,30,28,30,31,34,32,0,
#predictedHeads=4,3,1,0,4,5,8,4,10,14,10,11,14,8,14,15,16,19,17,21,8,25,24,22,21,25,26,27,30,26,30,31,34,32,0,
(20,18),-1.53832 # DEPENDENCYPART_ARC
(20,19),-1.39575 # DEPENDENCYPART_ARC
(20,25),-2.04244 # DEPENDENCYPART_ARC
(20,26),-2.48483 # DEPENDENCYPART_ARC
(21,1),-0.567106 # DEPENDENCYPART_ARC
(21,4),-1.2377 # DEPENDENCYPART_ARC
(21,5),-1.98296 # DEPENDENCYPART_ARC
(21,7),-0.895971 # DEPENDENCYPART_ARC
(21,8),-0.427344 # DEPENDENCYPART_ARC
(21,10),-1.52693 # DEPENDENCYPART_ARC
(21,11),-0.154562 # DEPENDENCYPART_ARC
(21,12),-1.14555 # DEPENDENCYPART_ARC
(21,13),0.0698763 # DEPENDENCYPART_ARC
(21,14),0.0226309 # DEPENDENCYPART_ARC
(21,15),-0.0292141 # DEPENDENCYPART_ARC
(21,16),-1.12378 # DEPENDENCYPART_ARC
(21,17),0.032079 # DEPENDENCYPART_ARC
(21,18),-1.1274 # DEPENDENCYPART_ARC
(21,19),-0.833657 # DEPENDENCYPART_ARC
(21,20),0.964792 # DEPENDENCYPART_ARC
(21,22),0.300392 # DEPENDENCYPART_ARC
(21,23),-0.906404 # DEPENDENCYPART_ARC
(21,24),-1.15725 # DEPENDENCYPART_ARC
(21,25),1.01504 # DEPENDENCYPART_ARC
(21,26),0.118127 # DEPENDENCYPART_ARC
(21,27),-1.37428 # DEPENDENCYPART_ARC
(21,28),-2.40744 # DEPENDENCYPART_ARC
(21,29),-2.19316 # DEPENDENCYPART_ARC
(21,30),-2.53838 # DEPENDENCYPART_ARC
(21,31),-2.6292 # DEPENDENCYPART_ARC
(21,32),-1.60075 # DEPENDENCYPART_ARC
(22,23),0.460344 # DEPENDENCYPART_ARC
(22,24),1.43938 # DEPENDENCYPART_ARC
(22,28),-3.54202 # DEPENDENCYPART_ARC
(23,14),-1.95118 # DEPENDENCYPART_ARC
(23,25),-1.56338 # DEPENDENCYPART_ARC
(23,26),-1.63276 # DEPENDENCYPART_ARC
(23,27),-1.9798 # DEPENDENCYPART_ARC
(23,28),-2.82303 # DEPENDENCYPART_ARC
(23,32),-2.15353 # DEPENDENCYPART_ARC
(24,18),-4.34648 # DEPENDENCYPART_ARC
(24,19),-4.3754 # DEPENDENCYPART_ARC
(24,22),-0.393384 # DEPENDENCYPART_ARC
(24,23),2.77469 # DEPENDENCYPART_ARC
(24,25),-2.11434 # DEPENDENCYPART_ARC
(24,26),-2.56944 # DEPENDENCYPART_ARC
(24,27),-1.77405 # DEPENDENCYPART_ARC
(25,1),-1.93494 # DEPENDENCYPART_ARC
(25,5),-1.30378 # DEPENDENCYPART_ARC
(25,10),-1.25288 # DEPENDENCYPART_ARC
(25,11),-1.46549 # DEPENDENCYPART_ARC
(25,13),-2.23019 # DEPENDENCYPART_ARC
(25,14),-1.71919 # DEPENDENCYPART_ARC
(25,15),-0.572979 # DEPENDENCYPART_ARC
(25,16),-3.04057 # DEPENDENCYPART_ARC
(25,17),-1.75192 # DEPENDENCYPART_ARC
(25,19),-2.31493 # DEPENDENCYPART_ARC
(25,20),-0.507474 # DEPENDENCYPART_ARC
(25,22),0.364257 # DEPENDENCYPART_ARC
(25,23),-2.21304 # DEPENDENCYPART_ARC
(25,24),-0.466167 # DEPENDENCYPART_ARC
(25,26),2.18051 # DEPENDENCYPART_ARC
(25,27),-0.512788 # DEPENDENCYPART_ARC
(25,28),-0.632606 # DEPENDENCYPART_ARC
(25,29),-1.80746 # DEPENDENCYPART_ARC
(25,30),-0.942734 # DEPENDENCYPART_ARC
(25,31),-2.10259 # DEPENDENCYPART_ARC
(25,32),-1.29449 # DEPENDENCYPART_ARC
(25,34),-1.0207 # DEPENDENCYPART_ARC
(26,1),-1.61136 # DEPENDENCYPART_ARC
(26,3),-2.2938 # DEPENDENCYPART_ARC
(26,4),-2.81446 # DEPENDENCYPART_ARC
(26,10),-1.9633 # DEPENDENCYPART_ARC
(26,11),-1.49535 # DEPENDENCYPART_ARC
(26,12),-2.40845 # DEPENDENCYPART_ARC
(26,13),-0.327837 # DEPENDENCYPART_ARC
(26,15),-0.646979 # DEPENDENCYPART_ARC
(26,16),-2.88967 # DEPENDENCYPART_ARC
(26,17),-1.42867 # DEPENDENCYPART_ARC
(26,18),-4.14488 # DEPENDENCYPART_ARC
(26,19),-2.87003 # DEPENDENCYPART_ARC
(26,20),-1.18134 # DEPENDENCYPART_ARC
(26,21),-0.848881 # DEPENDENCYPART_ARC
(26,22),0.415061 # DEPENDENCYPART_ARC
(26,23),-1.94233 # DEPENDENCYPART_ARC
(26,24),-0.776122 # DEPENDENCYPART_ARC
(26,25),1.29051 # DEPENDENCYPART_ARC
(26,27),1.19058 # DEPENDENCYPART_ARC
(26,28),-1.07298 # DEPENDENCYPART_ARC
(26,29),-1.25634 # DEPENDENCYPART_ARC
(26,30),-0.259485 # DEPENDENCYPART_ARC
(26,32),-0.492245 # DEPENDENCYPART_ARC
(26,34),-1.57751 # DEPENDENCYPART_ARC
(27,28),2.21063 # DEPENDENCYPART_ARC
(27,29),-1.78627 # DEPENDENCYPART_ARC
(27,30),-2.30417 # DEPENDENCYPART_ARC
(27,31),-2.39754 # DEPENDENCYPART_ARC
(28,22),-1.23144 # DEPENDENCYPART_ARC
(28,27),-0.360759 # DEPENDENCYPART_ARC
(28,29),-1.50309 # DEPENDENCYPART_ARC
(28,30),-1.07093 # DEPENDENCYPART_ARC
(28,31),-2.21316 # DEPENDENCYPART_ARC
(28,32),-0.455405 # DEPENDENCYPART_ARC
(28,33),-0.765675 # DEPENDENCYPART_ARC
(28,34),-2.30235 # DEPENDENCYPART_ARC
(29,22),-1.67012 # DEPENDENCYPART_ARC
(29,27),-0.830432 # DEPENDENCYPART_ARC
(29,28),-2.05603 # DEPENDENCYPART_ARC
(29,30),-0.531487 # DEPENDENCYPART_ARC
(29,31),-1.11755 # DEPENDENCYPART_ARC
(29,32),-0.783574 # DEPENDENCYPART_ARC
(29,34),-3.08888 # DEPENDENCYPART_ARC
(30,27),-1.352 # DEPENDENCYPART_ARC
(30,28),-3.57214 # DEPENDENCYPART_ARC
(30,29),2.23826 # DEPENDENCYPART_ARC
(30,31),0.345214 # DEPENDENCYPART_ARC
(30,32),-1.07043 # DEPENDENCYPART_ARC
(30,33),-3.2013 # DEPENDENCYPART_ARC
(30,34),-2.66038 # DEPENDENCYPART_ARC
(31,22),-1.56726 # DEPENDENCYPART_ARC
(31,27),-0.883958 # DEPENDENCYPART_ARC
(31,28),-2.64061 # DEPENDENCYPART_ARC
(31,29),-0.65126 # DEPENDENCYPART_ARC
(31,30),-0.243912 # DEPENDENCYPART_ARC
(31,32),1.10695 # DEPENDENCYPART_ARC
(31,33),-3.04285 # DEPENDENCYPART_ARC
(31,34),-2.42771 # DEPENDENCYPART_ARC
(31,35),-0.933243 # DEPENDENCYPART_ARC
(32,30),-3.14761 # DEPENDENCYPART_ARC
(32,31),-2.28703 # DEPENDENCYPART_ARC
(32,33),0.103348 # DEPENDENCYPART_ARC
(32,34),2.04086 # DEPENDENCYPART_ARC
(32,35),-0.761621 # DEPENDENCYPART_ARC
(33,32),-0.987642 # DEPENDENCYPART_ARC
(34,29),-3.7244 # DEPENDENCYPART_ARC
(34,30),-3.94166 # DEPENDENCYPART_ARC
(34,31),-3.74752 # DEPENDENCYPART_ARC
(34,32),-1.27281 # DEPENDENCYPART_ARC
(34,33),2.5302 # DEPENDENCYPART_ARC
(34,35),-0.432543 # DEPENDENCYPART_ARC
(0,1),(0,3),0.205896 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.374326 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.380489 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.129838 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0590506 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.391136 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.376815 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.129838 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.186282 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.362423 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.379398 # DEPENDENCYPART_SIBL
(0,1),(0,35),-0.360036 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.18619 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.194263 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0241528 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0262662 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.21166 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.184158 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0241528 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.182061 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.124132 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.184158 # DEPENDENCYPART_SIBL
(0,3),(0,35),-0.418795 # DEPENDENCYPART_SIBL
(0,4),(0,5),-1.48025 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.378687 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.675873 # DEPENDENCYPART_SIBL
(0,4),(0,13),-1.50005 # DEPENDENCYPART_SIBL
(0,4),(0,14),-1.4895 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.378687 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.99966 # DEPENDENCYPART_SIBL
(0,4),(0,25),-1.48694 # DEPENDENCYPART_SIBL
(0,4),(0,26),-1.4895 # DEPENDENCYPART_SIBL
(0,4),(0,35),-0.147857 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.328328 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.622222 # DEPENDENCYPART_SIBL
(0,5),(0,13),-1.51638 # DEPENDENCYPART_SIBL
(0,5),(0,14),-1.50583 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.328328 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.919757 # DEPENDENCYPART_SIBL
(0,5),(0,25),-1.50327 # DEPENDENCYPART_SIBL
(0,5),(0,26),-1.50583 # DEPENDENCYPART_SIBL
(0,5),(0,35),-0.0646886 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.00123668 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.417451 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.408609 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.129028 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.140416 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.374026 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.408618 # DEPENDENCYPART_SIBL
(0,7),(0,35),-0.133324 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.874817 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.861016 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.326921 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.708252 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.850856 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.861016 # DEPENDENCYPART_SIBL
(0,8),(0,35),-0.107484 # DEPENDENCYPART_SIBL
(0,13),(0,14),-1.47985 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.347357 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.967178 # DEPENDENCYPART_SIBL
(0,13),(0,25),-1.47729 # DEPENDENCYPART_SIBL
(0,13),(0,26),-1.47985 # DEPENDENCYPART_SIBL
(0,13),(0,35),-0.107215 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.296463 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.962228 # DEPENDENCYPART_SIBL
(0,14),(0,25),-1.46063 # DEPENDENCYPART_SIBL
(0,14),(0,26),-1.46319 # DEPENDENCYPART_SIBL
(0,14),(0,35),-0.00769122 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.140416 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.374026 # DEPENDENCYPART_SIBL
(0,20),(0,26),-0.408618 # DEPENDENCYPART_SIBL
(0,20),(0,35),-0.133324 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.885256 # DEPENDENCYPART_SIBL
(0,21),(0,26),-0.898665 # DEPENDENCYPART_SIBL
(0,21),(0,35),0.0494213 # DEPENDENCYPART_SIBL
(0,25),(0,26),-1.48821 # DEPENDENCYPART_SIBL
(0,25),(0,35),0.0831844 # DEPENDENCYPART_SIBL
(0,26),(0,35),-0.00807824 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.714525 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.391118 # DEPENDENCYPART_SIBL
(1,3),(1,8),-1.0005 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0194727 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0284192 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0963493 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.227142 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.252234 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0146223 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.157177 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0934813 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.118593 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0507349 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0916219 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0921089 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.135571 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00969447 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00706809 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0463333 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0435243 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0625971 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0289689 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0161435 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.00706809 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0627159 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0840017 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.220466 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0467421 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0473343 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0769702 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.145632 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.110599 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.108416 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0983809 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0473343 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0337321 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0531639 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0769892 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.000211976 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0216195 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.158568 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00961909 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.025882 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0436026 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.000211976 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0161635 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.379503 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00199141 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0405987 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0360335 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00899285 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.332908 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.337226 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.00199141 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0538786 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0552725 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00902943 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.132422 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00296578 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0463925 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0425212 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0552725 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0769808 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00807241 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.111978 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.111558 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0800992 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0898151 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.104399 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.120095 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.211197 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.173909 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.179096 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.179367 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0297236 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.379293 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0559746 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0230758 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0336094 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.00387447 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.250428 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0489941 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0553851 # DEPENDENCYPART_SIBL
