# _root_ Pravděpodobnost , že pracovník úřadu bude kontrolovat právě " svého " taxikáře , je však malá .
#goldHeads=14,3,1,7,4,7,3,12,10,12,10,7,3,15,0,14,0,
#predictedHeads=14,3,1,7,4,7,3,12,10,12,10,7,15,15,0,14,0,
(6,11),-1.39957 # DEPENDENCYPART_ARC
(6,12),-2.84111 # DEPENDENCYPART_ARC
(6,13),-1.0659 # DEPENDENCYPART_ARC
(6,14),-4.01677 # DEPENDENCYPART_ARC
(6,15),-2.00543 # DEPENDENCYPART_ARC
(6,16),-2.6875 # DEPENDENCYPART_ARC
(7,1),-1.47736 # DEPENDENCYPART_ARC
(7,2),-1.16612 # DEPENDENCYPART_ARC
(7,3),-1.23532 # DEPENDENCYPART_ARC
(7,4),-0.4424 # DEPENDENCYPART_ARC
(7,5),-0.729398 # DEPENDENCYPART_ARC
(7,6),3.30815 # DEPENDENCYPART_ARC
(7,8),0.56346 # DEPENDENCYPART_ARC
(7,9),-0.629451 # DEPENDENCYPART_ARC
(7,11),-0.800163 # DEPENDENCYPART_ARC
(7,12),-0.395522 # DEPENDENCYPART_ARC
(7,13),-0.657989 # DEPENDENCYPART_ARC
(7,14),-1.98196 # DEPENDENCYPART_ARC
(7,15),-1.19777 # DEPENDENCYPART_ARC
(7,16),-2.81006 # DEPENDENCYPART_ARC
(8,1),-2.08837 # DEPENDENCYPART_ARC
(8,2),-1.40911 # DEPENDENCYPART_ARC
(8,4),-1.8409 # DEPENDENCYPART_ARC
(8,5),-1.56187 # DEPENDENCYPART_ARC
(8,7),-0.802176 # DEPENDENCYPART_ARC
(8,9),-0.291425 # DEPENDENCYPART_ARC
(8,11),-1.34014 # DEPENDENCYPART_ARC
(8,12),-2.19075 # DEPENDENCYPART_ARC
(8,14),-1.94624 # DEPENDENCYPART_ARC
(8,15),-1.32293 # DEPENDENCYPART_ARC
(9,2),-1.9399 # DEPENDENCYPART_ARC
(9,3),-1.51975 # DEPENDENCYPART_ARC
(9,5),-2.25732 # DEPENDENCYPART_ARC
(9,6),-1.09757 # DEPENDENCYPART_ARC
(9,7),-1.4813 # DEPENDENCYPART_ARC
(9,8),-1.02392 # DEPENDENCYPART_ARC
(9,11),-1.8512 # DEPENDENCYPART_ARC
(9,12),-2.82411 # DEPENDENCYPART_ARC
(9,13),-1.64903 # DEPENDENCYPART_ARC
(9,14),-2.54898 # DEPENDENCYPART_ARC
(9,15),-2.04077 # DEPENDENCYPART_ARC
(9,16),-3.18256 # DEPENDENCYPART_ARC
(10,9),0.120205 # DEPENDENCYPART_ARC
(10,11),-0.170024 # DEPENDENCYPART_ARC
(11,1),-2.64756 # DEPENDENCYPART_ARC
(11,4),-2.32769 # DEPENDENCYPART_ARC
(11,5),-2.34132 # DEPENDENCYPART_ARC
(11,6),-2.07032 # DEPENDENCYPART_ARC
(11,7),-1.95623 # DEPENDENCYPART_ARC
(11,8),-1.85895 # DEPENDENCYPART_ARC
(11,9),-1.89748 # DEPENDENCYPART_ARC
(11,12),-1.54776 # DEPENDENCYPART_ARC
(11,13),-1.54804 # DEPENDENCYPART_ARC
(11,14),-2.3431 # DEPENDENCYPART_ARC
(11,16),-3.03181 # DEPENDENCYPART_ARC
(12,7),-2.05669 # DEPENDENCYPART_ARC
(12,8),-0.369983 # DEPENDENCYPART_ARC
(12,9),-0.937251 # DEPENDENCYPART_ARC
(12,10),1.30838 # DEPENDENCYPART_ARC
(12,11),0.214964 # DEPENDENCYPART_ARC
(12,13),-0.533611 # DEPENDENCYPART_ARC
(12,14),-1.76635 # DEPENDENCYPART_ARC
(12,15),-1.13811 # DEPENDENCYPART_ARC
(12,16),-3.01743 # DEPENDENCYPART_ARC
(12,17),-1.71549 # DEPENDENCYPART_ARC
(13,2),-1.09432 # DEPENDENCYPART_ARC
(13,3),-1.07689 # DEPENDENCYPART_ARC
(13,6),-0.722999 # DEPENDENCYPART_ARC
(13,7),-0.583113 # DEPENDENCYPART_ARC
(13,8),-1.52937 # DEPENDENCYPART_ARC
(13,9),-1.34458 # DEPENDENCYPART_ARC
(13,11),-0.70976 # DEPENDENCYPART_ARC
(13,12),-1.06039 # DEPENDENCYPART_ARC
(13,14),-0.79439 # DEPENDENCYPART_ARC
(13,15),-1.19297 # DEPENDENCYPART_ARC
(13,16),-2.03963 # DEPENDENCYPART_ARC
(13,17),-0.994052 # DEPENDENCYPART_ARC
(14,1),-0.9169 # DEPENDENCYPART_ARC
(14,3),-2.69347 # DEPENDENCYPART_ARC
(14,4),-1.03148 # DEPENDENCYPART_ARC
(14,5),-3.34714 # DEPENDENCYPART_ARC
(14,6),-2.811 # DEPENDENCYPART_ARC
(14,7),-0.857407 # DEPENDENCYPART_ARC
(14,8),-2.27671 # DEPENDENCYPART_ARC
(14,9),-0.687686 # DEPENDENCYPART_ARC
(14,11),-0.455354 # DEPENDENCYPART_ARC
(14,12),-1.10247 # DEPENDENCYPART_ARC
(14,13),-0.899702 # DEPENDENCYPART_ARC
(14,15),0.0612153 # DEPENDENCYPART_ARC
(14,16),0.987968 # DEPENDENCYPART_ARC
(14,17),-0.875902 # DEPENDENCYPART_ARC
(15,1),-1.72753 # DEPENDENCYPART_ARC
(15,2),-2.53594 # DEPENDENCYPART_ARC
(15,3),-1.62833 # DEPENDENCYPART_ARC
(15,4),-1.76433 # DEPENDENCYPART_ARC
(15,5),-1.73697 # DEPENDENCYPART_ARC
(15,6),-1.35044 # DEPENDENCYPART_ARC
(15,7),-1.22673 # DEPENDENCYPART_ARC
(15,8),-1.53593 # DEPENDENCYPART_ARC
(15,9),-1.06058 # DEPENDENCYPART_ARC
(15,11),-0.551858 # DEPENDENCYPART_ARC
(15,12),-0.888893 # DEPENDENCYPART_ARC
(15,13),0.220472 # DEPENDENCYPART_ARC
(15,14),0.196664 # DEPENDENCYPART_ARC
(15,16),-1.06019 # DEPENDENCYPART_ARC
(15,17),-0.967495 # DEPENDENCYPART_ARC
(16,12),-1.87794 # DEPENDENCYPART_ARC
(16,13),-1.29456 # DEPENDENCYPART_ARC
(16,15),-0.209114 # DEPENDENCYPART_ARC
(16,17),-0.379301 # DEPENDENCYPART_ARC
(17,16),-2.75633 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.000485651 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0396925 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0325989 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.206169 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.182324 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.104922 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0426334 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.000485651 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.220268 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.223995 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.387615 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.00123668 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0629624 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.417451 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.411815 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0934347 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0665233 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.129028 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.4829 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.276897 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0262659 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.874817 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.862526 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0206202 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0295143 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.326921 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.909118 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.641177 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.107484 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.162279 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.138434 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.118836 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0574932 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.00194051 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.176378 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.217749 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.396642 # DEPENDENCYPART_SIBL
(0,6),(0,7),-1.48085 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.240248 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0398924 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.347357 # DEPENDENCYPART_SIBL
(0,6),(0,14),-1.56137 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.937061 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.107215 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.219627 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0495721 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.286336 # DEPENDENCYPART_SIBL
(0,7),(0,14),-1.5406 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.922973 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.0066029 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.225898 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0838066 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.47377 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.150344 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0337832 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0203409 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.225364 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.237422 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.416889 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.4829 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.276897 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,15),-1.02769 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0527541 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.511513 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0095674 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00818636 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00612311 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0646513 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0506678 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0167815 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.140856 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0479175 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0558433 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.197993 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.115072 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.129361 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0402473 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0279039 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.179632 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0652624 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.38297 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.371444 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0413649 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.024342 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.165762 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0771535 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0681205 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.00867451 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.00522742 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0745321 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.511864 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.491473 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0433963 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0765721 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0443161 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.551445 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.242966 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.517598 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.497208 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0419208 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0782241 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0483585 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.557225 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.242963 # DEPENDENCYPART_SIBL
(3,6),(3,7),-1.13592 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.174828 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.10894 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0504388 # DEPENDENCYPART_SIBL
(3,6),(3,14),-1.19768 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.56256 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.164152 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0854224 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.00361333 # DEPENDENCYPART_SIBL
(3,7),(3,14),-1.18337 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.556438 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.129854 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0930975 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.441323 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.194281 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.145216 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.470377 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.215478 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.513146 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.245114 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.605359 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0879341 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0349726 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0114803 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0424692 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.232128 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.00513795 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.216326 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.127487 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0897458 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0500328 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0887003 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.010201 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0266445 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0222555 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0180666 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0119625 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.026294 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.000934494 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0147286 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0543912 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.00101033 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00465946 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0132443 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00744291 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0121312 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.132773 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00223823 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.145916 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00480842 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.173064 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.172947 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00642821 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0602413 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.122346 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0128111 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.122346 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0996949 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0928523 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.00911224 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.102593 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.198621 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0351873 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0281515 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.016209 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00780833 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0799602 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.120566 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0215003 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.120566 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.165344 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.208062 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0290362 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0514473 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.142567 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.102654 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.107165 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0860671 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0731411 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0151049 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0147354 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0151049 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0165086 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0115268 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0904407 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.127039 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.112952 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.174952 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00503475 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.05838 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.123765 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0237045 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.123765 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0669539 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0897144 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.00771854 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0914164 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.199348 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00474944 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0607502 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.127823 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00760825 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.127823 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0976375 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0949606 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.00741629 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.101523 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.198464 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0438405 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00315617 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0112299 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00315617 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0185817 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0211911 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.230148 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0242236 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0989852 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0588319 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.00305949 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0588319 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0318774 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0731151 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0470106 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0560535 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0320452 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0115092 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0869797 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0211454 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.023576 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0106361 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0342505 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.00128742 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0350932 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0121453 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0239838 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0242479 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.079716 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0367395 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0211454 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.023576 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0106361 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0342505 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.00128742 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0792741 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0440961 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0192235 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0484248 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0712808 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0345624 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0531617 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.0303377 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.0854774 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.0994539 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.139453 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0462474 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.172637 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.172509 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.303332 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.166174 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.00532978 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.00532978 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0435275 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.00629718 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0338072 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.015724 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0332062 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0141831 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0451517 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0332313 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.554957 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.174661 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.179615 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.179615 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.00166152 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.180534 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0357017 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.030598 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0484217 # DEPENDENCYPART_SIBL
