# _root_ Stát má v podnicích obvykle 30 procentní majetkovou účast , která by mohla být převedena českým věřitelům , uvedl E . Obminskij .
#goldHeads=2,19,2,3,2,7,9,9,2,13,13,13,9,15,13,17,15,2,0,22,20,19,0,
#predictedHeads=2,0,2,3,6,7,9,9,2,13,13,13,9,15,13,17,15,13,0,22,20,19,0,
(13,9),-1.18314 # DEPENDENCYPART_ARC
(13,10),-0.239497 # DEPENDENCYPART_ARC
(13,11),0.459827 # DEPENDENCYPART_ARC
(13,12),1.94062 # DEPENDENCYPART_ARC
(13,14),2.76202 # DEPENDENCYPART_ARC
(13,15),0.0294526 # DEPENDENCYPART_ARC
(13,16),-2.28086 # DEPENDENCYPART_ARC
(13,17),-1.1478 # DEPENDENCYPART_ARC
(13,18),-0.180057 # DEPENDENCYPART_ARC
(13,19),-4.01522 # DEPENDENCYPART_ARC
(13,20),-3.8727 # DEPENDENCYPART_ARC
(13,21),-1.08255 # DEPENDENCYPART_ARC
(13,22),-2.92874 # DEPENDENCYPART_ARC
(13,23),-1.28455 # DEPENDENCYPART_ARC
(14,1),-1.53896 # DEPENDENCYPART_ARC
(14,2),-4.57084 # DEPENDENCYPART_ARC
(14,4),-1.6403 # DEPENDENCYPART_ARC
(14,10),-1.57645 # DEPENDENCYPART_ARC
(14,11),-1.37875 # DEPENDENCYPART_ARC
(14,12),0.185127 # DEPENDENCYPART_ARC
(14,13),-1.75717 # DEPENDENCYPART_ARC
(14,15),0.762902 # DEPENDENCYPART_ARC
(14,16),-1.52893 # DEPENDENCYPART_ARC
(14,17),-0.874601 # DEPENDENCYPART_ARC
(14,18),-0.824137 # DEPENDENCYPART_ARC
(14,19),-2.51351 # DEPENDENCYPART_ARC
(14,20),-3.37982 # DEPENDENCYPART_ARC
(14,22),-4.59922 # DEPENDENCYPART_ARC
(15,1),-0.704907 # DEPENDENCYPART_ARC
(15,2),-2.26368 # DEPENDENCYPART_ARC
(15,3),-1.46577 # DEPENDENCYPART_ARC
(15,4),-2.30105 # DEPENDENCYPART_ARC
(15,5),-1.4183 # DEPENDENCYPART_ARC
(15,6),-1.3543 # DEPENDENCYPART_ARC
(15,7),-3.94093 # DEPENDENCYPART_ARC
(15,8),-3.98438 # DEPENDENCYPART_ARC
(15,9),-2.2771 # DEPENDENCYPART_ARC
(15,10),-1.4261 # DEPENDENCYPART_ARC
(15,11),-0.453482 # DEPENDENCYPART_ARC
(15,12),-0.11022 # DEPENDENCYPART_ARC
(15,13),1.49563 # DEPENDENCYPART_ARC
(15,14),2.99748 # DEPENDENCYPART_ARC
(15,16),-1.24108 # DEPENDENCYPART_ARC
(15,17),-0.330461 # DEPENDENCYPART_ARC
(15,18),-0.406359 # DEPENDENCYPART_ARC
(15,19),-2.04205 # DEPENDENCYPART_ARC
(15,20),-3.33839 # DEPENDENCYPART_ARC
(15,21),-1.35817 # DEPENDENCYPART_ARC
(15,22),-3.53811 # DEPENDENCYPART_ARC
(16,17),-1.15055 # DEPENDENCYPART_ARC
(16,19),-2.45917 # DEPENDENCYPART_ARC
(16,20),-3.66925 # DEPENDENCYPART_ARC
(17,11),-3.47855 # DEPENDENCYPART_ARC
(17,14),-2.00887 # DEPENDENCYPART_ARC
(17,15),-1.98783 # DEPENDENCYPART_ARC
(17,16),2.30954 # DEPENDENCYPART_ARC
(17,18),-1.5754 # DEPENDENCYPART_ARC
(17,19),-2.43687 # DEPENDENCYPART_ARC
(17,20),-2.07085 # DEPENDENCYPART_ARC
(17,21),-2.02698 # DEPENDENCYPART_ARC
(17,22),-5.34626 # DEPENDENCYPART_ARC
(18,2),-1.71673 # DEPENDENCYPART_ARC
(18,10),-0.890224 # DEPENDENCYPART_ARC
(18,11),-1.42528 # DEPENDENCYPART_ARC
(18,13),-0.884474 # DEPENDENCYPART_ARC
(18,14),-0.664593 # DEPENDENCYPART_ARC
(18,15),-0.36495 # DEPENDENCYPART_ARC
(18,16),-1.40903 # DEPENDENCYPART_ARC
(18,17),-1.5039 # DEPENDENCYPART_ARC
(18,19),-0.825634 # DEPENDENCYPART_ARC
(18,20),-1.26716 # DEPENDENCYPART_ARC
(18,21),-1.00391 # DEPENDENCYPART_ARC
(18,22),-2.03153 # DEPENDENCYPART_ARC
(19,1),-0.907088 # DEPENDENCYPART_ARC
(19,2),-2.48046 # DEPENDENCYPART_ARC
(19,3),-1.67662 # DEPENDENCYPART_ARC
(19,4),-2.72638 # DEPENDENCYPART_ARC
(19,5),-2.13564 # DEPENDENCYPART_ARC
(19,6),-1.47802 # DEPENDENCYPART_ARC
(19,7),-2.94559 # DEPENDENCYPART_ARC
(19,9),-2.41074 # DEPENDENCYPART_ARC
(19,10),-2.34192 # DEPENDENCYPART_ARC
(19,11),-1.86416 # DEPENDENCYPART_ARC
(19,12),-0.917693 # DEPENDENCYPART_ARC
(19,13),-3.06881 # DEPENDENCYPART_ARC
(19,14),0.13025 # DEPENDENCYPART_ARC
(19,15),-1.27147 # DEPENDENCYPART_ARC
(19,16),-1.65378 # DEPENDENCYPART_ARC
(19,17),-1.23905 # DEPENDENCYPART_ARC
(19,18),-0.760064 # DEPENDENCYPART_ARC
(19,20),-0.0893877 # DEPENDENCYPART_ARC
(19,21),-0.702478 # DEPENDENCYPART_ARC
(19,22),-0.334199 # DEPENDENCYPART_ARC
(19,23),-0.997035 # DEPENDENCYPART_ARC
(20,16),-4.23244 # DEPENDENCYPART_ARC
(20,19),-3.51825 # DEPENDENCYPART_ARC
(20,21),1.087 # DEPENDENCYPART_ARC
(20,22),-3.36885 # DEPENDENCYPART_ARC
(20,23),-0.498414 # DEPENDENCYPART_ARC
(21,17),-1.62978 # DEPENDENCYPART_ARC
(21,18),-1.59358 # DEPENDENCYPART_ARC
(21,19),-1.73345 # DEPENDENCYPART_ARC
(21,20),-0.594025 # DEPENDENCYPART_ARC
(21,22),-0.901592 # DEPENDENCYPART_ARC
(22,16),-4.03055 # DEPENDENCYPART_ARC
(22,17),-2.54052 # DEPENDENCYPART_ARC
(22,18),-1.47169 # DEPENDENCYPART_ARC
(22,19),-3.54721 # DEPENDENCYPART_ARC
(22,20),4.42685 # DEPENDENCYPART_ARC
(22,21),-0.573561 # DEPENDENCYPART_ARC
(22,23),0.0555513 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.233131 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0266251 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0991566 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.191055 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.199641 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.189539 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0266251 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.279857 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.417669 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.417669 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.265752 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.224785 # DEPENDENCYPART_SIBL
(0,2),(0,13),-1.4787 # DEPENDENCYPART_SIBL
(0,2),(0,14),-1.4652 # DEPENDENCYPART_SIBL
(0,2),(0,15),-1.47445 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.265752 # DEPENDENCYPART_SIBL
(0,2),(0,19),-1.57219 # DEPENDENCYPART_SIBL
(0,2),(0,21),0.0534672 # DEPENDENCYPART_SIBL
(0,2),(0,23),0.0534672 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0970252 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.410963 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.414654 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.408609 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.129028 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.503235 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.133324 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.419199 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.424454 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.415716 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0902836 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.487498 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.0402935 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.0402935 # DEPENDENCYPART_SIBL
(0,13),(0,14),-1.43487 # DEPENDENCYPART_SIBL
(0,13),(0,15),-1.44412 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.256501 # DEPENDENCYPART_SIBL
(0,13),(0,19),-1.54186 # DEPENDENCYPART_SIBL
(0,13),(0,21),0.0607554 # DEPENDENCYPART_SIBL
(0,13),(0,23),0.0607554 # DEPENDENCYPART_SIBL
(0,14),(0,15),-1.50583 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.328328 # DEPENDENCYPART_SIBL
(0,14),(0,19),-1.60358 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0646886 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.0646886 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.296558 # DEPENDENCYPART_SIBL
(0,15),(0,19),-1.56114 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.00777853 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.00777853 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.503235 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.133324 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,19),(0,21),0.168426 # DEPENDENCYPART_SIBL
(0,19),(0,23),0.168426 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.147083 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0812334 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00648585 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0237262 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.059005 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.114657 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0332425 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0927308 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.107104 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.107129 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.107032 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0382711 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0784048 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.19859 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0751783 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.112426 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0382711 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.11234 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.187351 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0453537 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.313483 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0981518 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0980419 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.195228 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0906625 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.13519 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.110902 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.138103 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.185488 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0906625 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.187646 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.10823 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0141605 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0522261 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0522626 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.118697 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0176071 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0181197 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0482031 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0192062 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.145375 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0176071 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.144209 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0773677 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0456076 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0455712 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0758576 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0433398 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0351138 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0265266 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0355304 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0651226 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0433398 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0658259 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0573045 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0573412 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0705339 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0211739 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.00145991 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.00569254 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.00221925 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0808197 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0211739 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0801163 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.367357 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.12025 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0398838 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0476295 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0431845 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0480972 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.13116 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0398838 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.130456 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.120286 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0399197 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.047523 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.043078 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0479907 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.131196 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0399197 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.130492 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0155194 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0192058 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0492892 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0202923 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.155231 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0155194 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.154065 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.123239 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.138696 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.122804 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.155824 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.117803 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.155121 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.213863 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.224942 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.00399546 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.0801345 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.00329211 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.350525 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.020195 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0184151 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.0194917 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.00359555 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.0789783 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.0028922 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0177711 # DEPENDENCYPART_SIBL
(2,17),(2,22),-0.144218 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.155121 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.527501 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.596146 # DEPENDENCYPART_SIBL
(3,4),(3,9),-1.39471 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.146438 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.531578 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.692807 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.274832 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0496497 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0111315 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00371115 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00212679 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00213617 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0172898 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.00652058 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0680502 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0213299 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.117119 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.123456 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.123455 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0526276 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0461274 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0554877 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.119189 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.140187 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.140187 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.103237 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.073544 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0189763 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0886434 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.088645 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0691871 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.00534336 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0264718 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0264728 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00563553 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00610094 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.108925 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0284039 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.00397875 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0284039 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.00394439 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0118939 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0548689 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0418202 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0197521 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0186706 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0186791 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.108731 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0287948 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.023468 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0353207 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0644681 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00586343 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00586343 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0366391 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00257414 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.00467744 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0286659 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00935465 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.00935472 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0247766 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0020661 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0555492 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.016175 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0161834 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.102173 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0427036 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0266121 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.152722 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0627649 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0153278 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.152302 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0627649 # DEPENDENCYPART_SIBL
