# _root_ Předpisem , který upravuje organizování a hlavně financování soutěží a přehlídek žáků , je vyhláška č . 431 / 1992 Sb .
#goldHeads=14,4,4,1,6,4,8,6,10,6,10,11,4,0,14,15,16,16,20,18,16,21,
#predictedHeads=14,4,4,1,4,4,8,6,10,8,10,11,4,0,14,15,16,16,20,18,16,0,
(6,21),-3.45126 # DEPENDENCYPART_ARC
(7,1),-2.85735 # DEPENDENCYPART_ARC
(7,2),-1.99977 # DEPENDENCYPART_ARC
(7,3),-2.82741 # DEPENDENCYPART_ARC
(7,6),-0.699471 # DEPENDENCYPART_ARC
(7,8),-1.40059 # DEPENDENCYPART_ARC
(7,9),-1.00412 # DEPENDENCYPART_ARC
(7,10),-1.05055 # DEPENDENCYPART_ARC
(7,13),-1.31023 # DEPENDENCYPART_ARC
(7,14),-2.53441 # DEPENDENCYPART_ARC
(8,3),-2.89003 # DEPENDENCYPART_ARC
(8,5),-2.56378 # DEPENDENCYPART_ARC
(8,6),-0.68114 # DEPENDENCYPART_ARC
(8,7),-0.183763 # DEPENDENCYPART_ARC
(8,9),1.89951 # DEPENDENCYPART_ARC
(8,10),-0.113997 # DEPENDENCYPART_ARC
(8,11),-0.710822 # DEPENDENCYPART_ARC
(8,12),-0.722328 # DEPENDENCYPART_ARC
(8,13),-1.19111 # DEPENDENCYPART_ARC
(8,14),-1.91298 # DEPENDENCYPART_ARC
(9,3),-4.4856 # DEPENDENCYPART_ARC
(9,5),-5.07308 # DEPENDENCYPART_ARC
(9,6),-1.13271 # DEPENDENCYPART_ARC
(9,7),-0.885335 # DEPENDENCYPART_ARC
(9,8),-2.69926 # DEPENDENCYPART_ARC
(9,11),-1.05918 # DEPENDENCYPART_ARC
(10,1),-0.654711 # DEPENDENCYPART_ARC
(10,2),-0.558014 # DEPENDENCYPART_ARC
(10,3),-0.899975 # DEPENDENCYPART_ARC
(10,4),-0.324099 # DEPENDENCYPART_ARC
(10,5),0.479337 # DEPENDENCYPART_ARC
(10,6),-0.737871 # DEPENDENCYPART_ARC
(10,7),-0.516149 # DEPENDENCYPART_ARC
(10,8),-0.114883 # DEPENDENCYPART_ARC
(10,9),1.89775 # DEPENDENCYPART_ARC
(10,11),1.9449 # DEPENDENCYPART_ARC
(10,12),0.302732 # DEPENDENCYPART_ARC
(10,13),-0.642571 # DEPENDENCYPART_ARC
(10,14),-0.619991 # DEPENDENCYPART_ARC
(10,15),-1.88973 # DEPENDENCYPART_ARC
(10,16),-1.93751 # DEPENDENCYPART_ARC
(10,17),-1.58971 # DEPENDENCYPART_ARC
(10,18),-1.93136 # DEPENDENCYPART_ARC
(10,19),-1.35388 # DEPENDENCYPART_ARC
(10,20),-2.15932 # DEPENDENCYPART_ARC
(10,21),-3.04967 # DEPENDENCYPART_ARC
(11,12),0.792896 # DEPENDENCYPART_ARC
(11,14),-1.94765 # DEPENDENCYPART_ARC
(11,15),-2.78439 # DEPENDENCYPART_ARC
(11,16),-1.3897 # DEPENDENCYPART_ARC
(11,21),-2.28476 # DEPENDENCYPART_ARC
(12,5),-5.55416 # DEPENDENCYPART_ARC
(12,7),-1.15308 # DEPENDENCYPART_ARC
(12,8),-4.18346 # DEPENDENCYPART_ARC
(12,9),-4.8627 # DEPENDENCYPART_ARC
(12,10),-0.301936 # DEPENDENCYPART_ARC
(12,11),-2.29134 # DEPENDENCYPART_ARC
(12,13),-1.44551 # DEPENDENCYPART_ARC
(12,14),-2.19509 # DEPENDENCYPART_ARC
(12,15),-3.10991 # DEPENDENCYPART_ARC
(12,16),-1.47401 # DEPENDENCYPART_ARC
(12,17),-1.98379 # DEPENDENCYPART_ARC
(12,19),-1.80493 # DEPENDENCYPART_ARC
(12,20),-1.93743 # DEPENDENCYPART_ARC
(13,1),-2.23403 # DEPENDENCYPART_ARC
(13,2),-1.15271 # DEPENDENCYPART_ARC
(13,4),-0.867166 # DEPENDENCYPART_ARC
(13,5),-1.45607 # DEPENDENCYPART_ARC
(13,6),-0.859046 # DEPENDENCYPART_ARC
(13,7),-1.18648 # DEPENDENCYPART_ARC
(13,8),-1.4271 # DEPENDENCYPART_ARC
(13,9),-1.47361 # DEPENDENCYPART_ARC
(13,10),-0.74345 # DEPENDENCYPART_ARC
(13,11),-1.4223 # DEPENDENCYPART_ARC
(13,12),-1.4719 # DEPENDENCYPART_ARC
(13,14),-0.935047 # DEPENDENCYPART_ARC
(13,15),-1.63038 # DEPENDENCYPART_ARC
(13,16),-1.78264 # DEPENDENCYPART_ARC
(13,17),-1.33082 # DEPENDENCYPART_ARC
(14,1),-0.969801 # DEPENDENCYPART_ARC
(14,2),-1.28482 # DEPENDENCYPART_ARC
(14,3),-1.70633 # DEPENDENCYPART_ARC
(14,4),-1.62013 # DEPENDENCYPART_ARC
(14,5),-1.72452 # DEPENDENCYPART_ARC
(14,6),-1.09185 # DEPENDENCYPART_ARC
(14,7),-1.35647 # DEPENDENCYPART_ARC
(14,8),-1.1629 # DEPENDENCYPART_ARC
(14,9),-3.2972 # DEPENDENCYPART_ARC
(14,10),-1.29147 # DEPENDENCYPART_ARC
(14,11),-2.17341 # DEPENDENCYPART_ARC
(14,12),-3.36772 # DEPENDENCYPART_ARC
(14,13),-0.716506 # DEPENDENCYPART_ARC
(14,15),1.67954 # DEPENDENCYPART_ARC
(14,16),-0.0208378 # DEPENDENCYPART_ARC
(14,17),-0.659623 # DEPENDENCYPART_ARC
(14,18),-0.654886 # DEPENDENCYPART_ARC
(14,19),-0.986129 # DEPENDENCYPART_ARC
(14,20),-1.47199 # DEPENDENCYPART_ARC
(14,21),-2.32588 # DEPENDENCYPART_ARC
(14,22),-1.24828 # DEPENDENCYPART_ARC
(15,16),1.70285 # DEPENDENCYPART_ARC
(15,17),-0.408035 # DEPENDENCYPART_ARC
(15,18),-0.707241 # DEPENDENCYPART_ARC
(15,19),-0.84611 # DEPENDENCYPART_ARC
(15,20),-0.912963 # DEPENDENCYPART_ARC
(15,21),-1.05792 # DEPENDENCYPART_ARC
(16,8),-3.57156 # DEPENDENCYPART_ARC
(16,9),-6.98992 # DEPENDENCYPART_ARC
(16,11),-5.36633 # DEPENDENCYPART_ARC
(16,12),-4.93058 # DEPENDENCYPART_ARC
(16,15),-2.16347 # DEPENDENCYPART_ARC
(16,17),1.2743 # DEPENDENCYPART_ARC
(16,18),0.808975 # DEPENDENCYPART_ARC
(16,19),0.0307744 # DEPENDENCYPART_ARC
(16,20),0.107097 # DEPENDENCYPART_ARC
(16,21),-0.374521 # DEPENDENCYPART_ARC
(16,22),-1.48754 # DEPENDENCYPART_ARC
(17,18),-1.93131 # DEPENDENCYPART_ARC
(17,21),-2.53741 # DEPENDENCYPART_ARC
(18,9),-1.3569 # DEPENDENCYPART_ARC
(18,12),-1.27451 # DEPENDENCYPART_ARC
(18,13),-1.37632 # DEPENDENCYPART_ARC
(18,15),-1.30696 # DEPENDENCYPART_ARC
(18,16),-1.20184 # DEPENDENCYPART_ARC
(18,17),-0.729875 # DEPENDENCYPART_ARC
(18,19),0.489971 # DEPENDENCYPART_ARC
(18,20),0.312782 # DEPENDENCYPART_ARC
(18,21),-1.16647 # DEPENDENCYPART_ARC
(18,22),-1.48715 # DEPENDENCYPART_ARC
(19,1),-2.91963 # DEPENDENCYPART_ARC
(19,2),-2.21364 # DEPENDENCYPART_ARC
(19,4),-1.71293 # DEPENDENCYPART_ARC
(19,10),-1.31548 # DEPENDENCYPART_ARC
(19,11),-2.03617 # DEPENDENCYPART_ARC
(19,12),-1.91945 # DEPENDENCYPART_ARC
(19,13),-1.51255 # DEPENDENCYPART_ARC
(19,14),-1.23098 # DEPENDENCYPART_ARC
(19,15),-1.3633 # DEPENDENCYPART_ARC
(19,16),-1.17452 # DEPENDENCYPART_ARC
(19,17),-0.663799 # DEPENDENCYPART_ARC
(19,18),0.283244 # DEPENDENCYPART_ARC
(19,20),0.325314 # DEPENDENCYPART_ARC
(19,21),-0.569537 # DEPENDENCYPART_ARC
(19,22),-1.45092 # DEPENDENCYPART_ARC
(20,17),-1.48722 # DEPENDENCYPART_ARC
(20,18),-0.817383 # DEPENDENCYPART_ARC
(20,19),0.210892 # DEPENDENCYPART_ARC
(20,21),-0.0318886 # DEPENDENCYPART_ARC
(20,22),-1.35649 # DEPENDENCYPART_ARC
(21,18),-1.78873 # DEPENDENCYPART_ARC
(21,19),-0.785684 # DEPENDENCYPART_ARC
(21,20),-0.648282 # DEPENDENCYPART_ARC
(21,22),0.613245 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0203409 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.096477 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.183763 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.182061 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.122833 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.034286 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.182061 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0203409 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.225364 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.416889 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.416889 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0871369 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.408609 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.140416 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0469835 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0665231 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.140416 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.129028 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.4829 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.133324 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.426203 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.121634 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.113517 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.204725 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.121634 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.104479 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.490675 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0560259 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.0560259 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.961003 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.231992 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0508961 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.961003 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.2934 # DEPENDENCYPART_SIBL
(0,4),(0,14),-1.54348 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.00340287 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.00340287 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0534896 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0314775 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.747338 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.238729 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.943713 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0494213 # DEPENDENCYPART_SIBL
(0,6),(0,22),0.0494213 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.389576 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0844966 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0649791 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.302645 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0184042 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.0184042 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.182061 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0203523 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.228496 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.416901 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.416901 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.238729 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.943713 # DEPENDENCYPART_SIBL
(0,10),(0,17),0.0494213 # DEPENDENCYPART_SIBL
(0,10),(0,22),0.0494213 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.4829 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0527541 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.0527541 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.147083 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0451066 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0141743 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.020167 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0766533 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0591212 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0766533 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0209952 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0234542 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0836027 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00941588 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0836027 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00227285 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.250246 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.01133 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.250246 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.30491 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0249569 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.30491 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.00364387 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.252835 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.101003 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.014972 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0749121 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.192835 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00356401 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.147224 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.33186 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.042816 # DEPENDENCYPART_SIBL
(4,1),(4,6),1.77889e-05 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.103119 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0692892 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0354392 # DEPENDENCYPART_SIBL
(4,1),(4,10),1.77889e-05 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0422594 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0512894 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00191079 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0339799 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0378446 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0376915 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0242474 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.00754861 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0259175 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.453426 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.000309531 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00625435 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.118232 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0166834 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00379335 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00625435 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.000856393 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.000848285 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.181764 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0356877 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0107836 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.00635455 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0216441 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0516442 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.05265 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0160731 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0262053 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.130322 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0309785 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0135163 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0262053 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0160675 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0160717 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.505564 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0279078 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.00671901 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0215006 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0101152 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0670591 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0181443 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.24838 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.041571 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.107957 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.106189 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.24838 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.107923 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.111312 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0156244 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0478275 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.107924 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.107217 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.00846141 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.071928 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0158101 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0396717 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0179525 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0157686 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.244861 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0179405 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0179411 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00281093 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0540318 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0179411 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0203756 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.035513 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0252527 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0499296 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0641517 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0613698 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.120052 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0641482 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0641482 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0742136 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0693508 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0641488 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0670613 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0103778 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0325265 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.00194249 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.10427 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.247207 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.106004 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.109393 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0119406 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0517167 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.106005 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.105298 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.00736778 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0682442 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0147164 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.245472 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.114234 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.117623 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00652467 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0450141 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.114235 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.113528 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.00563617 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0627877 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0129848 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0179405 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0179411 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.00281093 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0540318 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0179411 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0203756 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.035513 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0252527 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0499296 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.117998 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0130113 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0478417 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.11461 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.113904 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.00846141 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.0693149 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0158101 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0136256 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0480975 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.114722 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.114016 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.00847292 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0696223 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.0158216 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.122391 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.107093 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.116146 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0953076 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.125896 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0914036 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.033072 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.0303399 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0053897 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.0190925 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.00706103 # DEPENDENCYPART_SIBL
