# _root_ Nakonec zůstala 1 pracovnice , která pracuje více jak 8.5 hodiny denně , ale je také lépe placena .
#goldHeads=2,0,4,2,14,14,14,7,8,9,10,11,14,4,18,18,18,14,0,
#predictedHeads=2,14,4,2,7,7,4,7,10,7,10,7,14,0,14,15,18,15,0,
(0,1),(0,19),-0.105809 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.112989 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0524974 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.288431 # DEPENDENCYPART_SIBL
(0,2),(0,7),-1.47388 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.288431 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.826444 # DEPENDENCYPART_SIBL
(0,2),(0,15),-1.54508 # DEPENDENCYPART_SIBL
(0,2),(0,18),-1.46356 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.00314602 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.34432 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.117088 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.325727 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.117088 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0374152 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.340064 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.317492 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0811574 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.036881 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.200712 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.036881 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.097904 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.233402 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.191801 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.438225 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.411301 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.129028 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0988373 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.4829 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.408609 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.298124 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.826956 # DEPENDENCYPART_SIBL
(0,7),(0,15),-1.5458 # DEPENDENCYPART_SIBL
(0,7),(0,18),-1.46428 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0103325 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0988373 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.4829 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.408609 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.869513 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.826154 # DEPENDENCYPART_SIBL
(0,14),(0,19),0.233903 # DEPENDENCYPART_SIBL
(0,15),(0,18),-1.5655 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0527541 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.00911926 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.01482 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0436772 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0606925 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0089733 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0531499 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0666761 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00608344 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0273181 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0314767 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0606925 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0353356 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.147042 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.056774 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0459595 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00906081 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0113423 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0101979 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0262168 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0501467 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0344686 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.00355449 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.00906081 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0738387 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.002712 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.00573335 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0224727 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0096201 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0421105 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0513862 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0191518 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.100646 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.00609455 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0224727 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.157183 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0122447 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.023832 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0874424 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0491282 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0359829 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.101144 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0920301 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0375353 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.12324 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0836009 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0403968 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0369236 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0031755 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00955815 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0191397 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0591357 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0148455 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.00119023 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0960622 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.00164464 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.00335083 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0564938 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0226632 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0192325 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0457695 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0752507 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.112245 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0601403 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0546032 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0364347 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0175375 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0127573 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0709914 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0754732 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0264671 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.021591 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0599769 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0173082 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0146852 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0860644 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.016454 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0194871 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0104677 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0121539 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.150993 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.00519908 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.00638819 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0127301 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0355525 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.00958524 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0144562 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0836009 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0403968 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0369236 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0225144 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.0584704 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0548859 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0197492 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0295035 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0499055 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.124707 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.015804 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00542678 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.271884 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.132963 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.000472798 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.105038 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0281831 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0102422 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00155345 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00918192 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0360545 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00730679 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.000472798 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0510603 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.062965 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0488717 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.120645 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00593563 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.109215 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0264945 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0462012 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.046836 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.111142 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0622193 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0237605 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.00593563 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0702761 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.00746363 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.01419 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0698299 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.105806 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00623197 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0434734 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.018928 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0245519 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0434237 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0153955 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0698299 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0735704 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0153902 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0164407 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.069544 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00655567 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0649377 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0873147 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0146958 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00918446 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0673817 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0053964 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0111029 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0336167 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0148915 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0090447 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00484418 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00279104 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0446165 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0159518 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00617343 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0200304 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.00303421 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0444374 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0151054 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0207726 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00605366 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.015206 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.00607526 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.00675543 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0231299 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.146852 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.281635 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.261064 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.000221423 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0128136 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0376174 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.00428051 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0527361 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.038587 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0494851 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0205419 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.00136837 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0197614 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.00637659 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00109649 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0431723 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.050542 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0213498 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0237077 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0342853 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.10139 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0689646 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0211036 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.00845915 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0185339 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0372497 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.119223 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.00390716 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.00734482 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0595078 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0352929 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0317655 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0028223 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0111029 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0336167 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0148915 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.030442 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0237176 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.280114 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.095202 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.046023 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00805899 # DEPENDENCYPART_SIBL
(5,1),(5,7),-8.63218e-05 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.16705 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0347309 # DEPENDENCYPART_SIBL
