# _root_ Náš brankář Hnilička inteligentní není a přesně to , co navrhoval agent Winter Hrbkovi , udělal .
#goldHeads=2,3,6,5,6,0,8,16,11,11,8,13,11,11,11,6,0,
#predictedHeads=2,3,5,3,6,0,8,16,11,11,8,14,14,11,11,6,0,
(6,1),-0.677423 # DEPENDENCYPART_ARC
(6,2),-0.524451 # DEPENDENCYPART_ARC
(6,3),-0.619464 # DEPENDENCYPART_ARC
(6,4),-0.482535 # DEPENDENCYPART_ARC
(6,5),1.54415 # DEPENDENCYPART_ARC
(6,7),-0.331935 # DEPENDENCYPART_ARC
(6,8),-1.22852 # DEPENDENCYPART_ARC
(6,9),-0.708435 # DEPENDENCYPART_ARC
(6,11),0.172456 # DEPENDENCYPART_ARC
(6,12),-1.76551 # DEPENDENCYPART_ARC
(6,13),-2.2491 # DEPENDENCYPART_ARC
(6,14),-2.35474 # DEPENDENCYPART_ARC
(6,15),-0.592099 # DEPENDENCYPART_ARC
(6,16),-1.61251 # DEPENDENCYPART_ARC
(6,17),-1.67431 # DEPENDENCYPART_ARC
(7,6),-0.612974 # DEPENDENCYPART_ARC
(7,8),-1.17552 # DEPENDENCYPART_ARC
(7,9),-1.51114 # DEPENDENCYPART_ARC
(7,14),-3.68095 # DEPENDENCYPART_ARC
(7,16),-2.86283 # DEPENDENCYPART_ARC
(8,2),-1.74214 # DEPENDENCYPART_ARC
(8,3),-1.80916 # DEPENDENCYPART_ARC
(8,4),-2.45231 # DEPENDENCYPART_ARC
(8,5),-0.847522 # DEPENDENCYPART_ARC
(8,6),0.709941 # DEPENDENCYPART_ARC
(8,7),0.27014 # DEPENDENCYPART_ARC
(8,9),-0.757009 # DEPENDENCYPART_ARC
(8,10),-1.05072 # DEPENDENCYPART_ARC
(8,11),-0.97459 # DEPENDENCYPART_ARC
(8,12),-1.90411 # DEPENDENCYPART_ARC
(8,13),-2.10289 # DEPENDENCYPART_ARC
(8,15),-0.819343 # DEPENDENCYPART_ARC
(8,16),-1.89133 # DEPENDENCYPART_ARC
(8,17),-1.27784 # DEPENDENCYPART_ARC
(9,2),-1.80678 # DEPENDENCYPART_ARC
(9,3),-1.80819 # DEPENDENCYPART_ARC
(9,4),-2.12147 # DEPENDENCYPART_ARC
(9,5),-0.736256 # DEPENDENCYPART_ARC
(9,6),-0.762977 # DEPENDENCYPART_ARC
(9,7),-1.25006 # DEPENDENCYPART_ARC
(9,8),-1.06533 # DEPENDENCYPART_ARC
(9,10),-1.20627 # DEPENDENCYPART_ARC
(9,11),-0.974584 # DEPENDENCYPART_ARC
(9,12),-2.05488 # DEPENDENCYPART_ARC
(9,13),-2.26815 # DEPENDENCYPART_ARC
(9,14),-2.42879 # DEPENDENCYPART_ARC
(9,15),-0.746514 # DEPENDENCYPART_ARC
(9,16),-2.27169 # DEPENDENCYPART_ARC
(10,9),-0.995231 # DEPENDENCYPART_ARC
(10,11),-1.30103 # DEPENDENCYPART_ARC
(10,12),-1.30466 # DEPENDENCYPART_ARC
(10,13),-1.59257 # DEPENDENCYPART_ARC
(10,14),-1.42232 # DEPENDENCYPART_ARC
(11,2),-1.3449 # DEPENDENCYPART_ARC
(11,3),-1.64967 # DEPENDENCYPART_ARC
(11,4),-1.44901 # DEPENDENCYPART_ARC
(11,5),-1.89993 # DEPENDENCYPART_ARC
(11,6),-1.61902 # DEPENDENCYPART_ARC
(11,7),-0.120772 # DEPENDENCYPART_ARC
(11,8),-0.859318 # DEPENDENCYPART_ARC
(11,9),0.769595 # DEPENDENCYPART_ARC
(11,10),1.42199 # DEPENDENCYPART_ARC
(11,12),1.48774 # DEPENDENCYPART_ARC
(11,13),0.684487 # DEPENDENCYPART_ARC
(11,14),0.452416 # DEPENDENCYPART_ARC
(11,15),0.280419 # DEPENDENCYPART_ARC
(11,16),-2.50461 # DEPENDENCYPART_ARC
(11,17),-1.15458 # DEPENDENCYPART_ARC
(12,7),-1.85949 # DEPENDENCYPART_ARC
(12,13),-0.594267 # DEPENDENCYPART_ARC
(12,14),-2.46578 # DEPENDENCYPART_ARC
(12,15),-1.21919 # DEPENDENCYPART_ARC
(12,16),-2.09782 # DEPENDENCYPART_ARC
(13,12),2.09812 # DEPENDENCYPART_ARC
(13,14),-1.51374 # DEPENDENCYPART_ARC
(13,15),-1.18395 # DEPENDENCYPART_ARC
(13,16),-1.57394 # DEPENDENCYPART_ARC
(13,17),-1.2225 # DEPENDENCYPART_ARC
(14,3),-1.80709 # DEPENDENCYPART_ARC
(14,12),1.54145 # DEPENDENCYPART_ARC
(14,13),1.04318 # DEPENDENCYPART_ARC
(14,15),-1.34967 # DEPENDENCYPART_ARC
(14,16),-1.49123 # DEPENDENCYPART_ARC
(14,17),-1.66189 # DEPENDENCYPART_ARC
(15,2),-2.07244 # DEPENDENCYPART_ARC
(15,4),-2.58661 # DEPENDENCYPART_ARC
(15,5),-0.673927 # DEPENDENCYPART_ARC
(15,6),-0.59028 # DEPENDENCYPART_ARC
(15,8),-1.45535 # DEPENDENCYPART_ARC
(15,9),-0.72763 # DEPENDENCYPART_ARC
(15,11),-0.476747 # DEPENDENCYPART_ARC
(15,12),-0.816777 # DEPENDENCYPART_ARC
(15,13),-1.26503 # DEPENDENCYPART_ARC
(15,14),-1.2173 # DEPENDENCYPART_ARC
(15,16),-0.755777 # DEPENDENCYPART_ARC
(15,17),-1.16033 # DEPENDENCYPART_ARC
(16,2),-1.02997 # DEPENDENCYPART_ARC
(16,3),-1.18215 # DEPENDENCYPART_ARC
(16,4),-1.56979 # DEPENDENCYPART_ARC
(16,5),-2.03595 # DEPENDENCYPART_ARC
(16,6),-0.947391 # DEPENDENCYPART_ARC
(16,7),-0.900791 # DEPENDENCYPART_ARC
(16,8),-1.18022 # DEPENDENCYPART_ARC
(16,9),-0.507326 # DEPENDENCYPART_ARC
(16,10),-0.0980506 # DEPENDENCYPART_ARC
(16,11),-1.19062 # DEPENDENCYPART_ARC
(16,12),-0.173896 # DEPENDENCYPART_ARC
(16,13),0.118631 # DEPENDENCYPART_ARC
(16,14),0.0451307 # DEPENDENCYPART_ARC
(16,15),-0.251184 # DEPENDENCYPART_ARC
(16,17),-0.417702 # DEPENDENCYPART_ARC
(0,2),(0,3),0.03688 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.156422 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.208755 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.18216 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.227102 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0939897 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0213149 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0669053 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.182235 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0213149 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.188255 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.417845 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.156496 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.208682 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.182061 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.227177 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0940625 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0203409 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0669781 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.182162 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0203409 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.188182 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.416889 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.382036 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.227047 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.202399 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0462482 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0776665 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0115084 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.360541 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0776665 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.362195 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.302872 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.970676 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.192594 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.20437 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.294792 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.257764 # DEPENDENCYPART_SIBL
(0,5),(0,11),-1.4713 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.294792 # DEPENDENCYPART_SIBL
(0,5),(0,16),-1.47478 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0180418 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.00229401 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0416379 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.238729 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0474541 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.898665 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.238729 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.900392 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0494213 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.306603 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.165883 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.318061 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.29712 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.165883 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.298774 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.111674 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.00322126 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.213573 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.362825 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.00322126 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.36448 # DEPENDENCYPART_SIBL
(0,8),(0,17),0.00774574 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.0680893 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.408612 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.411023 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.322996 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0807558 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.32465 # DEPENDENCYPART_SIBL
(0,10),(0,17),0.137651 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.300405 # DEPENDENCYPART_SIBL
(0,11),(0,16),-1.46825 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.013211 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.411023 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0616091 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0721868 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0774125 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00384664 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0110322 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0327138 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00121031 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.014065 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00279736 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00895061 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.255986 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.10225 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0772545 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00395225 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0364036 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.045318 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.069306 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0451347 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0111378 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00174938 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00129801 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00778299 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0147658 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0274169 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0154328 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00606386 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00244732 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.115543 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.011727 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0810933 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0154936 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00930064 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.250913 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0135467 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0272382 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0162755 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.255734 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00242033 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0343875 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0177553 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0140398 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00279745 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0518332 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.000237964 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0406961 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.00204827 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0127723 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.136211 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.136216 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0125039 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0333867 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0266217 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0177597 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.120361 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0164393 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00821399 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0443272 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0207496 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0174615 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00982669 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0425711 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0207004 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.219856 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00015642 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0317076 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0441589 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0864871 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0211748 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.245523 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.202231 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0458573 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0523404 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.163462 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0730756 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0754061 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.100969 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.099596 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.099596 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0730756 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.196824 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0382242 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0451375 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.157966 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0728243 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0709816 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0904443 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0890716 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0890716 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0728243 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0211579 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0931586 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0745919 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0550285 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.102847 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.081176 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0804784 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0804784 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0550285 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0136622 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.117438 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0129301 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0302436 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.00379936 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.00237148 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.00203715 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0129301 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0492667 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0104496 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0640488 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0763202 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0730843 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0745538 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0104496 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.127306 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0209996 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.113538 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.102745 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.104214 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.127306 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.100397 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0918194 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0950548 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0935853 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.11678 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0739423 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0709544 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0724239 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.058091 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.166207 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.164738 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.013978 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.164606 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0125684 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0120315 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.000280783 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.000274418 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.00469871 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0789538 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0452411 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0306418 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0124669 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0279207 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0152031 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.015566 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.015566 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0124669 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.000592799 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.138032 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.015284 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.266451 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.038083 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0322123 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0173741 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0253676 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0224439 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0453795 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0460765 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0460765 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0253676 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0457241 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0865504 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.263709 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0381686 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0304313 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0172925 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0305579 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.023427 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0480964 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0487934 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0487934 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0305579 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0467072 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0855908 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.000252482 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0810006 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.112147 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0293318 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.215334 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0021046 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0021155 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0021155 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0293318 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.238862 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.121909 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0499799 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.117175 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.00886651 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.48891 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.143468 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.14337 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.14337 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.00886651 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.428873 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.02023 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.107408 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00855209 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.220706 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0150699 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0150699 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0150699 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.00855209 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.225022 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0860389 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0823108 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.438174 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0491596 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0529359 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0529359 # DEPENDENCYPART_SIBL
