# _root_ To má za následek , že k fixaci neutrálních mutací dochází vždy konstantní rychlostí , závislou na rychlosti vzniku nových mutací a nezávislou na velikosti populace .
#goldHeads=2,0,2,3,6,2,11,7,10,8,6,11,14,11,22,22,16,17,18,21,19,14,22,23,24,25,0,
#predictedHeads=2,0,2,3,6,2,11,7,10,8,6,11,14,11,16,14,16,17,18,21,19,16,22,23,24,25,0,
(16,27),-1.09167 # DEPENDENCYPART_ARC
(17,15),-0.993032 # DEPENDENCYPART_ARC
(17,18),2.11179 # DEPENDENCYPART_ARC
(17,19),-2.64597 # DEPENDENCYPART_ARC
(17,20),-3.63248 # DEPENDENCYPART_ARC
(17,21),-3.4877 # DEPENDENCYPART_ARC
(17,22),-1.43304 # DEPENDENCYPART_ARC
(18,13),-0.987772 # DEPENDENCYPART_ARC
(18,16),0.228622 # DEPENDENCYPART_ARC
(18,17),-0.248623 # DEPENDENCYPART_ARC
(18,19),1.79777 # DEPENDENCYPART_ARC
(18,20),-1.30684 # DEPENDENCYPART_ARC
(18,21),-0.465342 # DEPENDENCYPART_ARC
(18,22),-0.270441 # DEPENDENCYPART_ARC
(18,23),-1.72644 # DEPENDENCYPART_ARC
(18,24),-0.780976 # DEPENDENCYPART_ARC
(18,25),-2.87943 # DEPENDENCYPART_ARC
(18,26),-0.863113 # DEPENDENCYPART_ARC
(19,16),-2.7104 # DEPENDENCYPART_ARC
(19,17),-0.924715 # DEPENDENCYPART_ARC
(19,18),-3.17557 # DEPENDENCYPART_ARC
(19,20),-1.68141 # DEPENDENCYPART_ARC
(19,21),0.782597 # DEPENDENCYPART_ARC
(19,22),-0.460799 # DEPENDENCYPART_ARC
(19,23),-3.16985 # DEPENDENCYPART_ARC
(19,24),-0.938345 # DEPENDENCYPART_ARC
(19,25),-2.60523 # DEPENDENCYPART_ARC
(19,26),-1.12029 # DEPENDENCYPART_ARC
(20,17),-1.35085 # DEPENDENCYPART_ARC
(20,18),-2.5745 # DEPENDENCYPART_ARC
(20,19),-1.40175 # DEPENDENCYPART_ARC
(20,21),-1.43059 # DEPENDENCYPART_ARC
(20,24),-0.986755 # DEPENDENCYPART_ARC
(20,25),-2.62069 # DEPENDENCYPART_ARC
(21,18),-3.59689 # DEPENDENCYPART_ARC
(21,19),-2.1438 # DEPENDENCYPART_ARC
(21,20),2.2394 # DEPENDENCYPART_ARC
(21,23),-3.40404 # DEPENDENCYPART_ARC
(21,26),-1.95195 # DEPENDENCYPART_ARC
(22,1),-1.82192 # DEPENDENCYPART_ARC
(22,2),-1.17119 # DEPENDENCYPART_ARC
(22,3),-1.19029 # DEPENDENCYPART_ARC
(22,4),-0.8091 # DEPENDENCYPART_ARC
(22,5),-0.794055 # DEPENDENCYPART_ARC
(22,6),-0.276175 # DEPENDENCYPART_ARC
(22,7),-1.15217 # DEPENDENCYPART_ARC
(22,8),-1.12611 # DEPENDENCYPART_ARC
(22,9),-2.62695 # DEPENDENCYPART_ARC
(22,10),-1.00328 # DEPENDENCYPART_ARC
(22,11),-0.495757 # DEPENDENCYPART_ARC
(22,12),-0.797645 # DEPENDENCYPART_ARC
(22,13),-1.89199 # DEPENDENCYPART_ARC
(22,14),0.118625 # DEPENDENCYPART_ARC
(22,15),0.521441 # DEPENDENCYPART_ARC
(22,16),-1.20536 # DEPENDENCYPART_ARC
(22,17),-0.701187 # DEPENDENCYPART_ARC
(22,18),-0.1915 # DEPENDENCYPART_ARC
(22,19),-0.2573 # DEPENDENCYPART_ARC
(22,20),-0.251437 # DEPENDENCYPART_ARC
(22,21),1.64511 # DEPENDENCYPART_ARC
(22,23),0.0424949 # DEPENDENCYPART_ARC
(22,24),-0.143834 # DEPENDENCYPART_ARC
(22,25),-0.817542 # DEPENDENCYPART_ARC
(22,26),-0.630484 # DEPENDENCYPART_ARC
(22,27),-1.15415 # DEPENDENCYPART_ARC
(23,24),0.23445 # DEPENDENCYPART_ARC
(23,25),-3.10467 # DEPENDENCYPART_ARC
(23,26),-3.62057 # DEPENDENCYPART_ARC
(23,27),-0.992292 # DEPENDENCYPART_ARC
(24,23),-1.89923 # DEPENDENCYPART_ARC
(24,25),2.20186 # DEPENDENCYPART_ARC
(24,26),-2.45513 # DEPENDENCYPART_ARC
(24,27),-1.5386 # DEPENDENCYPART_ARC
(25,20),-3.37897 # DEPENDENCYPART_ARC
(25,23),-0.11878 # DEPENDENCYPART_ARC
(25,24),-0.256831 # DEPENDENCYPART_ARC
(25,26),1.82461 # DEPENDENCYPART_ARC
(25,27),-0.939362 # DEPENDENCYPART_ARC
(26,18),-4.5107 # DEPENDENCYPART_ARC
(26,19),-3.87442 # DEPENDENCYPART_ARC
(26,21),-4.29584 # DEPENDENCYPART_ARC
(26,23),-1.75893 # DEPENDENCYPART_ARC
(26,24),-1.43419 # DEPENDENCYPART_ARC
(26,25),-2.17376 # DEPENDENCYPART_ARC
(26,27),-0.856679 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.39847 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.352486 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.327245 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.00322126 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.164979 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.365251 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.00322126 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0729222 # DEPENDENCYPART_SIBL
(0,1),(0,27),0.00774574 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.18943 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.047616 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.265752 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.637713 # DEPENDENCYPART_SIBL
(0,2),(0,11),-1.47691 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.265752 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.961947 # DEPENDENCYPART_SIBL
(0,2),(0,27),0.0534672 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.240538 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0805515 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.147372 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.330645 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0805515 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.0918597 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.211521 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0204923 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0261585 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.186121 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0204923 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.182115 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.416966 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.00123668 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.415778 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.140416 # DEPENDENCYPART_SIBL
(0,5),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.864067 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.326921 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.708252 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.107484 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.334218 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.973459 # DEPENDENCYPART_SIBL
(0,11),(0,27),-0.0515203 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.140416 # DEPENDENCYPART_SIBL
(0,15),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,22),(0,27),0.0494213 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0178253 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00463629 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.254117 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00766773 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0512195 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.192582 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.064884 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.108336 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0144384 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0729942 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0148301 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.10203 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.121222 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.101823 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00446673 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.121719 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0666948 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0144384 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0115506 # DEPENDENCYPART_SIBL
(2,1),(2,26),-0.0890732 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0764387 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0154194 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.102379 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.136547 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0856795 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00443157 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0868739 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0922734 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0321594 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.118949 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0154194 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.00564342 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.0981046 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0166564 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.137974 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0853668 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.146603 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0539159 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.147952 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0215249 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0929594 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.136713 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0166564 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.221444 # DEPENDENCYPART_SIBL
(2,4),(2,26),-0.151375 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0601801 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.18169 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.156181 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.115761 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.156957 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.125845 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.114051 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.145107 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.117803 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.140946 # DEPENDENCYPART_SIBL
(2,5),(2,26),-0.149323 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.307455 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.23232 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.219157 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.232279 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.202237 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.179545 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.22124 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0322519 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.382994 # DEPENDENCYPART_SIBL
(2,6),(2,26),-0.230662 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0571217 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0149446 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0594457 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0409087 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.029497 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0915207 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0602736 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0486475 # DEPENDENCYPART_SIBL
(2,7),(2,26),0.0706764 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0546873 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.148281 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0222512 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0933212 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.137042 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0161512 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.222162 # DEPENDENCYPART_SIBL
(2,8),(2,26),-0.151704 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.131432 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0473514 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.106726 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.120436 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0398837 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.0519163 # DEPENDENCYPART_SIBL
(2,9),(2,26),-0.129908 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0206084 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0916572 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.135547 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.019975 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.220498 # DEPENDENCYPART_SIBL
(2,10),(2,26),-0.150209 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.00230492 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.00681925 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0634286 # DEPENDENCYPART_SIBL
(2,11),(2,22),-0.0856451 # DEPENDENCYPART_SIBL
(2,11),(2,26),-0.00246753 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.120056 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0170157 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.0978451 # DEPENDENCYPART_SIBL
(2,12),(2,26),0.106548 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.0151511 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.222147 # DEPENDENCYPART_SIBL
(2,14),(2,26),-0.151234 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.140946 # DEPENDENCYPART_SIBL
(2,15),(2,26),-0.149323 # DEPENDENCYPART_SIBL
(2,22),(2,26),-0.0689453 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0972563 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.03128 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0290319 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0951109 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.238494 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.9789 # DEPENDENCYPART_SIBL
(3,4),(3,8),-1.35929 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.31813 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.544032 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.598493 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.332806 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.132296 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0242261 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0267335 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0712689 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0548126 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.078202 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0220148 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0545859 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0545858 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.184249 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0029616 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.191361 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0521046 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.117442 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0590611 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0379598 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.123472 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.123472 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0586584 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.21516 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0301331 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.120951 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0359719 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0815159 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.121601 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.120724 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00955641 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0091003 # DEPENDENCYPART_SIBL
