# _root_ Tuto sumu obdržely dvakrát : jednorázově po volbách a pak , na základě roční zprávy o hospodaření , rozdělenou do čtyřletých částek .
#goldHeads=2,3,0,5,3,8,9,7,5,9,13,13,19,15,13,15,16,13,10,19,22,20,0,
#predictedHeads=2,3,9,5,3,9,3,7,0,9,13,13,9,15,13,15,16,19,15,19,22,20,0,
(3,22),-3.3113 # DEPENDENCYPART_ARC
(4,5),-0.286917 # DEPENDENCYPART_ARC
(5,1),-0.780577 # DEPENDENCYPART_ARC
(5,2),-0.684427 # DEPENDENCYPART_ARC
(5,3),-0.449691 # DEPENDENCYPART_ARC
(5,4),0.539265 # DEPENDENCYPART_ARC
(5,6),-0.636403 # DEPENDENCYPART_ARC
(5,7),-0.632058 # DEPENDENCYPART_ARC
(5,8),-1.48016 # DEPENDENCYPART_ARC
(5,9),-0.26822 # DEPENDENCYPART_ARC
(5,10),-1.17209 # DEPENDENCYPART_ARC
(5,11),-0.985691 # DEPENDENCYPART_ARC
(5,12),-1.35621 # DEPENDENCYPART_ARC
(5,13),-2.33655 # DEPENDENCYPART_ARC
(5,14),-1.76147 # DEPENDENCYPART_ARC
(5,15),-2.45609 # DEPENDENCYPART_ARC
(5,16),-1.54882 # DEPENDENCYPART_ARC
(5,18),-1.26262 # DEPENDENCYPART_ARC
(6,1),-2.33769 # DEPENDENCYPART_ARC
(6,2),-2.45999 # DEPENDENCYPART_ARC
(6,3),-2.08589 # DEPENDENCYPART_ARC
(6,5),-0.450372 # DEPENDENCYPART_ARC
(6,7),-0.577933 # DEPENDENCYPART_ARC
(6,8),-1.43171 # DEPENDENCYPART_ARC
(6,9),-0.711876 # DEPENDENCYPART_ARC
(6,10),-1.75405 # DEPENDENCYPART_ARC
(6,11),-1.1676 # DEPENDENCYPART_ARC
(6,12),-1.6881 # DEPENDENCYPART_ARC
(6,13),-2.72746 # DEPENDENCYPART_ARC
(6,15),-2.02761 # DEPENDENCYPART_ARC
(7,2),-3.52937 # DEPENDENCYPART_ARC
(7,5),-0.867215 # DEPENDENCYPART_ARC
(7,6),-1.47673 # DEPENDENCYPART_ARC
(7,8),3.11163 # DEPENDENCYPART_ARC
(7,9),-0.361195 # DEPENDENCYPART_ARC
(7,11),-1.15857 # DEPENDENCYPART_ARC
(7,13),-1.08552 # DEPENDENCYPART_ARC
(8,3),-2.81021 # DEPENDENCYPART_ARC
(8,5),-0.974584 # DEPENDENCYPART_ARC
(8,6),-0.575855 # DEPENDENCYPART_ARC
(8,7),-1.08192 # DEPENDENCYPART_ARC
(8,9),-1.10593 # DEPENDENCYPART_ARC
(9,1),-0.589806 # DEPENDENCYPART_ARC
(9,2),-0.560424 # DEPENDENCYPART_ARC
(9,3),0.654528 # DEPENDENCYPART_ARC
(9,4),-0.93422 # DEPENDENCYPART_ARC
(9,5),-0.741214 # DEPENDENCYPART_ARC
(9,6),-0.0288322 # DEPENDENCYPART_ARC
(9,7),-0.367044 # DEPENDENCYPART_ARC
(9,8),-0.0376146 # DEPENDENCYPART_ARC
(9,10),0.805687 # DEPENDENCYPART_ARC
(9,11),-0.780368 # DEPENDENCYPART_ARC
(9,12),-0.483134 # DEPENDENCYPART_ARC
(9,13),-0.653814 # DEPENDENCYPART_ARC
(9,14),-1.4788 # DEPENDENCYPART_ARC
(9,15),-0.88908 # DEPENDENCYPART_ARC
(9,16),-1.09539 # DEPENDENCYPART_ARC
(9,17),-1.68076 # DEPENDENCYPART_ARC
(9,18),-1.05229 # DEPENDENCYPART_ARC
(9,19),-2.35477 # DEPENDENCYPART_ARC
(9,20),-1.26954 # DEPENDENCYPART_ARC
(9,22),-1.83418 # DEPENDENCYPART_ARC
(9,23),-1.83046 # DEPENDENCYPART_ARC
(10,2),-2.91268 # DEPENDENCYPART_ARC
(10,3),-2.36708 # DEPENDENCYPART_ARC
(10,6),-2.05034 # DEPENDENCYPART_ARC
(10,7),-1.90796 # DEPENDENCYPART_ARC
(10,8),-2.1562 # DEPENDENCYPART_ARC
(10,9),-0.806553 # DEPENDENCYPART_ARC
(10,11),-1.01123 # DEPENDENCYPART_ARC
(10,12),-2.16375 # DEPENDENCYPART_ARC
(10,13),-2.82757 # DEPENDENCYPART_ARC
(11,1),-1.70721 # DEPENDENCYPART_ARC
(11,2),-1.99963 # DEPENDENCYPART_ARC
(11,3),-0.64025 # DEPENDENCYPART_ARC
(11,5),-1.16592 # DEPENDENCYPART_ARC
(11,6),-1.17345 # DEPENDENCYPART_ARC
(11,7),-0.541596 # DEPENDENCYPART_ARC
(11,8),-1.25191 # DEPENDENCYPART_ARC
(11,9),-0.934417 # DEPENDENCYPART_ARC
(11,10),-0.468441 # DEPENDENCYPART_ARC
(11,12),-0.06646 # DEPENDENCYPART_ARC
(11,13),-1.1843 # DEPENDENCYPART_ARC
(11,14),-1.25432 # DEPENDENCYPART_ARC
(11,15),-1.79949 # DEPENDENCYPART_ARC
(11,16),-1.45309 # DEPENDENCYPART_ARC
(11,17),-2.23949 # DEPENDENCYPART_ARC
(11,18),-0.57396 # DEPENDENCYPART_ARC
(11,19),-1.9775 # DEPENDENCYPART_ARC
(11,20),-1.95677 # DEPENDENCYPART_ARC
(11,22),-2.35651 # DEPENDENCYPART_ARC
(11,23),-1.36195 # DEPENDENCYPART_ARC
(12,8),-2.98025 # DEPENDENCYPART_ARC
(12,10),-1.84308 # DEPENDENCYPART_ARC
(12,11),-0.549031 # DEPENDENCYPART_ARC
(12,13),1.05548 # DEPENDENCYPART_ARC
(12,14),-2.99787 # DEPENDENCYPART_ARC
(12,15),-3.4287 # DEPENDENCYPART_ARC
(13,6),-1.36227 # DEPENDENCYPART_ARC
(13,7),-0.441041 # DEPENDENCYPART_ARC
(13,8),-4.40022 # DEPENDENCYPART_ARC
(13,9),-0.637213 # DEPENDENCYPART_ARC
(13,10),-0.503291 # DEPENDENCYPART_ARC
(13,11),-0.346158 # DEPENDENCYPART_ARC
(13,12),1.16248 # DEPENDENCYPART_ARC
(13,14),-1.0742 # DEPENDENCYPART_ARC
(13,15),1.23735 # DEPENDENCYPART_ARC
(13,16),-0.333931 # DEPENDENCYPART_ARC
(13,17),-1.99513 # DEPENDENCYPART_ARC
(13,18),-0.796435 # DEPENDENCYPART_ARC
(13,19),-2.73434 # DEPENDENCYPART_ARC
(13,20),-1.39735 # DEPENDENCYPART_ARC
(13,21),-3.76417 # DEPENDENCYPART_ARC
(13,22),-0.753529 # DEPENDENCYPART_ARC
(14,10),-1.54763 # DEPENDENCYPART_ARC
(14,12),-0.921292 # DEPENDENCYPART_ARC
(14,15),-1.25622 # DEPENDENCYPART_ARC
(14,16),-0.597634 # DEPENDENCYPART_ARC
(14,17),-2.30904 # DEPENDENCYPART_ARC
(14,20),-1.09177 # DEPENDENCYPART_ARC
(15,6),-2.02198 # DEPENDENCYPART_ARC
(15,10),-1.25033 # DEPENDENCYPART_ARC
(15,12),-1.47471 # DEPENDENCYPART_ARC
(15,13),-3.79467 # DEPENDENCYPART_ARC
(15,14),2.46934 # DEPENDENCYPART_ARC
(15,16),0.800333 # DEPENDENCYPART_ARC
(15,17),-1.91154 # DEPENDENCYPART_ARC
(15,19),-1.68989 # DEPENDENCYPART_ARC
(15,20),-1.25943 # DEPENDENCYPART_ARC
(15,22),-1.69232 # DEPENDENCYPART_ARC
(16,15),-3.0173 # DEPENDENCYPART_ARC
(16,17),2.47677 # DEPENDENCYPART_ARC
(16,18),-1.2811 # DEPENDENCYPART_ARC
(16,19),-2.9075 # DEPENDENCYPART_ARC
(16,22),-3.09559 # DEPENDENCYPART_ARC
(17,14),-2.46071 # DEPENDENCYPART_ARC
(17,16),-1.02872 # DEPENDENCYPART_ARC
(17,18),-1.20525 # DEPENDENCYPART_ARC
(17,19),-1.72916 # DEPENDENCYPART_ARC
(17,20),-1.29329 # DEPENDENCYPART_ARC
(17,21),-3.14652 # DEPENDENCYPART_ARC
(17,22),-0.947049 # DEPENDENCYPART_ARC
(17,23),-2.17608 # DEPENDENCYPART_ARC
(18,2),-2.19174 # DEPENDENCYPART_ARC
(18,3),-0.993012 # DEPENDENCYPART_ARC
(18,5),-1.5635 # DEPENDENCYPART_ARC
(18,7),-0.933762 # DEPENDENCYPART_ARC
(18,8),-1.51315 # DEPENDENCYPART_ARC
(18,9),-1.0801 # DEPENDENCYPART_ARC
(18,10),-1.37611 # DEPENDENCYPART_ARC
(18,11),-0.923573 # DEPENDENCYPART_ARC
(18,12),-1.19736 # DEPENDENCYPART_ARC
(18,13),-1.18041 # DEPENDENCYPART_ARC
(18,14),-1.58318 # DEPENDENCYPART_ARC
(18,15),-0.794377 # DEPENDENCYPART_ARC
(18,16),-1.24601 # DEPENDENCYPART_ARC
(18,17),-0.342019 # DEPENDENCYPART_ARC
(18,19),-1.30497 # DEPENDENCYPART_ARC
(18,20),-0.815777 # DEPENDENCYPART_ARC
(18,21),-1.84684 # DEPENDENCYPART_ARC
(18,22),-0.856478 # DEPENDENCYPART_ARC
(18,23),-1.1317 # DEPENDENCYPART_ARC
(19,14),-3.27295 # DEPENDENCYPART_ARC
(19,16),-1.17044 # DEPENDENCYPART_ARC
(19,17),-3.17991 # DEPENDENCYPART_ARC
(19,18),0.519573 # DEPENDENCYPART_ARC
(19,20),0.783914 # DEPENDENCYPART_ARC
(19,21),-2.96386 # DEPENDENCYPART_ARC
(19,22),-2.07358 # DEPENDENCYPART_ARC
(19,23),-0.6637 # DEPENDENCYPART_ARC
(20,18),-0.988825 # DEPENDENCYPART_ARC
(20,19),-2.27368 # DEPENDENCYPART_ARC
(20,21),-0.35628 # DEPENDENCYPART_ARC
(20,22),1.95842 # DEPENDENCYPART_ARC
(20,23),-0.945611 # DEPENDENCYPART_ARC
(21,23),-1.33669 # DEPENDENCYPART_ARC
(22,14),-1.69849 # DEPENDENCYPART_ARC
(22,17),-5.64277 # DEPENDENCYPART_ARC
(22,19),-2.3912 # DEPENDENCYPART_ARC
(22,20),-1.43195 # DEPENDENCYPART_ARC
(22,21),2.14574 # DEPENDENCYPART_ARC
(22,23),-0.714181 # DEPENDENCYPART_ARC
(0,1),(0,2),0.223584 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.409145 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.167176 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0539427 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.133589 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.281241 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.105698 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0787472 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0787472 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0299133 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.185607 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.109581 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.231309 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.139319 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.130846 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.178056 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0204294 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0204294 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.416976 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0882865 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.14913 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.237085 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.17249 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.962228 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.296463 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.296463 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.158181 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.117419 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0764486 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.128044 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0356276 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0356276 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.250618 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.00843374 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.103178 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.309505 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.247035 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.247035 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.138136 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.157958 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.156504 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.154304 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.154304 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.102128 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.220906 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0947225 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0947225 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.339793 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.238729 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.238729 # DEPENDENCYPART_SIBL
(0,9),(0,23),0.0494213 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.129028 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0220867 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00657828 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.141141 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0894785 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0138099 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00510324 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0819025 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0253558 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0552013 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0837506 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0573845 # DEPENDENCYPART_SIBL
(3,1),(3,7),3.3001e-05 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.061955 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0221458 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0560545 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0694903 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0536544 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.098264 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0568322 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0526624 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0568939 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0694903 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.146364 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0574443 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0582632 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.000992701 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0125599 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0122262 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0160441 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0424327 # DEPENDENCYPART_SIBL
(3,2),(3,9),1.77889e-05 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0129813 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.00191453 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0149401 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.125561 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0571125 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.00716401 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0414032 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.00191453 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0387897 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0143196 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0355577 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0601633 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0170796 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0713033 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0514182 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0969299 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0501102 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0284665 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0124539 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.00319352 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.038811 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0357724 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0519416 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0284665 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.048194 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0380159 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.05141 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00977441 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0215384 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0221517 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.123149 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.000104002 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0456619 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00345135 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.021276 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0209303 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0250776 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0227378 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0456619 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.024915 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0533498 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0221426 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.053169 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0251726 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.066312 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0350522 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0256365 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0853304 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0713446 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0370349 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0726184 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0246513 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0256365 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0311192 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0594211 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.025014 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0944769 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.156 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00589648 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0190086 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0974067 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.129162 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0911818 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0293431 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0935928 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0190086 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0342219 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0529105 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0945129 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.248118 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0545528 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0127523 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0244842 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0142562 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.113038 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0098269 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.11582 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0127523 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0165638 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0987191 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.114574 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0409417 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.00281093 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.000774338 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0221169 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0159417 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0479355 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0181531 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.00281093 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0522065 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.00167776 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0176193 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0194423 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.139338 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.122516 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.088328 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.135391 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0759447 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0194423 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0564354 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.124549 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.0763074 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.111434 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0647963 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.106104 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.12169 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.10743 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.124158 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0762757 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.170078 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.106771 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0183165 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0318107 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0376016 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0270768 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0111054 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0662404 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0189191 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.026177 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0845962 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.0255165 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.087378 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0139139 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.00377401 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.119045 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0861313 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0497712 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.0971242 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.0126281 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.0135101 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.141315 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.0958775 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.225987 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.116609 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.20331 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.269803 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.225089 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.0133283 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.0172943 # DEPENDENCYPART_SIBL
(3,17),(3,20),0.0963053 # DEPENDENCYPART_SIBL
(3,17),(3,22),-0.110222 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0762757 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.170078 # DEPENDENCYPART_SIBL
(3,18),(3,22),-0.106771 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.0653268 # DEPENDENCYPART_SIBL
(3,19),(3,22),-0.10715 # DEPENDENCYPART_SIBL
(3,20),(3,22),0.0425467 # DEPENDENCYPART_SIBL
