# _root_ " Turnaj je zařazen do nejnižší kategorie , a proto jsme museli sehnat bydlení do 80 dolarů za noc , což znamenalo v Praze velký problém .
#goldHeads=9,4,4,9,4,7,5,9,0,9,12,20,12,13,14,17,15,17,18,9,22,20,22,23,26,22,0,
#predictedHeads=20,3,9,3,4,7,5,9,0,9,12,9,12,13,13,17,15,17,18,0,22,20,22,23,26,22,0,
(13,2),-1.95321 # DEPENDENCYPART_ARC
(13,3),-3.70085 # DEPENDENCYPART_ARC
(13,4),-3.09736 # DEPENDENCYPART_ARC
(13,5),-1.32669 # DEPENDENCYPART_ARC
(13,7),-3.15641 # DEPENDENCYPART_ARC
(13,9),-1.11115 # DEPENDENCYPART_ARC
(13,10),-0.678321 # DEPENDENCYPART_ARC
(13,11),-1.06691 # DEPENDENCYPART_ARC
(13,12),-1.38678 # DEPENDENCYPART_ARC
(13,14),2.01682 # DEPENDENCYPART_ARC
(13,15),0.455516 # DEPENDENCYPART_ARC
(13,16),-1.22334 # DEPENDENCYPART_ARC
(13,17),-1.20568 # DEPENDENCYPART_ARC
(13,18),-0.345428 # DEPENDENCYPART_ARC
(13,19),-0.527065 # DEPENDENCYPART_ARC
(13,20),-0.943779 # DEPENDENCYPART_ARC
(13,22),-1.85976 # DEPENDENCYPART_ARC
(13,23),-1.49144 # DEPENDENCYPART_ARC
(13,24),-2.6611 # DEPENDENCYPART_ARC
(13,26),-1.31798 # DEPENDENCYPART_ARC
(14,15),0.425137 # DEPENDENCYPART_ARC
(14,16),-0.932584 # DEPENDENCYPART_ARC
(14,17),-0.651819 # DEPENDENCYPART_ARC
(14,18),-0.185894 # DEPENDENCYPART_ARC
(14,19),-3.26714 # DEPENDENCYPART_ARC
(14,22),-1.47458 # DEPENDENCYPART_ARC
(14,23),-1.7881 # DEPENDENCYPART_ARC
(14,25),-1.72493 # DEPENDENCYPART_ARC
(15,14),-2.11951 # DEPENDENCYPART_ARC
(15,16),0.341776 # DEPENDENCYPART_ARC
(15,17),1.91674 # DEPENDENCYPART_ARC
(15,19),-1.63828 # DEPENDENCYPART_ARC
(15,20),-1.15196 # DEPENDENCYPART_ARC
(16,14),-1.77474 # DEPENDENCYPART_ARC
(16,15),-1.20852 # DEPENDENCYPART_ARC
(16,17),1.03316 # DEPENDENCYPART_ARC
(16,18),-0.525017 # DEPENDENCYPART_ARC
(16,19),-1.04752 # DEPENDENCYPART_ARC
(16,22),-1.59385 # DEPENDENCYPART_ARC
(16,23),-1.42947 # DEPENDENCYPART_ARC
(17,14),-4.16879 # DEPENDENCYPART_ARC
(17,16),-0.214111 # DEPENDENCYPART_ARC
(17,18),0.457174 # DEPENDENCYPART_ARC
(17,19),-3.59718 # DEPENDENCYPART_ARC
(17,22),-2.21585 # DEPENDENCYPART_ARC
(17,25),-3.6252 # DEPENDENCYPART_ARC
(17,26),-5.13048 # DEPENDENCYPART_ARC
(18,17),-2.46919 # DEPENDENCYPART_ARC
(18,19),2.63772 # DEPENDENCYPART_ARC
(18,20),-0.652324 # DEPENDENCYPART_ARC
(18,24),-2.52071 # DEPENDENCYPART_ARC
(19,15),-0.881294 # DEPENDENCYPART_ARC
(19,16),-1.441 # DEPENDENCYPART_ARC
(19,17),-3.9255 # DEPENDENCYPART_ARC
(19,18),-0.759927 # DEPENDENCYPART_ARC
(19,20),-1.13593 # DEPENDENCYPART_ARC
(19,22),-0.76177 # DEPENDENCYPART_ARC
(19,23),-2.06631 # DEPENDENCYPART_ARC
(19,24),-2.00832 # DEPENDENCYPART_ARC
(19,25),-2.15269 # DEPENDENCYPART_ARC
(19,26),-3.67424 # DEPENDENCYPART_ARC
(20,1),0.0213921 # DEPENDENCYPART_ARC
(20,3),-1.37468 # DEPENDENCYPART_ARC
(20,4),-1.14383 # DEPENDENCYPART_ARC
(20,5),-1.54276 # DEPENDENCYPART_ARC
(20,8),-0.645949 # DEPENDENCYPART_ARC
(20,9),-0.669339 # DEPENDENCYPART_ARC
(20,10),-0.964123 # DEPENDENCYPART_ARC
(20,11),-0.823689 # DEPENDENCYPART_ARC
(20,12),-0.705608 # DEPENDENCYPART_ARC
(20,13),-0.556079 # DEPENDENCYPART_ARC
(20,14),-0.978691 # DEPENDENCYPART_ARC
(20,15),-1.25296 # DEPENDENCYPART_ARC
(20,16),-1.33546 # DEPENDENCYPART_ARC
(20,17),-0.877238 # DEPENDENCYPART_ARC
(20,18),-1.10589 # DEPENDENCYPART_ARC
(20,19),-0.924354 # DEPENDENCYPART_ARC
(20,22),-0.586208 # DEPENDENCYPART_ARC
(20,23),-1.01065 # DEPENDENCYPART_ARC
(20,24),-1.67294 # DEPENDENCYPART_ARC
(20,25),-1.73883 # DEPENDENCYPART_ARC
(20,26),-1.7709 # DEPENDENCYPART_ARC
(20,27),-0.891435 # DEPENDENCYPART_ARC
(22,1),-0.995763 # DEPENDENCYPART_ARC
(22,2),-1.70067 # DEPENDENCYPART_ARC
(22,9),-1.37501 # DEPENDENCYPART_ARC
(22,10),-0.858807 # DEPENDENCYPART_ARC
(22,11),-1.71801 # DEPENDENCYPART_ARC
(22,12),-4.19397 # DEPENDENCYPART_ARC
(22,13),-0.907068 # DEPENDENCYPART_ARC
(22,14),-0.900166 # DEPENDENCYPART_ARC
(22,15),-1.69581 # DEPENDENCYPART_ARC
(22,16),-1.5028 # DEPENDENCYPART_ARC
(22,17),-2.76159 # DEPENDENCYPART_ARC
(22,18),-1.45154 # DEPENDENCYPART_ARC
(22,19),-1.9376 # DEPENDENCYPART_ARC
(22,20),0.407379 # DEPENDENCYPART_ARC
(22,21),1.87654 # DEPENDENCYPART_ARC
(22,23),1.09954 # DEPENDENCYPART_ARC
(22,24),-1.74784 # DEPENDENCYPART_ARC
(22,25),-1.625 # DEPENDENCYPART_ARC
(22,26),0.299845 # DEPENDENCYPART_ARC
(22,27),-1.02459 # DEPENDENCYPART_ARC
(23,24),2.61396 # DEPENDENCYPART_ARC
(23,25),-2.50952 # DEPENDENCYPART_ARC
(23,26),-3.00475 # DEPENDENCYPART_ARC
(24,23),-0.601569 # DEPENDENCYPART_ARC
(24,25),-2.516 # DEPENDENCYPART_ARC
(24,26),-2.75235 # DEPENDENCYPART_ARC
(24,27),-1.22561 # DEPENDENCYPART_ARC
(25,23),-0.781094 # DEPENDENCYPART_ARC
(25,24),-1.84209 # DEPENDENCYPART_ARC
(25,26),-1.10961 # DEPENDENCYPART_ARC
(26,23),-0.696191 # DEPENDENCYPART_ARC
(26,24),-2.86632 # DEPENDENCYPART_ARC
(26,25),2.84484 # DEPENDENCYPART_ARC
(26,27),-0.735468 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0932986 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.489623 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.434769 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0155064 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0924495 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.159905 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0787619 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.033254 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.444968 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.434798 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.434769 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.159905 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.435272 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.216479 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.226455 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.184854 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.318615 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0453595 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.00708268 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.182085 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0169813 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.188854 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.184869 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.18442 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.00708268 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.184879 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.406512 # DEPENDENCYPART_SIBL
(0,3),(0,4),-1.5655 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.200714 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.114627 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.327514 # DEPENDENCYPART_SIBL
(0,3),(0,9),-1.05835 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.760943 # DEPENDENCYPART_SIBL
(0,3),(0,11),-1.57096 # DEPENDENCYPART_SIBL
(0,3),(0,12),-1.56629 # DEPENDENCYPART_SIBL
(0,3),(0,13),-1.56675 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.327514 # DEPENDENCYPART_SIBL
(0,3),(0,22),-1.5655 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.0527541 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.148967 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0486499 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.287385 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.958597 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.659849 # DEPENDENCYPART_SIBL
(0,4),(0,11),-1.46502 # DEPENDENCYPART_SIBL
(0,4),(0,12),-1.46034 # DEPENDENCYPART_SIBL
(0,4),(0,13),-1.4608 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.287385 # DEPENDENCYPART_SIBL
(0,4),(0,22),-1.45956 # DEPENDENCYPART_SIBL
(0,4),(0,27),0.005017 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.215199 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.105915 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.174474 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.028869 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.385534 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.3799 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.374508 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.105915 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.377623 # DEPENDENCYPART_SIBL
(0,5),(0,27),-0.324816 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0229621 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.18453 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0189586 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.187788 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.183804 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.183354 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0229621 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.183814 # DEPENDENCYPART_SIBL
(0,7),(0,27),-0.419216 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.140416 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0761105 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.417606 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.408667 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.129028 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.409183 # DEPENDENCYPART_SIBL
(0,8),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.369745 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.907845 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.898839 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.898665 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.238729 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.898677 # DEPENDENCYPART_SIBL
(0,9),(0,27),0.0494213 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.74852 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.736245 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.736158 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.125852 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.736165 # DEPENDENCYPART_SIBL
(0,10),(0,27),0.362764 # DEPENDENCYPART_SIBL
(0,11),(0,12),-1.47741 # DEPENDENCYPART_SIBL
(0,11),(0,13),-1.47786 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.3622 # DEPENDENCYPART_SIBL
(0,11),(0,22),-1.47662 # DEPENDENCYPART_SIBL
(0,11),(0,27),-0.0704054 # DEPENDENCYPART_SIBL
(0,12),(0,13),-1.46605 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.304892 # DEPENDENCYPART_SIBL
(0,12),(0,22),-1.46481 # DEPENDENCYPART_SIBL
(0,12),(0,27),-0.0170387 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.303331 # DEPENDENCYPART_SIBL
(0,13),(0,22),-1.46593 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.0172918 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.409183 # DEPENDENCYPART_SIBL
(0,20),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,22),(0,27),-0.0109222 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0138498 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0114652 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.365771 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.041441 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0501307 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0273122 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.020223 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0150099 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00622125 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00363747 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0308166 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0657679 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0105693 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0202218 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00646208 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.050753 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.107885 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0368284 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00106101 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0194233 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0230452 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00473958 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0126071 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0857217 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.143641 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0360266 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00896448 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.141881 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.00206096 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.243035 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.231503 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0480278 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0752368 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0445882 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.125601 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0238445 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.021419 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.04543 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.106568 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0317137 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0437696 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0206931 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.109801 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.130964 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0298319 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.296434 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0669 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0232905 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.00995436 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.134266 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0754063 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0914439 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0789367 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0319851 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0232321 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0106092 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0826715 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0952073 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.231932 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0201342 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.137921 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00235064 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.026438 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0256156 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00706366 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0174513 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0859696 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.174498 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0209135 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0274837 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.00706366 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0583013 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00239558 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0584049 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.065355 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00702887 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0112567 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0403989 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0179388 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0215242 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.032474 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.00702887 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0144584 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00884659 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.019087 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0108478 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0161553 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.097049 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0620201 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0466017 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0516665 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0108478 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0264818 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0235287 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0187136 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.166993 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0102718 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0606806 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0474154 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0326512 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0187136 # DEPENDENCYPART_SIBL
