# _root_ Ženy , které byly donuceny poskytovat sexuální služby japonským vojákům za války , budou odškodněny formou zřízení center pro vzdělávání žen v jednotlivých zemích .
#goldHeads=15,5,5,5,1,5,8,6,10,6,6,11,5,15,0,15,16,17,18,19,20,18,24,22,0,
#predictedHeads=15,5,5,5,1,5,8,6,10,6,10,11,5,15,0,15,16,17,18,19,20,20,24,22,0,
(6,9),-1.22113 # DEPENDENCYPART_ARC
(6,10),0.317786 # DEPENDENCYPART_ARC
(6,11),0.0965696 # DEPENDENCYPART_ARC
(6,12),-1.87219 # DEPENDENCYPART_ARC
(6,13),-0.566208 # DEPENDENCYPART_ARC
(6,14),-1.54225 # DEPENDENCYPART_ARC
(6,16),-1.58949 # DEPENDENCYPART_ARC
(6,17),-2.92311 # DEPENDENCYPART_ARC
(6,18),-2.97988 # DEPENDENCYPART_ARC
(6,19),-1.76711 # DEPENDENCYPART_ARC
(6,20),-2.2322 # DEPENDENCYPART_ARC
(6,21),-3.09268 # DEPENDENCYPART_ARC
(6,22),-1.47855 # DEPENDENCYPART_ARC
(6,24),-2.73402 # DEPENDENCYPART_ARC
(7,1),-4.00313 # DEPENDENCYPART_ARC
(7,6),-0.823573 # DEPENDENCYPART_ARC
(7,8),-1.60046 # DEPENDENCYPART_ARC
(7,9),-1.49678 # DEPENDENCYPART_ARC
(8,2),-1.71343 # DEPENDENCYPART_ARC
(8,3),-2.17571 # DEPENDENCYPART_ARC
(8,4),-1.66162 # DEPENDENCYPART_ARC
(8,5),0.402806 # DEPENDENCYPART_ARC
(8,6),-1.63609 # DEPENDENCYPART_ARC
(8,7),2.33682 # DEPENDENCYPART_ARC
(8,9),-1.09705 # DEPENDENCYPART_ARC
(8,10),-1.4525 # DEPENDENCYPART_ARC
(8,11),-0.560351 # DEPENDENCYPART_ARC
(8,12),-1.00315 # DEPENDENCYPART_ARC
(8,13),-1.40082 # DEPENDENCYPART_ARC
(8,14),-2.43195 # DEPENDENCYPART_ARC
(8,15),-1.3904 # DEPENDENCYPART_ARC
(8,19),-1.10938 # DEPENDENCYPART_ARC
(8,22),-1.31036 # DEPENDENCYPART_ARC
(9,1),-4.53561 # DEPENDENCYPART_ARC
(9,7),-3.16113 # DEPENDENCYPART_ARC
(9,8),-2.42183 # DEPENDENCYPART_ARC
(9,10),-0.594867 # DEPENDENCYPART_ARC
(9,11),-0.349411 # DEPENDENCYPART_ARC
(9,12),-2.49095 # DEPENDENCYPART_ARC
(9,14),-2.94031 # DEPENDENCYPART_ARC
(10,3),-3.37075 # DEPENDENCYPART_ARC
(10,5),-2.00996 # DEPENDENCYPART_ARC
(10,7),-2.63764 # DEPENDENCYPART_ARC
(10,8),-3.91937 # DEPENDENCYPART_ARC
(10,9),2.17958 # DEPENDENCYPART_ARC
(10,11),0.152591 # DEPENDENCYPART_ARC
(10,12),-0.34581 # DEPENDENCYPART_ARC
(10,13),-1.29021 # DEPENDENCYPART_ARC
(10,14),-2.34835 # DEPENDENCYPART_ARC
(10,15),-1.96112 # DEPENDENCYPART_ARC
(10,19),-1.72447 # DEPENDENCYPART_ARC
(11,10),-2.85091 # DEPENDENCYPART_ARC
(11,12),2.1026 # DEPENDENCYPART_ARC
(11,13),-1.02219 # DEPENDENCYPART_ARC
(11,14),-1.85307 # DEPENDENCYPART_ARC
(11,16),-2.64985 # DEPENDENCYPART_ARC
(12,8),-4.49121 # DEPENDENCYPART_ARC
(12,9),-3.99358 # DEPENDENCYPART_ARC
(12,10),-2.95688 # DEPENDENCYPART_ARC
(12,11),-0.726915 # DEPENDENCYPART_ARC
(12,14),-2.30861 # DEPENDENCYPART_ARC
(12,15),-1.95681 # DEPENDENCYPART_ARC
(12,16),-3.67267 # DEPENDENCYPART_ARC
(12,17),-1.34517 # DEPENDENCYPART_ARC
(13,1),-2.47376 # DEPENDENCYPART_ARC
(13,2),-1.13606 # DEPENDENCYPART_ARC
(13,4),-1.21139 # DEPENDENCYPART_ARC
(13,5),-0.8414 # DEPENDENCYPART_ARC
(13,6),-0.704488 # DEPENDENCYPART_ARC
(13,7),-1.94437 # DEPENDENCYPART_ARC
(13,8),-1.53496 # DEPENDENCYPART_ARC
(13,9),-1.86554 # DEPENDENCYPART_ARC
(13,10),-1.09471 # DEPENDENCYPART_ARC
(13,11),-1.30341 # DEPENDENCYPART_ARC
(13,12),-1.41174 # DEPENDENCYPART_ARC
(13,14),-0.821533 # DEPENDENCYPART_ARC
(13,15),-1.41786 # DEPENDENCYPART_ARC
(13,16),-2.09829 # DEPENDENCYPART_ARC
(13,17),-2.22426 # DEPENDENCYPART_ARC
(13,18),-2.54136 # DEPENDENCYPART_ARC
(14,1),-2.59624 # DEPENDENCYPART_ARC
(14,2),-3.12733 # DEPENDENCYPART_ARC
(14,3),-3.55796 # DEPENDENCYPART_ARC
(14,4),-4.65612 # DEPENDENCYPART_ARC
(14,5),-3.95155 # DEPENDENCYPART_ARC
(14,6),-2.51811 # DEPENDENCYPART_ARC
(14,8),-2.57769 # DEPENDENCYPART_ARC
(14,9),-2.50916 # DEPENDENCYPART_ARC
(14,10),-2.22509 # DEPENDENCYPART_ARC
(14,11),-1.87841 # DEPENDENCYPART_ARC
(14,12),-4.65077 # DEPENDENCYPART_ARC
(14,13),-1.64259 # DEPENDENCYPART_ARC
(14,15),0.0454204 # DEPENDENCYPART_ARC
(14,16),-1.16551 # DEPENDENCYPART_ARC
(14,17),-3.34247 # DEPENDENCYPART_ARC
(14,18),-3.07557 # DEPENDENCYPART_ARC
(14,19),-1.78599 # DEPENDENCYPART_ARC
(14,20),-2.95016 # DEPENDENCYPART_ARC
(14,21),-3.72144 # DEPENDENCYPART_ARC
(14,22),-1.5656 # DEPENDENCYPART_ARC
(14,24),-2.7913 # DEPENDENCYPART_ARC
(15,1),-1.21539 # DEPENDENCYPART_ARC
(15,2),-1.95588 # DEPENDENCYPART_ARC
(15,3),-1.55615 # DEPENDENCYPART_ARC
(15,4),1.28038 # DEPENDENCYPART_ARC
(15,6),0.883957 # DEPENDENCYPART_ARC
(15,7),-3.78961 # DEPENDENCYPART_ARC
(15,8),-1.15387 # DEPENDENCYPART_ARC
(15,9),-1.95989 # DEPENDENCYPART_ARC
(15,10),0.00257996 # DEPENDENCYPART_ARC
(15,11),-0.204025 # DEPENDENCYPART_ARC
(15,12),-2.98281 # DEPENDENCYPART_ARC
(15,13),-0.794031 # DEPENDENCYPART_ARC
(15,14),3.5812 # DEPENDENCYPART_ARC
(15,16),1.43383 # DEPENDENCYPART_ARC
(15,17),-1.04014 # DEPENDENCYPART_ARC
(15,18),-1.35045 # DEPENDENCYPART_ARC
(15,19),-0.190332 # DEPENDENCYPART_ARC
(15,20),-2.02814 # DEPENDENCYPART_ARC
(15,21),-2.29842 # DEPENDENCYPART_ARC
(15,22),-0.931945 # DEPENDENCYPART_ARC
(15,24),-2.11895 # DEPENDENCYPART_ARC
(16,15),-1.19604 # DEPENDENCYPART_ARC
(16,17),1.92565 # DEPENDENCYPART_ARC
(16,18),0.587267 # DEPENDENCYPART_ARC
(16,19),-0.073628 # DEPENDENCYPART_ARC
(16,20),-3.58948 # DEPENDENCYPART_ARC
(16,21),-0.923485 # DEPENDENCYPART_ARC
(16,22),-0.611189 # DEPENDENCYPART_ARC
(16,23),-2.3866 # DEPENDENCYPART_ARC
(17,16),-3.71172 # DEPENDENCYPART_ARC
(17,18),2.15805 # DEPENDENCYPART_ARC
(17,19),0.224002 # DEPENDENCYPART_ARC
(17,20),-3.34641 # DEPENDENCYPART_ARC
(17,21),-0.168643 # DEPENDENCYPART_ARC
(17,22),-0.540171 # DEPENDENCYPART_ARC
(17,23),-3.46956 # DEPENDENCYPART_ARC
(18,12),-4.19068 # DEPENDENCYPART_ARC
(18,16),-3.34105 # DEPENDENCYPART_ARC
(18,17),-0.689577 # DEPENDENCYPART_ARC
(18,19),1.2418 # DEPENDENCYPART_ARC
(18,20),-2.78864 # DEPENDENCYPART_ARC
(18,21),-0.529493 # DEPENDENCYPART_ARC
(18,22),-0.236358 # DEPENDENCYPART_ARC
(18,23),-2.35042 # DEPENDENCYPART_ARC
(18,24),-2.78462 # DEPENDENCYPART_ARC
(19,18),-2.74186 # DEPENDENCYPART_ARC
(19,20),2.52419 # DEPENDENCYPART_ARC
(19,21),-2.98323 # DEPENDENCYPART_ARC
(19,24),-3.23271 # DEPENDENCYPART_ARC
(20,18),-3.33838 # DEPENDENCYPART_ARC
(20,19),-0.407733 # DEPENDENCYPART_ARC
(20,21),2.15039 # DEPENDENCYPART_ARC
(20,22),0.0976126 # DEPENDENCYPART_ARC
(20,23),-2.27494 # DEPENDENCYPART_ARC
(20,24),-1.39838 # DEPENDENCYPART_ARC
(21,16),-3.37931 # DEPENDENCYPART_ARC
(21,17),-3.27293 # DEPENDENCYPART_ARC
(21,18),-3.42288 # DEPENDENCYPART_ARC
(21,20),-2.40446 # DEPENDENCYPART_ARC
(21,22),0.218615 # DEPENDENCYPART_ARC
(21,23),-1.21206 # DEPENDENCYPART_ARC
(21,24),-2.44309 # DEPENDENCYPART_ARC
(21,25),-1.28536 # DEPENDENCYPART_ARC
(22,20),-3.03557 # DEPENDENCYPART_ARC
(22,21),-3.35959 # DEPENDENCYPART_ARC
(22,23),-0.547602 # DEPENDENCYPART_ARC
(22,24),2.34893 # DEPENDENCYPART_ARC
(24,17),-2.91946 # DEPENDENCYPART_ARC
(24,19),-1.73106 # DEPENDENCYPART_ARC
(24,20),-2.14988 # DEPENDENCYPART_ARC
(24,21),-1.89835 # DEPENDENCYPART_ARC
(24,23),1.70381 # DEPENDENCYPART_ARC
(24,25),-0.73728 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0165578 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.101273 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.192479 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.169004 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.169014 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0165578 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.18978 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.169004 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.3811 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0988608 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.428553 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.408609 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.408819 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.129028 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.420733 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.408609 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.133324 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.431987 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.420035 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.420035 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.101014 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.415906 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.420035 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.052753 # DEPENDENCYPART_SIBL
(0,4),(0,5),-1.47208 # DEPENDENCYPART_SIBL
(0,4),(0,6),-1.47297 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.299344 # DEPENDENCYPART_SIBL
(0,4),(0,14),-1.48272 # DEPENDENCYPART_SIBL
(0,4),(0,15),-1.47208 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.00577954 # DEPENDENCYPART_SIBL
(0,5),(0,6),-1.46408 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.296463 # DEPENDENCYPART_SIBL
(0,5),(0,14),-1.47383 # DEPENDENCYPART_SIBL
(0,5),(0,15),-1.46319 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.00769122 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.307566 # DEPENDENCYPART_SIBL
(0,6),(0,14),-1.47872 # DEPENDENCYPART_SIBL
(0,6),(0,15),-1.46808 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.0231561 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.420733 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.408609 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,15),-1.47402 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.00609848 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0748895 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0274698 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.014179 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0178612 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0189495 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0190356 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.014179 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0255837 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0209475 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0244189 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0335139 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0335461 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0209475 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.263307 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.267674 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0159987 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0159708 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.263307 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.263928 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0137979 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.01377 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.25956 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0137979 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.01377 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.25956 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.108929 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.00788295 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.00788742 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0490586 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00441414 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00922728 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0027197 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.00441414 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.367649 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.368545 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0407992 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.367649 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.363361 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0471175 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.362465 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.045797 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.362465 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0429737 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.101081 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.112106 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.146536 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.337703 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0533169 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0528396 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.159495 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.43031 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0137736 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0345728 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0471191 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.049112 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.047114 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0694803 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.142858 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0525878 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0137736 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.271646 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0209882 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0138959 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0324775 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0782844 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0304831 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0835946 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0864577 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.182092 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0209882 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0449617 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0322483 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0368873 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0209359 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0368999 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0473179 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.118927 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.307146 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0449617 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.237262 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0589965 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0299014 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0589972 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0209294 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0721371 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.000318972 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.236146 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0632508 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0191126 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0632515 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0101406 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0634732 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00411764 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.2404 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0839719 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.291846 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0881969 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0146491 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0290774 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0620629 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0816493 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0992326 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.12027 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0558118 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.00758051 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0881924 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0146533 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0290799 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0620756 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.118132 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0245438 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.00760853 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0068002 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0445943 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.106978 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.148565 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.384033 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0882811 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.002395 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0371774 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0503987 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0300304 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0196934 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0354114 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.000308449 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.044936 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0227076 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0313178 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0516802 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.00172078 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.351815 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.243403 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00652639 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0274575 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.000946233 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0043639 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0184401 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00925248 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.181764 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0425353 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0025257 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0164116 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0102638 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.000399576 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.154602 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0083876 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0666783 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0251551 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00122687 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0756904 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0288179 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.330259 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0140735 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.000355366 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0153493 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0300884 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.0483412 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.086129 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0542416 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.140862 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.162469 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.125409 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.142278 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.193966 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0264715 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.177826 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.159365 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.148675 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.114591 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.10175 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.03462 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.025648 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.01449 # DEPENDENCYPART_SIBL
