# _root_ Erica Cantonu , francouzského fotbalového reprezentanta a hráče Manchesteru United , čeká v tomto týdnu velmi nepříjemný program .
#goldHeads=2,3,12,6,6,7,3,7,8,9,3,0,12,15,13,17,18,12,0,
#predictedHeads=2,7,7,6,6,7,11,7,8,9,12,0,12,15,13,17,18,12,0,
(9,12),-2.10624 # DEPENDENCYPART_ARC
(9,13),-2.31089 # DEPENDENCYPART_ARC
(9,14),-1.92019 # DEPENDENCYPART_ARC
(9,15),-2.97573 # DEPENDENCYPART_ARC
(9,16),-1.36756 # DEPENDENCYPART_ARC
(9,17),-3.89917 # DEPENDENCYPART_ARC
(9,18),-2.24089 # DEPENDENCYPART_ARC
(10,1),0.691917 # DEPENDENCYPART_ARC
(10,2),-0.87565 # DEPENDENCYPART_ARC
(10,3),-1.31384 # DEPENDENCYPART_ARC
(10,4),-0.975682 # DEPENDENCYPART_ARC
(10,5),-0.779471 # DEPENDENCYPART_ARC
(10,6),-0.749883 # DEPENDENCYPART_ARC
(10,7),-0.630187 # DEPENDENCYPART_ARC
(10,8),-0.368913 # DEPENDENCYPART_ARC
(10,9),-0.12644 # DEPENDENCYPART_ARC
(10,11),-0.78207 # DEPENDENCYPART_ARC
(10,12),-2.27492 # DEPENDENCYPART_ARC
(10,13),-2.09902 # DEPENDENCYPART_ARC
(10,14),-2.87658 # DEPENDENCYPART_ARC
(10,15),-2.85411 # DEPENDENCYPART_ARC
(10,18),-2.60813 # DEPENDENCYPART_ARC
(11,1),-1.4811 # DEPENDENCYPART_ARC
(11,2),-1.89478 # DEPENDENCYPART_ARC
(11,3),-0.732487 # DEPENDENCYPART_ARC
(11,5),-2.04133 # DEPENDENCYPART_ARC
(11,6),-1.30063 # DEPENDENCYPART_ARC
(11,7),-0.710701 # DEPENDENCYPART_ARC
(11,8),-0.925279 # DEPENDENCYPART_ARC
(11,9),-1.29596 # DEPENDENCYPART_ARC
(11,10),-0.90147 # DEPENDENCYPART_ARC
(11,12),-0.381415 # DEPENDENCYPART_ARC
(11,13),-1.10018 # DEPENDENCYPART_ARC
(11,15),-2.11878 # DEPENDENCYPART_ARC
(11,16),-1.21994 # DEPENDENCYPART_ARC
(11,17),-1.2668 # DEPENDENCYPART_ARC
(12,1),-0.959556 # DEPENDENCYPART_ARC
(12,2),-2.15604 # DEPENDENCYPART_ARC
(12,3),-1.29441 # DEPENDENCYPART_ARC
(12,4),-2.73114 # DEPENDENCYPART_ARC
(12,6),-1.61144 # DEPENDENCYPART_ARC
(12,7),-1.00355 # DEPENDENCYPART_ARC
(12,8),-0.544208 # DEPENDENCYPART_ARC
(12,9),-2.64242 # DEPENDENCYPART_ARC
(12,10),-1.40211 # DEPENDENCYPART_ARC
(12,11),-0.502046 # DEPENDENCYPART_ARC
(12,13),1.71146 # DEPENDENCYPART_ARC
(12,14),-1.18792 # DEPENDENCYPART_ARC
(12,15),0.243584 # DEPENDENCYPART_ARC
(12,16),-0.331647 # DEPENDENCYPART_ARC
(12,17),-0.13184 # DEPENDENCYPART_ARC
(12,18),0.532142 # DEPENDENCYPART_ARC
(12,19),-0.646808 # DEPENDENCYPART_ARC
(13,11),-1.36453 # DEPENDENCYPART_ARC
(13,14),0.705055 # DEPENDENCYPART_ARC
(13,15),1.11437 # DEPENDENCYPART_ARC
(13,16),-2.09972 # DEPENDENCYPART_ARC
(13,17),-3.47334 # DEPENDENCYPART_ARC
(13,18),-3.63053 # DEPENDENCYPART_ARC
(14,10),-1.57296 # DEPENDENCYPART_ARC
(14,15),-1.87848 # DEPENDENCYPART_ARC
(14,16),-1.63775 # DEPENDENCYPART_ARC
(14,17),-2.72643 # DEPENDENCYPART_ARC
(14,18),-2.66948 # DEPENDENCYPART_ARC
(15,10),-0.639568 # DEPENDENCYPART_ARC
(15,13),-0.369113 # DEPENDENCYPART_ARC
(15,14),2.46623 # DEPENDENCYPART_ARC
(15,16),-0.997172 # DEPENDENCYPART_ARC
(15,17),-2.33263 # DEPENDENCYPART_ARC
(15,18),-1.78446 # DEPENDENCYPART_ARC
(15,19),-1.34836 # DEPENDENCYPART_ARC
(16,13),-1.39153 # DEPENDENCYPART_ARC
(16,14),-1.48709 # DEPENDENCYPART_ARC
(16,15),-1.47058 # DEPENDENCYPART_ARC
(16,17),-1.61795 # DEPENDENCYPART_ARC
(16,18),-1.85015 # DEPENDENCYPART_ARC
(16,19),-1.193 # DEPENDENCYPART_ARC
(17,13),-0.552524 # DEPENDENCYPART_ARC
(17,14),-2.35666 # DEPENDENCYPART_ARC
(17,15),-2.48791 # DEPENDENCYPART_ARC
(17,16),0.829294 # DEPENDENCYPART_ARC
(17,18),-1.81346 # DEPENDENCYPART_ARC
(17,19),-1.19531 # DEPENDENCYPART_ARC
(18,10),-1.65371 # DEPENDENCYPART_ARC
(18,11),-0.98698 # DEPENDENCYPART_ARC
(18,13),-0.79187 # DEPENDENCYPART_ARC
(18,14),-1.5244 # DEPENDENCYPART_ARC
(18,15),-3.77249 # DEPENDENCYPART_ARC
(18,16),-0.377743 # DEPENDENCYPART_ARC
(18,17),1.89366 # DEPENDENCYPART_ARC
(18,19),-0.348248 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0372201 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0203409 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.156496 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.182061 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0352541 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0364779 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0203409 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.182446 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.416889 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0203409 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.156496 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.182061 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0352541 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0364779 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0203409 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.182446 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.416889 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0252085 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.140416 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0665233 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0665217 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.129028 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.41011 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.227047 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0742845 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0742837 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0777297 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.361584 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.30294 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0314557 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0314854 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.238729 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.898712 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.0494213 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.0364712 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0175892 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.1825 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.413987 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.020342 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.182446 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.41689 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.41011 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.00105547 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0371462 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0348807 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0348704 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0600385 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.304769 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0619977 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0627858 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.027245 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0127878 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0190372 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0190373 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.00756397 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0766533 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.00756566 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.00884045 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0157205 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0186936 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.109382 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0284713 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.115998 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0284755 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0297485 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.112227 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.00398685 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0281377 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.115663 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0281419 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0294149 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.111893 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.00506554 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.304769 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0622648 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0630529 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0272299 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0127869 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.00793767 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.00918032 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.00403399 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0110181 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0587861 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.031246 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0167251 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0217038 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0119088 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.00517578 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0240845 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00367546 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00204979 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0286779 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0122692 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00171662 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0104142 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0190372 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0190373 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00756397 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0766533 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0157205 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0186936 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.109382 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0284713 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.115998 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.112227 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.00398685 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0281377 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.115663 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.111893 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.00506554 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.304769 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0272299 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0127869 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00403399 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0110181 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.00517578 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0110567 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00813419 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00814571 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.167807 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.013581 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.171687 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.165617 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.00930883 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0187289 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0354376 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.167869 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00813419 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00814571 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.167807 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.013581 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.171687 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.165617 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00930883 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0187289 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0354376 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.167869 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.117025 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0373673 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00824667 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0373753 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0373692 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0154822 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0437018 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0176618 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.034665 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.037368 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00824667 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.037376 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.03737 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0154256 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0433299 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0176617 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0346658 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0716373 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0217457 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0205132 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0342183 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0194879 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0510828 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0236024 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0260425 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0260062 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.17254 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0341094 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0490353 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0285014 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0202569 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0379725 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0195477 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0489514 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0233461 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0352212 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0194903 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0510846 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0233387 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0453928 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0399648 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0597542 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0223403 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0225458 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0243787 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.119775 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0714045 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0425055 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00143767 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00981468 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00612304 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00361605 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0231657 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.000366608 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0629883 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0534297 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0714045 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0425055 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00143767 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00981468 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00612304 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00361605 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0231657 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.000366608 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0629883 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0534297 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.195907 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.317321 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.141459 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.327042 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.318439 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.398066 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.179378 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.338536 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0443486 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0533479 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0613641 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0533479 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0533479 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0466346 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.00285588 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0546385 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.10464 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.249821 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.111986 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.110761 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.101594 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.00140882 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.108493 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.132843 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0475411 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0475107 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0357692 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0902749 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0280638 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0363431 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.110495 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.105357 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.00145959 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.126261 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.129434 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.102602 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.00140823 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.110571 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.13234 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0140178 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.00973061 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.12302 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.088955 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.051877 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0872549 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0860903 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.31733 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0120695 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0133867 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0200904 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00589751 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00369777 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0308269 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.024822 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0200904 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00589751 # DEPENDENCYPART_SIBL
