# _root_ Havel se vyslovil pro to , co si myslí většina na obou stranách : Měli bychom hledět do budoucnosti , aniž by se zapomnělo poučení minulosti .
#goldHeads=3,3,0,3,14,9,9,9,5,9,10,13,11,4,14,15,15,17,18,21,17,24,24,21,24,25,0,
#predictedHeads=3,3,0,3,4,9,9,9,5,9,10,13,11,0,14,15,15,17,18,21,17,24,24,21,24,25,0,
(12,15),-2.8966 # DEPENDENCYPART_ARC
(12,18),-1.50613 # DEPENDENCYPART_ARC
(13,4),-1.22935 # DEPENDENCYPART_ARC
(13,5),-3.24157 # DEPENDENCYPART_ARC
(13,8),-3.3804 # DEPENDENCYPART_ARC
(13,10),-1.13054 # DEPENDENCYPART_ARC
(13,11),-1.21072 # DEPENDENCYPART_ARC
(13,12),1.76559 # DEPENDENCYPART_ARC
(13,14),-1.2602 # DEPENDENCYPART_ARC
(13,15),-1.72654 # DEPENDENCYPART_ARC
(13,16),-1.84287 # DEPENDENCYPART_ARC
(13,17),-2.51074 # DEPENDENCYPART_ARC
(14,1),-1.75989 # DEPENDENCYPART_ARC
(14,3),-1.11971 # DEPENDENCYPART_ARC
(14,4),-1.52118 # DEPENDENCYPART_ARC
(14,5),-1.29649 # DEPENDENCYPART_ARC
(14,6),-1.9081 # DEPENDENCYPART_ARC
(14,9),-0.708693 # DEPENDENCYPART_ARC
(14,10),-1.15096 # DEPENDENCYPART_ARC
(14,11),-0.927519 # DEPENDENCYPART_ARC
(14,12),-0.525999 # DEPENDENCYPART_ARC
(14,13),-1.23401 # DEPENDENCYPART_ARC
(14,15),-0.683479 # DEPENDENCYPART_ARC
(14,17),-1.41134 # DEPENDENCYPART_ARC
(14,18),-1.70643 # DEPENDENCYPART_ARC
(14,19),-2.30632 # DEPENDENCYPART_ARC
(14,20),-0.471272 # DEPENDENCYPART_ARC
(14,21),-1.0431 # DEPENDENCYPART_ARC
(14,24),-2.13861 # DEPENDENCYPART_ARC
(15,1),-1.99858 # DEPENDENCYPART_ARC
(15,2),-2.82773 # DEPENDENCYPART_ARC
(15,3),-3.78925 # DEPENDENCYPART_ARC
(15,4),-1.88849 # DEPENDENCYPART_ARC
(15,5),-2.33438 # DEPENDENCYPART_ARC
(15,6),-0.590207 # DEPENDENCYPART_ARC
(15,7),-1.18607 # DEPENDENCYPART_ARC
(15,8),-1.01527 # DEPENDENCYPART_ARC
(15,9),-1.73132 # DEPENDENCYPART_ARC
(15,10),-1.48817 # DEPENDENCYPART_ARC
(15,11),-1.01691 # DEPENDENCYPART_ARC
(15,12),-1.71671 # DEPENDENCYPART_ARC
(15,13),-1.72486 # DEPENDENCYPART_ARC
(15,14),-0.551863 # DEPENDENCYPART_ARC
(15,16),2.09163 # DEPENDENCYPART_ARC
(15,17),2.36147 # DEPENDENCYPART_ARC
(15,18),0.26381 # DEPENDENCYPART_ARC
(15,19),-2.14143 # DEPENDENCYPART_ARC
(15,20),-0.478389 # DEPENDENCYPART_ARC
(15,21),-0.343665 # DEPENDENCYPART_ARC
(15,24),-4.04324 # DEPENDENCYPART_ARC
(15,25),-3.13664 # DEPENDENCYPART_ARC
(15,26),-4.05578 # DEPENDENCYPART_ARC
(17,1),-2.36302 # DEPENDENCYPART_ARC
(17,2),-2.72067 # DEPENDENCYPART_ARC
(17,3),-4.80868 # DEPENDENCYPART_ARC
(17,4),-1.74055 # DEPENDENCYPART_ARC
(17,5),-1.57045 # DEPENDENCYPART_ARC
(17,6),-2.03766 # DEPENDENCYPART_ARC
(17,7),-0.933709 # DEPENDENCYPART_ARC
(17,8),-0.286463 # DEPENDENCYPART_ARC
(17,9),-3.75645 # DEPENDENCYPART_ARC
(17,10),-1.89247 # DEPENDENCYPART_ARC
(17,11),-1.99149 # DEPENDENCYPART_ARC
(17,12),-1.19921 # DEPENDENCYPART_ARC
(17,13),-1.84537 # DEPENDENCYPART_ARC
(17,14),-1.30045 # DEPENDENCYPART_ARC
(17,15),-2.19264 # DEPENDENCYPART_ARC
(17,16),0.77246 # DEPENDENCYPART_ARC
(17,18),1.25464 # DEPENDENCYPART_ARC
(17,19),-0.950123 # DEPENDENCYPART_ARC
(17,20),-0.757125 # DEPENDENCYPART_ARC
(17,21),-0.451469 # DEPENDENCYPART_ARC
(17,24),-2.31465 # DEPENDENCYPART_ARC
(17,25),-4.04917 # DEPENDENCYPART_ARC
(17,26),-3.05548 # DEPENDENCYPART_ARC
(18,19),2.22845 # DEPENDENCYPART_ARC
(18,20),-0.781285 # DEPENDENCYPART_ARC
(18,21),-1.38581 # DEPENDENCYPART_ARC
(18,24),-2.67188 # DEPENDENCYPART_ARC
(19,18),-0.939511 # DEPENDENCYPART_ARC
(19,21),-1.22697 # DEPENDENCYPART_ARC
(19,22),-1.55785 # DEPENDENCYPART_ARC
(19,24),-2.1583 # DEPENDENCYPART_ARC
(19,26),-1.82374 # DEPENDENCYPART_ARC
(20,3),-2.13881 # DEPENDENCYPART_ARC
(20,9),-1.81866 # DEPENDENCYPART_ARC
(20,12),-2.08905 # DEPENDENCYPART_ARC
(20,14),-0.640318 # DEPENDENCYPART_ARC
(20,17),-0.906517 # DEPENDENCYPART_ARC
(20,18),-1.24373 # DEPENDENCYPART_ARC
(20,19),-1.4447 # DEPENDENCYPART_ARC
(20,21),-0.813373 # DEPENDENCYPART_ARC
(20,24),-1.67533 # DEPENDENCYPART_ARC
(20,25),-2.66463 # DEPENDENCYPART_ARC
(20,26),-2.57356 # DEPENDENCYPART_ARC
(21,9),-1.42222 # DEPENDENCYPART_ARC
(21,15),-0.772157 # DEPENDENCYPART_ARC
(21,18),-1.02034 # DEPENDENCYPART_ARC
(21,19),-1.59524 # DEPENDENCYPART_ARC
(21,20),0.79057 # DEPENDENCYPART_ARC
(21,22),1.13298 # DEPENDENCYPART_ARC
(21,24),-0.122019 # DEPENDENCYPART_ARC
(21,25),-1.85304 # DEPENDENCYPART_ARC
(21,26),-1.84012 # DEPENDENCYPART_ARC
(21,27),-0.705643 # DEPENDENCYPART_ARC
(24,1),-1.61959 # DEPENDENCYPART_ARC
(24,2),-3.41299 # DEPENDENCYPART_ARC
(24,3),-4.85924 # DEPENDENCYPART_ARC
(24,4),-2.46993 # DEPENDENCYPART_ARC
(24,6),-2.07446 # DEPENDENCYPART_ARC
(24,8),-1.83352 # DEPENDENCYPART_ARC
(24,10),-1.42511 # DEPENDENCYPART_ARC
(24,12),-2.63534 # DEPENDENCYPART_ARC
(24,13),-3.37109 # DEPENDENCYPART_ARC
(24,16),-1.03838 # DEPENDENCYPART_ARC
(24,17),-0.967896 # DEPENDENCYPART_ARC
(24,18),-0.954276 # DEPENDENCYPART_ARC
(24,19),-3.3083 # DEPENDENCYPART_ARC
(24,20),-0.791384 # DEPENDENCYPART_ARC
(24,21),-0.291803 # DEPENDENCYPART_ARC
(24,22),2.23952 # DEPENDENCYPART_ARC
(24,23),1.91501 # DEPENDENCYPART_ARC
(24,25),1.57969 # DEPENDENCYPART_ARC
(24,26),-1.2088 # DEPENDENCYPART_ARC
(24,27),-0.825571 # DEPENDENCYPART_ARC
(25,23),-3.4344 # DEPENDENCYPART_ARC
(25,26),1.78187 # DEPENDENCYPART_ARC
(25,27),-0.805625 # DEPENDENCYPART_ARC
(26,23),-4.14705 # DEPENDENCYPART_ARC
(26,25),-2.19333 # DEPENDENCYPART_ARC
(26,27),-0.733178 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.18849 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.223503 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.103216 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.029819 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0761319 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.190957 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.237472 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.2043 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.194521 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.029819 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.188492 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.434433 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.143011 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.184279 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.258023 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.237678 # DEPENDENCYPART_SIBL
(0,3),(0,9),-1.44771 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.110551 # DEPENDENCYPART_SIBL
(0,3),(0,15),-1.45775 # DEPENDENCYPART_SIBL
(0,3),(0,17),-1.4477 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.258023 # DEPENDENCYPART_SIBL
(0,3),(0,24),-1.4477 # DEPENDENCYPART_SIBL
(0,3),(0,27),0.0463864 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.163109 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.129838 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.142578 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.377453 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.166166 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.370242 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.376815 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.129838 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.376826 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.360036 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.00322126 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.213573 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.36284 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.00237414 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.369132 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.362825 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.00322126 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.362827 # DEPENDENCYPART_SIBL
(0,5),(0,27),0.00774574 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0680893 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.409453 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0833005 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.406852 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.129028 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.408609 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.323008 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.0996185 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.328357 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.322996 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.0807558 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.322997 # DEPENDENCYPART_SIBL
(0,7),(0,27),0.137651 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.131417 # DEPENDENCYPART_SIBL
(0,9),(0,15),-1.47107 # DEPENDENCYPART_SIBL
(0,9),(0,17),-1.46102 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.268956 # DEPENDENCYPART_SIBL
(0,9),(0,24),-1.46102 # DEPENDENCYPART_SIBL
(0,9),(0,27),0.0121955 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.629368 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.627279 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.247035 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.627279 # DEPENDENCYPART_SIBL
(0,14),(0,27),-0.138136 # DEPENDENCYPART_SIBL
(0,15),(0,17),-1.45266 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.264749 # DEPENDENCYPART_SIBL
(0,15),(0,24),-1.45266 # DEPENDENCYPART_SIBL
(0,15),(0,27),0.0555623 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.296463 # DEPENDENCYPART_SIBL
(0,17),(0,24),-1.46319 # DEPENDENCYPART_SIBL
(0,17),(0,27),-0.00769122 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.408609 # DEPENDENCYPART_SIBL
(0,20),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,24),(0,27),-0.00954648 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0130438 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.226871 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.108001 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0121408 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0110242 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.029655 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.260771 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00394236 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.00809357 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.000582267 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0392804 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.03129 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0964887 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0226908 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.119058 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00193894 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00201585 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0276662 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.00912855 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0148242 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.030377 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.00736125 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0290819 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0226908 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0383963 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.067454 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.207742 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0297342 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.210506 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00115148 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.042783 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.044958 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.139195 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0688807 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0760243 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0163835 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0223825 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0297342 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0217659 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0541243 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0215235 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.166869 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0160594 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0083316 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00872956 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0375379 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0168018 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0395153 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0208564 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0402608 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0215235 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0356908 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.106197 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0761772 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0572954 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0538827 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.00238341 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0312511 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0567471 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0227591 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0629039 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0173027 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.106197 # DEPENDENCYPART_SIBL
(3,5),(3,21),0.0429024 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0243309 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.103481 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.117616 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.111486 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0956081 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.113396 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.103827 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.108052 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.170683 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.124862 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0187087 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.127626 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.100754 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.014455 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0463085 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0978927 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0970919 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.133239 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0327661 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0664149 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.0291434 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0448337 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0414845 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0335215 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0372749 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0184269 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.23269 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0391212 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.048766 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.00857876 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0337081 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.00343887 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.109346 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0923783 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0145384 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.106682 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.0685221 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.0407686 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0171958 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0388676 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0483736 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.110019 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0241051 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.015609 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.00862166 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0826856 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.053111 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0222959 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.038129 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0182531 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.00470501 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.152769 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0509012 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0833763 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.0277996 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.00714459 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.0455242 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0539544 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.046366 # DEPENDENCYPART_SIBL
(3,14),(3,21),-0.0240481 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.028275 # DEPENDENCYPART_SIBL
(3,17),(3,20),-0.000993425 # DEPENDENCYPART_SIBL
(3,17),(3,21),-0.00212506 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.00739911 # DEPENDENCYPART_SIBL
(3,18),(3,21),0.0549806 # DEPENDENCYPART_SIBL
(3,20),(3,21),-0.0187087 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0173147 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0687948 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.306387 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.100123 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0404064 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0310816 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.022006 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.262693 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0471245 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0253667 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0404064 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00923584 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0665184 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0188925 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0824584 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.104534 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.00393266 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.00923584 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.156672 # DEPENDENCYPART_SIBL
