# _root_ Pro tento školní rok není změněno nic , uvažuje se však o systému školného a půjček u vysokoškoláků , zazněly úvahy o podílu na placení středního odborného školství .
#goldHeads=5,4,4,1,11,5,5,11,19,9,0,9,12,15,13,15,15,17,11,19,20,21,22,23,24,28,28,25,0,
#predictedHeads=5,4,4,1,11,5,5,11,11,9,0,9,12,15,13,15,16,17,9,11,20,21,22,23,24,28,28,25,0,
(21,27),-3.79341 # DEPENDENCYPART_ARC
(21,28),-1.6397 # DEPENDENCYPART_ARC
(22,18),-3.56303 # DEPENDENCYPART_ARC
(22,21),-3.35304 # DEPENDENCYPART_ARC
(22,23),2.34209 # DEPENDENCYPART_ARC
(22,25),-0.447222 # DEPENDENCYPART_ARC
(22,28),-4.18422 # DEPENDENCYPART_ARC
(23,21),-3.20746 # DEPENDENCYPART_ARC
(23,22),-0.745287 # DEPENDENCYPART_ARC
(23,24),0.612318 # DEPENDENCYPART_ARC
(23,25),-1.22674 # DEPENDENCYPART_ARC
(23,26),-1.43716 # DEPENDENCYPART_ARC
(23,27),-1.71263 # DEPENDENCYPART_ARC
(23,28),-0.386322 # DEPENDENCYPART_ARC
(24,18),-3.20733 # DEPENDENCYPART_ARC
(24,21),-3.47299 # DEPENDENCYPART_ARC
(24,22),-0.612861 # DEPENDENCYPART_ARC
(24,23),-0.722493 # DEPENDENCYPART_ARC
(24,25),2.20558 # DEPENDENCYPART_ARC
(24,26),-2.4901 # DEPENDENCYPART_ARC
(24,28),-2.96925 # DEPENDENCYPART_ARC
(25,22),-1.09291 # DEPENDENCYPART_ARC
(25,23),-2.72146 # DEPENDENCYPART_ARC
(25,24),-0.095241 # DEPENDENCYPART_ARC
(25,26),0.467637 # DEPENDENCYPART_ARC
(25,27),-0.323822 # DEPENDENCYPART_ARC
(25,28),0.731354 # DEPENDENCYPART_ARC
(25,29),-0.918755 # DEPENDENCYPART_ARC
(26,22),-1.37366 # DEPENDENCYPART_ARC
(26,23),-3.14184 # DEPENDENCYPART_ARC
(26,24),-1.12089 # DEPENDENCYPART_ARC
(26,25),-2.2248 # DEPENDENCYPART_ARC
(26,27),-2.41392 # DEPENDENCYPART_ARC
(26,28),-2.232 # DEPENDENCYPART_ARC
(27,25),-2.93249 # DEPENDENCYPART_ARC
(27,26),-1.7481 # DEPENDENCYPART_ARC
(27,28),-2.11014 # DEPENDENCYPART_ARC
(28,21),-5.58482 # DEPENDENCYPART_ARC
(28,23),-4.71397 # DEPENDENCYPART_ARC
(28,24),-1.56951 # DEPENDENCYPART_ARC
(28,25),-3.58258 # DEPENDENCYPART_ARC
(28,26),2.00388 # DEPENDENCYPART_ARC
(28,27),2.66879 # DEPENDENCYPART_ARC
(28,29),-0.872232 # DEPENDENCYPART_ARC
(0,1),(0,2),0.151959 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.204131 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.398393 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.377026 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.192632 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.129838 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.380176 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.191692 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.186282 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.129838 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.376891 # DEPENDENCYPART_SIBL
(0,1),(0,29),-0.360036 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.223706 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.429532 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.407809 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.218057 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0807307 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.410306 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.151201 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.106896 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0807307 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.407809 # DEPENDENCYPART_SIBL
(0,2),(0,29),-0.0314602 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.228286 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.201128 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.121376 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0533651 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.203113 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.255152 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.203188 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0533651 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.203368 # DEPENDENCYPART_SIBL
(0,4),(0,29),-0.445468 # DEPENDENCYPART_SIBL
(0,5),(0,6),-1.4713 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.198437 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.294792 # DEPENDENCYPART_SIBL
(0,5),(0,9),-1.47754 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.934911 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.970676 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.294792 # DEPENDENCYPART_SIBL
(0,5),(0,20),-1.4713 # DEPENDENCYPART_SIBL
(0,5),(0,29),-0.0180418 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.195461 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.298672 # DEPENDENCYPART_SIBL
(0,6),(0,9),-1.47112 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.928774 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.96392 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.298672 # DEPENDENCYPART_SIBL
(0,6),(0,20),-1.46488 # DEPENDENCYPART_SIBL
(0,6),(0,29),-0.0115922 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0244424 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.389294 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.135698 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0918435 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0244424 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.386798 # DEPENDENCYPART_SIBL
(0,7),(0,29),0.050383 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.411264 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.276897 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.140416 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.129028 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,29),-0.133324 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.919941 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.955087 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.275105 # DEPENDENCYPART_SIBL
(0,9),(0,20),-1.45605 # DEPENDENCYPART_SIBL
(0,9),(0,29),0.019055 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.736528 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.119647 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.921091 # DEPENDENCYPART_SIBL
(0,11),(0,29),0.511513 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.238729 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.898665 # DEPENDENCYPART_SIBL
(0,15),(0,29),0.0494213 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,19),(0,29),-0.133324 # DEPENDENCYPART_SIBL
(0,20),(0,29),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.295636 # DEPENDENCYPART_SIBL
(1,2),(1,4),-1.02149 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.714604 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0231308 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0536598 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0600906 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0258771 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0600867 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0382435 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0246712 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.01983 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0172955 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0193183 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.259802 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.341835 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0100949 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.343085 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.279252 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.013763 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.342956 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.276013 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00522989 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0521446 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.276013 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0201599 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0584383 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.049652 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.119445 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.113452 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.114758 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0252996 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.01774 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0279332 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0247603 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.25589 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.1641 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.118444 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.138547 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0481551 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0644606 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0135239 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0563105 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0240976 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0594742 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0354622 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0772862 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0135239 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0845363 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.146088 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.172703 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.142483 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0216316 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.178874 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.149067 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.171448 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.179794 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0958327 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0216316 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0909136 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.105763 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0632695 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0550363 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.108886 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0484366 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.133553 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0805043 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0211622 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0550363 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0568244 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0719171 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0821374 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.064089 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0465142 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.020457 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.080131 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0301401 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0821374 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0193245 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0600534 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.21462 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0153161 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0331475 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0723972 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.139294 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.0600534 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0289618 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00740444 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0388888 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0672817 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0282938 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0955246 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.0289618 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.101954 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0470574 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.153781 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0935896 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.161073 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.11678 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0142143 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0350211 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0712878 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.140396 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.0648539 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.010111 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0315444 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.199147 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.0346303 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.218139 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.303397 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0858418 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.283928 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.0120722 # DEPENDENCYPART_SIBL
(5,15),(5,19),0.0129301 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.108443 # DEPENDENCYPART_SIBL
