# _root_ Επίσης , η περιοχή έχει χαρακτηριστεί μόνιμο καταφύγιο άγριων ζώων , ενώ ανάλογης ποικιλότητας και σημασίας είναι και η πανίδα της .
#goldHeads=12,12,4,6,6,12,8,6,10,8,12,0,15,15,17,15,12,20,20,17,20,0,
#predictedHeads=6,6,4,6,6,12,8,6,10,8,12,0,14,15,17,15,12,20,20,17,20,0,
(15,16),2.8224 # DEPENDENCYPART_ARC
(15,17),1.02325 # DEPENDENCYPART_ARC
(15,18),-0.363367 # DEPENDENCYPART_ARC
(15,20),-0.351402 # DEPENDENCYPART_ARC
(15,22),-0.137111 # DEPENDENCYPART_ARC
(16,13),0.138829 # DEPENDENCYPART_ARC
(16,14),-0.0810609 # DEPENDENCYPART_ARC
(16,15),0.209318 # DEPENDENCYPART_ARC
(16,17),-1.793 # DEPENDENCYPART_ARC
(16,18),-1.01078 # DEPENDENCYPART_ARC
(16,20),-2.64691 # DEPENDENCYPART_ARC
(17,1),0.291328 # DEPENDENCYPART_ARC
(17,2),-0.147716 # DEPENDENCYPART_ARC
(17,4),0.34438 # DEPENDENCYPART_ARC
(17,5),-2.63836 # DEPENDENCYPART_ARC
(17,6),-5.07848 # DEPENDENCYPART_ARC
(17,7),-1.27634 # DEPENDENCYPART_ARC
(17,8),-1.43134 # DEPENDENCYPART_ARC
(17,9),-2.61099 # DEPENDENCYPART_ARC
(17,10),-3.33976 # DEPENDENCYPART_ARC
(17,11),-0.0315187 # DEPENDENCYPART_ARC
(17,12),0.0653248 # DEPENDENCYPART_ARC
(17,13),-1.99417 # DEPENDENCYPART_ARC
(17,14),-1.32099 # DEPENDENCYPART_ARC
(17,15),0.458109 # DEPENDENCYPART_ARC
(17,16),-0.30869 # DEPENDENCYPART_ARC
(17,18),0.330203 # DEPENDENCYPART_ARC
(17,19),-2.57685 # DEPENDENCYPART_ARC
(17,20),0.642907 # DEPENDENCYPART_ARC
(17,22),-0.066472 # DEPENDENCYPART_ARC
(18,1),-1.25341 # DEPENDENCYPART_ARC
(18,2),-0.613556 # DEPENDENCYPART_ARC
(18,4),-0.306228 # DEPENDENCYPART_ARC
(18,5),-0.215029 # DEPENDENCYPART_ARC
(18,6),-0.969212 # DEPENDENCYPART_ARC
(18,7),-1.48628 # DEPENDENCYPART_ARC
(18,8),-0.438193 # DEPENDENCYPART_ARC
(18,9),-1.26432 # DEPENDENCYPART_ARC
(18,10),-0.2103 # DEPENDENCYPART_ARC
(18,11),-0.11155 # DEPENDENCYPART_ARC
(18,12),-0.403754 # DEPENDENCYPART_ARC
(18,13),-1.06857 # DEPENDENCYPART_ARC
(18,14),0.0542635 # DEPENDENCYPART_ARC
(18,15),-0.249072 # DEPENDENCYPART_ARC
(18,16),0.0906086 # DEPENDENCYPART_ARC
(18,17),0.830358 # DEPENDENCYPART_ARC
(18,19),-0.227781 # DEPENDENCYPART_ARC
(18,20),0.621523 # DEPENDENCYPART_ARC
(18,21),-0.183107 # DEPENDENCYPART_ARC
(18,22),0.0329443 # DEPENDENCYPART_ARC
(20,18),0.350294 # DEPENDENCYPART_ARC
(20,19),2.63012 # DEPENDENCYPART_ARC
(20,21),2.84883 # DEPENDENCYPART_ARC
(20,22),0.103928 # DEPENDENCYPART_ARC
(22,17),-2.17669 # DEPENDENCYPART_ARC
(22,18),-1.58923 # DEPENDENCYPART_ARC
(22,20),-2.08325 # DEPENDENCYPART_ARC
