# _root_ Το πιο διάσημο τέκνο της Λέσβου , η Σαπφώ , θεωρήθηκε από πολλούς η πρώτη φεμινίστρια και μιά από τις καλύτερες λυρικές ποιήτριες των εποχών .
#goldHeads=4,3,4,7,6,4,11,9,7,7,0,11,12,16,16,17,11,17,18,23,23,23,19,25,23,0,
#predictedHeads=4,3,4,11,6,4,11,9,11,11,0,11,12,16,16,17,11,17,18,23,23,23,19,25,23,0,
(23,24),0.207352 # DEPENDENCYPART_ARC
(23,25),2.1394 # DEPENDENCYPART_ARC
(23,26),0.313525 # DEPENDENCYPART_ARC
(25,20),0.0642609 # DEPENDENCYPART_ARC
(25,21),-0.672087 # DEPENDENCYPART_ARC
(25,22),-0.694362 # DEPENDENCYPART_ARC
(25,23),-1.50446 # DEPENDENCYPART_ARC
(25,24),3.44729 # DEPENDENCYPART_ARC
(25,26),-0.044845 # DEPENDENCYPART_ARC
(26,4),-3.05464 # DEPENDENCYPART_ARC
(26,9),-3.06849 # DEPENDENCYPART_ARC
(26,11),-2.85747 # DEPENDENCYPART_ARC
(26,23),-2.05295 # DEPENDENCYPART_ARC
(26,25),-2.12659 # DEPENDENCYPART_ARC
