# _root_ Η Ρόδος , επίσης μαζί με τα υπόλοιπα Δωδεκάνησα , ενώθηκε με την Ελλάδα το 1948 .
#goldHeads=2,11,11,5,11,5,9,9,6,11,0,11,14,12,16,11,0,
#predictedHeads=2,11,11,5,11,5,9,9,6,11,0,11,14,12,16,11,0,
(8,5),-0.69004 # DEPENDENCYPART_ARC
(8,6),-0.676076 # DEPENDENCYPART_ARC
(8,7),1.08623 # DEPENDENCYPART_ARC
(8,9),0.16779 # DEPENDENCYPART_ARC
(8,10),-0.537522 # DEPENDENCYPART_ARC
(8,11),-1.24949 # DEPENDENCYPART_ARC
(8,12),-1.16066 # DEPENDENCYPART_ARC
(8,17),-1.06832 # DEPENDENCYPART_ARC
(9,5),-0.000215272 # DEPENDENCYPART_ARC
(9,7),3.7861 # DEPENDENCYPART_ARC
(9,8),3.76252 # DEPENDENCYPART_ARC
(9,10),-0.631001 # DEPENDENCYPART_ARC
(9,11),-1.27088 # DEPENDENCYPART_ARC
(10,2),-1.08748 # DEPENDENCYPART_ARC
(10,3),-0.588417 # DEPENDENCYPART_ARC
(10,4),-0.412451 # DEPENDENCYPART_ARC
(10,5),-0.585518 # DEPENDENCYPART_ARC
(10,6),-0.204691 # DEPENDENCYPART_ARC
(10,8),-0.248631 # DEPENDENCYPART_ARC
(10,9),-0.220578 # DEPENDENCYPART_ARC
(10,11),-0.703044 # DEPENDENCYPART_ARC
(10,12),-1.29967 # DEPENDENCYPART_ARC
(10,14),-1.18169 # DEPENDENCYPART_ARC
(10,17),-1.04487 # DEPENDENCYPART_ARC
(11,2),0.836628 # DEPENDENCYPART_ARC
(11,3),0.794073 # DEPENDENCYPART_ARC
(11,4),0.524332 # DEPENDENCYPART_ARC
(11,5),0.472397 # DEPENDENCYPART_ARC
(11,6),0.0370637 # DEPENDENCYPART_ARC
(11,7),-1.8928 # DEPENDENCYPART_ARC
(11,8),-0.0585229 # DEPENDENCYPART_ARC
(11,9),-0.964297 # DEPENDENCYPART_ARC
(11,10),1.02652 # DEPENDENCYPART_ARC
(11,12),1.68458 # DEPENDENCYPART_ARC
(11,13),-0.635334 # DEPENDENCYPART_ARC
(11,14),0.331679 # DEPENDENCYPART_ARC
(11,16),0.567706 # DEPENDENCYPART_ARC
(11,17),0.716835 # DEPENDENCYPART_ARC
(12,10),-0.30347 # DEPENDENCYPART_ARC
(12,11),-0.478971 # DEPENDENCYPART_ARC
(12,13),-0.150221 # DEPENDENCYPART_ARC
(12,14),2.44706 # DEPENDENCYPART_ARC
(12,17),-0.63582 # DEPENDENCYPART_ARC
(14,10),-1.37599 # DEPENDENCYPART_ARC
(14,13),2.95713 # DEPENDENCYPART_ARC
(14,16),0.142903 # DEPENDENCYPART_ARC
(16,15),2.38049 # DEPENDENCYPART_ARC
(16,17),0.466085 # DEPENDENCYPART_ARC
(17,2),-3.36828 # DEPENDENCYPART_ARC
(17,3),-2.55955 # DEPENDENCYPART_ARC
(17,6),-2.74275 # DEPENDENCYPART_ARC
(17,9),-2.98676 # DEPENDENCYPART_ARC
(17,11),-2.47151 # DEPENDENCYPART_ARC
(17,12),-2.2871 # DEPENDENCYPART_ARC
(17,14),-2.17672 # DEPENDENCYPART_ARC
(17,16),-1.71793 # DEPENDENCYPART_ARC
