# _root_ Από τη στιγμή που εγκαταλείφθηκε το Κάστρο το 1829 , με την ίδρυση του Ανεξάρτητου Ελληνικού Κράτους , αφέθηκε στην τύχη του .
#goldHeads=5,3,1,5,19,7,5,9,5,5,5,13,11,17,17,17,13,19,0,19,20,21,0,
#predictedHeads=5,3,1,5,0,7,5,9,5,5,5,13,11,17,17,17,13,19,0,19,20,21,0,
(7,5),-0.711703 # DEPENDENCYPART_ARC
(7,6),2.83509 # DEPENDENCYPART_ARC
(7,9),0.0713943 # DEPENDENCYPART_ARC
(7,15),-1.12654 # DEPENDENCYPART_ARC
(7,16),-1.05212 # DEPENDENCYPART_ARC
(9,8),2.33201 # DEPENDENCYPART_ARC
(9,10),0.153418 # DEPENDENCYPART_ARC
(9,11),-0.379191 # DEPENDENCYPART_ARC
(9,13),-0.409182 # DEPENDENCYPART_ARC
(10,1),-0.497785 # DEPENDENCYPART_ARC
(10,3),-1.42247 # DEPENDENCYPART_ARC
(10,4),-0.677841 # DEPENDENCYPART_ARC
(10,5),-0.835839 # DEPENDENCYPART_ARC
(10,7),-0.450005 # DEPENDENCYPART_ARC
(10,9),-0.156842 # DEPENDENCYPART_ARC
(10,11),-0.362167 # DEPENDENCYPART_ARC
(10,13),-0.406997 # DEPENDENCYPART_ARC
(10,15),-0.836802 # DEPENDENCYPART_ARC
(10,16),-0.716642 # DEPENDENCYPART_ARC
(10,17),-0.918287 # DEPENDENCYPART_ARC
(10,18),-0.119871 # DEPENDENCYPART_ARC
(10,19),-0.744294 # DEPENDENCYPART_ARC
(11,10),0.463132 # DEPENDENCYPART_ARC
(11,12),-0.0243352 # DEPENDENCYPART_ARC
(11,13),2.2118 # DEPENDENCYPART_ARC
(11,15),-0.374854 # DEPENDENCYPART_ARC
(11,17),-0.0897902 # DEPENDENCYPART_ARC
(11,18),0.0708352 # DEPENDENCYPART_ARC
(11,23),-0.482103 # DEPENDENCYPART_ARC
(13,4),-1.75857 # DEPENDENCYPART_ARC
(13,5),-2.81291 # DEPENDENCYPART_ARC
(13,6),-2.04667 # DEPENDENCYPART_ARC
(13,8),-0.664545 # DEPENDENCYPART_ARC
(13,10),-0.747718 # DEPENDENCYPART_ARC
(13,11),-0.187884 # DEPENDENCYPART_ARC
(13,12),3.02223 # DEPENDENCYPART_ARC
(13,14),0.273358 # DEPENDENCYPART_ARC
(13,15),0.44521 # DEPENDENCYPART_ARC
(13,16),0.151731 # DEPENDENCYPART_ARC
(13,17),1.89298 # DEPENDENCYPART_ARC
(13,18),0.151675 # DEPENDENCYPART_ARC
(13,19),-0.720037 # DEPENDENCYPART_ARC
(13,20),-0.568947 # DEPENDENCYPART_ARC
(13,21),-2.17131 # DEPENDENCYPART_ARC
(13,23),0.189099 # DEPENDENCYPART_ARC
(15,12),-1.23023 # DEPENDENCYPART_ARC
(15,13),-2.26444 # DEPENDENCYPART_ARC
(15,14),0.697281 # DEPENDENCYPART_ARC
(15,16),0.43764 # DEPENDENCYPART_ARC
(15,17),0.359922 # DEPENDENCYPART_ARC
(15,18),-0.361777 # DEPENDENCYPART_ARC
(15,19),-1.38489 # DEPENDENCYPART_ARC
(15,20),-1.94866 # DEPENDENCYPART_ARC
(15,21),-2.36875 # DEPENDENCYPART_ARC
(16,13),-1.94941 # DEPENDENCYPART_ARC
(16,14),0.709091 # DEPENDENCYPART_ARC
(16,15),0.767572 # DEPENDENCYPART_ARC
(16,17),0.865689 # DEPENDENCYPART_ARC
(16,18),-0.528438 # DEPENDENCYPART_ARC
(16,19),-1.34832 # DEPENDENCYPART_ARC
(16,20),-2.05768 # DEPENDENCYPART_ARC
(16,21),-2.07032 # DEPENDENCYPART_ARC
(17,4),-0.703202 # DEPENDENCYPART_ARC
(17,5),-1.08175 # DEPENDENCYPART_ARC
(17,8),-1.20141 # DEPENDENCYPART_ARC
(17,10),0.339771 # DEPENDENCYPART_ARC
(17,11),-0.0441037 # DEPENDENCYPART_ARC
(17,12),-0.591282 # DEPENDENCYPART_ARC
(17,13),-2.08863 # DEPENDENCYPART_ARC
(17,14),2.55967 # DEPENDENCYPART_ARC
(17,15),3.12032 # DEPENDENCYPART_ARC
(17,16),3.10781 # DEPENDENCYPART_ARC
(17,18),-0.0300099 # DEPENDENCYPART_ARC
(17,19),-0.75549 # DEPENDENCYPART_ARC
(17,20),-1.76955 # DEPENDENCYPART_ARC
(17,21),-1.56215 # DEPENDENCYPART_ARC
(18,3),-2.14025 # DEPENDENCYPART_ARC
(18,5),-1.44069 # DEPENDENCYPART_ARC
(18,7),-1.29419 # DEPENDENCYPART_ARC
(18,10),-1.04645 # DEPENDENCYPART_ARC
(18,11),-0.756191 # DEPENDENCYPART_ARC
(18,13),-1.04873 # DEPENDENCYPART_ARC
(18,15),-0.939693 # DEPENDENCYPART_ARC
(18,16),-0.766671 # DEPENDENCYPART_ARC
(18,17),-0.768934 # DEPENDENCYPART_ARC
(18,19),-0.712644 # DEPENDENCYPART_ARC
(18,20),-1.18835 # DEPENDENCYPART_ARC
(18,21),-1.13609 # DEPENDENCYPART_ARC
(19,1),0.179821 # DEPENDENCYPART_ARC
(19,3),-0.846659 # DEPENDENCYPART_ARC
(19,4),0.02272 # DEPENDENCYPART_ARC
(19,5),-2.80449 # DEPENDENCYPART_ARC
(19,7),-1.09023 # DEPENDENCYPART_ARC
(19,9),-0.106698 # DEPENDENCYPART_ARC
(19,10),0.443554 # DEPENDENCYPART_ARC
(19,11),0.271204 # DEPENDENCYPART_ARC
(19,13),-0.385414 # DEPENDENCYPART_ARC
(19,14),-1.92616 # DEPENDENCYPART_ARC
(19,15),-2.31033 # DEPENDENCYPART_ARC
(19,16),-2.1079 # DEPENDENCYPART_ARC
(19,17),-1.39711 # DEPENDENCYPART_ARC
(19,18),0.97837 # DEPENDENCYPART_ARC
(19,20),2.84451 # DEPENDENCYPART_ARC
(19,21),0.584876 # DEPENDENCYPART_ARC
(19,23),0.566295 # DEPENDENCYPART_ARC
(20,18),-0.41551 # DEPENDENCYPART_ARC
(20,21),3.4829 # DEPENDENCYPART_ARC
(20,23),-0.0859898 # DEPENDENCYPART_ARC
(21,14),-2.52062 # DEPENDENCYPART_ARC
(21,15),-2.79752 # DEPENDENCYPART_ARC
(21,16),-2.7405 # DEPENDENCYPART_ARC
(21,17),-2.47437 # DEPENDENCYPART_ARC
(21,20),0.090985 # DEPENDENCYPART_ARC
(21,22),2.24849 # DEPENDENCYPART_ARC
(21,23),-0.584326 # DEPENDENCYPART_ARC
(23,7),-2.75823 # DEPENDENCYPART_ARC
(23,20),-1.81924 # DEPENDENCYPART_ARC
(23,21),-1.90364 # DEPENDENCYPART_ARC
