# _root_ Πιστεύω ότι αξίζει στ' αλήθεια τον κόπο να συνεχίσουμε το πρόγραμμα αυτό και , αν είναι δυνατόν , να αυξήσουμε τους σχετικούς πόρους .
#goldHeads=0,1,13,3,4,7,3,9,3,11,9,11,2,15,13,15,16,13,20,13,23,23,20,0,
#predictedHeads=0,1,2,5,3,7,3,9,13,11,9,11,2,15,9,15,16,15,20,16,23,23,20,0,
(3,5),2.17695 # DEPENDENCYPART_ARC
(3,7),0.988986 # DEPENDENCYPART_ARC
(3,9),-0.431291 # DEPENDENCYPART_ARC
(3,11),-1.1431 # DEPENDENCYPART_ARC
(3,13),-0.474452 # DEPENDENCYPART_ARC
(3,14),0.121222 # DEPENDENCYPART_ARC
(3,15),-0.446294 # DEPENDENCYPART_ARC
(3,17),-1.60729 # DEPENDENCYPART_ARC
(3,18),0.214059 # DEPENDENCYPART_ARC
(3,20),-2.47768 # DEPENDENCYPART_ARC
(3,22),-3.83053 # DEPENDENCYPART_ARC
(3,23),-2.47336 # DEPENDENCYPART_ARC
(3,24),0.111101 # DEPENDENCYPART_ARC
(4,5),1.52599 # DEPENDENCYPART_ARC
(4,7),0.180148 # DEPENDENCYPART_ARC
(5,1),-2.67884 # DEPENDENCYPART_ARC
(5,4),2.73842 # DEPENDENCYPART_ARC
(5,6),-0.577565 # DEPENDENCYPART_ARC
(5,7),0.31658 # DEPENDENCYPART_ARC
(5,8),-0.55341 # DEPENDENCYPART_ARC
(5,9),-0.331298 # DEPENDENCYPART_ARC
(5,11),-2.31563 # DEPENDENCYPART_ARC
(7,4),-0.533562 # DEPENDENCYPART_ARC
(7,5),-0.359542 # DEPENDENCYPART_ARC
(7,6),3.01335 # DEPENDENCYPART_ARC
(7,8),-0.0812332 # DEPENDENCYPART_ARC
(7,9),-0.21266 # DEPENDENCYPART_ARC
(7,11),-0.975315 # DEPENDENCYPART_ARC
(7,13),-0.237898 # DEPENDENCYPART_ARC
(7,15),-0.574934 # DEPENDENCYPART_ARC
(8,9),0.239109 # DEPENDENCYPART_ARC
(8,11),-0.80376 # DEPENDENCYPART_ARC
(9,1),-3.48761 # DEPENDENCYPART_ARC
(9,2),-0.890034 # DEPENDENCYPART_ARC
(9,3),-1.76626 # DEPENDENCYPART_ARC
(9,4),-1.7725 # DEPENDENCYPART_ARC
(9,5),-0.492614 # DEPENDENCYPART_ARC
(9,6),-0.793888 # DEPENDENCYPART_ARC
(9,7),-0.889655 # DEPENDENCYPART_ARC
(9,8),2.16746 # DEPENDENCYPART_ARC
(9,10),-0.734844 # DEPENDENCYPART_ARC
(9,11),2.25649 # DEPENDENCYPART_ARC
(9,12),-0.534144 # DEPENDENCYPART_ARC
(9,13),0.360639 # DEPENDENCYPART_ARC
(9,14),0.487405 # DEPENDENCYPART_ARC
(9,15),0.557908 # DEPENDENCYPART_ARC
(9,16),-4.04424 # DEPENDENCYPART_ARC
(9,17),-1.68299 # DEPENDENCYPART_ARC
(9,18),-0.0331443 # DEPENDENCYPART_ARC
(9,20),-2.45624 # DEPENDENCYPART_ARC
(9,23),-1.09429 # DEPENDENCYPART_ARC
(9,24),0.174328 # DEPENDENCYPART_ARC
(11,6),-0.0116997 # DEPENDENCYPART_ARC
(11,7),-0.643008 # DEPENDENCYPART_ARC
(11,9),-1.43207 # DEPENDENCYPART_ARC
(11,10),3.51536 # DEPENDENCYPART_ARC
(11,12),2.11411 # DEPENDENCYPART_ARC
(11,13),0.258722 # DEPENDENCYPART_ARC
(11,14),0.137387 # DEPENDENCYPART_ARC
(11,15),-0.211639 # DEPENDENCYPART_ARC
(11,16),-0.43106 # DEPENDENCYPART_ARC
(11,17),-1.01282 # DEPENDENCYPART_ARC
(11,20),-1.91928 # DEPENDENCYPART_ARC
(11,23),-1.95479 # DEPENDENCYPART_ARC
(12,13),-0.0123163 # DEPENDENCYPART_ARC
(12,14),-0.469026 # DEPENDENCYPART_ARC
(12,16),-1.61541 # DEPENDENCYPART_ARC
(13,1),0.0250827 # DEPENDENCYPART_ARC
(13,2),0.10512 # DEPENDENCYPART_ARC
(13,3),-0.145094 # DEPENDENCYPART_ARC
(13,4),-0.230685 # DEPENDENCYPART_ARC
(13,5),-0.490785 # DEPENDENCYPART_ARC
(13,7),-0.280349 # DEPENDENCYPART_ARC
(13,8),-0.0912416 # DEPENDENCYPART_ARC
(13,9),0.811908 # DEPENDENCYPART_ARC
(13,10),0.525502 # DEPENDENCYPART_ARC
(13,11),0.336129 # DEPENDENCYPART_ARC
(13,12),0.870023 # DEPENDENCYPART_ARC
(13,14),0.822377 # DEPENDENCYPART_ARC
(13,15),0.253716 # DEPENDENCYPART_ARC
(13,16),1.10857 # DEPENDENCYPART_ARC
(13,17),-0.416256 # DEPENDENCYPART_ARC
(13,18),-0.0934906 # DEPENDENCYPART_ARC
(13,20),-0.560803 # DEPENDENCYPART_ARC
(13,23),-1.44596 # DEPENDENCYPART_ARC
(14,1),-0.604424 # DEPENDENCYPART_ARC
(14,11),-0.502072 # DEPENDENCYPART_ARC
(14,13),-0.17795 # DEPENDENCYPART_ARC
(14,15),-0.337007 # DEPENDENCYPART_ARC
(14,17),-1.11864 # DEPENDENCYPART_ARC
(15,13),0.501031 # DEPENDENCYPART_ARC
(15,14),1.75138 # DEPENDENCYPART_ARC
(15,16),3.13996 # DEPENDENCYPART_ARC
(15,18),1.18663 # DEPENDENCYPART_ARC
(15,20),-0.268473 # DEPENDENCYPART_ARC
(15,24),0.293898 # DEPENDENCYPART_ARC
(16,1),-4.94737 # DEPENDENCYPART_ARC
(16,2),-2.59131 # DEPENDENCYPART_ARC
(16,3),-4.03516 # DEPENDENCYPART_ARC
(16,4),-0.785446 # DEPENDENCYPART_ARC
(16,5),-0.673976 # DEPENDENCYPART_ARC
(16,7),-1.98317 # DEPENDENCYPART_ARC
(16,9),-4.25706 # DEPENDENCYPART_ARC
(16,11),-1.81068 # DEPENDENCYPART_ARC
(16,12),-1.56241 # DEPENDENCYPART_ARC
(16,13),-0.774781 # DEPENDENCYPART_ARC
(16,14),0.243279 # DEPENDENCYPART_ARC
(16,15),0.0605955 # DEPENDENCYPART_ARC
(16,17),2.50642 # DEPENDENCYPART_ARC
(16,18),0.595059 # DEPENDENCYPART_ARC
(16,19),-0.404172 # DEPENDENCYPART_ARC
(16,20),1.10077 # DEPENDENCYPART_ARC
(16,22),-2.99474 # DEPENDENCYPART_ARC
(16,23),-1.25009 # DEPENDENCYPART_ARC
(16,24),-0.323347 # DEPENDENCYPART_ARC
(17,16),-2.01746 # DEPENDENCYPART_ARC
(17,18),-0.006167 # DEPENDENCYPART_ARC
(17,20),-1.36049 # DEPENDENCYPART_ARC
(17,23),-1.96087 # DEPENDENCYPART_ARC
(18,1),-0.2295 # DEPENDENCYPART_ARC
(18,5),-1.08584 # DEPENDENCYPART_ARC
(18,7),-0.992935 # DEPENDENCYPART_ARC
(18,11),-0.517273 # DEPENDENCYPART_ARC
(18,16),-0.315326 # DEPENDENCYPART_ARC
(18,17),-0.00232386 # DEPENDENCYPART_ARC
(18,20),-0.403886 # DEPENDENCYPART_ARC
(18,22),-0.590961 # DEPENDENCYPART_ARC
(18,23),-0.744307 # DEPENDENCYPART_ARC
(20,1),-4.28506 # DEPENDENCYPART_ARC
(20,2),-1.87273 # DEPENDENCYPART_ARC
(20,3),-3.00554 # DEPENDENCYPART_ARC
(20,4),-2.47025 # DEPENDENCYPART_ARC
(20,5),-2.38818 # DEPENDENCYPART_ARC
(20,7),-3.26278 # DEPENDENCYPART_ARC
(20,11),-2.72765 # DEPENDENCYPART_ARC
(20,12),-1.38182 # DEPENDENCYPART_ARC
(20,15),0.254489 # DEPENDENCYPART_ARC
(20,16),-3.02391 # DEPENDENCYPART_ARC
(20,17),-2.48512 # DEPENDENCYPART_ARC
(20,18),0.123842 # DEPENDENCYPART_ARC
(20,19),2.18722 # DEPENDENCYPART_ARC
(20,21),-0.656157 # DEPENDENCYPART_ARC
(20,22),-0.0835227 # DEPENDENCYPART_ARC
(20,23),1.67232 # DEPENDENCYPART_ARC
(20,24),0.334269 # DEPENDENCYPART_ARC
(22,21),1.04844 # DEPENDENCYPART_ARC
(22,23),0.0234098 # DEPENDENCYPART_ARC
(23,17),-2.00684 # DEPENDENCYPART_ARC
(23,21),2.98495 # DEPENDENCYPART_ARC
(23,22),3.8662 # DEPENDENCYPART_ARC
(23,24),0.230779 # DEPENDENCYPART_ARC
(24,1),-2.80409 # DEPENDENCYPART_ARC
(24,23),-2.12879 # DEPENDENCYPART_ARC
