# _root_ Θα ήθελα , τέλος , για άλλη μία φορά να αναφέρω αυτό που είπα στην αρχή της παρέμβασής μου .
#goldHeads=2,0,2,2,2,2,9,9,6,11,2,11,14,12,14,15,18,16,18,0,
#predictedHeads=2,0,2,2,4,2,9,9,6,11,6,11,14,12,14,15,18,16,18,0,
(14,6),-0.206092 # DEPENDENCYPART_ARC
(14,7),-1.93981 # DEPENDENCYPART_ARC
(14,9),-0.932506 # DEPENDENCYPART_ARC
(14,11),-0.799248 # DEPENDENCYPART_ARC
(14,12),-0.130089 # DEPENDENCYPART_ARC
(14,13),3.0168 # DEPENDENCYPART_ARC
(14,15),2.60144 # DEPENDENCYPART_ARC
(14,16),0.784455 # DEPENDENCYPART_ARC
(14,18),-1.32924 # DEPENDENCYPART_ARC
(14,20),0.438063 # DEPENDENCYPART_ARC
(15,16),3.83186 # DEPENDENCYPART_ARC
(15,18),-0.618706 # DEPENDENCYPART_ARC
(15,20),-0.577458 # DEPENDENCYPART_ARC
(16,9),-2.37331 # DEPENDENCYPART_ARC
(16,12),-1.36147 # DEPENDENCYPART_ARC
(16,13),-2.46217 # DEPENDENCYPART_ARC
(16,14),-2.46026 # DEPENDENCYPART_ARC
(16,15),0.140306 # DEPENDENCYPART_ARC
(16,17),0.325422 # DEPENDENCYPART_ARC
(16,18),1.66564 # DEPENDENCYPART_ARC
(16,20),-0.0490622 # DEPENDENCYPART_ARC
(17,18),0.508084 # DEPENDENCYPART_ARC
(18,2),-3.43965 # DEPENDENCYPART_ARC
(18,12),-1.89517 # DEPENDENCYPART_ARC
(18,13),-1.97049 # DEPENDENCYPART_ARC
(18,16),-1.50708 # DEPENDENCYPART_ARC
(18,17),2.95329 # DEPENDENCYPART_ARC
(18,19),2.33264 # DEPENDENCYPART_ARC
(18,20),-0.170702 # DEPENDENCYPART_ARC
(20,2),-3.00494 # DEPENDENCYPART_ARC
(20,3),-2.06866 # DEPENDENCYPART_ARC
(20,4),-2.90235 # DEPENDENCYPART_ARC
(20,5),-2.25549 # DEPENDENCYPART_ARC
(20,7),-2.24363 # DEPENDENCYPART_ARC
(20,15),-2.24241 # DEPENDENCYPART_ARC
(20,18),-2.0138 # DEPENDENCYPART_ARC
