# _root_ Πιστεύω ότι το ένταλμα για το οποίο εργαζόμαστε μπορεί να είναι , τουλάχιστον , πρακτικό και να μας οδηγήσει σε θετικά αποτελέσματα .
#goldHeads=0,1,4,16,8,7,5,4,2,11,16,13,11,13,11,9,19,19,16,19,22,20,0,
#predictedHeads=0,1,4,9,4,7,5,2,2,11,9,13,11,16,16,11,19,19,16,19,22,20,0,
(11,10),2.11143 # DEPENDENCYPART_ARC
(11,12),0.623312 # DEPENDENCYPART_ARC
(11,13),1.06418 # DEPENDENCYPART_ARC
(11,14),0.397233 # DEPENDENCYPART_ARC
(11,15),-0.669134 # DEPENDENCYPART_ARC
(11,16),0.0049896 # DEPENDENCYPART_ARC
(11,18),-4.58175 # DEPENDENCYPART_ARC
(11,19),-1.19354 # DEPENDENCYPART_ARC
(11,20),-1.26831 # DEPENDENCYPART_ARC
(11,22),-1.88887 # DEPENDENCYPART_ARC
(12,1),-0.467343 # DEPENDENCYPART_ARC
(12,5),-0.66456 # DEPENDENCYPART_ARC
(12,10),-0.160194 # DEPENDENCYPART_ARC
(12,11),-0.673817 # DEPENDENCYPART_ARC
(12,13),-0.398746 # DEPENDENCYPART_ARC
(12,14),-0.0196008 # DEPENDENCYPART_ARC
(12,15),-0.309429 # DEPENDENCYPART_ARC
(12,22),-1.62913 # DEPENDENCYPART_ARC
(13,4),-0.823925 # DEPENDENCYPART_ARC
(13,5),-0.554484 # DEPENDENCYPART_ARC
(13,7),-1.56107 # DEPENDENCYPART_ARC
(13,11),-0.454377 # DEPENDENCYPART_ARC
(13,12),1.24247 # DEPENDENCYPART_ARC
(13,14),0.746021 # DEPENDENCYPART_ARC
(13,15),-0.195687 # DEPENDENCYPART_ARC
(13,16),-0.0901369 # DEPENDENCYPART_ARC
(13,19),-1.15585 # DEPENDENCYPART_ARC
(13,20),-1.37269 # DEPENDENCYPART_ARC
(14,1),0.161295 # DEPENDENCYPART_ARC
(14,4),-1.2454 # DEPENDENCYPART_ARC
(14,5),0.387392 # DEPENDENCYPART_ARC
(14,11),-0.215332 # DEPENDENCYPART_ARC
(14,12),0.196959 # DEPENDENCYPART_ARC
(14,13),0.191523 # DEPENDENCYPART_ARC
(14,15),0.0989134 # DEPENDENCYPART_ARC
(14,16),-0.257716 # DEPENDENCYPART_ARC
(14,19),-0.965085 # DEPENDENCYPART_ARC
(14,22),-1.77325 # DEPENDENCYPART_ARC
(15,12),-0.255668 # DEPENDENCYPART_ARC
(15,13),0.306655 # DEPENDENCYPART_ARC
(15,14),0.475632 # DEPENDENCYPART_ARC
(15,16),0.210935 # DEPENDENCYPART_ARC
(15,19),-1.09962 # DEPENDENCYPART_ARC
(15,20),-0.961704 # DEPENDENCYPART_ARC
(15,22),-1.74423 # DEPENDENCYPART_ARC
(16,1),-0.610127 # DEPENDENCYPART_ARC
(16,2),-0.661924 # DEPENDENCYPART_ARC
(16,4),-0.757565 # DEPENDENCYPART_ARC
(16,5),-0.653028 # DEPENDENCYPART_ARC
(16,7),-0.202667 # DEPENDENCYPART_ARC
(16,8),-0.711966 # DEPENDENCYPART_ARC
(16,9),-0.545028 # DEPENDENCYPART_ARC
(16,11),0.568918 # DEPENDENCYPART_ARC
(16,12),0.3107 # DEPENDENCYPART_ARC
(16,13),0.412914 # DEPENDENCYPART_ARC
(16,14),1.05839 # DEPENDENCYPART_ARC
(16,15),1.31549 # DEPENDENCYPART_ARC
(16,17),0.502322 # DEPENDENCYPART_ARC
(16,19),1.42957 # DEPENDENCYPART_ARC
(16,20),0.315817 # DEPENDENCYPART_ARC
(16,21),0.551716 # DEPENDENCYPART_ARC
(16,22),-0.722976 # DEPENDENCYPART_ARC
(16,23),0.546803 # DEPENDENCYPART_ARC
(17,19),-0.0736923 # DEPENDENCYPART_ARC
(19,1),-3.4047 # DEPENDENCYPART_ARC
(19,2),-0.983634 # DEPENDENCYPART_ARC
(19,4),-0.114237 # DEPENDENCYPART_ARC
(19,5),-0.196632 # DEPENDENCYPART_ARC
(19,7),0.708486 # DEPENDENCYPART_ARC
(19,8),-3.10178 # DEPENDENCYPART_ARC
(19,9),-2.87543 # DEPENDENCYPART_ARC
(19,11),-3.31377 # DEPENDENCYPART_ARC
(19,12),0.444078 # DEPENDENCYPART_ARC
(19,13),0.0458345 # DEPENDENCYPART_ARC
(19,14),0.609006 # DEPENDENCYPART_ARC
(19,15),-1.70608 # DEPENDENCYPART_ARC
(19,16),0.324241 # DEPENDENCYPART_ARC
(19,17),2.07868 # DEPENDENCYPART_ARC
(19,18),1.74066 # DEPENDENCYPART_ARC
(19,20),1.95723 # DEPENDENCYPART_ARC
(19,21),-0.994164 # DEPENDENCYPART_ARC
(19,22),0.377941 # DEPENDENCYPART_ARC
(19,23),0.204663 # DEPENDENCYPART_ARC
(20,21),1.02117 # DEPENDENCYPART_ARC
(20,22),2.61472 # DEPENDENCYPART_ARC
(20,23),0.158883 # DEPENDENCYPART_ARC
(21,20),-0.403976 # DEPENDENCYPART_ARC
(21,22),0.403842 # DEPENDENCYPART_ARC
(21,23),-0.329056 # DEPENDENCYPART_ARC
(22,13),-1.0126 # DEPENDENCYPART_ARC
(22,20),0.445272 # DEPENDENCYPART_ARC
(22,21),3.52371 # DEPENDENCYPART_ARC
(22,23),0.318521 # DEPENDENCYPART_ARC
(23,15),-2.58798 # DEPENDENCYPART_ARC
(23,18),-2.565 # DEPENDENCYPART_ARC
(23,20),-1.9594 # DEPENDENCYPART_ARC
(23,22),-2.14797 # DEPENDENCYPART_ARC
