# _root_ Όπως το υπογραμμίζετε , κυρία , πρόκειται πράγματι για ένα προϊόν πολύ περίπλοκο και σύνθετο .
#goldHeads=3,3,7,5,0,5,0,7,7,11,9,14,14,11,14,0,
#predictedHeads=3,3,7,7,3,7,0,7,7,11,9,13,14,7,14,0,
(6,1),-0.518004 # DEPENDENCYPART_ARC
(6,2),-0.701118 # DEPENDENCYPART_ARC
(6,3),-0.467167 # DEPENDENCYPART_ARC
(6,4),0.31382 # DEPENDENCYPART_ARC
(6,5),0.180446 # DEPENDENCYPART_ARC
(6,7),-0.795769 # DEPENDENCYPART_ARC
(6,8),-1.39206 # DEPENDENCYPART_ARC
(6,11),-1.44732 # DEPENDENCYPART_ARC
(6,13),-1.79718 # DEPENDENCYPART_ARC
(6,15),-1.7867 # DEPENDENCYPART_ARC
(7,1),0.647834 # DEPENDENCYPART_ARC
(7,3),0.55484 # DEPENDENCYPART_ARC
(7,4),0.920065 # DEPENDENCYPART_ARC
(7,5),-0.354362 # DEPENDENCYPART_ARC
(7,6),1.0965 # DEPENDENCYPART_ARC
(7,8),2.09133 # DEPENDENCYPART_ARC
(7,9),1.34428 # DEPENDENCYPART_ARC
(7,11),0.284375 # DEPENDENCYPART_ARC
(7,12),0.370834 # DEPENDENCYPART_ARC
(7,13),-0.37022 # DEPENDENCYPART_ARC
(7,14),0.125649 # DEPENDENCYPART_ARC
(7,15),-0.652852 # DEPENDENCYPART_ARC
(7,16),0.729508 # DEPENDENCYPART_ARC
(8,1),-0.7027 # DEPENDENCYPART_ARC
(8,3),-1.40419 # DEPENDENCYPART_ARC
(8,4),-0.618699 # DEPENDENCYPART_ARC
(8,5),-0.990248 # DEPENDENCYPART_ARC
(8,6),-0.151039 # DEPENDENCYPART_ARC
(8,9),0.145941 # DEPENDENCYPART_ARC
(8,11),-0.76371 # DEPENDENCYPART_ARC
(8,12),-0.973044 # DEPENDENCYPART_ARC
(8,14),-0.63123 # DEPENDENCYPART_ARC
(8,16),-0.798729 # DEPENDENCYPART_ARC
(9,6),-0.180093 # DEPENDENCYPART_ARC
(9,8),0.224363 # DEPENDENCYPART_ARC
(9,10),-0.0163883 # DEPENDENCYPART_ARC
(9,11),2.36925 # DEPENDENCYPART_ARC
(9,12),-0.404932 # DEPENDENCYPART_ARC
(9,13),-0.112264 # DEPENDENCYPART_ARC
(9,14),-0.315483 # DEPENDENCYPART_ARC
(9,16),-0.446074 # DEPENDENCYPART_ARC
(11,1),-1.68902 # DEPENDENCYPART_ARC
(11,3),-3.8804 # DEPENDENCYPART_ARC
(11,4),-1.13302 # DEPENDENCYPART_ARC
(11,8),-0.699379 # DEPENDENCYPART_ARC
(11,9),-0.0462616 # DEPENDENCYPART_ARC
(11,10),3.00717 # DEPENDENCYPART_ARC
(11,12),0.364731 # DEPENDENCYPART_ARC
(11,13),0.22604 # DEPENDENCYPART_ARC
(11,14),-0.0456262 # DEPENDENCYPART_ARC
(11,15),-0.323038 # DEPENDENCYPART_ARC
(11,16),-0.499017 # DEPENDENCYPART_ARC
(12,1),-0.824473 # DEPENDENCYPART_ARC
(12,3),-1.25555 # DEPENDENCYPART_ARC
(12,4),-0.759433 # DEPENDENCYPART_ARC
(12,6),-0.661593 # DEPENDENCYPART_ARC
(12,8),-0.221391 # DEPENDENCYPART_ARC
(12,9),-0.229232 # DEPENDENCYPART_ARC
(12,11),-0.0404329 # DEPENDENCYPART_ARC
(12,13),0.246609 # DEPENDENCYPART_ARC
(12,14),-0.109477 # DEPENDENCYPART_ARC
(12,15),-0.613658 # DEPENDENCYPART_ARC
(12,16),-0.595449 # DEPENDENCYPART_ARC
(13,5),-1.69201 # DEPENDENCYPART_ARC
(13,8),0.417119 # DEPENDENCYPART_ARC
(13,9),0.129851 # DEPENDENCYPART_ARC
(13,11),0.644691 # DEPENDENCYPART_ARC
(13,12),1.78091 # DEPENDENCYPART_ARC
(13,14),0.372656 # DEPENDENCYPART_ARC
(13,15),0.135944 # DEPENDENCYPART_ARC
(13,16),0.0377658 # DEPENDENCYPART_ARC
(14,1),-0.437659 # DEPENDENCYPART_ARC
(14,3),-1.36163 # DEPENDENCYPART_ARC
(14,4),-0.685623 # DEPENDENCYPART_ARC
(14,5),-0.503325 # DEPENDENCYPART_ARC
(14,6),-0.711908 # DEPENDENCYPART_ARC
(14,7),0.387559 # DEPENDENCYPART_ARC
(14,8),0.0286961 # DEPENDENCYPART_ARC
(14,9),0.371867 # DEPENDENCYPART_ARC
(14,10),0.238938 # DEPENDENCYPART_ARC
(14,11),0.313082 # DEPENDENCYPART_ARC
(14,12),0.278011 # DEPENDENCYPART_ARC
(14,13),2.37396 # DEPENDENCYPART_ARC
(14,15),2.50678 # DEPENDENCYPART_ARC
(14,16),0.209087 # DEPENDENCYPART_ARC
(15,11),-0.0180135 # DEPENDENCYPART_ARC
(15,12),0.726285 # DEPENDENCYPART_ARC
(15,13),0.49613 # DEPENDENCYPART_ARC
(15,14),0.742783 # DEPENDENCYPART_ARC
(15,16),0.293305 # DEPENDENCYPART_ARC
(16,13),-2.19995 # DEPENDENCYPART_ARC
(16,14),-1.77898 # DEPENDENCYPART_ARC
(16,15),-1.66065 # DEPENDENCYPART_ARC
