# _root_ Εσείς αυξηθήκατε περισσότερο , έχετε την τρόικα και την προεδρική τριάδα , αλλά είμαστε σχετικά κερδισμένοι .
#goldHeads=2,4,2,13,4,7,8,5,11,11,8,13,0,13,16,14,0,
#predictedHeads=2,13,2,5,13,7,8,5,11,11,8,13,0,13,16,14,0,
(5,7),1.30453 # DEPENDENCYPART_ARC
(5,8),0.298179 # DEPENDENCYPART_ARC
(5,10),-2.59756 # DEPENDENCYPART_ARC
(5,11),-0.786768 # DEPENDENCYPART_ARC
(5,12),0.340239 # DEPENDENCYPART_ARC
(5,13),-0.5125 # DEPENDENCYPART_ARC
(5,14),-4.44194 # DEPENDENCYPART_ARC
(5,15),-1.76915 # DEPENDENCYPART_ARC
(5,17),-0.531102 # DEPENDENCYPART_ARC
(7,2),-2.9926 # DEPENDENCYPART_ARC
(7,3),-1.11695 # DEPENDENCYPART_ARC
(7,4),-0.870287 # DEPENDENCYPART_ARC
(7,5),-2.68133 # DEPENDENCYPART_ARC
(7,6),3.03789 # DEPENDENCYPART_ARC
(7,8),0.358765 # DEPENDENCYPART_ARC
(7,9),-0.63822 # DEPENDENCYPART_ARC
(7,10),-0.970165 # DEPENDENCYPART_ARC
(7,11),-1.20134 # DEPENDENCYPART_ARC
(7,12),-0.74956 # DEPENDENCYPART_ARC
(8,1),-0.0175971 # DEPENDENCYPART_ARC
(8,2),-0.583286 # DEPENDENCYPART_ARC
(8,3),-0.286417 # DEPENDENCYPART_ARC
(8,4),0.270486 # DEPENDENCYPART_ARC
(8,5),0.721795 # DEPENDENCYPART_ARC
(8,6),0.678717 # DEPENDENCYPART_ARC
(8,7),2.66025 # DEPENDENCYPART_ARC
(8,9),-0.288673 # DEPENDENCYPART_ARC
(8,10),1.022 # DEPENDENCYPART_ARC
(8,11),1.57891 # DEPENDENCYPART_ARC
(8,12),-0.000961405 # DEPENDENCYPART_ARC
(8,13),-0.232613 # DEPENDENCYPART_ARC
(8,14),0.454911 # DEPENDENCYPART_ARC
(8,15),-0.436129 # DEPENDENCYPART_ARC
(8,16),-0.800567 # DEPENDENCYPART_ARC
(8,17),-0.319735 # DEPENDENCYPART_ARC
(10,7),-1.79358 # DEPENDENCYPART_ARC
(10,8),-0.44703 # DEPENDENCYPART_ARC
(10,9),0.867919 # DEPENDENCYPART_ARC
(10,11),0.0211543 # DEPENDENCYPART_ARC
(10,12),-0.443121 # DEPENDENCYPART_ARC
(10,13),-0.481523 # DEPENDENCYPART_ARC
(10,14),-2.1346 # DEPENDENCYPART_ARC
(11,2),-2.70987 # DEPENDENCYPART_ARC
(11,3),-0.968582 # DEPENDENCYPART_ARC
(11,4),-0.492896 # DEPENDENCYPART_ARC
(11,5),-3.52 # DEPENDENCYPART_ARC
(11,6),1.03348 # DEPENDENCYPART_ARC
(11,7),-0.466982 # DEPENDENCYPART_ARC
(11,8),0.100408 # DEPENDENCYPART_ARC
(11,9),2.94428 # DEPENDENCYPART_ARC
(11,10),3.28731 # DEPENDENCYPART_ARC
(11,12),0.186197 # DEPENDENCYPART_ARC
(11,13),0.0341121 # DEPENDENCYPART_ARC
(11,14),-1.061 # DEPENDENCYPART_ARC
(11,15),-0.757226 # DEPENDENCYPART_ARC
(11,16),-1.79441 # DEPENDENCYPART_ARC
(12,2),-1.01595 # DEPENDENCYPART_ARC
(12,4),-0.759851 # DEPENDENCYPART_ARC
(12,5),-0.68098 # DEPENDENCYPART_ARC
(12,7),-0.597688 # DEPENDENCYPART_ARC
(12,8),-0.147355 # DEPENDENCYPART_ARC
(12,10),-0.25913 # DEPENDENCYPART_ARC
(12,11),-0.0878834 # DEPENDENCYPART_ARC
(12,13),-0.261435 # DEPENDENCYPART_ARC
(12,14),-0.713876 # DEPENDENCYPART_ARC
(12,15),-1.09793 # DEPENDENCYPART_ARC
(12,16),-1.2331 # DEPENDENCYPART_ARC
(12,17),-0.607636 # DEPENDENCYPART_ARC
(13,2),0.97286 # DEPENDENCYPART_ARC
(13,3),-0.207122 # DEPENDENCYPART_ARC
(13,4),0.134752 # DEPENDENCYPART_ARC
(13,5),1.95849 # DEPENDENCYPART_ARC
(13,7),0.0676284 # DEPENDENCYPART_ARC
(13,8),-0.103818 # DEPENDENCYPART_ARC
(13,9),0.089943 # DEPENDENCYPART_ARC
(13,10),0.401016 # DEPENDENCYPART_ARC
(13,11),-0.0623546 # DEPENDENCYPART_ARC
(13,12),1.39658 # DEPENDENCYPART_ARC
(13,14),2.31877 # DEPENDENCYPART_ARC
(13,15),-0.325735 # DEPENDENCYPART_ARC
(13,16),-0.361669 # DEPENDENCYPART_ARC
(13,17),0.0439685 # DEPENDENCYPART_ARC
(14,2),-4.27727 # DEPENDENCYPART_ARC
(14,3),-1.29076 # DEPENDENCYPART_ARC
(14,4),-0.767841 # DEPENDENCYPART_ARC
(14,5),-1.96407 # DEPENDENCYPART_ARC
(14,7),-2.16228 # DEPENDENCYPART_ARC
(14,8),-0.500443 # DEPENDENCYPART_ARC
(14,9),-0.974349 # DEPENDENCYPART_ARC
(14,10),-0.765265 # DEPENDENCYPART_ARC
(14,11),-1.57836 # DEPENDENCYPART_ARC
(14,12),0.465516 # DEPENDENCYPART_ARC
(14,13),0.635476 # DEPENDENCYPART_ARC
(14,15),1.53376 # DEPENDENCYPART_ARC
(14,16),1.79039 # DEPENDENCYPART_ARC
(14,17),0.345559 # DEPENDENCYPART_ARC
(15,3),-0.801424 # DEPENDENCYPART_ARC
(15,8),-0.499886 # DEPENDENCYPART_ARC
(15,12),-0.33865 # DEPENDENCYPART_ARC
(15,13),-0.546056 # DEPENDENCYPART_ARC
(15,14),-0.600884 # DEPENDENCYPART_ARC
(15,16),0.1453 # DEPENDENCYPART_ARC
(15,17),-0.168817 # DEPENDENCYPART_ARC
(16,7),-2.01098 # DEPENDENCYPART_ARC
(16,11),-1.95268 # DEPENDENCYPART_ARC
(16,15),1.69566 # DEPENDENCYPART_ARC
(16,17),0.434743 # DEPENDENCYPART_ARC
(17,13),-1.91746 # DEPENDENCYPART_ARC
(17,14),-2.14289 # DEPENDENCYPART_ARC
(17,15),-1.91417 # DEPENDENCYPART_ARC
(17,16),-1.77325 # DEPENDENCYPART_ARC
