# _root_ Επιλέξτε κάποιον καλύτερο , τόσο από τον Cox όσο και από τον Martin , ψηφίζοντας τον κ. Bonde του γραφείου 007 .
#goldHeads=0,1,2,10,10,5,8,6,10,3,9,13,11,10,1,18,18,15,20,18,20,0,
#predictedHeads=0,1,2,5,10,10,8,6,10,1,10,13,11,15,1,18,18,15,20,18,20,0,
(7,9),0.366929 # DEPENDENCYPART_ARC
(8,7),1.89794 # DEPENDENCYPART_ARC
(8,9),0.809097 # DEPENDENCYPART_ARC
(8,13),-0.315198 # DEPENDENCYPART_ARC
(9,1),-1.88165 # DEPENDENCYPART_ARC
(9,4),-0.839176 # DEPENDENCYPART_ARC
(9,5),-0.628175 # DEPENDENCYPART_ARC
(9,6),-0.457203 # DEPENDENCYPART_ARC
(9,7),-0.0537055 # DEPENDENCYPART_ARC
(9,8),0.0187665 # DEPENDENCYPART_ARC
(9,10),0.0950974 # DEPENDENCYPART_ARC
(9,11),-0.0674458 # DEPENDENCYPART_ARC
(9,15),-1.66784 # DEPENDENCYPART_ARC
(9,17),-1.42362 # DEPENDENCYPART_ARC
(10,1),0.652399 # DEPENDENCYPART_ARC
(10,2),0.626199 # DEPENDENCYPART_ARC
(10,3),0.632094 # DEPENDENCYPART_ARC
(10,4),0.490511 # DEPENDENCYPART_ARC
(10,5),1.65265 # DEPENDENCYPART_ARC
(10,6),2.0167 # DEPENDENCYPART_ARC
(10,7),0.82548 # DEPENDENCYPART_ARC
(10,8),0.81793 # DEPENDENCYPART_ARC
(10,9),1.75145 # DEPENDENCYPART_ARC
(10,11),1.36122 # DEPENDENCYPART_ARC
(10,13),0.785449 # DEPENDENCYPART_ARC
(10,14),0.583556 # DEPENDENCYPART_ARC
(10,15),0.573895 # DEPENDENCYPART_ARC
(10,20),-1.13703 # DEPENDENCYPART_ARC
(10,22),-0.0794488 # DEPENDENCYPART_ARC
(11,9),-0.283577 # DEPENDENCYPART_ARC
(11,10),0.290468 # DEPENDENCYPART_ARC
(11,12),0.113817 # DEPENDENCYPART_ARC
(11,13),1.17863 # DEPENDENCYPART_ARC
(11,14),0.394717 # DEPENDENCYPART_ARC
(11,15),-0.287441 # DEPENDENCYPART_ARC
(11,17),-0.716293 # DEPENDENCYPART_ARC
(11,22),-1.14996 # DEPENDENCYPART_ARC
(13,10),-0.0660084 # DEPENDENCYPART_ARC
(13,12),2.10109 # DEPENDENCYPART_ARC
(13,14),0.0051367 # DEPENDENCYPART_ARC
(13,15),-0.23547 # DEPENDENCYPART_ARC
(13,18),-0.802007 # DEPENDENCYPART_ARC
(14,1),-0.893136 # DEPENDENCYPART_ARC
(14,2),-1.21383 # DEPENDENCYPART_ARC
(14,4),-1.92334 # DEPENDENCYPART_ARC
(14,5),-0.710484 # DEPENDENCYPART_ARC
(14,6),-0.570504 # DEPENDENCYPART_ARC
(14,11),-0.460893 # DEPENDENCYPART_ARC
(14,13),-0.423394 # DEPENDENCYPART_ARC
(14,15),-0.375577 # DEPENDENCYPART_ARC
(14,17),-1.21285 # DEPENDENCYPART_ARC
(14,20),-1.41079 # DEPENDENCYPART_ARC
(14,22),-0.981878 # DEPENDENCYPART_ARC
(15,1),-4.36819 # DEPENDENCYPART_ARC
(15,3),-1.63245 # DEPENDENCYPART_ARC
(15,4),0.342453 # DEPENDENCYPART_ARC
(15,5),-0.513391 # DEPENDENCYPART_ARC
(15,6),-0.501009 # DEPENDENCYPART_ARC
(15,8),-0.475735 # DEPENDENCYPART_ARC
(15,9),-0.57316 # DEPENDENCYPART_ARC
(15,10),0.139555 # DEPENDENCYPART_ARC
(15,11),0.275532 # DEPENDENCYPART_ARC
(15,12),-0.887005 # DEPENDENCYPART_ARC
(15,13),0.0485596 # DEPENDENCYPART_ARC
(15,14),0.687268 # DEPENDENCYPART_ARC
(15,16),-0.263546 # DEPENDENCYPART_ARC
(15,17),0.884 # DEPENDENCYPART_ARC
(15,18),0.570559 # DEPENDENCYPART_ARC
(15,20),-1.67845 # DEPENDENCYPART_ARC
(15,21),0.309497 # DEPENDENCYPART_ARC
(15,22),0.787396 # DEPENDENCYPART_ARC
(17,14),-0.79783 # DEPENDENCYPART_ARC
(17,16),1.03107 # DEPENDENCYPART_ARC
(17,20),0.310648 # DEPENDENCYPART_ARC
(18,10),-0.361939 # DEPENDENCYPART_ARC
(18,16),1.99981 # DEPENDENCYPART_ARC
(18,17),1.82169 # DEPENDENCYPART_ARC
(18,20),0.788874 # DEPENDENCYPART_ARC
(20,1),-3.17474 # DEPENDENCYPART_ARC
(20,12),-3.27679 # DEPENDENCYPART_ARC
(20,16),-1.48479 # DEPENDENCYPART_ARC
(20,18),-0.13317 # DEPENDENCYPART_ARC
(20,19),2.45938 # DEPENDENCYPART_ARC
(20,21),1.40363 # DEPENDENCYPART_ARC
(20,22),-0.0588012 # DEPENDENCYPART_ARC
(21,20),0.116 # DEPENDENCYPART_ARC
(21,22),0.463612 # DEPENDENCYPART_ARC
(22,1),-2.847 # DEPENDENCYPART_ARC
(22,4),-3.06889 # DEPENDENCYPART_ARC
(22,11),-2.75205 # DEPENDENCYPART_ARC
(22,20),-2.31973 # DEPENDENCYPART_ARC
(22,21),-1.53143 # DEPENDENCYPART_ARC
