# _root_ Τα κράτη δεν μπορούν να διαθέτουν δύο ποινικούς κώδικες , έναν που θα εφαρμόζεται στη διακίνηση ναρκωτικών αποκλειστικά μέσα στα σύνορά τους , και έναν άλλο που θα εφαρμόζεται στη διακίνηση ναρκωτικών όταν αυτή έχει διασυνοριακή διάσταση .
#goldHeads=2,4,4,0,6,4,9,9,10,6,24,14,14,11,14,15,16,19,16,19,20,21,10,10,24,25,29,29,25,29,30,31,29,35,33,37,35,0,
#predictedHeads=2,4,4,0,6,4,9,9,6,14,10,14,14,9,14,15,16,19,14,19,20,21,24,14,26,27,29,29,24,29,30,31,29,37,33,37,35,0,
(6,16),-1.89869 # DEPENDENCYPART_ARC
(6,17),-2.93427 # DEPENDENCYPART_ARC
(6,18),-0.827809 # DEPENDENCYPART_ARC
(6,19),-0.620894 # DEPENDENCYPART_ARC
(6,20),-1.44141 # DEPENDENCYPART_ARC
(6,23),-0.508301 # DEPENDENCYPART_ARC
(6,24),-0.510758 # DEPENDENCYPART_ARC
(6,30),-2.29427 # DEPENDENCYPART_ARC
(6,33),-0.50926 # DEPENDENCYPART_ARC
(7,8),0.256481 # DEPENDENCYPART_ARC
(7,14),-1.63762 # DEPENDENCYPART_ARC
(8,2),-0.66807 # DEPENDENCYPART_ARC
(8,7),1.95233 # DEPENDENCYPART_ARC
(8,9),0.0596785 # DEPENDENCYPART_ARC
(8,10),-0.363272 # DEPENDENCYPART_ARC
(8,14),-1.81556 # DEPENDENCYPART_ARC
(9,1),0.0704993 # DEPENDENCYPART_ARC
(9,2),-1.52036 # DEPENDENCYPART_ARC
(9,4),-2.46694 # DEPENDENCYPART_ARC
(9,6),-1.98281 # DEPENDENCYPART_ARC
(9,7),1.98916 # DEPENDENCYPART_ARC
(9,8),3.48428 # DEPENDENCYPART_ARC
(9,10),0.0472753 # DEPENDENCYPART_ARC
(9,12),-2.55827 # DEPENDENCYPART_ARC
(9,14),-0.0799562 # DEPENDENCYPART_ARC
(10,2),-0.712464 # DEPENDENCYPART_ARC
(10,4),-0.694141 # DEPENDENCYPART_ARC
(10,6),-0.702366 # DEPENDENCYPART_ARC
(10,7),0.0704574 # DEPENDENCYPART_ARC
(10,8),-0.239345 # DEPENDENCYPART_ARC
(10,9),0.4635 # DEPENDENCYPART_ARC
(10,11),0.0415998 # DEPENDENCYPART_ARC
(10,14),-1.03444 # DEPENDENCYPART_ARC
(12,10),-0.447848 # DEPENDENCYPART_ARC
(14,2),0.118216 # DEPENDENCYPART_ARC
(14,4),-2.52491 # DEPENDENCYPART_ARC
(14,6),-1.55993 # DEPENDENCYPART_ARC
(14,7),-1.0587 # DEPENDENCYPART_ARC
(14,8),-0.384979 # DEPENDENCYPART_ARC
(14,9),-1.3998 # DEPENDENCYPART_ARC
(14,10),0.895921 # DEPENDENCYPART_ARC
(14,11),-0.980408 # DEPENDENCYPART_ARC
(14,12),3.34806 # DEPENDENCYPART_ARC
(14,13),2.46931 # DEPENDENCYPART_ARC
(14,15),1.89666 # DEPENDENCYPART_ARC
(14,16),0.405535 # DEPENDENCYPART_ARC
(14,17),-0.921821 # DEPENDENCYPART_ARC
(14,18),0.684255 # DEPENDENCYPART_ARC
(14,19),0.735562 # DEPENDENCYPART_ARC
(14,20),0.155512 # DEPENDENCYPART_ARC
(14,21),-2.06135 # DEPENDENCYPART_ARC
(14,23),0.23736 # DEPENDENCYPART_ARC
(14,24),0.280766 # DEPENDENCYPART_ARC
(14,29),-3.08668 # DEPENDENCYPART_ARC
(14,30),-1.63988 # DEPENDENCYPART_ARC
(14,32),-4.77974 # DEPENDENCYPART_ARC
(14,33),0.0198469 # DEPENDENCYPART_ARC
(14,37),-3.80069 # DEPENDENCYPART_ARC
(15,16),3.32926 # DEPENDENCYPART_ARC
(15,17),-0.29916 # DEPENDENCYPART_ARC
(16,11),-1.41192 # DEPENDENCYPART_ARC
(16,12),-1.93801 # DEPENDENCYPART_ARC
(16,17),2.27353 # DEPENDENCYPART_ARC
(16,18),0.0940946 # DEPENDENCYPART_ARC
(16,19),-0.319065 # DEPENDENCYPART_ARC
(16,20),-0.545715 # DEPENDENCYPART_ARC
(16,21),-1.66248 # DEPENDENCYPART_ARC
(16,24),-0.281171 # DEPENDENCYPART_ARC
(16,29),-0.528468 # DEPENDENCYPART_ARC
(16,30),-1.89107 # DEPENDENCYPART_ARC
(16,35),-1.16224 # DEPENDENCYPART_ARC
(17,11),-2.15422 # DEPENDENCYPART_ARC
(17,12),-1.82405 # DEPENDENCYPART_ARC
(17,15),-1.16449 # DEPENDENCYPART_ARC
(17,16),-0.737685 # DEPENDENCYPART_ARC
(17,18),0.250807 # DEPENDENCYPART_ARC
(17,19),-0.227957 # DEPENDENCYPART_ARC
(17,20),-0.696674 # DEPENDENCYPART_ARC
(17,21),-1.14538 # DEPENDENCYPART_ARC
(17,24),-0.271488 # DEPENDENCYPART_ARC
(17,29),-0.716583 # DEPENDENCYPART_ARC
(17,35),-1.96395 # DEPENDENCYPART_ARC
(18,12),-1.83036 # DEPENDENCYPART_ARC
(18,15),-0.0947019 # DEPENDENCYPART_ARC
(18,16),-0.692516 # DEPENDENCYPART_ARC
(18,17),0.181775 # DEPENDENCYPART_ARC
(18,19),0.0426 # DEPENDENCYPART_ARC
(18,20),0.399878 # DEPENDENCYPART_ARC
(18,21),-0.539986 # DEPENDENCYPART_ARC
(18,23),-0.391688 # DEPENDENCYPART_ARC
(18,24),-0.334211 # DEPENDENCYPART_ARC
(18,29),-1.45045 # DEPENDENCYPART_ARC
(19,4),-0.995607 # DEPENDENCYPART_ARC
(19,6),-1.05797 # DEPENDENCYPART_ARC
(19,12),-1.54126 # DEPENDENCYPART_ARC
(19,15),0.114044 # DEPENDENCYPART_ARC
(19,16),-0.480933 # DEPENDENCYPART_ARC
(19,17),-0.0347 # DEPENDENCYPART_ARC
(19,18),1.24268 # DEPENDENCYPART_ARC
(19,20),1.31363 # DEPENDENCYPART_ARC
(19,21),0.271837 # DEPENDENCYPART_ARC
(19,23),0.186593 # DEPENDENCYPART_ARC
(19,29),-1.28507 # DEPENDENCYPART_ARC
(20,18),-0.270981 # DEPENDENCYPART_ARC
(20,19),0.0439181 # DEPENDENCYPART_ARC
(20,21),2.49842 # DEPENDENCYPART_ARC
(20,23),0.0603017 # DEPENDENCYPART_ARC
(20,24),-0.378841 # DEPENDENCYPART_ARC
(21,19),-0.760689 # DEPENDENCYPART_ARC
(21,22),2.10188 # DEPENDENCYPART_ARC
(21,23),-0.203288 # DEPENDENCYPART_ARC
(21,24),0.0524986 # DEPENDENCYPART_ARC
(21,26),-1.14227 # DEPENDENCYPART_ARC
(21,29),0.495393 # DEPENDENCYPART_ARC
(21,30),-1.31849 # DEPENDENCYPART_ARC
(21,32),-1.10217 # DEPENDENCYPART_ARC
(21,35),-0.384949 # DEPENDENCYPART_ARC
(23,2),-1.79474 # DEPENDENCYPART_ARC
(23,4),-0.538225 # DEPENDENCYPART_ARC
(23,9),-1.37454 # DEPENDENCYPART_ARC
(23,15),-0.308048 # DEPENDENCYPART_ARC
(23,16),-0.509449 # DEPENDENCYPART_ARC
(23,17),-0.630226 # DEPENDENCYPART_ARC
(23,20),0.0441841 # DEPENDENCYPART_ARC
(23,21),-0.121779 # DEPENDENCYPART_ARC
(24,2),-1.29456 # DEPENDENCYPART_ARC
(24,4),-0.64452 # DEPENDENCYPART_ARC
(24,6),-0.594947 # DEPENDENCYPART_ARC
(24,8),-1.18835 # DEPENDENCYPART_ARC
(24,9),-1.16961 # DEPENDENCYPART_ARC
(24,10),-0.481153 # DEPENDENCYPART_ARC
(24,12),0.178735 # DEPENDENCYPART_ARC
(24,14),0.101207 # DEPENDENCYPART_ARC
(24,15),0.221195 # DEPENDENCYPART_ARC
(24,16),-0.155147 # DEPENDENCYPART_ARC
(24,17),-0.384586 # DEPENDENCYPART_ARC
(24,18),0.192639 # DEPENDENCYPART_ARC
(24,19),-0.0265567 # DEPENDENCYPART_ARC
(24,20),0.332839 # DEPENDENCYPART_ARC
(24,21),0.897908 # DEPENDENCYPART_ARC
(24,23),1.44925 # DEPENDENCYPART_ARC
(24,25),0.036979 # DEPENDENCYPART_ARC
(24,26),0.215578 # DEPENDENCYPART_ARC
(24,29),0.802579 # DEPENDENCYPART_ARC
(24,30),-0.42225 # DEPENDENCYPART_ARC
(24,31),-0.736145 # DEPENDENCYPART_ARC
(24,32),-1.08803 # DEPENDENCYPART_ARC
(24,33),-0.139227 # DEPENDENCYPART_ARC
(24,35),-0.762902 # DEPENDENCYPART_ARC
(26,25),1.4366 # DEPENDENCYPART_ARC
(26,29),-0.0528905 # DEPENDENCYPART_ARC
(27,26),0.85131 # DEPENDENCYPART_ARC
(27,35),-2.25139 # DEPENDENCYPART_ARC
(29,2),-0.952394 # DEPENDENCYPART_ARC
(29,4),-3.31387 # DEPENDENCYPART_ARC
(29,6),-2.95009 # DEPENDENCYPART_ARC
(29,9),-2.48748 # DEPENDENCYPART_ARC
(29,10),-0.0303575 # DEPENDENCYPART_ARC
(29,14),-4.05796 # DEPENDENCYPART_ARC
(29,15),-0.652998 # DEPENDENCYPART_ARC
(29,16),-1.5477 # DEPENDENCYPART_ARC
(29,17),-3.63906 # DEPENDENCYPART_ARC
(29,18),-0.00749057 # DEPENDENCYPART_ARC
(29,19),-0.106241 # DEPENDENCYPART_ARC
(29,20),-0.357917 # DEPENDENCYPART_ARC
(29,21),-1.44079 # DEPENDENCYPART_ARC
(29,23),0.122887 # DEPENDENCYPART_ARC
(29,24),0.314491 # DEPENDENCYPART_ARC
(29,26),0.255245 # DEPENDENCYPART_ARC
(29,27),3.18835 # DEPENDENCYPART_ARC
(29,28),2.46931 # DEPENDENCYPART_ARC
(29,30),1.89666 # DEPENDENCYPART_ARC
(29,31),0.405535 # DEPENDENCYPART_ARC
(29,32),-1.0067 # DEPENDENCYPART_ARC
(29,33),0.946497 # DEPENDENCYPART_ARC
(29,35),-2.92146 # DEPENDENCYPART_ARC
(29,36),-2.17106 # DEPENDENCYPART_ARC
(29,37),-1.77179 # DEPENDENCYPART_ARC
(30,31),3.32926 # DEPENDENCYPART_ARC
(30,32),-0.37534 # DEPENDENCYPART_ARC
(31,25),-2.01659 # DEPENDENCYPART_ARC
(31,27),-2.60844 # DEPENDENCYPART_ARC
(31,30),0.17678 # DEPENDENCYPART_ARC
(31,32),2.08811 # DEPENDENCYPART_ARC
(31,33),0.312114 # DEPENDENCYPART_ARC
(31,34),-0.44158 # DEPENDENCYPART_ARC
(31,35),0.0237386 # DEPENDENCYPART_ARC
(31,36),-1.62053 # DEPENDENCYPART_ARC
(31,37),-2.24156 # DEPENDENCYPART_ARC
(32,25),-2.23808 # DEPENDENCYPART_ARC
(32,27),-1.34684 # DEPENDENCYPART_ARC
(32,30),-1.14913 # DEPENDENCYPART_ARC
(32,31),-0.665181 # DEPENDENCYPART_ARC
(32,33),-0.00891698 # DEPENDENCYPART_ARC
(32,34),-1.2487 # DEPENDENCYPART_ARC
(32,35),-1.24638 # DEPENDENCYPART_ARC
(32,36),-1.74866 # DEPENDENCYPART_ARC
(32,37),-1.97765 # DEPENDENCYPART_ARC
(33,34),0.330734 # DEPENDENCYPART_ARC
(33,35),1.93357 # DEPENDENCYPART_ARC
(34,35),-0.886213 # DEPENDENCYPART_ARC
(34,37),-1.19751 # DEPENDENCYPART_ARC
(35,10),-0.0993086 # DEPENDENCYPART_ARC
(35,15),-2.60341 # DEPENDENCYPART_ARC
(35,18),-1.35699 # DEPENDENCYPART_ARC
(35,21),-2.98172 # DEPENDENCYPART_ARC
(35,26),-1.86901 # DEPENDENCYPART_ARC
(35,27),0.148872 # DEPENDENCYPART_ARC
(35,30),-1.39232 # DEPENDENCYPART_ARC
(35,31),-1.89561 # DEPENDENCYPART_ARC
(35,32),-3.40604 # DEPENDENCYPART_ARC
(35,33),-0.365349 # DEPENDENCYPART_ARC
(35,34),0.735254 # DEPENDENCYPART_ARC
(35,36),-0.311836 # DEPENDENCYPART_ARC
(35,37),2.39459 # DEPENDENCYPART_ARC
(36,31),-2.16075 # DEPENDENCYPART_ARC
(36,32),-1.5958 # DEPENDENCYPART_ARC
(36,33),-0.33138 # DEPENDENCYPART_ARC
(36,34),0.498685 # DEPENDENCYPART_ARC
(36,37),-0.287361 # DEPENDENCYPART_ARC
(37,31),-0.421289 # DEPENDENCYPART_ARC
(37,32),-1.80028 # DEPENDENCYPART_ARC
(37,34),1.02662 # DEPENDENCYPART_ARC
(37,36),3.1985 # DEPENDENCYPART_ARC
(38,26),-2.43549 # DEPENDENCYPART_ARC
(38,33),-2.17059 # DEPENDENCYPART_ARC
(38,36),-1.88488 # DEPENDENCYPART_ARC
(38,37),-2.12109 # DEPENDENCYPART_ARC
