# _root_ Κύριε Πρόεδρε , στο πλαίσιο της προπαρασκευαστικής συζήτησης για την εκλογή του Προέδρου του Κοινοβουλίου , μου δόθηκε η ευκαιρία να διατυπώσω τις προσδοκίες που είχα από τον νέο Πρόεδρο .
#goldHeads=2,0,4,18,4,8,8,5,8,11,9,13,11,15,13,4,18,0,20,18,22,20,24,22,26,24,26,30,30,27,0,
#predictedHeads=2,0,2,2,4,8,8,5,8,11,9,13,11,15,13,18,18,13,20,18,22,20,24,22,26,24,26,30,30,27,0,
(16,22),-1.72519 # DEPENDENCYPART_ARC
(16,24),-1.74177 # DEPENDENCYPART_ARC
(17,20),-0.886985 # DEPENDENCYPART_ARC
(18,1),-0.862786 # DEPENDENCYPART_ARC
(18,2),-1.24983 # DEPENDENCYPART_ARC
(18,3),0.441984 # DEPENDENCYPART_ARC
(18,4),-0.568005 # DEPENDENCYPART_ARC
(18,5),-1.77429 # DEPENDENCYPART_ARC
(18,7),-3.09888 # DEPENDENCYPART_ARC
(18,8),-2.4526 # DEPENDENCYPART_ARC
(18,9),0.284388 # DEPENDENCYPART_ARC
(18,11),-0.855198 # DEPENDENCYPART_ARC
(18,13),-1.77478 # DEPENDENCYPART_ARC
(18,14),-1.93016 # DEPENDENCYPART_ARC
(18,15),-1.9268 # DEPENDENCYPART_ARC
(18,16),1.63526 # DEPENDENCYPART_ARC
(18,17),1.88756 # DEPENDENCYPART_ARC
(18,19),-1.39788 # DEPENDENCYPART_ARC
(18,20),2.60949 # DEPENDENCYPART_ARC
(18,21),-0.0273028 # DEPENDENCYPART_ARC
(18,22),0.645904 # DEPENDENCYPART_ARC
(18,24),-1.53545 # DEPENDENCYPART_ARC
(18,26),-3.72337 # DEPENDENCYPART_ARC
(18,27),0.0220992 # DEPENDENCYPART_ARC
(18,30),-1.92341 # DEPENDENCYPART_ARC
(20,14),-2.1976 # DEPENDENCYPART_ARC
(20,19),3.21519 # DEPENDENCYPART_ARC
(20,21),0.293795 # DEPENDENCYPART_ARC
(20,22),0.951833 # DEPENDENCYPART_ARC
(20,24),-0.997672 # DEPENDENCYPART_ARC
(20,26),-0.330004 # DEPENDENCYPART_ARC
(20,27),-0.970451 # DEPENDENCYPART_ARC
(20,30),-2.27348 # DEPENDENCYPART_ARC
(21,22),0.285898 # DEPENDENCYPART_ARC
(21,24),-0.756971 # DEPENDENCYPART_ARC
(22,1),-1.28072 # DEPENDENCYPART_ARC
(22,2),-1.59789 # DEPENDENCYPART_ARC
(22,3),-0.498484 # DEPENDENCYPART_ARC
(22,4),-1.09993 # DEPENDENCYPART_ARC
(22,5),-2.14191 # DEPENDENCYPART_ARC
(22,7),-4.8445 # DEPENDENCYPART_ARC
(22,8),-2.42095 # DEPENDENCYPART_ARC
(22,9),-0.756576 # DEPENDENCYPART_ARC
(22,11),-1.34469 # DEPENDENCYPART_ARC
(22,13),-2.31145 # DEPENDENCYPART_ARC
(22,15),-2.56337 # DEPENDENCYPART_ARC
(22,16),-0.0647759 # DEPENDENCYPART_ARC
(22,17),-1.2468 # DEPENDENCYPART_ARC
(22,18),-4.08245 # DEPENDENCYPART_ARC
(22,19),-1.06383 # DEPENDENCYPART_ARC
(22,20),1.04339 # DEPENDENCYPART_ARC
(22,21),2.14984 # DEPENDENCYPART_ARC
(22,23),-0.338266 # DEPENDENCYPART_ARC
(22,24),1.92667 # DEPENDENCYPART_ARC
(22,26),-2.05609 # DEPENDENCYPART_ARC
(22,27),-0.275304 # DEPENDENCYPART_ARC
(22,29),-2.20043 # DEPENDENCYPART_ARC
(22,30),-0.948553 # DEPENDENCYPART_ARC
(24,19),-1.0672 # DEPENDENCYPART_ARC
(24,20),-2.29319 # DEPENDENCYPART_ARC
(24,23),3.88713 # DEPENDENCYPART_ARC
(24,25),0.294546 # DEPENDENCYPART_ARC
(24,26),0.974119 # DEPENDENCYPART_ARC
(24,27),-0.0959756 # DEPENDENCYPART_ARC
(24,29),-0.71921 # DEPENDENCYPART_ARC
(24,30),-1.40103 # DEPENDENCYPART_ARC
(25,26),-1.36779 # DEPENDENCYPART_ARC
(26,1),-2.12032 # DEPENDENCYPART_ARC
(26,2),-2.64701 # DEPENDENCYPART_ARC
(26,3),-1.1428 # DEPENDENCYPART_ARC
(26,4),-1.98623 # DEPENDENCYPART_ARC
(26,5),-2.97674 # DEPENDENCYPART_ARC
(26,9),-1.16849 # DEPENDENCYPART_ARC
(26,11),-2.36778 # DEPENDENCYPART_ARC
(26,13),-3.45585 # DEPENDENCYPART_ARC
(26,15),-3.63162 # DEPENDENCYPART_ARC
(26,16),-0.303768 # DEPENDENCYPART_ARC
(26,17),-2.35641 # DEPENDENCYPART_ARC
(26,20),-0.344243 # DEPENDENCYPART_ARC
(26,23),-2.67715 # DEPENDENCYPART_ARC
(26,24),-1.01466 # DEPENDENCYPART_ARC
(26,25),2.51246 # DEPENDENCYPART_ARC
(26,27),1.75575 # DEPENDENCYPART_ARC
(26,28),-0.951241 # DEPENDENCYPART_ARC
(26,29),-0.25509 # DEPENDENCYPART_ARC
(26,30),0.0955185 # DEPENDENCYPART_ARC
(27,24),-1.27224 # DEPENDENCYPART_ARC
(27,28),0.239842 # DEPENDENCYPART_ARC
(27,29),1.19568 # DEPENDENCYPART_ARC
(27,30),1.95949 # DEPENDENCYPART_ARC
(28,30),-0.0190856 # DEPENDENCYPART_ARC
(29,27),-0.61353 # DEPENDENCYPART_ARC
(29,28),0.307602 # DEPENDENCYPART_ARC
(29,30),-0.0856691 # DEPENDENCYPART_ARC
(30,23),-1.05473 # DEPENDENCYPART_ARC
(30,24),-2.4117 # DEPENDENCYPART_ARC
(30,25),-1.9562 # DEPENDENCYPART_ARC
(30,27),0.126433 # DEPENDENCYPART_ARC
(30,28),3.04986 # DEPENDENCYPART_ARC
(30,29),3.40253 # DEPENDENCYPART_ARC
(31,30),-2.14733 # DEPENDENCYPART_ARC
