# _root_ Το Κάστρο βρίσκεται πάνω σε ένα γιγαντιαίο βράχο , κρεμασμένο πάνω από το πέλαγος , με πανοραμική θέα και αποτελεί ένα φυσικό φρούριο .
#goldHeads=2,19,19,3,4,8,8,5,10,3,10,11,14,12,10,2,18,16,0,19,23,23,20,0,
#predictedHeads=2,3,0,3,4,8,8,5,3,19,10,11,14,12,16,19,18,16,0,19,23,23,20,0,
(16,19),0.486623 # DEPENDENCYPART_ARC
(16,20),-0.660457 # DEPENDENCYPART_ARC
(16,23),-1.08098 # DEPENDENCYPART_ARC
(16,24),-0.245937 # DEPENDENCYPART_ARC
(17,14),-1.32694 # DEPENDENCYPART_ARC
(17,16),-0.395213 # DEPENDENCYPART_ARC
(17,18),0.287926 # DEPENDENCYPART_ARC
(17,20),-1.14224 # DEPENDENCYPART_ARC
(17,23),-2.50195 # DEPENDENCYPART_ARC
(18,11),-0.819937 # DEPENDENCYPART_ARC
(18,13),0.502746 # DEPENDENCYPART_ARC
(18,14),-0.925957 # DEPENDENCYPART_ARC
(18,15),-0.335458 # DEPENDENCYPART_ARC
(18,16),0.300153 # DEPENDENCYPART_ARC
(18,17),3.03045 # DEPENDENCYPART_ARC
(18,19),0.0711544 # DEPENDENCYPART_ARC
(18,20),-0.768554 # DEPENDENCYPART_ARC
(18,22),-1.97632 # DEPENDENCYPART_ARC
(18,23),-2.27707 # DEPENDENCYPART_ARC
(19,3),0.919611 # DEPENDENCYPART_ARC
(19,4),-0.443303 # DEPENDENCYPART_ARC
(19,5),-0.62464 # DEPENDENCYPART_ARC
(19,7),-0.699678 # DEPENDENCYPART_ARC
(19,8),-0.265794 # DEPENDENCYPART_ARC
(19,9),-0.46617 # DEPENDENCYPART_ARC
(19,10),1.46589 # DEPENDENCYPART_ARC
(19,11),-0.0740335 # DEPENDENCYPART_ARC
(19,12),-0.0208444 # DEPENDENCYPART_ARC
(19,13),0.352369 # DEPENDENCYPART_ARC
(19,14),0.914213 # DEPENDENCYPART_ARC
(19,15),0.398196 # DEPENDENCYPART_ARC
(19,16),0.370498 # DEPENDENCYPART_ARC
(19,17),0.755137 # DEPENDENCYPART_ARC
(19,18),0.56737 # DEPENDENCYPART_ARC
(19,20),2.10328 # DEPENDENCYPART_ARC
(19,22),-0.398903 # DEPENDENCYPART_ARC
(19,23),0.180325 # DEPENDENCYPART_ARC
(19,24),-0.286965 # DEPENDENCYPART_ARC
(20,3),-4.19487 # DEPENDENCYPART_ARC
(20,4),-1.0243 # DEPENDENCYPART_ARC
(20,5),-1.22341 # DEPENDENCYPART_ARC
(20,7),-2.63247 # DEPENDENCYPART_ARC
(20,8),-2.29018 # DEPENDENCYPART_ARC
(20,10),-2.82833 # DEPENDENCYPART_ARC
(20,11),-0.771398 # DEPENDENCYPART_ARC
(20,12),-1.11615 # DEPENDENCYPART_ARC
(20,14),-2.0037 # DEPENDENCYPART_ARC
(20,15),0.235973 # DEPENDENCYPART_ARC
(20,16),-0.259394 # DEPENDENCYPART_ARC
(20,17),-1.28817 # DEPENDENCYPART_ARC
(20,18),-0.992053 # DEPENDENCYPART_ARC
(20,19),0.0675836 # DEPENDENCYPART_ARC
(20,22),-1.13607 # DEPENDENCYPART_ARC
(20,23),1.27121 # DEPENDENCYPART_ARC
(20,24),0.0268113 # DEPENDENCYPART_ARC
(22,21),0.567727 # DEPENDENCYPART_ARC
(22,23),0.456985 # DEPENDENCYPART_ARC
(23,13),-0.627034 # DEPENDENCYPART_ARC
(23,16),-0.794516 # DEPENDENCYPART_ARC
(23,17),-0.0303594 # DEPENDENCYPART_ARC
(23,18),-1.61997 # DEPENDENCYPART_ARC
(23,21),3.34622 # DEPENDENCYPART_ARC
(23,22),3.65129 # DEPENDENCYPART_ARC
(23,24),0.31227 # DEPENDENCYPART_ARC
(24,22),-1.93337 # DEPENDENCYPART_ARC
(24,23),-2.13172 # DEPENDENCYPART_ARC
