# _root_ Το πάρτυ διαρκεί μέχρι τις 10 ή 11 το βράδυ , όταν οι περισσότεροι πάνε για ντουζ , ένα εσπρέσο και μετά δείπνο και περισσότερη διασκέδαση.Μέχρι πρωίας .
#goldHeads=2,3,0,3,7,7,10,7,10,4,3,10,14,15,12,15,18,21,20,18,16,21,24,21,26,24,26,0,
#predictedHeads=2,3,0,3,6,7,4,7,10,7,12,3,14,15,12,15,16,21,20,24,15,21,22,22,24,25,26,0,
(14,13),2.48024 # DEPENDENCYPART_ARC
(14,15),-1.87745 # DEPENDENCYPART_ARC
(14,16),-0.456657 # DEPENDENCYPART_ARC
(14,17),-0.921073 # DEPENDENCYPART_ARC
(15,2),-0.655648 # DEPENDENCYPART_ARC
(15,3),-2.67588 # DEPENDENCYPART_ARC
(15,4),0.0798208 # DEPENDENCYPART_ARC
(15,6),0.0498691 # DEPENDENCYPART_ARC
(15,7),0.129315 # DEPENDENCYPART_ARC
(15,8),0.0671959 # DEPENDENCYPART_ARC
(15,10),-1.35263 # DEPENDENCYPART_ARC
(15,11),0.886323 # DEPENDENCYPART_ARC
(15,12),0.64062 # DEPENDENCYPART_ARC
(15,13),0.0674751 # DEPENDENCYPART_ARC
(15,14),2.48835 # DEPENDENCYPART_ARC
(15,16),1.88108 # DEPENDENCYPART_ARC
(15,17),0.613928 # DEPENDENCYPART_ARC
(15,18),0.629572 # DEPENDENCYPART_ARC
(15,20),-0.321478 # DEPENDENCYPART_ARC
(15,21),0.469871 # DEPENDENCYPART_ARC
(15,22),0.184874 # DEPENDENCYPART_ARC
(15,23),-2.60618 # DEPENDENCYPART_ARC
(15,24),0.0790826 # DEPENDENCYPART_ARC
(15,26),-0.538993 # DEPENDENCYPART_ARC
(15,27),-4.04307 # DEPENDENCYPART_ARC
(15,28),-0.0537533 # DEPENDENCYPART_ARC
(16,15),-0.333379 # DEPENDENCYPART_ARC
(16,17),3.10146 # DEPENDENCYPART_ARC
(16,18),0.394423 # DEPENDENCYPART_ARC
(16,20),-0.511221 # DEPENDENCYPART_ARC
(16,21),-0.0172606 # DEPENDENCYPART_ARC
(16,23),-1.39892 # DEPENDENCYPART_ARC
(16,24),0.0589604 # DEPENDENCYPART_ARC
(17,13),-1.95872 # DEPENDENCYPART_ARC
(17,14),-3.13995 # DEPENDENCYPART_ARC
(17,16),-0.0239867 # DEPENDENCYPART_ARC
(17,18),-0.213299 # DEPENDENCYPART_ARC
(17,20),-0.697789 # DEPENDENCYPART_ARC
(17,22),-0.944201 # DEPENDENCYPART_ARC
(18,2),-1.1481 # DEPENDENCYPART_ARC
(18,3),-0.841305 # DEPENDENCYPART_ARC
(18,14),-0.614979 # DEPENDENCYPART_ARC
(18,16),0.0443441 # DEPENDENCYPART_ARC
(18,17),0.717504 # DEPENDENCYPART_ARC
(18,19),-0.0226378 # DEPENDENCYPART_ARC
(18,20),0.197284 # DEPENDENCYPART_ARC
(18,21),0.0856953 # DEPENDENCYPART_ARC
(18,23),-0.335869 # DEPENDENCYPART_ARC
(18,25),-1.01238 # DEPENDENCYPART_ARC
(18,26),-0.610291 # DEPENDENCYPART_ARC
(18,27),-0.577388 # DEPENDENCYPART_ARC
(18,28),0.0983911 # DEPENDENCYPART_ARC
(20,13),-1.76787 # DEPENDENCYPART_ARC
(20,14),-1.93058 # DEPENDENCYPART_ARC
(20,16),-1.11938 # DEPENDENCYPART_ARC
(20,17),-1.69444 # DEPENDENCYPART_ARC
(20,18),-0.638279 # DEPENDENCYPART_ARC
(20,19),1.69858 # DEPENDENCYPART_ARC
(20,21),0.470038 # DEPENDENCYPART_ARC
(20,22),0.110133 # DEPENDENCYPART_ARC
(20,23),-0.425448 # DEPENDENCYPART_ARC
(20,25),-1.31139 # DEPENDENCYPART_ARC
(20,26),-0.510177 # DEPENDENCYPART_ARC
(20,27),-0.67615 # DEPENDENCYPART_ARC
(21,2),-0.648695 # DEPENDENCYPART_ARC
(21,3),-0.396615 # DEPENDENCYPART_ARC
(21,4),1.14368 # DEPENDENCYPART_ARC
(21,7),-0.477918 # DEPENDENCYPART_ARC
(21,10),-0.196065 # DEPENDENCYPART_ARC
(21,11),-0.178319 # DEPENDENCYPART_ARC
(21,12),0.13927 # DEPENDENCYPART_ARC
(21,14),-0.580516 # DEPENDENCYPART_ARC
(21,15),0.33395 # DEPENDENCYPART_ARC
(21,16),1.36333 # DEPENDENCYPART_ARC
(21,17),0.848791 # DEPENDENCYPART_ARC
(21,18),0.987816 # DEPENDENCYPART_ARC
(21,19),0.636974 # DEPENDENCYPART_ARC
(21,20),0.479244 # DEPENDENCYPART_ARC
(21,22),1.51208 # DEPENDENCYPART_ARC
(21,23),1.45298 # DEPENDENCYPART_ARC
(21,24),0.114451 # DEPENDENCYPART_ARC
(21,25),-0.0615748 # DEPENDENCYPART_ARC
(21,26),-0.247867 # DEPENDENCYPART_ARC
(21,27),-0.0175313 # DEPENDENCYPART_ARC
(21,28),0.090575 # DEPENDENCYPART_ARC
(22,20),-0.888562 # DEPENDENCYPART_ARC
(22,21),0.529103 # DEPENDENCYPART_ARC
(22,23),2.54725 # DEPENDENCYPART_ARC
(22,24),0.904305 # DEPENDENCYPART_ARC
(22,25),-0.282668 # DEPENDENCYPART_ARC
(22,26),-0.671423 # DEPENDENCYPART_ARC
(22,27),-0.0519566 # DEPENDENCYPART_ARC
(23,13),-3.77555 # DEPENDENCYPART_ARC
(23,19),-0.113203 # DEPENDENCYPART_ARC
(23,21),-0.333359 # DEPENDENCYPART_ARC
(23,22),0.107547 # DEPENDENCYPART_ARC
(23,24),0.32242 # DEPENDENCYPART_ARC
(23,25),0.422731 # DEPENDENCYPART_ARC
(23,26),-0.583251 # DEPENDENCYPART_ARC
(23,27),0.528791 # DEPENDENCYPART_ARC
(24,2),-0.708831 # DEPENDENCYPART_ARC
(24,3),-0.675783 # DEPENDENCYPART_ARC
(24,4),0.436842 # DEPENDENCYPART_ARC
(24,7),-0.469641 # DEPENDENCYPART_ARC
(24,10),-0.117062 # DEPENDENCYPART_ARC
(24,11),-0.524926 # DEPENDENCYPART_ARC
(24,12),0.0766158 # DEPENDENCYPART_ARC
(24,14),-0.551596 # DEPENDENCYPART_ARC
(24,15),0.315086 # DEPENDENCYPART_ARC
(24,16),0.36332 # DEPENDENCYPART_ARC
(24,17),0.861511 # DEPENDENCYPART_ARC
(24,18),0.497743 # DEPENDENCYPART_ARC
(24,19),0.540739 # DEPENDENCYPART_ARC
(24,20),0.841335 # DEPENDENCYPART_ARC
(24,21),0.321904 # DEPENDENCYPART_ARC
(24,22),0.288953 # DEPENDENCYPART_ARC
(24,23),2.52255 # DEPENDENCYPART_ARC
(24,25),1.30095 # DEPENDENCYPART_ARC
(24,26),0.25449 # DEPENDENCYPART_ARC
(24,27),0.966242 # DEPENDENCYPART_ARC
(24,28),-0.0472274 # DEPENDENCYPART_ARC
(25,17),-1.26541 # DEPENDENCYPART_ARC
(25,20),-0.749756 # DEPENDENCYPART_ARC
(25,22),0.139471 # DEPENDENCYPART_ARC
(25,23),-0.462632 # DEPENDENCYPART_ARC
(25,24),0.664057 # DEPENDENCYPART_ARC
(25,26),0.692605 # DEPENDENCYPART_ARC
(25,27),0.551728 # DEPENDENCYPART_ARC
(25,28),0.146634 # DEPENDENCYPART_ARC
(26,4),-0.78525 # DEPENDENCYPART_ARC
(26,16),-0.365011 # DEPENDENCYPART_ARC
(26,17),-0.625173 # DEPENDENCYPART_ARC
(26,20),-0.943119 # DEPENDENCYPART_ARC
(26,22),-0.192468 # DEPENDENCYPART_ARC
(26,23),-0.413092 # DEPENDENCYPART_ARC
(26,24),0.0366187 # DEPENDENCYPART_ARC
(26,25),0.37904 # DEPENDENCYPART_ARC
(26,27),1.19659 # DEPENDENCYPART_ARC
(26,28),-0.347516 # DEPENDENCYPART_ARC
(27,20),-2.16167 # DEPENDENCYPART_ARC
(27,22),-0.551451 # DEPENDENCYPART_ARC
(27,23),-2.03256 # DEPENDENCYPART_ARC
(27,24),-0.0745068 # DEPENDENCYPART_ARC
(27,25),-0.139259 # DEPENDENCYPART_ARC
(27,26),0.794899 # DEPENDENCYPART_ARC
(27,28),0.238027 # DEPENDENCYPART_ARC
(28,25),-1.99957 # DEPENDENCYPART_ARC
(28,27),-1.96929 # DEPENDENCYPART_ARC
