# _root_ Το παράδειγμα που ανέφερε μόλις ο κ. Bolkestein αποτελεί βέβαια ένα κατάφωρο , ίσως μάλιστα και εξαιρετικό , παράδειγμα των καταχρήσεων που γίνονται στον τομέα των μεταφορών .
#goldHeads=2,9,4,2,4,8,8,4,0,9,19,16,17,17,17,19,16,17,9,21,19,23,21,23,24,27,25,0,
#predictedHeads=2,9,4,2,4,8,8,4,0,9,12,16,14,15,16,19,16,9,18,21,19,23,21,23,24,27,25,0,
(19,25),-1.69168 # DEPENDENCYPART_ARC
(19,27),-1.07952 # DEPENDENCYPART_ARC
(21,15),-2.84408 # DEPENDENCYPART_ARC
(21,17),-3.44731 # DEPENDENCYPART_ARC
(21,20),3.49529 # DEPENDENCYPART_ARC
(21,22),0.155586 # DEPENDENCYPART_ARC
(21,23),2.36724 # DEPENDENCYPART_ARC
(21,24),0.486609 # DEPENDENCYPART_ARC
(21,25),-1.42918 # DEPENDENCYPART_ARC
(21,27),-0.213654 # DEPENDENCYPART_ARC
(22,23),-1.66489 # DEPENDENCYPART_ARC
(23,2),-1.72319 # DEPENDENCYPART_ARC
(23,4),-4.58532 # DEPENDENCYPART_ARC
(23,5),-1.16713 # DEPENDENCYPART_ARC
(23,9),-4.29169 # DEPENDENCYPART_ARC
(23,10),-0.908384 # DEPENDENCYPART_ARC
(23,12),-2.0275 # DEPENDENCYPART_ARC
(23,13),-0.0917519 # DEPENDENCYPART_ARC
(23,14),-0.357401 # DEPENDENCYPART_ARC
(23,15),-1.20802 # DEPENDENCYPART_ARC
(23,16),-0.616586 # DEPENDENCYPART_ARC
(23,17),-1.48163 # DEPENDENCYPART_ARC
(23,18),0.159511 # DEPENDENCYPART_ARC
(23,19),-0.429253 # DEPENDENCYPART_ARC
(23,20),-2.02737 # DEPENDENCYPART_ARC
(23,21),-1.48536 # DEPENDENCYPART_ARC
(23,22),3.84769 # DEPENDENCYPART_ARC
(23,24),2.18413 # DEPENDENCYPART_ARC
(23,25),-0.160134 # DEPENDENCYPART_ARC
(23,27),-1.14088 # DEPENDENCYPART_ARC
(23,28),0.15877 # DEPENDENCYPART_ARC
(24,25),3.55027 # DEPENDENCYPART_ARC
(24,27),-1.31314 # DEPENDENCYPART_ARC
(25,20),-2.10051 # DEPENDENCYPART_ARC
(25,22),-3.21804 # DEPENDENCYPART_ARC
(25,24),-0.320845 # DEPENDENCYPART_ARC
(25,26),-0.230212 # DEPENDENCYPART_ARC
(25,27),1.63003 # DEPENDENCYPART_ARC
(25,28),0.0533154 # DEPENDENCYPART_ARC
(27,20),-0.565955 # DEPENDENCYPART_ARC
(27,22),-1.05453 # DEPENDENCYPART_ARC
(27,25),-2.39513 # DEPENDENCYPART_ARC
(27,26),3.17645 # DEPENDENCYPART_ARC
(27,28),-0.106286 # DEPENDENCYPART_ARC
(28,2),-3.74853 # DEPENDENCYPART_ARC
(28,27),-2.12265 # DEPENDENCYPART_ARC
