# _root_ Περίπου 4.000 άνθρωποι συγκεντρώθηκαν έξω από την αμερικανική πρεσβεία στις Βρυξέλλες , φωνάζοντας αντιαμερικανικά συνθήματα και πετώντας μπουκάλια και αυγά στο κτίριο , όπου λίγο αργότερα ο Αμερικανός πρόεδρος φιλοξένησε τον Ζακ Σιράκ .
#goldHeads=3,3,4,0,4,5,9,9,6,9,10,4,16,15,13,4,16,19,17,19,17,21,30,30,26,30,29,29,30,22,33,33,30,0,
#predictedHeads=4,3,4,16,4,4,9,9,6,4,10,13,16,15,13,0,16,19,17,19,20,21,30,30,26,17,29,29,30,0,33,33,30,0,
(13,15),2.73657 # DEPENDENCYPART_ARC
(13,16),0.596194 # DEPENDENCYPART_ARC
(13,17),1.06252 # DEPENDENCYPART_ARC
(13,18),0.491934 # DEPENDENCYPART_ARC
(13,19),0.0901787 # DEPENDENCYPART_ARC
(13,20),-0.507159 # DEPENDENCYPART_ARC
(13,21),-1.71238 # DEPENDENCYPART_ARC
(13,23),0.246922 # DEPENDENCYPART_ARC
(13,24),-0.674469 # DEPENDENCYPART_ARC
(13,25),-0.72338 # DEPENDENCYPART_ARC
(13,26),-0.0615069 # DEPENDENCYPART_ARC
(13,28),-3.03488 # DEPENDENCYPART_ARC
(14,12),-0.628645 # DEPENDENCYPART_ARC
(14,13),-1.78366 # DEPENDENCYPART_ARC
(14,15),0.121856 # DEPENDENCYPART_ARC
(14,17),-1.2494 # DEPENDENCYPART_ARC
(15,7),-1.11292 # DEPENDENCYPART_ARC
(15,13),-0.229778 # DEPENDENCYPART_ARC
(15,14),3.4608 # DEPENDENCYPART_ARC
(15,16),-0.0494777 # DEPENDENCYPART_ARC
(15,17),-1.6611 # DEPENDENCYPART_ARC
(15,18),-2.69101 # DEPENDENCYPART_ARC
(16,1),-0.0645607 # DEPENDENCYPART_ARC
(16,3),-0.132282 # DEPENDENCYPART_ARC
(16,4),0.925927 # DEPENDENCYPART_ARC
(16,5),-0.0365096 # DEPENDENCYPART_ARC
(16,6),-0.708593 # DEPENDENCYPART_ARC
(16,8),-0.53637 # DEPENDENCYPART_ARC
(16,9),-0.120223 # DEPENDENCYPART_ARC
(16,10),-0.0368081 # DEPENDENCYPART_ARC
(16,11),1.01925 # DEPENDENCYPART_ARC
(16,12),0.436906 # DEPENDENCYPART_ARC
(16,13),2.17086 # DEPENDENCYPART_ARC
(16,14),0.712577 # DEPENDENCYPART_ARC
(16,15),0.595328 # DEPENDENCYPART_ARC
(16,17),2.24097 # DEPENDENCYPART_ARC
(16,18),1.00705 # DEPENDENCYPART_ARC
(16,19),-0.307668 # DEPENDENCYPART_ARC
(16,20),0.225451 # DEPENDENCYPART_ARC
(16,22),-0.896252 # DEPENDENCYPART_ARC
(16,23),0.108572 # DEPENDENCYPART_ARC
(16,30),-1.69338 # DEPENDENCYPART_ARC
(17,1),-1.42654 # DEPENDENCYPART_ARC
(17,2),-1.05592 # DEPENDENCYPART_ARC
(17,4),-7.26308 # DEPENDENCYPART_ARC
(17,5),-1.49642 # DEPENDENCYPART_ARC
(17,8),-3.69339 # DEPENDENCYPART_ARC
(17,9),-2.88145 # DEPENDENCYPART_ARC
(17,10),-1.94215 # DEPENDENCYPART_ARC
(17,11),-2.70325 # DEPENDENCYPART_ARC
(17,12),-0.619636 # DEPENDENCYPART_ARC
(17,14),-2.22549 # DEPENDENCYPART_ARC
(17,15),-1.62506 # DEPENDENCYPART_ARC
(17,16),-0.118594 # DEPENDENCYPART_ARC
(17,18),2.32851 # DEPENDENCYPART_ARC
(17,19),0.604226 # DEPENDENCYPART_ARC
(17,20),0.813094 # DEPENDENCYPART_ARC
(17,21),-0.433337 # DEPENDENCYPART_ARC
(17,22),-0.99304 # DEPENDENCYPART_ARC
(17,23),0.15197 # DEPENDENCYPART_ARC
(17,24),-0.261508 # DEPENDENCYPART_ARC
(17,25),-0.269834 # DEPENDENCYPART_ARC
(17,26),0.485835 # DEPENDENCYPART_ARC
(17,28),-2.82665 # DEPENDENCYPART_ARC
(17,29),-2.51894 # DEPENDENCYPART_ARC
(17,30),-5.00345 # DEPENDENCYPART_ARC
(18,14),-0.202469 # DEPENDENCYPART_ARC
(18,15),-1.20086 # DEPENDENCYPART_ARC
(18,16),-0.00988638 # DEPENDENCYPART_ARC
(18,17),-0.174172 # DEPENDENCYPART_ARC
(18,19),-0.0192258 # DEPENDENCYPART_ARC
(18,20),-1.4443 # DEPENDENCYPART_ARC
(18,21),-0.545778 # DEPENDENCYPART_ARC
(19,1),-0.576979 # DEPENDENCYPART_ARC
(19,3),-0.498196 # DEPENDENCYPART_ARC
(19,4),-0.582022 # DEPENDENCYPART_ARC
(19,5),-0.562541 # DEPENDENCYPART_ARC
(19,6),-1.45314 # DEPENDENCYPART_ARC
(19,8),-0.961724 # DEPENDENCYPART_ARC
(19,9),-0.18118 # DEPENDENCYPART_ARC
(19,10),-0.412027 # DEPENDENCYPART_ARC
(19,11),1.05793 # DEPENDENCYPART_ARC
(19,12),-0.139789 # DEPENDENCYPART_ARC
(19,13),0.138597 # DEPENDENCYPART_ARC
(19,14),-0.34544 # DEPENDENCYPART_ARC
(19,15),1.25554 # DEPENDENCYPART_ARC
(19,16),0.241668 # DEPENDENCYPART_ARC
(19,17),0.858815 # DEPENDENCYPART_ARC
(19,18),2.69744 # DEPENDENCYPART_ARC
(19,20),2.57098 # DEPENDENCYPART_ARC
(19,21),0.192406 # DEPENDENCYPART_ARC
(19,22),0.667511 # DEPENDENCYPART_ARC
(19,23),0.133611 # DEPENDENCYPART_ARC
(19,24),-0.467829 # DEPENDENCYPART_ARC
(19,25),-0.482231 # DEPENDENCYPART_ARC
(19,26),-0.596974 # DEPENDENCYPART_ARC
(19,29),-0.745806 # DEPENDENCYPART_ARC
(19,30),-0.953005 # DEPENDENCYPART_ARC
(20,14),-0.78999 # DEPENDENCYPART_ARC
(20,17),-1.69122 # DEPENDENCYPART_ARC
(20,18),0.038533 # DEPENDENCYPART_ARC
(20,19),0.0879116 # DEPENDENCYPART_ARC
(20,21),0.361654 # DEPENDENCYPART_ARC
(20,22),-0.448231 # DEPENDENCYPART_ARC
(20,30),-2.3549 # DEPENDENCYPART_ARC
(21,22),3.08057 # DEPENDENCYPART_ARC
(21,23),0.0994629 # DEPENDENCYPART_ARC
(22,20),-1.62624 # DEPENDENCYPART_ARC
(22,23),0.145689 # DEPENDENCYPART_ARC
(22,24),-0.354502 # DEPENDENCYPART_ARC
(22,25),-0.613988 # DEPENDENCYPART_ARC
(22,26),-0.739385 # DEPENDENCYPART_ARC
(22,28),-1.50418 # DEPENDENCYPART_ARC
(23,3),-1.29054 # DEPENDENCYPART_ARC
(23,15),-0.695327 # DEPENDENCYPART_ARC
(23,18),-0.480397 # DEPENDENCYPART_ARC
(23,20),-0.105652 # DEPENDENCYPART_ARC
(23,21),0.0383117 # DEPENDENCYPART_ARC
(23,22),0.135218 # DEPENDENCYPART_ARC
(23,24),-0.167047 # DEPENDENCYPART_ARC
(23,25),-0.305735 # DEPENDENCYPART_ARC
(23,28),-0.327129 # DEPENDENCYPART_ARC
(23,29),-0.600449 # DEPENDENCYPART_ARC
(23,32),-1.23482 # DEPENDENCYPART_ARC
(24,20),-0.439263 # DEPENDENCYPART_ARC
(24,21),0.216783 # DEPENDENCYPART_ARC
(24,22),-0.35175 # DEPENDENCYPART_ARC
(24,23),0.359821 # DEPENDENCYPART_ARC
(24,25),0.301568 # DEPENDENCYPART_ARC
(24,26),-0.0561633 # DEPENDENCYPART_ARC
(24,29),-0.919302 # DEPENDENCYPART_ARC
(24,30),-0.853749 # DEPENDENCYPART_ARC
(25,16),-0.22707 # DEPENDENCYPART_ARC
(25,18),-0.45492 # DEPENDENCYPART_ARC
(25,19),-0.0522448 # DEPENDENCYPART_ARC
(25,20),-0.451234 # DEPENDENCYPART_ARC
(25,21),0.0967737 # DEPENDENCYPART_ARC
(25,22),-0.378235 # DEPENDENCYPART_ARC
(25,23),0.134328 # DEPENDENCYPART_ARC
(25,24),0.673599 # DEPENDENCYPART_ARC
(25,26),0.0759798 # DEPENDENCYPART_ARC
(25,28),-0.605317 # DEPENDENCYPART_ARC
(25,29),-0.969864 # DEPENDENCYPART_ARC
(25,30),-0.869418 # DEPENDENCYPART_ARC
(26,17),-1.04528 # DEPENDENCYPART_ARC
(26,18),-0.250997 # DEPENDENCYPART_ARC
(26,19),0.0808953 # DEPENDENCYPART_ARC
(26,21),-0.152325 # DEPENDENCYPART_ARC
(26,22),-0.285107 # DEPENDENCYPART_ARC
(26,23),0.16271 # DEPENDENCYPART_ARC
(26,24),0.914322 # DEPENDENCYPART_ARC
(26,25),1.58215 # DEPENDENCYPART_ARC
(26,27),0.028746 # DEPENDENCYPART_ARC
(26,28),-0.245607 # DEPENDENCYPART_ARC
(26,29),-1.00172 # DEPENDENCYPART_ARC
(26,30),-1.93472 # DEPENDENCYPART_ARC
(27,29),-0.389937 # DEPENDENCYPART_ARC
(28,26),-0.523058 # DEPENDENCYPART_ARC
(28,27),2.1898 # DEPENDENCYPART_ARC
(28,29),0.962645 # DEPENDENCYPART_ARC
(28,30),-0.961708 # DEPENDENCYPART_ARC
(29,24),0.12126 # DEPENDENCYPART_ARC
(29,25),0.333352 # DEPENDENCYPART_ARC
(29,26),0.464982 # DEPENDENCYPART_ARC
(29,27),3.09286 # DEPENDENCYPART_ARC
(29,28),3.45311 # DEPENDENCYPART_ARC
(29,30),-0.844048 # DEPENDENCYPART_ARC
(29,31),-1.7845 # DEPENDENCYPART_ARC
(29,32),-0.913922 # DEPENDENCYPART_ARC
(29,33),-1.0542 # DEPENDENCYPART_ARC
(30,1),-0.625147 # DEPENDENCYPART_ARC
(30,3),-0.876346 # DEPENDENCYPART_ARC
(30,4),-2.86665 # DEPENDENCYPART_ARC
(30,5),-0.743926 # DEPENDENCYPART_ARC
(30,10),-2.15581 # DEPENDENCYPART_ARC
(30,14),-2.93258 # DEPENDENCYPART_ARC
(30,15),-2.19021 # DEPENDENCYPART_ARC
(30,16),0.0928237 # DEPENDENCYPART_ARC
(30,17),2.04591 # DEPENDENCYPART_ARC
(30,18),-2.29277 # DEPENDENCYPART_ARC
(30,19),0.264652 # DEPENDENCYPART_ARC
(30,20),-1.65627 # DEPENDENCYPART_ARC
(30,21),-0.932646 # DEPENDENCYPART_ARC
(30,22),-1.26078 # DEPENDENCYPART_ARC
(30,23),0.995366 # DEPENDENCYPART_ARC
(30,24),1.01129 # DEPENDENCYPART_ARC
(30,25),0.739102 # DEPENDENCYPART_ARC
(30,26),0.354529 # DEPENDENCYPART_ARC
(30,27),-1.47079 # DEPENDENCYPART_ARC
(30,28),2.09768 # DEPENDENCYPART_ARC
(30,29),1.94437 # DEPENDENCYPART_ARC
(30,31),-0.312277 # DEPENDENCYPART_ARC
(30,32),0.864521 # DEPENDENCYPART_ARC
(30,33),0.457954 # DEPENDENCYPART_ARC
(30,34),0.795925 # DEPENDENCYPART_ARC
(32,29),-0.583449 # DEPENDENCYPART_ARC
(32,31),1.59937 # DEPENDENCYPART_ARC
(32,33),0.752786 # DEPENDENCYPART_ARC
(33,31),2.08312 # DEPENDENCYPART_ARC
(33,32),2.01939 # DEPENDENCYPART_ARC
(33,34),0.384582 # DEPENDENCYPART_ARC
(34,32),-2.15184 # DEPENDENCYPART_ARC
(34,33),-1.67087 # DEPENDENCYPART_ARC
