# _root_ Το ζητούμενο δεν είναι μόνον ποιος θα επιτύχει τα περισσότερα , η Επιτροπή ή το Συμβούλιο η εμείς ως Κοινοβούλιο , όχι !
#goldHeads=2,4,4,21,4,11,8,4,10,8,8,13,17,17,16,17,11,17,18,19,0,21,21,
#predictedHeads=2,4,4,0,4,8,8,4,10,8,14,13,14,8,16,14,20,21,18,19,22,0,0,
(16,17),-0.387288 # DEPENDENCYPART_ARC
(16,19),0.0511793 # DEPENDENCYPART_ARC
(16,20),-0.224223 # DEPENDENCYPART_ARC
(16,21),-0.329322 # DEPENDENCYPART_ARC
(16,23),-0.47056 # DEPENDENCYPART_ARC
(17,19),-0.320662 # DEPENDENCYPART_ARC
(18,19),1.23575 # DEPENDENCYPART_ARC
(18,20),0.559352 # DEPENDENCYPART_ARC
(19,4),-1.37265 # DEPENDENCYPART_ARC
(19,5),-0.900808 # DEPENDENCYPART_ARC
(19,8),-1.5187 # DEPENDENCYPART_ARC
(19,11),-0.474289 # DEPENDENCYPART_ARC
(19,13),-1.09803 # DEPENDENCYPART_ARC
(19,14),-0.548323 # DEPENDENCYPART_ARC
(19,16),-0.611489 # DEPENDENCYPART_ARC
(19,17),-0.131365 # DEPENDENCYPART_ARC
(19,20),1.92823 # DEPENDENCYPART_ARC
(19,21),0.347102 # DEPENDENCYPART_ARC
(19,23),0.0345401 # DEPENDENCYPART_ARC
(20,4),-2.60416 # DEPENDENCYPART_ARC
(20,8),-3.28139 # DEPENDENCYPART_ARC
(20,12),-2.22792 # DEPENDENCYPART_ARC
(20,13),-2.56256 # DEPENDENCYPART_ARC
(20,14),-1.24492 # DEPENDENCYPART_ARC
(20,15),-0.0601822 # DEPENDENCYPART_ARC
(20,16),-1.038 # DEPENDENCYPART_ARC
(20,17),0.195585 # DEPENDENCYPART_ARC
(20,18),-1.84508 # DEPENDENCYPART_ARC
(20,19),0.338448 # DEPENDENCYPART_ARC
(20,21),-0.113423 # DEPENDENCYPART_ARC
(20,23),-0.615029 # DEPENDENCYPART_ARC
(21,2),-1.74742 # DEPENDENCYPART_ARC
(21,4),-0.529805 # DEPENDENCYPART_ARC
(21,8),-0.72935 # DEPENDENCYPART_ARC
(21,11),-1.04004 # DEPENDENCYPART_ARC
(21,13),-0.837081 # DEPENDENCYPART_ARC
(21,14),0.0959765 # DEPENDENCYPART_ARC
(21,16),-0.732276 # DEPENDENCYPART_ARC
(21,18),-0.511422 # DEPENDENCYPART_ARC
(21,19),-0.277947 # DEPENDENCYPART_ARC
(21,20),0.0747973 # DEPENDENCYPART_ARC
(21,23),-0.00702554 # DEPENDENCYPART_ARC
(22,21),0.638171 # DEPENDENCYPART_ARC
(22,23),1.12102 # DEPENDENCYPART_ARC
(23,2),-2.24984 # DEPENDENCYPART_ARC
(23,4),-1.48215 # DEPENDENCYPART_ARC
(23,8),-1.67259 # DEPENDENCYPART_ARC
(23,16),-1.37025 # DEPENDENCYPART_ARC
(23,18),-1.53808 # DEPENDENCYPART_ARC
(23,20),-1.087 # DEPENDENCYPART_ARC
(23,21),-0.742296 # DEPENDENCYPART_ARC
(0,22),-1.3466 # DEPENDENCYPART_ARC
