# _root_ Αφού έλαβαν υπόψη και άλλους παράγοντες επικινδυνότητας για την ασθένεια , όπως η ηλικία και το φύλο , οι επιστήμονες βρήκαν ότι ο διαβήτης αυξάνει τις πιθανότητες ανάπτυξης καρκίνου του ήπατος .
#goldHeads=21,1,2,6,6,2,6,7,10,8,6,6,14,15,6,17,15,6,20,21,0,21,24,25,22,27,25,27,28,29,29,0,
#predictedHeads=25,1,2,2,6,4,6,7,10,8,1,21,14,15,8,17,15,21,20,21,0,21,24,25,22,27,25,27,28,31,29,0,
(4,8),-0.493626 # DEPENDENCYPART_ARC
(4,10),-0.986048 # DEPENDENCYPART_ARC
(4,11),0.145741 # DEPENDENCYPART_ARC
(4,12),-0.620617 # DEPENDENCYPART_ARC
(4,14),-1.60313 # DEPENDENCYPART_ARC
(4,18),-0.110338 # DEPENDENCYPART_ARC
(4,21),-1.029 # DEPENDENCYPART_ARC
(4,22),-1.03174 # DEPENDENCYPART_ARC
(5,4),0.430144 # DEPENDENCYPART_ARC
(5,6),-0.280165 # DEPENDENCYPART_ARC
(5,7),0.138147 # DEPENDENCYPART_ARC
(5,8),0.0136789 # DEPENDENCYPART_ARC
(6,2),-2.39446 # DEPENDENCYPART_ARC
(6,3),0.03136 # DEPENDENCYPART_ARC
(6,4),0.720667 # DEPENDENCYPART_ARC
(6,5),3.66512 # DEPENDENCYPART_ARC
(6,7),2.58623 # DEPENDENCYPART_ARC
(6,8),0.618183 # DEPENDENCYPART_ARC
(6,10),-0.870625 # DEPENDENCYPART_ARC
(6,15),0.0785916 # DEPENDENCYPART_ARC
(7,2),-3.41224 # DEPENDENCYPART_ARC
(7,3),-0.399281 # DEPENDENCYPART_ARC
(7,4),-0.0427936 # DEPENDENCYPART_ARC
(7,5),0.0181725 # DEPENDENCYPART_ARC
(7,6),-0.914456 # DEPENDENCYPART_ARC
(7,8),1.04836 # DEPENDENCYPART_ARC
(7,9),-0.358859 # DEPENDENCYPART_ARC
(7,10),-0.966336 # DEPENDENCYPART_ARC
(7,12),-0.616609 # DEPENDENCYPART_ARC
(7,15),-0.223001 # DEPENDENCYPART_ARC
(8,7),-0.939103 # DEPENDENCYPART_ARC
(8,9),-0.225859 # DEPENDENCYPART_ARC
(8,10),2.30014 # DEPENDENCYPART_ARC
(8,11),0.00305463 # DEPENDENCYPART_ARC
(8,12),-0.597901 # DEPENDENCYPART_ARC
(8,14),-1.00336 # DEPENDENCYPART_ARC
(8,15),0.986749 # DEPENDENCYPART_ARC
(10,9),3.01643 # DEPENDENCYPART_ARC
(10,11),0.109128 # DEPENDENCYPART_ARC
(10,12),-0.0843343 # DEPENDENCYPART_ARC
(10,14),-1.10404 # DEPENDENCYPART_ARC
(10,15),-0.133601 # DEPENDENCYPART_ARC
(10,17),-2.28797 # DEPENDENCYPART_ARC
(11,2),-0.622571 # DEPENDENCYPART_ARC
(11,5),-0.849816 # DEPENDENCYPART_ARC
(11,6),-0.450515 # DEPENDENCYPART_ARC
(11,7),-0.318715 # DEPENDENCYPART_ARC
(11,8),0.0670027 # DEPENDENCYPART_ARC
(11,10),-0.269613 # DEPENDENCYPART_ARC
(11,12),-0.113864 # DEPENDENCYPART_ARC
(11,14),0.0585144 # DEPENDENCYPART_ARC
(11,17),-0.417592 # DEPENDENCYPART_ARC
(11,20),-0.796535 # DEPENDENCYPART_ARC
(11,25),-0.62545 # DEPENDENCYPART_ARC
(12,3),-0.636533 # DEPENDENCYPART_ARC
(12,4),0.250378 # DEPENDENCYPART_ARC
(12,8),-0.569094 # DEPENDENCYPART_ARC
(12,9),-0.47352 # DEPENDENCYPART_ARC
(12,10),-0.576913 # DEPENDENCYPART_ARC
(12,11),0.0996473 # DEPENDENCYPART_ARC
(12,13),-0.447566 # DEPENDENCYPART_ARC
(12,14),-0.16143 # DEPENDENCYPART_ARC
(12,15),-0.0297529 # DEPENDENCYPART_ARC
(12,17),-0.998555 # DEPENDENCYPART_ARC
(12,18),-0.295449 # DEPENDENCYPART_ARC
(12,20),-2.38777 # DEPENDENCYPART_ARC
(12,21),-1.156 # DEPENDENCYPART_ARC
(12,25),-1.7793 # DEPENDENCYPART_ARC
(14,9),-0.21102 # DEPENDENCYPART_ARC
(14,12),-0.614405 # DEPENDENCYPART_ARC
(14,13),2.78842 # DEPENDENCYPART_ARC
(14,16),-1.35978 # DEPENDENCYPART_ARC
(14,17),-0.886478 # DEPENDENCYPART_ARC
(14,20),-2.37447 # DEPENDENCYPART_ARC
(14,22),-1.24972 # DEPENDENCYPART_ARC
(15,1),-0.547869 # DEPENDENCYPART_ARC
(15,2),-0.0473347 # DEPENDENCYPART_ARC
(15,3),-0.480237 # DEPENDENCYPART_ARC
(15,4),-0.354887 # DEPENDENCYPART_ARC
(15,5),0.152366 # DEPENDENCYPART_ARC
(15,6),-0.146231 # DEPENDENCYPART_ARC
(15,7),0.0914722 # DEPENDENCYPART_ARC
(15,8),-0.0124595 # DEPENDENCYPART_ARC
(15,9),0.246075 # DEPENDENCYPART_ARC
(15,10),1.35392 # DEPENDENCYPART_ARC
(15,11),0.58907 # DEPENDENCYPART_ARC
(15,12),-0.0343393 # DEPENDENCYPART_ARC
(15,13),0.595919 # DEPENDENCYPART_ARC
(15,14),2.61598 # DEPENDENCYPART_ARC
(15,16),-0.034533 # DEPENDENCYPART_ARC
(15,17),1.99384 # DEPENDENCYPART_ARC
(15,18),0.279507 # DEPENDENCYPART_ARC
(15,20),0.653307 # DEPENDENCYPART_ARC
(15,21),0.336379 # DEPENDENCYPART_ARC
(15,22),-0.459817 # DEPENDENCYPART_ARC
(15,24),-0.652049 # DEPENDENCYPART_ARC
(15,25),-0.930494 # DEPENDENCYPART_ARC
(17,9),-2.01297 # DEPENDENCYPART_ARC
(17,13),0.0996185 # DEPENDENCYPART_ARC
(17,14),-1.2634 # DEPENDENCYPART_ARC
(17,15),0.285421 # DEPENDENCYPART_ARC
(17,16),3.01703 # DEPENDENCYPART_ARC
(17,18),-0.101234 # DEPENDENCYPART_ARC
(17,19),-1.02978 # DEPENDENCYPART_ARC
(17,20),-0.715416 # DEPENDENCYPART_ARC
(17,21),-1.69741 # DEPENDENCYPART_ARC
(17,22),-0.886391 # DEPENDENCYPART_ARC
(18,5),-0.872533 # DEPENDENCYPART_ARC
(18,6),-0.488159 # DEPENDENCYPART_ARC
(18,7),-0.486285 # DEPENDENCYPART_ARC
(18,8),0.0761046 # DEPENDENCYPART_ARC
(18,14),-0.14597 # DEPENDENCYPART_ARC
(18,17),0.473826 # DEPENDENCYPART_ARC
(18,20),-0.0148071 # DEPENDENCYPART_ARC
(18,21),-0.454381 # DEPENDENCYPART_ARC
(18,22),-0.573885 # DEPENDENCYPART_ARC
(18,24),-1.31489 # DEPENDENCYPART_ARC
(18,25),-1.08633 # DEPENDENCYPART_ARC
(18,27),-1.29475 # DEPENDENCYPART_ARC
(18,28),-1.06627 # DEPENDENCYPART_ARC
(20,13),-1.33927 # DEPENDENCYPART_ARC
(20,16),-0.268834 # DEPENDENCYPART_ARC
(20,17),-1.35267 # DEPENDENCYPART_ARC
(20,18),-0.0980194 # DEPENDENCYPART_ARC
(20,19),3.50505 # DEPENDENCYPART_ARC
(20,21),-0.953362 # DEPENDENCYPART_ARC
(20,22),-0.432685 # DEPENDENCYPART_ARC
(20,24),-1.59913 # DEPENDENCYPART_ARC
(20,25),-3.41308 # DEPENDENCYPART_ARC
(20,27),-3.71202 # DEPENDENCYPART_ARC
(20,29),-2.39113 # DEPENDENCYPART_ARC
(21,1),1.0371 # DEPENDENCYPART_ARC
(21,2),-1.97019 # DEPENDENCYPART_ARC
(21,3),-0.222692 # DEPENDENCYPART_ARC
(21,4),0.0620456 # DEPENDENCYPART_ARC
(21,6),-0.791434 # DEPENDENCYPART_ARC
(21,7),-3.46614 # DEPENDENCYPART_ARC
(21,8),-0.504638 # DEPENDENCYPART_ARC
(21,10),-1.80903 # DEPENDENCYPART_ARC
(21,11),0.661728 # DEPENDENCYPART_ARC
(21,12),0.381154 # DEPENDENCYPART_ARC
(21,14),-0.109281 # DEPENDENCYPART_ARC
(21,15),0.507332 # DEPENDENCYPART_ARC
(21,16),-0.590408 # DEPENDENCYPART_ARC
(21,17),0.287432 # DEPENDENCYPART_ARC
(21,18),1.38925 # DEPENDENCYPART_ARC
(21,19),-0.366034 # DEPENDENCYPART_ARC
(21,20),2.56978 # DEPENDENCYPART_ARC
(21,22),1.3319 # DEPENDENCYPART_ARC
(21,23),-2.88552 # DEPENDENCYPART_ARC
(21,24),-0.0485723 # DEPENDENCYPART_ARC
(21,25),-2.38429 # DEPENDENCYPART_ARC
(21,27),-1.61528 # DEPENDENCYPART_ARC
(21,28),-3.4319 # DEPENDENCYPART_ARC
(21,29),-3.76488 # DEPENDENCYPART_ARC
(21,31),-3.65633 # DEPENDENCYPART_ARC
(22,18),0.230323 # DEPENDENCYPART_ARC
(22,23),-0.00072809 # DEPENDENCYPART_ARC
(22,25),2.29318 # DEPENDENCYPART_ARC
(23,24),-0.037943 # DEPENDENCYPART_ARC
(24,19),-0.630957 # DEPENDENCYPART_ARC
(24,20),-1.58963 # DEPENDENCYPART_ARC
(24,23),2.8046 # DEPENDENCYPART_ARC
(24,25),-1.39011 # DEPENDENCYPART_ARC
(24,26),-1.82159 # DEPENDENCYPART_ARC
(24,27),-1.78723 # DEPENDENCYPART_ARC
(24,28),-1.00116 # DEPENDENCYPART_ARC
(24,29),-1.34049 # DEPENDENCYPART_ARC
(24,31),-1.91685 # DEPENDENCYPART_ARC
(25,1),1.18329 # DEPENDENCYPART_ARC
(25,2),-2.09866 # DEPENDENCYPART_ARC
(25,3),-1.2527 # DEPENDENCYPART_ARC
(25,6),-2.17949 # DEPENDENCYPART_ARC
(25,7),-2.97476 # DEPENDENCYPART_ARC
(25,10),-1.94665 # DEPENDENCYPART_ARC
(25,11),0.157309 # DEPENDENCYPART_ARC
(25,12),-0.400715 # DEPENDENCYPART_ARC
(25,14),0.0998763 # DEPENDENCYPART_ARC
(25,15),0.789548 # DEPENDENCYPART_ARC
(25,17),0.503889 # DEPENDENCYPART_ARC
(25,18),0.575126 # DEPENDENCYPART_ARC
(25,20),0.618616 # DEPENDENCYPART_ARC
(25,21),-0.940059 # DEPENDENCYPART_ARC
(25,22),0.283734 # DEPENDENCYPART_ARC
(25,23),-0.337369 # DEPENDENCYPART_ARC
(25,24),2.45764 # DEPENDENCYPART_ARC
(25,26),-0.445997 # DEPENDENCYPART_ARC
(25,27),1.56762 # DEPENDENCYPART_ARC
(25,28),-0.875497 # DEPENDENCYPART_ARC
(25,29),-1.36872 # DEPENDENCYPART_ARC
(25,31),-2.55815 # DEPENDENCYPART_ARC
(25,32),0.222225 # DEPENDENCYPART_ARC
(26,27),-0.0109555 # DEPENDENCYPART_ARC
(26,28),0.140853 # DEPENDENCYPART_ARC
(27,19),-3.12185 # DEPENDENCYPART_ARC
(27,23),-2.82261 # DEPENDENCYPART_ARC
(27,24),-3.17151 # DEPENDENCYPART_ARC
(27,26),3.4668 # DEPENDENCYPART_ARC
(27,28),2.45225 # DEPENDENCYPART_ARC
(27,29),2.19232 # DEPENDENCYPART_ARC
(27,31),0.679603 # DEPENDENCYPART_ARC
(28,23),-1.8563 # DEPENDENCYPART_ARC
(28,24),-2.0073 # DEPENDENCYPART_ARC
(28,26),0.357295 # DEPENDENCYPART_ARC
(28,27),-0.974226 # DEPENDENCYPART_ARC
(28,29),2.30406 # DEPENDENCYPART_ARC
(28,30),-0.490561 # DEPENDENCYPART_ARC
(28,31),0.628475 # DEPENDENCYPART_ARC
(29,23),-1.21837 # DEPENDENCYPART_ARC
(29,24),-0.741201 # DEPENDENCYPART_ARC
(29,26),-1.20285 # DEPENDENCYPART_ARC
(29,27),-1.70346 # DEPENDENCYPART_ARC
(29,28),1.52969 # DEPENDENCYPART_ARC
(29,30),-0.0984427 # DEPENDENCYPART_ARC
(29,31),2.07668 # DEPENDENCYPART_ARC
(30,31),0.761699 # DEPENDENCYPART_ARC
(31,24),-2.31848 # DEPENDENCYPART_ARC
(31,26),-2.55639 # DEPENDENCYPART_ARC
(31,27),-3.98689 # DEPENDENCYPART_ARC
(31,28),-1.03798 # DEPENDENCYPART_ARC
(31,29),0.505461 # DEPENDENCYPART_ARC
(31,30),2.89812 # DEPENDENCYPART_ARC
(32,27),-2.42224 # DEPENDENCYPART_ARC
(32,28),-2.12403 # DEPENDENCYPART_ARC
(32,29),-1.99891 # DEPENDENCYPART_ARC
(32,31),-2.13908 # DEPENDENCYPART_ARC
