# _root_ Ήταν στεγασμένη με ένα τετράγωνο κτήριο , ανοικτό στη νότια πλευρά , όπου υπήρχε δωρική στοά .
#goldHeads=0,1,2,6,6,3,1,6,8,11,9,14,14,11,16,14,14,
#predictedHeads=0,1,2,6,6,3,8,5,8,11,9,14,14,2,16,14,0,
(10,8),-0.236871 # DEPENDENCYPART_ARC
(10,13),-0.512048 # DEPENDENCYPART_ARC
(10,14),-0.722176 # DEPENDENCYPART_ARC
(11,1),-2.51473 # DEPENDENCYPART_ARC
(11,3),-0.819021 # DEPENDENCYPART_ARC
(11,4),0.909515 # DEPENDENCYPART_ARC
(11,5),-0.247278 # DEPENDENCYPART_ARC
(11,6),-0.945358 # DEPENDENCYPART_ARC
(11,7),-0.276117 # DEPENDENCYPART_ARC
(11,8),-1.29277 # DEPENDENCYPART_ARC
(11,9),0.790492 # DEPENDENCYPART_ARC
(11,10),3.13121 # DEPENDENCYPART_ARC
(11,12),0.121086 # DEPENDENCYPART_ARC
(11,13),-0.422959 # DEPENDENCYPART_ARC
(11,14),-0.830839 # DEPENDENCYPART_ARC
(11,15),-1.7477 # DEPENDENCYPART_ARC
(11,16),-1.7207 # DEPENDENCYPART_ARC
(12,1),-1.00157 # DEPENDENCYPART_ARC
(12,3),-0.325658 # DEPENDENCYPART_ARC
(12,5),-0.527704 # DEPENDENCYPART_ARC
(12,6),-0.0937563 # DEPENDENCYPART_ARC
(12,7),0.153783 # DEPENDENCYPART_ARC
(12,8),-0.572823 # DEPENDENCYPART_ARC
(12,9),-0.30176 # DEPENDENCYPART_ARC
(12,10),-0.191514 # DEPENDENCYPART_ARC
(12,11),-0.0310091 # DEPENDENCYPART_ARC
(12,13),-0.349082 # DEPENDENCYPART_ARC
(12,14),-0.608278 # DEPENDENCYPART_ARC
(12,15),-0.788647 # DEPENDENCYPART_ARC
(12,16),-0.617209 # DEPENDENCYPART_ARC
(12,17),-0.395406 # DEPENDENCYPART_ARC
(13,1),-1.2837 # DEPENDENCYPART_ARC
(13,3),-0.864818 # DEPENDENCYPART_ARC
(13,6),-0.866842 # DEPENDENCYPART_ARC
(13,9),-0.385897 # DEPENDENCYPART_ARC
(13,10),-0.872093 # DEPENDENCYPART_ARC
(13,11),-0.768368 # DEPENDENCYPART_ARC
(13,12),0.0258668 # DEPENDENCYPART_ARC
(13,14),0.0889645 # DEPENDENCYPART_ARC
(13,15),-1.1503 # DEPENDENCYPART_ARC
(13,16),-1.30742 # DEPENDENCYPART_ARC
(13,17),-0.762138 # DEPENDENCYPART_ARC
(14,1),-2.8369 # DEPENDENCYPART_ARC
(14,2),-1.7346 # DEPENDENCYPART_ARC
(14,3),-0.507022 # DEPENDENCYPART_ARC
(14,5),-2.55278 # DEPENDENCYPART_ARC
(14,6),-1.95262 # DEPENDENCYPART_ARC
(14,7),0.481919 # DEPENDENCYPART_ARC
(14,8),-1.62485 # DEPENDENCYPART_ARC
(14,9),-0.203032 # DEPENDENCYPART_ARC
(14,10),-1.4002 # DEPENDENCYPART_ARC
(14,11),-1.23321 # DEPENDENCYPART_ARC
(14,12),1.49948 # DEPENDENCYPART_ARC
(14,13),1.8011 # DEPENDENCYPART_ARC
(14,15),0.720625 # DEPENDENCYPART_ARC
(14,16),2.73682 # DEPENDENCYPART_ARC
(14,17),0.379359 # DEPENDENCYPART_ARC
(15,13),-0.287963 # DEPENDENCYPART_ARC
(15,16),-0.311841 # DEPENDENCYPART_ARC
(15,17),-0.434891 # DEPENDENCYPART_ARC
(16,1),-2.38708 # DEPENDENCYPART_ARC
(16,10),0.38325 # DEPENDENCYPART_ARC
(16,13),-0.374383 # DEPENDENCYPART_ARC
(16,15),3.24322 # DEPENDENCYPART_ARC
(16,17),0.235286 # DEPENDENCYPART_ARC
(17,15),-1.89488 # DEPENDENCYPART_ARC
(17,16),-2.13109 # DEPENDENCYPART_ARC
